Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),H2(190),C4H7X(141),C4H7(69),C4H7(373),C2H5(67),C4H6(54),C4H7X(140),C4H7(68),C4H7X(145),C4H7X(459),C6H11(87),SX(155),C6H11(809),SX(979),C4H8(73),C2H6(343),C2H3(53),C6H11(815),SX(1010),C8H15(980),SX(1014),C4H8(187),C6H10(967),SX(1211),S(1163),SX(152),C6H11(84),S(1104),SX(1138),S(1167),SX(1756),S(1166),SX(1799),C4H9(85),C4H9X(153),S(1418),SX(1367),S(1062),SX(1214),SX(1701),S(1649),C4H9X(171),C4H9(111),SX(2137),S(2079),SX(1017),S(984),S(1757),SX(1802),S(1850),SX(1894),S(1493),SX(1446),S(2316),SX(3066),SX(2273),SX(2594),S(2513),S(2486),SX(2424),SX(2707),S(2626),S(2230),SX(2174),S(2391),SX(2328),SX(1370),S(1421),S(3690),SX(3601),C6H13(202),SX(346),SX(1141),S(1108),SX(1217),S(1183),S(3938),SX(3848),SX(1805),S(1760),S(1440)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,3.9728453074768035e-40,9.5156896455229836e-71,9.2103342986371606e-37,2.6551512047649627e-45,1.039104009097542e-69,-2.1723643856019654e-98,0.0,1.5600952430578561e-84,0.0,2.0007531638443763e-22,2.0007531638443763e-22,-3.373824198436558e-45,9.2103201838588451e-37,1.4097877940897414e-42,5.6076370081614593e-51,6.8626033422138837e-43,1.2065109279136913e-45,8.6900504566257512e-46,1.3300448221072151e-51,1.3405853108487238e-58,5.6520684265992679e-58,2.0692209966180074e-53,4.2399044594018141e-51,1.5010366719712125e-61,1.2315532948241723e-68,1.6217987645550925e-29,-3.010995490897583e-57,3.1471401251218059e-39,6.1315954870493017e-63,5.0307809032553463e-70,2.2025917275446546e-72,1.5632451647848752e-79,7.9834474634721524e-31,5.5837231536536307e-79,1.4749417222335602e-88,1.3187975778909633e-93,4.0004032034149205e-60,4.9626371858160765e-66,2.9719516141237458e-73,2.1087494874179377e-80,1.4848663004656748e-83,1.0534717861449361e-90,3.8199887872932899e-83,2.7101769429376961e-90,1.1651509569869143e-45,4.3552569905585404e-51,6.3922069046780861e-104,6.7897897519033697e-103,3.2320398599402397e-83,2.0498237579312386e-90,1.9896319978950613e-89,1.7038109244877645e-93,4.1092386872439398e-60,8.4978957768395957e-66,1.9340350433976813e-99,1.7948957073607053e-104,6.4062538386634687e-112,6.1677106251959163e-118,7.1970677795928834e-94,4.5634055730910677e-101,1.8515281955562673e-93,1.1739883998722994e-100,2.4055622715322621e-76,1.8415570611516642e-74,5.1098667512730246e-86,3.6253137583726927e-93,3.6253098685382481e-93,4.3056317704054206e-110,4.1153820429971911e-114,2.9897155006791566e-128,2.9490738137443303e-126,1.1076731339383677e-109,1.0587292104849794e-113,8.2582895159440872e-104,9.1591304497885564e-104,8.6998420349074223e-115,8.9031940877400299e-114,2.782489255830475e-135,2.444082603103185e-141,1.9947054834877342e-124,1.9820673606115936e-124,4.1191177523142895e-76,1.8916584092660138e-74,8.6417572178969158e-113,8.3209372987958082e-119,8.4002786825318004e-123,7.3789457206217953e-129,5.1316085350486392e-124,5.0990955198900616e-124,1.8701061701238776e-133,1.6426748274767417e-139,9.3797995154517153e-115
3.0000000000000002e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.6050523572965179e-39,1.4409104861872471e-69,6.052505395164284e-36,1.7448116131351272e-44,2.0961890911998385e-68,1.1611464122104509e-96,0.0,2.8086663966699693e-83,0.0,6.5739032525957814e-22,6.5739032525957814e-22,1.1020626212453694e-43,6.0524920869515924e-36,1.3292278219887917e-41,6.8893618434454572e-50,2.2571318678780513e-42,1.1381689962231473e-44,8.1934685386903985e-45,1.6340538264089853e-50,2.030027931933467e-57,8.5588230719003998e-57,2.5421847599267206e-52,3.9976208442488945e-50,2.272997602324487e-60,2.2167948468564556e-67,5.3021104603154247e-29,1.8086673719970714e-55,2.0678951545507327e-38,9.2849842383232456e-62,9.0554011984465826e-69,3.9646639105779359e-71,3.2604814395065081e-78,2.6244216946044391e-30,1.1643484684686926e-77,3.4977172298088816e-87,2.8596057788544663e-92,4.9147764900530848e-59,7.5148447871593488e-65,5.3495112876158671e-72,4.3982471332002872e-79,3.0970060168339778e-82,2.4982321737426582e-89,7.9674030279905483e-82,6.4269886715948218e-89,7.6400636857079611e-45,4.1062185322440796e-50,1.5686875131078327e-102,1.8041431595919582e-101,6.7411098899812957e-82,4.8610089083918607e-89,4.7182678577790438e-88,3.5659116435880587e-92,5.0483342613489085e-59,1.1539130544770337e-64,5.1390052484556226e-98,4.3628706302484455e-103,1.8852678911428212e-110,1.9912881875121708e-116,1.7067327968873897e-92,1.212561660679616e-99,4.3907657847536792e-92,3.119453883657458e-99,4.3300092242096328e-75,2.7886408713013041e-73,1.0657715789226353e-84,8.5971681582668195e-92,8.597157822427001e-92,1.2670854330862686e-108,1.0958842960666652e-112,1.0506708399589398e-126,9.5212896720923147e-125,3.2597225389356671e-108,2.8192879869616993e-112,1.9643318161555645e-102,2.4337104906226358e-102,2.3632500568614807e-113,2.6200816172327299e-112,9.7784560865844203e-134,9.2875084446795775e-140,5.8816142160611469e-123,6.3992433065897653e-123,6.7701985405426304e-75,2.8644374542590971e-73,2.543144217458458e-111,2.6864699660508756e-117,2.7120886181035698e-121,2.5931708972180121e-127,1.5131126856000712e-122,1.6462787050781432e-122,6.5720843400997197e-132,6.2421552441031853e-138,2.569855678233895e-113
7e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.3960660133522093e-38,2.3787832035701193e-67,3.2894051023120961e-35,9.4825998455051663e-44,3.1315910309171986e-66,4.2467575537827508e-94,0.0,1.5630339860963084e-80,0.0,1.4576915907939706e-21,1.4576915907939704e-21,3.4750954127331326e-43,3.2893836076304261e-35,2.1468945402747142e-40,3.4846094522907744e-48,5.0536369880935842e-42,1.8377002522270828e-43,1.3233580518218802e-43,8.2651969215324961e-49,3.3525793673536408e-55,1.4134400499975914e-54,1.2858663056272747e-50,6.456713638849538e-49,3.7538577852370997e-58,1.2341809937255833e-64,1.1588993049638332e-28,3.4857893926643425e-54,1.123783075524853e-37,1.5334160638740285e-59,5.0415148085351914e-66,2.2072990643379698e-68,6.2695845984279225e-75,5.8274865021848088e-30,2.2367221051890282e-74,2.3665152894228252e-83,1.5615886056969477e-88,2.4859346744931116e-57,1.2410693808456084e-62,2.9783032121539435e-69,8.4573959446026783e-76,5.9552546503074771e-79,1.6902800893481519e-85,1.5320575315606762e-78,4.3484393087428349e-85,4.0943631071735153e-44,6.6297382149606092e-49,3.027898790786361e-98,4.3578020745158707e-97,1.2962527898230893e-78,3.288913464088742e-85,3.1923258214012825e-84,8.1232645521898241e-89,2.5525676632293865e-57,1.5792410572595387e-62,1.2413006429532238e-93,7.3616619268414807e-99,1.6446709937424073e-105,6.3337358315566874e-111,1.1547625229559744e-88,2.9288887247578455e-95,2.9707589756342529e-88,7.5349020207509066e-95,2.4106868937048272e-72,4.6054006843228526e-71,2.0493658641318501e-81,5.8167406570552032e-88,5.816715691467899e-88,1.105387130219552e-103,3.0404313115955326e-108,1.2280784398010219e-120,3.0284523711922804e-119,2.8437351172813738e-103,7.8218581129569782e-108,1.5751399783338389e-98,5.878485063871546e-98,1.4273670139528609e-108,2.2857162200271605e-107,1.1429515461816058e-127,4.0157828400436938e-133,5.8948527149485927e-118,2.0354298708832725e-117,3.0688013164477498e-72,4.7288514481183892e-71,2.2185894866836433e-106,8.5448836660881791e-112,8.6264155600260206e-116,3.0310356264528519e-121,1.5165184412244684e-117,5.2363767102025264e-117,7.6818038817056102e-126,2.6990181194825723e-131,1.77725750811679e-108
1.5e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,6.0360810341231953e-38,9.3276005929835078e-66,1.4552328145125139e-34,4.1950493232796282e-43,1.2215282039431374e-64,3.2834333130929673e-92,0.0,1.2392005163269702e-78,0.0,3.0582941218624698e-21,3.0582941218624698e-21,2.4495501097477153e-42,1.4552128241977969e-34,1.9966379457011989e-39,6.7014623733166966e-47,1.1009233817160451e-41,1.7090511285862731e-42,1.2307313855362221e-42,1.5895941535100755e-47,1.3152789721772796e-53,5.5449328491230566e-53,2.473042960665294e-49,6.0047923376516437e-48,1.4727167382546194e-56,9.789874017442233e-63,2.3676892899785039e-28,6.2486748749181743e-53,4.9714965790582538e-37,6.0159111848740373e-58,3.999072670249312e-64,1.7509006095365675e-66,1.0003952090307562e-72,1.2257109438588919e-29,3.5682638732866488e-72,7.5746929675338403e-81,7.5668289944512745e-86,4.7810293390557906e-56,4.8689286444124373e-61,2.3624858968591798e-67,1.3494894691336519e-73,9.5024355887988171e-77,5.4102352643497745e-83,2.4446104939347561e-76,1.391845046458887e-82,1.7702526768856901e-43,6.1623545662382523e-48,2.9373231106184489e-95,2.7939040895036986e-94,2.0683513539082641e-76,1.0527133549424503e-82,1.0217930164467269e-81,1.9587556844101101e-86,4.9066107722961402e-56,6.0877173407535163e-61,7.9583479285417964e-91,6.9607673985264159e-96,2.1104979602712687e-102,1.6261610116228149e-107,3.6961698715654735e-86,1.8778044586601771e-92,9.5088207343879055e-86,4.8308672469296436e-92,1.9122167081388159e-70,1.8067706156513126e-69,3.2700167887792293e-79,1.8618082256140812e-85,1.8617922195301129e-85,1.4184819263488265e-100,2.769354624543302e-105,6.3073044914437449e-117,7.7754037960371667e-116,3.6492073744725423e-100,7.1244822585972159e-105,7.6112258053572407e-96,3.7688548405693214e-95,2.7007098721804521e-105,2.9331232963966187e-104,5.8700620305998728e-124,4.1253154548945104e-129,1.0744589130978864e-114,5.2259090334616456e-114,2.391416676214267e-70,1.8542509365249447e-69,2.8469697570054118e-103,2.1938637433615167e-108,2.2148008109957762e-112,1.5567161076601203e-117,2.7641687330750748e-114,1.3444250203660184e-113,3.9453140890539054e-122,2.7726567144246929e-127,3.4499136899618678e-105
3.1e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.4086633932733764e-37,3.1810824675176484e-64,6.0656629747774776e-34,1.7485263809835815e-42,4.1762547628481239e-63,2.4450898428113043e-90,0.0,8.4695711408323466e-77,0.0,6.2594991839992309e-21,6.2594991839992286e-21,2.0060864234057482e-41,6.0654942592045333e-34,1.6851355758446539e-38,1.1392804626896744e-45,2.5888914460533377e-41,1.4424148664314586e-41,1.0387080618292646e-41,2.7026018585509565e-46,4.4899590465384044e-52,1.8926976494021423e-51,4.2046804806441379e-48,5.0679150845441991e-47,5.0274630787733299e-55,6.6975735328984132e-61,4.6053838818314064e-28,1.0691081823628181e-51,2.0721809755366514e-36,2.0536720044797767e-56,2.7358966226362988e-62,1.1978598201561823e-64,1.3702328225620212e-70,2.5203336306512383e-29,4.886928364816935e-70,2.0760725253276033e-78,3.7707820348315766e-83,8.1285777162309032e-55,1.6620918848237419e-59,1.616269316620204e-65,1.848384269453153e-71,1.3015510696010239e-74,1.4828497435627358e-80,3.3483893402856885e-74,3.8148009646472624e-80,7.064084954351506e-43,5.1956632176566259e-47,2.9274552219842569e-92,1.5319004976011217e-91,2.833026392222993e-74,2.8853038086471518e-80,2.8005312149822267e-79,6.3113645282606021e-84,8.3339481086485748e-55,2.0679152970227092e-59,4.3636092435112576e-88,6.9546035510171707e-93,2.3146655402400149e-99,3.5671836174890103e-104,1.0130629871392716e-83,1.0296186476668778e-89,2.606220675010268e-83,2.648812009708295e-89,1.3081984513428688e-68,6.1676709927759204e-68,4.4788659631193868e-77,5.1028346610080627e-83,5.1027468997654853e-83,1.5557294825629524e-97,3.3167627237422935e-102,2.7672598509479978e-113,1.7056192529563803e-112,4.0022924474102627e-97,8.5327523505028061e-102,4.9024604796149901e-93,2.0664669969369461e-92,5.3965229730125152e-102,3.2169020160241468e-101,2.5753911647889692e-120,3.6198842787448267e-125,2.5734208777992793e-111,1.146378275919887e-110,1.6277288393067289e-68,6.3236667966233685e-68,3.1223829140201266e-100,4.8125088958846126e-105,4.8584525824215617e-109,6.8299407302751302e-114,6.6204202328708462e-111,2.9491895835959061e-110,1.7309680735608179e-118,2.432991289716272e-123,6.8765548634382035e-102
6.300000000000001e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,9.0410666982554611e-37,1.0431615413674158e-62,2.4717905380664779e-33,7.1249914694567822e-42,1.373276901658097e-61,2.0472689397222179e-88,0.0,5.5581067839414215e-75,0.0,1.2661909308271786e-20,1.2661909308271778e-20,1.6418641564379889e-40,2.4716524574357408e-33,1.3791528819036526e-37,1.8687224911471964e-44,7.9667294620146288e-41,1.1805069048822744e-40,8.5008135879599319e-41,4.4336929349049083e-45,1.4749247541140645e-50,6.2162676093715359e-50,6.8980695783049896e-47,4.1476166365566597e-46,1.6515308681042031e-53,4.4028985306953564e-59,8.4608940928658206e-28,1.7664298855467403e-50,8.4441826100159828e-36,6.746350303033733e-55,1.7985431813390181e-60,7.874725300584258e-63,1.8020989641879287e-68,5.1395523630717378e-29,6.4268461044116319e-68,5.4615489341987506e-76,1.9226405110865487e-80,1.3334995080447711e-53,5.4598010766033321e-58,1.0625347529811492e-63,2.4309528530055987e-69,1.7117979970808121e-72,3.9010136543226184e-78,4.4037965934202454e-72,1.0035804855370462e-77,2.6515430315892822e-42,4.2445525013581674e-46,2.9852294424007597e-89,8.0604773794607431e-89,3.7259924786239151e-72,7.5905407264826919e-78,7.367391126096058e-77,2.7389290691264615e-81,1.3648077864707843e-53,6.774745903481383e-58,2.2960623277580232e-85,7.1403441333313457e-90,2.4358944202673967e-96,7.5081612780257337e-101,2.665163347210447e-81,5.4177682576651728e-87,6.856438253447286e-81,1.3937829952916866e-86,8.599776342634905e-67,2.0259852309191886e-66,5.8903763661588238e-75,1.3424032686472589e-80,1.3423570911773896e-80,1.6372617214558136e-94,5.5302126695178757e-99,1.1649085817784396e-109,3.5899197800464699e-109,4.2120434793023484e-94,1.4227106093389527e-98,4.2533709182348194e-90,1.0873232589832734e-89,1.1081165824830792e-98,3.3854502280639541e-98,1.0841114442893814e-116,3.0475939314666728e-121,8.5807229845033631e-108,2.412928261563384e-107,1.0671349681255796e-66,2.0736543166230888e-66,3.2859153693449007e-97,1.0129305393222166e-101,1.0226071311046762e-105,2.875156951503035e-110,2.2074893598883519e-107,6.2075347660519412e-107,7.2867453400778264e-115,2.0484094194566517e-119,1.4024372093388158e-98
1.2700000000000001e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,3.1453561010126317e-36,3.3681593814526423e-61,9.9747917562261029e-33,2.8749761119219475e-41,4.4491316426861526e-60,2.4438436116600751e-86,0.0,3.589933937266877e-73,0.0,2.5466729556812944e-20,2.5466729556812911e-20,1.3302411408008741e-39,9.9736754672800149e-33,1.1149521216734442e-36,3.0230446220177968e-43,3.8045983207624682e-40,9.5436377859505372e-40,6.8720001981748641e-40,7.1747047094643918e-44,4.7756912391559251e-49,2.0120468775904334e-48,1.1163183049995415e-45,3.3529428107449359e-45,5.3477821783047621e-52,2.8519246175992007e-57,1.4295703383044508e-27,2.8705133669273576e-49,3.4075818406585793e-35,2.1845193799473258e-53,1.1649847321475374e-58,5.1009519708977898e-61,2.3348530410730656e-66,1.0468711326765207e-28,8.3265796530833776e-66,1.4152621759402758e-73,9.8544671467800741e-78,2.1578491264024103e-52,1.7677957410796779e-56,6.8827019817749497e-62,3.1496148740128521e-67,2.2179282178512502e-70,1.01091018543189e-75,5.7058746113639541e-70,2.6006823488960256e-75,9.2245933433561843e-42,3.4213421785367063e-45,3.0601313134679504e-86,4.1774571194318479e-86,4.8276641807323461e-70,1.9670232805754981e-75,1.9091269088161096e-74,1.3441363356425253e-78,2.2022422402423403e-52,2.1869119678080246e-56,1.1900073846858142e-82,7.3552010282745748e-87,2.5248327937076772e-93,1.5564674031029282e-97,6.906739120935838e-79,2.8080110792471123e-84,1.7768378201021403e-78,7.2239304214453955e-84,5.5702087620683556e-65,6.5596209632580276e-65,7.6314250848674217e-73,3.4785698732234395e-78,3.4783305551572258e-78,1.6971468114376167e-91,1.0712986792111403e-95,4.8297989595568688e-106,7.441845054019286e-106,4.3661047391910918e-91,2.7560386696484675e-95,4.1741565183859096e-87,5.635207492303795e-87,2.2829141830664946e-95,3.5091931880538356e-95,4.4945806534166367e-113,2.5269830740103371e-117,3.3243448237936655e-104,5.0022734111890395e-104,6.8911073212290772e-65,6.6951138108506894e-65,3.4058893178328711e-94,2.0998394768724739e-98,2.1199255257653106e-102,1.1920764727542729e-106,8.552258173616099e-104,1.2868922605403366e-103,3.0211756352050289e-111,1.6985922019501944e-115,2.8752436518621422e-95
2.55e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,9.8547757543239481e-36,1.0794202139079962e-59,4.0071004363201131e-32,1.154719415363288e-40,1.4320280502164451e-58,4.4548671166808812e-84,0.0,2.3010397987619815e-71,0.0,5.1076370053878712e-20,5.107637005387858e-20,1.0711100518004868e-38,4.0062029643126355e-32,8.9639700216492818e-36,4.859232248671999e-42,2.5322517760066512e-39,7.6729305993349167e-39,5.524399473205141e-39,1.1539959701683183e-42,1.5365764951870606e-47,6.4690462140623539e-47,1.7956943388941921e-44,2.6954977082798353e-44,1.7208100220547972e-50,1.8354229106241173e-55,2.1397857797724714e-27,4.6279485979590569e-48,1.3688863507602619e-34,7.0293491933562177e-52,7.4975321824025197e-57,3.2830859377381978e-59,3.0054701377754129e-64,2.1347882434277846e-28,1.0717942152311949e-63,3.6433492812431763e-71,5.051735451770049e-75,3.4705799442222432e-51,5.6875980668588282e-55,4.4298598038357373e-60,4.0542481337813904e-65,2.8551469717060762e-68,2.6025827155499677e-73,7.345192910270535e-68,6.6954424199259632e-73,2.8901538496452596e-41,2.7393717646505265e-44,3.1374429227504806e-83,2.1507429234187674e-83,6.2146724962270454e-68,5.0641298768681333e-73,4.9147192088789729e-72,6.8235185008348377e-76,3.5278779968254952e-51,7.0079273835394437e-55,6.1270824899416965e-80,7.5621528339334755e-84,2.5996515357542555e-90,3.2051781826793003e-94,1.778251798315622e-76,1.4458648675314757e-81,4.5747566171288609e-76,3.7196531315067832e-81,3.5845988602189569e-63,2.1103403706233932e-63,9.8225209150012877e-71,8.9548647500021508e-76,8.9536326687080204e-76,1.7476493085167135e-88,2.1676314090037954e-92,1.9891626163371877e-102,1.5324038066253116e-102,4.4960282037262451e-88,5.5764803056709218e-92,4.2378710719954328e-84,2.9012583720975808e-84,4.6942837238420358e-92,3.6134562551605981e-92,1.8509217538889968e-109,2.0812773384365442e-113,1.345256795169125e-100,1.030178242628646e-100,4.4169862874757067e-63,2.1454236814548884e-63,3.5068164574837141e-91,4.3241249558721309e-95,4.3655915181149282e-99,4.9097083747300387e-103,3.4608273312739549e-100,2.6502519530635112e-100,1.244306008384576e-107,1.3991654996045826e-111,5.8957679704029775e-92
5.11e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.7169865533111307e-35,3.4468229284598233e-58,1.606242640418059e-31,4.6268971956653517e-40,4.5947198721468136e-57,1.0270987832629284e-81,0.0,1.4692897651578072e-69,0.0,1.0229565104793824e-19,1.022956510479377e-19,8.5968102480194088e-38,1.6055230346796576e-31,7.1874341951992013e-35,7.7822968324876703e-41,1.925455158880486e-38,6.1523494145426326e-38,4.4286774020972167e-38,1.8505382150348576e-41,4.9285706398893641e-46,2.0719352206101824e-45,2.8801451718776075e-43,2.1609984480289272e-43,5.5205488785545468e-49,1.1775158268697047e-53,2.7610870088036555e-27,7.4327096003106422e-47,5.4870458765024842e-34,2.2550929584652901e-50,4.8100427932277032e-55,2.106583451395384e-57,3.8564632487363987e-62,4.3492632334171024e-28,1.375245125715611e-61,9.348737957161267e-69,2.5876745306988965e-72,5.5649559984819737e-50,1.8241385282908755e-53,2.8424078862553401e-58,5.2022008732692642e-63,3.6640507083419047e-66,6.6790213952321823e-71,9.4261905130086103e-66,1.7182548326729814e-70,7.96811525420046e-41,2.1862123575605516e-43,3.2141915159888627e-80,1.1036597668738457e-80,7.9753853683644915e-66,1.2996303956096601e-70,1.2611039771138108e-69,3.4893340775930555e-73,5.6311872286478195e-50,2.2374227377345902e-53,3.1444730704239319e-77,7.7588297289904578e-81,2.6677166500305077e-87,6.5781521898905884e-91,4.5641300980285958e-74,7.4211547381144591e-79,1.1741747932795785e-73,1.9091771363575111e-78,2.2994155595517007e-61,6.7677678465418029e-62,1.2601810678056251e-68,2.2977579634944325e-73,2.2971257592272021e-73,1.7938076877217105e-85,4.4298617469494287e-89,8.1648678537235833e-99,3.1447934524712272e-99,4.6147759281047484e-85,1.1396327206409678e-88,4.334164513469745e-81,1.4887888303061064e-81,9.6326844926883146e-89,3.7086167266634727e-89,7.5960618378322388e-106,1.7082732875004979e-109,5.4983934139209514e-97,2.1146002827267624e-97,2.8205627106504641e-61,6.8492032586864163e-62,3.5986331673455745e-88,8.8746239200525022e-92,8.9601257230970814e-96,2.0153655769200108e-99,1.4145247422013625e-96,5.4400529700972819e-97,5.1076911341151093e-104,1.1486652261365667e-107,1.2079986849982087e-88
1e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,6.4410984501767038e-35,1.0517074429785446e-56,6.2149702938463188e-31,1.788906979969633e-39,1.4076796367360294e-55,2.4446464053617534e-79,0.0,8.9544035176815749e-68,0.0,2.0013248075892748e-19,2.0013248075892539e-19,6.6178222538145926e-37,6.2094354046259312e-31,5.5282510962328497e-34,1.1902531918299296e-39,1.4614530008844805e-37,4.7322452160385452e-37,3.4050221217100058e-37,2.8374675800462087e-40,1.5092873300036496e-44,6.3265936717805846e-44,4.4179730256971549e-42,1.6617732194885537e-42,1.691211710855353e-47,7.2071885454934973e-52,3.0932921311612853e-27,1.1412842080673833e-45,2.122988879204259e-33,6.9084427488582026e-49,2.9440695431551503e-53,1.289761169560434e-55,4.7192815209128118e-60,8.6205783360821915e-28,1.6828861041664335e-59,2.2870365729735675e-66,1.2648564000147765e-69,8.5318752900246208e-49,5.5853525371252591e-52,1.7402715861839815e-56,6.3661054872580021e-61,4.4849804510017811e-64,1.6343502814302167e-68,1.1538126402067021e-63,4.2045535073268461e-68,1.8889441651440748e-40,1.6745676542503546e-42,3.142004064403765e-77,5.3988521808391532e-78,9.762287709042713e-64,3.1802819328936099e-68,3.0851126805983942e-67,1.7055284932197279e-70,8.5985620477844747e-49,6.822952965979248e-52,1.5384316964972534e-74,7.590800243776555e-78,2.6092144436077795e-84,1.2867299329503163e-87,1.1171287026608501e-71,3.631625506688627e-76,2.8739416636466881e-71,9.3427729728599096e-76,1.4071052437068197e-59,2.0720815673832083e-60,1.5417122661716074e-66,5.621182602753123e-71,5.6180905083451535e-71,1.755129811270113e-82,8.6586360732100435e-86,3.194121594413181e-95,6.150848046952551e-96,4.5152726607906933e-82,2.227533398956554e-85,4.2366690095363637e-78,7.2828154373853026e-79,1.8847450920929451e-85,3.6283192739636181e-86,2.9707011412414179e-102,1.3361309085329599e-105,2.1493819072488645e-93,4.1374657924196231e-94,1.7189807606981038e-59,2.0885721249853353e-60,3.5197159609531671e-85,1.7359348223221617e-88,1.7527922311931391e-92,7.8847689372206719e-96,5.5295313779528869e-93,1.064411024205821e-93,1.9982892086992564e-100,8.9876959420841608e-104,2.3616833914551613e-85
