Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),H2(190),C4H7X(141),C4H7(69),C4H6(54),C2H5(67),C4H7(373),C2H6(343),C4H5X(454),C2H3(53),C4H7X(140),C4H7(68),C4H7X(145),C4H8(73),C4H7X(541),C4H9(85),C4H9X(153),C4H6a(453),C6H10(458),C4H5X(455),C4H8(187),SX(1011),C6H9(1002),SX(1012)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,3.9728450822055583e-40,9.8669300920014319e-72,8.7672755605416595e-34,2.6551512193619216e-45,1.2169144657537859e-73,3.1317428130338586e-95,0.0,3.964603464821146e-84,0.0,1.9045078872619917e-19,1.9045078872619912e-19,1.0189624117639447e-39,8.7672512027180925e-34,1.3419688566473243e-39,1.0933970338818707e-39,1.0386967816706719e-42,5.3378772719459789e-48,2.7667170643434759e-51,5.2789913508932802e-54,2.9950952025722474e-36,8.2720094195034347e-43,1.2660621710078187e-48,1.2760956028424051e-55,1.6217986724695301e-29,5.3801712824704506e-55,1.1651508768876291e-45,4.0360661626837683e-48,5.8692968726245921e-58,3.3856212210500541e-58,5.9408114275344723e-59,7.9834474632484351e-31,2.9495122167614796e-76,7.4400979159463643e-82,2.579581902317572e-76
3.0000000000000002e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.9877290238809929e-39,1.8054019145635869e-70,4.4015301770364208e-33,1.332991841991215e-44,5.6251586068398816e-72,2.6249343823488139e-93,0.0,3.0970104801650016e-82,0.0,4.7029684551384547e-19,4.7029684664503869e-19,3.0830297137923587e-38,4.4015096035862323e-33,1.1338251066153418e-38,9.2390183983082997e-39,4.6745872353279938e-42,6.7757977354345469e-47,1.0068268704355105e-49,6.7021098680229122e-53,1.5036597157513638e-35,6.9889887511629461e-42,1.6071209275755661e-47,2.2657173771648791e-54,3.9842025616980451e-29,9.5524993280724658e-54,5.8295857090886349e-45,3.4100611615774663e-47,7.4515508500872442e-57,4.2983221389721614e-57,7.542344400909799e-58,1.9724211077049672e-30,5.2377770425265776e-75,1.7585971726618248e-80,4.5808544453360621e-75
7e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.2077410828738548e-38,2.792069144365177e-68,2.7089092203171911e-32,8.2038033593623438e-44,4.2182401641070318e-70,3.331055938759481e-90,0.0,6.5007863949532687e-80,0.0,1.2321000004185883e-18,1.2321000015497816e-18,2.0141674190404251e-37,2.7088770610528912e-32,1.7719308158897064e-37,1.4437463008724195e-37,5.1022203873493138e-41,2.8869048769758062e-45,2.3128486615942055e-48,2.8552211756940115e-51,9.2542267626776053e-35,1.0922283049452285e-40,6.847494013793072e-46,2.7833610412024449e-52,1.029704920509581e-28,1.1734586611514103e-51,3.5420468743687661e-44,5.3292267960834374e-46,3.1744967178716409e-55,1.8311637130424075e-55,3.213176409818118e-56,5.1742304427820689e-30,6.4334795782120044e-73,6.5089223100723475e-78,5.6266298660775161e-73
1.5e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,5.6043541959909804e-38,2.1122831336875087e-66,1.285747795384082e-31,3.8937780586563635e-43,1.8796506401368858e-68,5.1001470633336305e-88,0.0,4.2564106780452973e-78,0.0,2.7557063102277366e-18,2.7557063113589293e-18,1.9080824396358468e-36,1.2857160033190505e-31,1.7515879447041508e-36,1.4271683210011977e-36,4.704308087869828e-40,5.8619812321105591e-44,4.9280193931182707e-47,5.7978906273593939e-50,4.3923927383392965e-34,1.0796821951539684e-39,1.3904683486115231e-44,1.1490237089218747e-50,2.243487059917173e-28,4.844036122962265e-50,1.643637678380621e-43,5.2680711713133508e-45,6.4462203221625618e-54,3.7184113859157829e-54,6.5247643088380066e-55,1.1601439458715174e-29,2.6558357219000932e-71,5.4245252009760065e-76,2.3227801441770803e-71
3.1e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.3204325306522292e-37,2.1601527663887255e-64,5.5598840589378598e-31,1.6837224197775824e-42,6.9797700839620553e-67,1.6550316056645139e-85,0.0,3.3824661500534022e-76,0.0,5.8029189298433897e-18,5.8029189309745808e-18,1.7043890106963256e-35,5.5596051302649045e-31,1.536735587395588e-35,1.2521121600323667e-35,4.0611935397433664e-39,1.036457950054534e-42,9.0464135845210824e-46,1.0252234197793334e-48,1.8993741237027588e-33,9.4723524677515261e-39,2.4586860790270844e-43,4.0799754950224667e-49,4.4904230560050703e-28,1.7198731178840366e-48,6.8053444970548592e-43,4.6219293699326591e-44,1.139865593890166e-52,6.5751541072980925e-53,1.1537542680814105e-53,2.4543197706539161e-29,9.4303375265820073e-70,3.8602955401087774e-74,8.2478934339699836e-70
6.300000000000001e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,8.8752025999496031e-37,2.6524551335552901e-62,2.3085846537670399e-30,6.990839776587096e-42,2.3977409774873603e-65,4.7707348349743089e-83,0.0,2.399947476780421e-74,0.0,1.1897344169053782e-17,1.1897344170184968e-17,1.44289450840273e-34,2.3083515380349989e-30,1.2843264699218751e-34,1.0464551486821897e-34,3.381118586602085e-38,1.7377867268598298e-41,1.5468052655316377e-44,1.7192752711506082e-47,7.88659258438577e-33,7.9163240771091319e-38,4.1230370036033129e-42,1.3706272268228665e-47,8.3618560513738831e-28,5.7766917419410881e-47,2.602934850149491e-42,3.8628568981498868e-43,1.9115274682172996e-51,1.1026376926813364e-51,1.9348183744630276e-52,5.0727685653505991e-29,3.1679901569961956e-68,2.5957748936305615e-72,2.7708781862510748e-68
1.2700000000000001e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,3.1170232648490902e-36,3.4150091792241947e-60,9.4048530375229355e-30,2.8476937619613819e-41,7.9435444136533583e-64,1.2956765239821132e-80,0.0,1.6144006622308027e-72,0.0,2.4086194647308232e-17,2.4086194648439394e-17,1.1873486763641787e-33,9.4029479951971504e-30,1.049560094324218e-33,8.551734808428816e-34,2.7606969227273854e-37,2.8436108604451218e-40,2.556926567502859e-43,2.8143804441705534e-46,3.2128707839856952e-32,6.4689576265497546e-37,6.7488470843852413e-41,4.4905527968358253e-46,1.4220762388343929e-27,1.8919151998069966e-45,9.1420902952638376e-42,3.1568857968463564e-42,3.1290891081192255e-50,1.8049709731561332e-50,3.167215101921466e-51,1.0400762322260672e-28,1.03789495456649e-66,1.7015068406113618e-70,9.0786781254886884e-67
2.55e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,9.812184862079988e-36,4.4152052588629997e-58,3.7961692615569536e-29,1.1492186863287376e-40,2.5857357247246587e-62,3.4157343302636499e-78,0.0,1.058642041234777e-70,0.0,4.8463895602490295e-17,4.8463895603621362e-17,9.6331181226941268e-33,3.7946293259119976e-29,8.4840592521829546e-33,6.912797049303815e-33,2.2314848436180541e-36,4.5973237604502879e-39,4.1577277009014299e-42,4.5534930454217092e-45,1.2968271802895554e-31,5.2286361818141464e-36,1.0917964343186285e-39,1.4534788281576695e-44,2.1352247829753328e-27,6.1192019440866631e-44,2.8786186268713099e-41,2.5520714419487101e-41,5.0626721489220368e-49,2.9203311124967433e-49,5.124356903544678e-50,2.1278515112755154e-28,3.3592342082961068e-65,1.1016144310183327e-68,2.9388722512821652e-65
5.11e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771411,0.67000000000000004,2.7115459405925542e-35,5.6878692927731441e-56,1.5253257707573345e-28,4.6158552411216894e-40,8.3436541423687339e-61,8.8700281824683022e-76,0.0,6.8547666886544163e-69,0.0,9.7219297502254869e-17,9.7219297503385639e-17,7.7606289611574277e-32,1.5240878055882809e-28,6.8203493959975349e-32,5.5572892461017038e-32,1.7944609193695474e-35,7.3834612685423823e-38,6.7060872583867359e-41,7.3240726724377745e-44,5.2106238813556467e-31,4.202491432006662e-35,1.7556996203222407e-38,4.6755504246965825e-43,2.7590919098864518e-27,1.965567399604326e-42,7.9675332924422207e-41,2.0519772464257344e-40,8.1430625588350936e-48,4.697210928585755e-48,8.2422771156685033e-49,4.3422024194961741e-28,1.0804885249602057e-63,7.0871792926072954e-67,9.455901859418944e-64
