Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),H2(190),C4H7X(141),C4H6(54),C2H6(343),C4H7(69),C2H5(67),C2H3(53),C2H2(37),C4H5X(379),C4H5X(380),C4H6a(378),C6H10(383),C6H9X(683),C6H9(674),C6H9X(684),C6H9X(578),C6H8(592),C6H7X(962),C6H7X(600),C6H7X(963),C4H7X(140),C4H7(68),C4H7X(145),C4H7X(146),SX(1187),C8H10(601),SX(1779),S(1778),S(1783),S(2209),SX(1208),S(4046),S(2202),SX(5031),C8H8(5307),S(1704),SX(1780)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4463197358145672e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.2151745880410936e-51,5.887282225890201e-78,1.7457519875638069e-34,5.5541024063846386e-49,5.6283030706981724e-79,1.9863137263873406e-103,0.0,3.2882018819159134e-89,4.9181095536569933e-121,2.6220221203888185e-18,2.6220221203888193e-18,9.9824594864685215e-40,1.745721976209826e-34,2.9973888802580648e-39,1.0969844075840128e-52,3.8647236415768975e-42,1.0936219840193388e-44,5.9638742927621905e-37,8.4044565298899229e-38,1.9923687741192619e-52,2.2421493842080678e-57,2.3271029128818536e-59,1.3423565337370144e-59,1.6100314795409086e-76,5.8739084310127062e-84,1.4080964704372e-76,1.3265258102246038e-68,6.6056649422198712e-75,2.1640532627215037e-85,1.0243885900797912e-92,5.1219429603928554e-93,2.3822515413134553e-45,5.2734641026529152e-53,7.6875594769746579e-62,4.985321649215896e-78,1.4408345739275843e-101,1.3334056309720828e-90,3.7950228905558173e-101,9.540889182472005e-106,3.5051000863014763e-107,1.0426296651240026e-111,1.7964336715503078e-108,2.5797785698962793e-119,3.3524070169210923e-112,2.0184478753794809e-123,1.9615799834333585e-125,2.2870400771369049e-109,1.796433675054229e-108
4.0496952602807883e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,3.8206422130662668e-50,2.4530675203802006e-76,1.0544342004761649e-33,3.3546777301438724e-48,2.6886795909613235e-77,2.3436755039177861e-101,0.0,2.5372940462527651e-87,1.9511268083508905e-118,7.341661937088688e-18,7.3416619370886865e-18,1.5085494776511534e-38,1.0543985715383115e-33,3.5584843588276649e-38,3.4490947597849301e-51,4.588130158272195e-41,3.9839116227225726e-44,3.6021800332092919e-36,5.0762917440535093e-37,4.4568304447829157e-51,5.015577320238072e-56,5.2056141639037032e-58,3.0027851997214017e-58,6.6438124234632119e-75,4.42171353031647e-82,5.8105255853183096e-75,5.4739211142645429e-67,4.9759152068061296e-73,2.9558889600765442e-83,1.3992164479664225e-90,6.9960822645035806e-91,2.8281659837395188e-44,1.1796356710017101e-51,3.1722479285023005e-60,3.7527731587206365e-76,3.55688324164244e-99,2.9716431994800098e-85,1.5223775322261291e-95,3.8268908522941635e-100,1.4059933510920867e-101,7.5276665615706251e-106,7.2064130686450018e-103,3.352435599385051e-113,2.4203995965619357e-106,2.6030921484902861e-117,4.5535563676275473e-119,1.0185398698366958e-106,7.2064130939548171e-103
9.256446309213231e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,8.5233524332766146e-49,1.0121369617677143e-74,5.0766467796499216e-33,1.6151327951113531e-47,1.3999473984015649e-75,3.2042938438693866e-99,0.0,2.7651843046452606e-85,1.7519713210631952e-115,1.6780941570488355e-17,1.6780941570488352e-17,1.622828695511588e-37,5.0762969840967715e-33,3.4936432916043376e-37,7.6947406929161812e-50,4.5045056616044679e-40,1.8192102938116932e-43,1.7342946106196899e-35,2.4440159588919789e-36,8.8057103511172372e-50,9.9096704867399909e-55,1.0285141221978995e-56,5.9328388286165402e-57,2.6281571574700257e-73,3.4960251361801967e-80,2.2985259738547498e-73,2.1653701159069889e-65,3.9353385140107671e-71,4.6708199908439439e-81,2.2110059687436597e-88,1.1055029921619892e-88,2.7766189578830038e-43,2.3306871229831224e-50,1.254870374040119e-58,2.9671124536354988e-74,1.1231024088184552e-96,1.1742507305926194e-83,1.2183618057955877e-93,3.0618535364531555e-98,1.1250710513966322e-99,1.2120865251337567e-103,5.7673068752944106e-101,1.0828122595342312e-110,3.8972691476716526e-104,8.2663337367311247e-115,2.896591045749814e-116,6.4279164367018044e-104,5.7673069160584479e-101
1.9669948407078116e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,1.596220423405365e-47,4.2326891956649829e-73,2.2171050240141966e-32,7.0537081493180584e-47,5.5864816847520661e-74,6.0265224728122043e-97,0.0,2.2619563068569921e-83,1.1663661671381636e-112,3.5659500837287074e-17,3.5659500837287067e-17,1.4916591471596076e-36,2.2167956542135378e-32,3.0898908194940165e-36,1.4411397725187055e-48,3.9839214629875006e-39,1.1824318731435648e-42,7.5741201234080911e-35,1.0673659792959988e-35,1.566832666407324e-48,1.763264383113005e-53,1.830073282294996e-55,1.0556519929169355e-55,9.3791376466165411e-72,2.4986623898575532e-78,8.2027797718870035e-72,7.7275706659498127e-64,2.8130292920303979e-69,6.6819714095538833e-79,3.1630160430679349e-86,1.5815080438302205e-86,2.4557258457212336e-42,4.1470680382809306e-49,4.4782613661791146e-57,2.1206354744968289e-72,3.2144244948251827e-94,4.1159357575309543e-82,8.5562168658209527e-92,2.1491160706425393e-96,7.8989893018457045e-98,1.7030808257076205e-101,4.050219546657121e-99,3.0434945260582353e-108,5.4759842669131415e-102,2.247908761903253e-112,1.5757913274989381e-113,3.6800576068380498e-101,4.0502196039641774e-99
4.0496952602807887e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771417,0.67000000000000004,2.7566965534694324e-46,2.2852171285026207e-71,9.2559770363363865e-32,2.9447833803647191e-46,1.9852806728742539e-72,1.460953617923104e-94,0.0,1.6277503473372402e-81,6.773994345715294e-110,7.3416619370879481e-17,7.3416619370879481e-17,1.2761457814258294e-35,9.2533769399514388e-32,2.5968993045157724e-35,2.4892105706465872e-47,3.3482840508398435e-38,9.0827818297398296e-42,3.1620459958885978e-34,4.4560428521472726e-35,2.642357651374308e-47,2.9736264968890924e-52,3.0862952016026958e-54,1.7802859108552075e-54,3.1686030001598082e-70,1.6896372857645678e-76,2.771188621982328e-70,2.6106367120824543e-62,1.902340708529993e-67,9.0411530786860938e-77,4.2797716541403544e-84,2.1398858874191324e-84,2.0639127657513793e-41,6.9937416804250089e-48,1.5129128177688502e-55,1.4340076666308214e-70,8.700410500607559e-92,1.3764113247248275e-80,5.7266497735679187e-90,1.4368752595850791e-94,5.2839978757411133e-96,2.2781434709322761e-99,2.7107995139773139e-97,8.1395527383536507e-106,7.3250115756450249e-100,5.6450585446921768e-110,7.9156184613505288e-111,1.9923462181688513e-98,2.710799590715592e-97
8.2150960994267425e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.273322825837714,0.66999999999999993,4.5790391764575239e-45,1.8864923886973647e-69,3.7813686336799703e-31,1.203039345433768e-45,6.6853395033520581e-71,3.8069887108346032e-92,0.0,1.1030765116923861e-79,3.6885969683900015e-107,1.489308564380235e-16,1.489308564380235e-16,1.0551419708075679e-34,3.7792374801729281e-31,2.1285341258441043e-34,4.135860591620453e-46,2.7444010155292732e-37,7.2752315001615276e-41,1.2917989180653316e-33,1.8204389021996738e-34,4.3389742383937418e-46,4.8829456344918418e-51,5.0679571574516753e-53,2.9233796947052622e-53,1.0415055130718531e-68,1.1112226612065902e-74,9.1087768577068574e-69,8.5809872645643026e-61,1.2511453143563191e-65,1.1895021596934157e-74,5.6306949320373549e-82,2.8153476248324738e-82,1.6916732240224982e-40,1.1484303479901316e-46,4.9728742223303438e-54,9.4310254633879479e-69,2.2895853883769767e-89,4.5003610723112979e-79,3.7461247055400469e-88,9.379567986629469e-93,3.4529408326135237e-94,2.9747745510487873e-97,1.7732868509569196e-95,2.1236894175343695e-103,9.5649328416505105e-98,1.3128818210502408e-107,3.6824862966175072e-108,1.0486604119599773e-95,1.7732869513722149e-95
1.6545897777718651e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771372,0.66999999999999982,7.4609059754382766e-44,2.0908702743925376e-67,1.5284896600032898e-30,4.8628713093424513e-45,2.1931244806995504e-69,9.9554112076273824e-90,0.0,7.2596549317342027e-78,1.9463062923722704e-104,2.9995933057198324e-16,2.9995933057198324e-16,8.580238630221744e-34,1.5267647071804586e-30,1.7228331736189557e-33,6.742496599033927e-45,2.2213144570329252e-36,5.8573885325297529e-40,5.2216573970507652e-33,7.3585051058222714e-34,7.0300750752180443e-45,7.9114261759519112e-50,8.2111847956154693e-52,4.7365062795950639e-52,3.3763981787218838e-67,7.2063915282456235e-73,2.9529263200802701e-67,2.7817845213095083e-59,8.1138336631821539e-64,1.5429824410413727e-72,7.3039488411552752e-80,3.6519748326173886e-80,1.3692371338665435e-39,1.8607031888207244e-45,1.6121281935015209e-52,6.1161161378433221e-67,5.9402641131187502e-87,1.454991414496755e-77,2.4227174233524193e-86,6.0405076627340618e-91,2.2284396330074207e-92,3.8319453949086523e-95,1.1468312041878574e-93,5.4601643509152254e-101,1.2321070010822268e-95,2.7745362058732153e-105,1.5567894337945528e-105,5.4415874429911864e-93,1.1468313340818471e-93
3.3207501134302466e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771311,0.66999999999999948,1.2036213563056079e-42,2.5818525588749131e-65,6.1459896925139528e-30,1.9553342809840705e-44,7.1000197719878209e-68,2.5823692628099858e-87,0.0,4.7077718868173076e-76,1.0108065193711663e-101,6.0201627883726709e-16,6.02016278837267e-16,6.9202722587639426e-33,6.132120406824557e-30,1.3852245446296359e-32,1.088915000905009e-43,1.7860223199139784e-35,4.7076785669816302e-39,2.0996051762836079e-32,2.9588225391580964e-33,1.1310171710449494e-43,1.2728112772442675e-48,1.3210372434292578e-50,7.6202172461517395e-51,1.0866574961106427e-65,4.6391357106880245e-71,9.5036965476875188e-66,8.9526333509776857e-58,5.2232095960539253e-62,1.9866781476069139e-70,9.4042508396135439e-78,4.7021264808930996e-78,1.1009179450914935e-38,2.9935437379237053e-44,5.1884639097407554e-51,3.9372700989171201e-65,1.5297265513721654e-84,4.6759766442020313e-76,1.5573499211659054e-84,3.8505236478310363e-89,1.4265019056110108e-90,4.8857159185788988e-93,7.3719587183595865e-92,1.3866304626452169e-98,1.5709407772942798e-93,5.2038505168233641e-103,5.8415047657405222e-103,2.8026568280493744e-90,7.3719603883851733e-92
6.65307078474701e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771189,0.66999999999999893,1.9305653991305175e-41,3.2769893519171362e-63,2.4648167488220618e-29,7.8417258331359003e-44,2.2818688513853772e-66,6.6509133939335676e-85,0.0,3.0284573806998621e-74,5.2045572487160478e-99,1.2061301753467163e-15,1.2061301753467163e-15,5.5587373527353875e-32,2.4537109366229262e-29,1.1092169322251441e-31,1.7503990582076864e-42,1.4301547923155876e-34,3.7762432757690726e-38,8.4203534442594087e-32,1.1866201747559274e-32,1.8118365803183659e-42,2.038984095282227e-47,2.1162398440023826e-49,1.2207231428567151e-49,3.482023389467525e-64,2.9732834822970936e-69,3.0453233957613518e-64,2.8685761405023884e-56,3.3474603613571306e-60,2.5465414258240818e-68,1.2054448258912092e-75,6.0272268497530951e-76,8.8155619359161369e-38,4.7955018025267726e-43,1.6625637209901429e-49,2.5234520779390001e-63,3.9216833157591005e-82,1.4970227733444851e-74,9.9723779786375153e-83,2.4251995785966807e-87,9.0590626422993705e-89,6.1549196517839861e-91,4.7205795645353013e-90,3.4651734038091914e-96,1.9790599545261445e-91,8.5742144917728836e-101,1.9256826758156398e-100,1.4370185964467819e-87,4.7205817033767638e-90
