Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C2H2(37),C4H6(54),C4H7X(141),C4H5X(381),C4H5X(374),C2H6(343),C4H7X(140),C4H7X(142),C4H7X(143),H2(190),C4H6a(380),C4H5X(577),C2H5(67)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1983544366708838e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,4.7020487382192077e-64,0.0,1.0859329802008673e-40,3.8129038441220074e-61,1.804458643812722e-97,0.0,-1.5408909818950174e-137,8.7347189376960501e-114,0.0,1.9685019684755064e-18,1.9685019684755064e-18,4.7370574047334217e-38,1.1804436007409964e-48,1.0859329689546435e-40,4.5078793582155193e-65,6.6292774689591591e-67,4.2446459677646317e-65,1.2278251962562368e-57,6.8212668290351713e-80,2.5938360905106478e-82,5.6780674989209571e-58,7.59344262479339e-75,1.1458705916047616e-93,5.2367404472610714e-58
3.355392422678475e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.4783993307709579e-62,0.0,6.5590352003831293e-40,2.3029939218496228e-60,8.6201153524721224e-96,0.0,4.7090828785601564e-135,6.7401003453864023e-112,0.0,5.5118055117314184e-18,5.5118055117314184e-18,2.8611826724589883e-37,1.4193414157315196e-47,6.5590350668679627e-40,1.0207116623779465e-63,1.5010563256050578e-65,1.3345845966782251e-63,1.4576740596406609e-56,1.6048045495797659e-78,1.4939167585996966e-80,8.5806956207342205e-57,1.7193706461107697e-73,4.7848235279594343e-92,6.2170582589622014e-57
7.669468394693657e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,3.2982275118690479e-61,0.0,3.1578931063789533e-39,1.108792437870575e-59,4.4884761097723395e-94,0.0,2.4370509401869722e-132,7.3456909286595748e-110,0.0,1.2598412598243243e-17,1.2598412598243243e-17,1.3775362932964798e-36,1.40136969798372e-46,3.1578929752929752e-39,2.0286299540438847e-62,2.9832987483819889e-64,2.9773848190708017e-62,1.4311530073565615e-55,3.4945029337738769e-77,6.6993496436857133e-79,9.2307207903818915e-56,3.4171910867347182e-72,1.9042356838175594e-90,6.1039446652464501e-56
1.6297620338724021e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,6.1772148531488513e-60,0.0,1.3791348848084262e-38,4.8423878820338659e-59,1.7912329227397642e-92,0.0,8.5660664418431698e-130,6.0092310571390667e-108,0.0,2.6771626771266885e-17,2.6771626771266885e-17,6.0160629040114464e-36,1.2426139176857391e-45,1.3791347688643671e-38,3.619475708540739e-61,5.3227930158313753e-63,5.5763122523945759e-61,1.2658385773929445e-54,7.3655675094196815e-76,2.5204626704554539e-77,8.4846227196042094e-55,6.0969424735264877e-71,6.814745823142007e-89,5.3988699313380538e-55
3.355392422678475e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771417,0.67000000000000004,1.0669601613804932e-58,0.0,5.7576166606049163e-38,2.0216016181525125e-58,6.3663218883297412e-91,0.0,2.5506226822448972e-127,4.3248869214694456e-106,0.0,5.5118055117314169e-17,5.5118055117314169e-17,2.5115878359896604e-35,1.0457281686575162e-44,5.7576156860253163e-38,6.1124837666407481e-60,8.9890051826260107e-62,9.6316926847211344e-60,1.064013512139641e-53,1.6289370851828158e-74,8.7275612947235595e-76,7.2587733686339282e-54,1.0296370219486358e-69,2.3055467672901246e-87,4.538075483440453e-54
6.80665320029062e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771406,0.66999999999999993,1.7727699733538429e-57,0.0,2.3521742720786151e-37,8.2589022425137683e-58,2.144352230577392e-89,0.0,7.0300452362456858e-125,2.9315487558369442e-104,0.0,1.1181091180940868e-16,1.1181091180940868e-16,1.0260655820948777e-34,8.5784300910280011e-44,2.3521734730595051e-37,1.0045932115711021e-58,1.4773525673029053e-60,1.6003201448600351e-58,8.7234242341387791e-53,3.9453441614467593e-73,2.9037141443234144e-74,6.0016941921009497e-53,1.6922194023270928e-68,7.5849338236187876e-86,3.7205884600248922e-53
1.3709174755514912e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771383,0.66999999999999982,2.8900615268206973e-56,0.0,9.5078644865633968e-37,3.338380334906535e-57,7.037976660239884e-88,0.0,1.8666235942363571e-122,1.9302627786045331e-102,0.0,2.2519662519359742e-16,2.2519662519359742e-16,4.1475211365995313e-34,6.9489957132789337e-43,9.5078580159015453e-37,1.6289808842657039e-57,2.3955757054078265e-59,2.6089257356761774e-57,7.0644528662864766e-52,1.0512223375179444e-71,9.4733796608846262e-73,4.8804780434015376e-52,2.7439893348107397e-67,2.4609228003970134e-84,3.0130289972578223e-52
2.7514217865963494e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771339,0.6699999999999996,4.6674540048146453e-55,0.0,3.8230704917432979e-36,1.3423480499330129e-56,2.2806968470602546e-86,0.0,4.8661167134109793e-120,1.2529493388220886e-100,0.0,4.5196805196197416e-16,4.5196805196197416e-16,1.6677000075660139e-33,5.5939369647185723e-42,3.8230652835950215e-36,2.6238157882039242e-56,3.8585777269695963e-58,4.2134220306348783e-56,5.6860826405978003e-51,3.018894268250057e-70,3.0608484082448398e-71,3.9362823494619341e-51,4.419771041441686e-66,7.9294155976913865e-83,2.4251478638829017e-51
5.512430408686066e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258377125,0.66999999999999915,7.502786090090054e-54,0.0,1.5332222572361914e-35,5.3834160600483618e-56,7.3441985937532223e-85,0.0,1.257054965871276e-117,8.0755782819555488e-99,0.0,9.055109054987246e-16,9.055109054987246e-16,6.688222927398638e-33,4.4890901708999539e-41,1.5332180780305212e-35,4.2121155594284345e-55,6.1943278770184391e-57,6.7729528524230147e-55,4.5627174129457338e-50,9.1028079526196539e-69,9.8419574715303616e-70,3.1618360473041783e-50,7.0952337646811015e-65,2.5461628927149724e-81,1.9460284291509253e-50
