Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58),C4H6(99),C2H3(38)
0.0,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4586553564015597e-25,0.004023131612903226,0.0,0.0,0.010942917987096772,0.5,5.524192867828571e-83,1.1827472744612013e-41,1.2225022829373378e-44,3.6500680677420498e-65,6.331177778161943e-105,2.2467111251082569e-25,1.4161038086838501e-25,1.3794436542751088e-65,0.5,3.2700154800554121e-19,2.2656735210884145e-18,9.8751024344188358e-20,3.3559354289690252e-35,4.5671120493043357e-21,4.5671120493038587e-21,1.2017507169648421e-47,3.6628149385654853e-25
6.884234997924367e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,1.2357398477617837e-81,7.1437935377456466e-41,7.3839137889415399e-44,4.333360810023374e-64,3.8515644039314141e-103,6.2907911503031078e-25,3.9650906643147922e-25,2.0846152527523613e-64,0.5,9.1560433441305495e-19,6.343885859047548e-18,2.7650286816359049e-19,2.0269849990972879e-34,1.2787913738052145e-20,1.2787913738049263e-20,1.8160856838828895e-46,1.0255881843449106e-24
1.5735394280969983e-24,0.004023131612903226,0.0,0.0,0.010942917987096772,0.5,2.4416136992029496e-80,3.4394290741331569e-40,3.5550366387818057e-43,4.2545193397601641e-63,1.7387802805584677e-101,1.437895120069276e-24,9.0630643755767226e-25,2.2425339689696784e-63,0.5,2.0928099072182397e-18,1.4500310534965759e-17,6.3200655580184663e-19,9.7590602274418687e-34,2.9229517115547757e-20,2.9229517115533878e-20,1.9536621060189138e-45,2.3442015715079337e-24
3.3437712847061216e-24,0.004023131612903226,0.0,0.0,0.010942917987096769,0.5,4.344721122812275e-79,1.5020890385657082e-39,1.5525778993304463e-42,3.7630741751194061e-62,6.5653034965525258e-100,3.0555271301471872e-24,1.9259011798100765e-24,2.0612750840865583e-62,0.5,4.4472210527892401e-18,3.0813159886801979e-17,1.3430139310761675e-18,4.2620379947906026e-33,6.2112723870538969e-20,6.211272387047835e-20,1.7957520617729447e-44,4.9814283705791744e-24
6.884234997924368e-24,0.004023131612903226,0.0,0.0,0.010942917987096762,0.5,7.3280072114125478e-78,6.2709260491931304e-39,6.4817071041340146e-42,3.1630905864162905e-61,2.2778087720137789e-98,6.2907911503029332e-24,3.9650906643149589e-24,1.7634642523210553e-61,0.49999999999999994,9.1560433437737606e-18,6.3438858590473562e-17,2.7650286816160407e-18,1.7793169644393229e-32,1.278791373805213e-19,1.2787913738026823e-19,1.5363036959216575e-43,1.0255882067702438e-23
1.396516242436086e-23,0.004023131612903226,0.0,0.0,0.01094291798709675,0.5,1.2036273849373495e-76,2.561877906373805e-38,2.6479888449338025e-41,2.5932927686279845e-60,7.5860542343284219e-97,1.2761319190614116e-23,8.0434696333250191e-24,1.45806637992305e-60,0.49999999999999989,1.8573687925112896e-17,1.2869025599781333e-16,5.6090581826607189e-18,7.2690903765636045e-32,2.5941196440048557e-19,2.5941196439945168e-19,1.2702456049838167e-42,2.0804789857872079e-23
2.812701727723385e-23,0.004023131612903226,0.0,0.0,0.010942917987096725,0.5,1.9511318588086227e-75,1.0355520106598445e-37,1.0703594288213937e-40,2.1001157196905366e-59,2.4762144502961776e-95,2.5702375271235251e-23,1.6200227571346316e-23,1.1856754205781156e-59,0.49999999999999972,3.7408977085271509e-17,2.5919305081247927e-16,1.1297117184609797e-17,2.9382825529625907e-31,5.2247761844041295e-19,5.2247761843623368e-19,1.0329426302599543e-41,4.1902607021903837e-23
5.645072698297982e-23,0.004023131612903226,0.0,0.0,0.010942917987096675,0.5,3.1422377085677731e-74,4.163909089630735e-37,4.303868187173622e-40,1.6903558371455677e-58,8.0026972197422742e-94,5.15844874324726e-23,3.2513743447393648e-23,9.5629027006828908e-59,0.49999999999999944,7.5079555395510118e-17,5.2019864044175708e-16,2.2673235187946835e-17,1.1814704915099521e-30,1.0486089265202625e-18,1.0486089265034576e-18,8.331056522087632e-41,8.4098247684737248e-23
1.1309814639447175e-22,0.004023131612903226,0.0,0.0,0.010942917987096575,0.5,5.043987422931909e-73,1.6699137803273965e-36,1.7260436382666631e-39,1.3564041044175272e-57,2.5735474942662361e-92,1.0334871175492759e-22,6.5140775199507172e-23,7.6814449372466788e-58,0.49999999999999883,1.5042071197567293e-16,1.0422098197000955e-15,4.5425471192376461e-17,4.7382250965462995e-30,2.1008715426799413e-18,2.1008715426125464e-18,6.6919576606293832e-40,1.6848955434948368e-22
2.263929852174556e-22,0.004023131612903226,0.0,0.0,0.010942917987096373,0.49999999999999994,8.0835318256672902e-72,6.6883653453346997e-36,6.9131775488836833e-39,1.0867738832684513e-56,8.2557068647750861e-91,2.0687716039975879e-22,1.3039483870380979e-22,6.1576311901867316e-57,0.49999999999999761,3.0110302497474072e-16,2.0862321782159039e-15,9.0929943192257902e-17,1.8977614837048238e-29,4.2053967749992151e-18,4.2053967747292837e-18,5.364432362877343e-39,3.3727226903529496e-22
4.529826628634234e-22,0.004023131612903226,0.0,0.0,0.010942917987095973,0.49999999999999983,1.2944182990747005e-70,2.6770891764448559e-35,2.7670726456215369e-38,8.7007991166251527e-56,2.645087774213232e-89,4.1393405768910601e-22,2.6090296571271733e-22,4.9311026958380808e-56,0.49999999999999523,6.024676503278456e-16,4.174276895244047e-15,1.8193888715610953e-16,7.5959916439716306e-29,8.4144472396374378e-18,8.4144472385570065e-18,4.2958966358719414e-38,6.7483810383219104e-22
9.061620181553589e-22,0.004023131612903226,0.0,0.0,0.010942917987095171,0.49999999999999967,2.0719122645066353e-69,1.0711843775895032e-34,1.1071894861546103e-37,6.9632836437928344e-55,8.4695032411040075e-88,8.2804785226653985e-22,5.2191921973174103e-22,3.9468866569567746e-55,0.49999999999999045,1.2051968984539319e-15,8.3503663292864397e-15,3.639567749401678e-16,3.0393860813128704e-28,1.6832548168912566e-17,1.6832548164589435e-17,3.4384584568201175e-37,1.3499713951270773e-21
