Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0
9.0486385604993e-24,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,2.369864436311914e-18,6.194695738976511e-19
2.5336187969398038e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,6.635620421672922e-18,1.734514806913423e-18
5.791128678719552e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999999998,0.0,0.0,0.0,0.0,1.5167132392393182e-17,3.964605272944967e-18
1.2306148442279048e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999999997,0.0,0.0,0.0,0.0,3.223015633382668e-17,8.424786205008054e-18
2.5336187969398037e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999999994,0.0,0.0,0.0,0.0,6.635620421666561e-17,1.7345148069134226e-17
5.139626702363602e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060676,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999999987,0.0,0.0,0.0,0.0,1.3460829998223115e-16,3.518587179738656e-17
1.0351642513211198e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806066,0.0,0.17647058999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999999973,0.0,0.0,0.0,0.0,2.7111249151291297e-16,7.086731925389116e-17
2.0775674134906392e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060626,0.0,0.17647058999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999999946,0.0,0.0,0.0,0.0,5.441208745724796e-16,1.4223021416690018e-16
4.162373737829678e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806056,0.0,0.17647058999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999999892,0.0,0.0,0.0,0.0,1.090137640684425e-15,2.849560039929172e-16
8.331986386507756e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806042,0.0,0.17647058999999973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999999782,0.0,0.0,0.0,0.0,2.1821711728795627e-15,5.704075836449465e-16
1.667121168386391e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806014,0.0,0.17647058999999946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999999564,0.0,0.0,0.0,0.0,4.3662382371548304e-15,1.1413107429489773e-15
3.334966227857622e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618059593,0.0,0.17647058999999887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999999127,0.0,0.0,0.0,0.0,8.734372365245327e-15,2.2831170615568663e-15
6.670656346800084e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805849,0.0,0.17647058999999773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999998253,0.0,0.0,0.0,0.0,1.7470640619586178e-14,4.566729698771458e-15
1.3342036584685007e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618056285,0.0,0.17647058999999546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999996505,0.0,0.0,0.0,0.0,3.49431771209073e-14,9.133954973191909e-15
2.6684797060454856e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618051877,0.0,0.17647058999999088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999993011,0.0,0.0,0.0,0.0,6.988825009410722e-14,1.826840552196601e-14
5.337031801199454e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561804306,0.0,0.17647058999998175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999986022,0.0,0.0,0.0,0.0,1.3977839592273782e-13,3.653730661899206e-14
1.0674135991507394e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561802543,0.0,0.17647058999996348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999972044,0.0,0.0,0.0,0.0,2.7955868710892196e-13,7.307510880891563e-14
2.134834437212327e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617990165,0.0,0.17647058999992696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999944089,0.0,0.0,0.0,0.0,5.591192675969818e-13,1.4615071315593021e-13
4.269676113335502e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561791964,0.0,0.17647058999985388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999888177,0.0,0.0,0.0,0.0,1.1182404210358687e-12,2.923019215880808e-13
8.539359465581854e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617778585,0.0,0.17647058999970772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999776352,0.0,0.0,0.0,0.0,2.2364826977647113e-12,5.846043363604807e-13
1.7078726170074554e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617496477,0.0,0.17647058999941542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999552703,0.0,0.0,0.0,0.0,4.472967130626679e-12,1.1692091491825807e-12
3.415745957905996e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561693226,0.0,0.1764705899988308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999105407,0.0,0.0,0.0,0.0,8.945935513967793e-12,2.3384186410952412e-12
6.831492639703078e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995615803825,0.0,0.1764705899976616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705998210813,0.0,0.0,0.0,0.0,1.7891870351119154e-11,4.676836555269102e-12
1.0247239321500159e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561467539,0.0,0.1764705899964924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705997316219,0.0,0.0,0.0,0.0,2.6837803258740063e-11,7.0152526868253005e-12
1.366298600329724e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995613546953,0.0,0.1764705899953232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705996421627,0.0,0.0,0.0,0.0,3.5783734236830936e-11,9.353666322800245e-12
2.0494479366891403e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995611290086,0.0,0.1764705899929848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470599463244,0.0,0.0,0.0,0.0,5.3675591664525126e-11,1.4030484944140937e-11
2.7325972730485566e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560903322,0.0,0.17647058999064638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705992843257,0.0,0.0,0.0,0.0,7.156744199665267e-11,1.870728730450206e-11
3.415746609407973e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560677635,0.0,0.17647058998830797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705991054072,0.0,0.0,0.0,0.0,8.945928472639015e-11,2.338406735362274e-11
4.098895945767389e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956045195,0.0,0.17647058998596962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470598926489,0.0,0.0,0.0,0.0,1.0735111971520941e-10,2.8060819050393238e-11
5.465194618486221e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560000579,0.0,0.17647058998129292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705985686524,0.0,0.0,0.0,0.0,1.4313476658283818e-10,3.7414214882626296e-11
6.831493291205054e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995595492106,0.0,0.17647058997661633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705982108163,0.0,0.0,0.0,0.0,1.7891838250758524e-10,4.676742845562488e-11
8.197791963923886e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599559097845,0.0,0.1764705899719398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705978529805,0.0,0.0,0.0,0.0,2.1470196751119772e-10,5.61204138790182e-11
9.564090636642718e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599558646483,0.0,0.17647058996726347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705974951449,0.0,0.0,0.0,0.0,2.504855216242482e-10,6.547312549601385e-11
1.2296687982080383e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995577437676,0.0,0.17647058995791126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705967794747,0.0,0.0,0.0,0.0,3.2205253720740365e-10,8.417754502023612e-11
