Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.235228058373073e-24,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,2.4187327618886106e-18,6.322434863452343e-19,0.0
2.5858638563444605e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,6.7724517332876536e-18,1.770281761766656e-18,0.0
5.910545957358767e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999999998,0.0,0.0,0.0,0.0,1.547988967608391e-17,4.0463583126095e-18,0.0
1.255991015938738e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999999997,0.0,0.0,0.0,0.0,3.289476556166911e-17,8.598511414295186e-18,0.0
2.585863856344461e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999999993,0.0,0.0,0.0,0.0,6.772451733281026e-17,1.7702817617666558e-17,0.0
5.245609537155906e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060676,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999999986,0.0,0.0,0.0,0.0,1.3738402087497562e-16,3.591143002440929e-17,0.0
1.0565100898778796e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806066,0.0,0.17647058999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999999972,0.0,0.0,0.0,0.0,2.7670302795883827e-16,7.23286548378947e-17,0.0
2.120408362202458e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060626,0.0,0.17647058999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999999944,0.0,0.0,0.0,0.0,5.553410421246917e-16,1.4516310446486527e-16,0.0
4.248204906851614e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060553,0.0,0.17647058999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999999889,0.0,0.0,0.0,0.0,1.1126170704489112e-15,2.908320037188054e-16,0.0
8.503797996149926e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060415,0.0,0.17647058999999973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705999999778,0.0,0.0,0.0,0.0,2.2271691270673997e-15,5.821698022266806e-16,0.0
