Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.418114700275716e-24,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,6.11100357205267e-55,0.0,0.0,0.0,0.0,0.0,3.512889861385635e-42,0.0,0.11764706,0.0,0.0,0.0,0.0,2.4666312988479257e-18,6.447639013638611e-19,2.184774402480395e-21,2.184774402480395e-21
2.6370721160772006e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,9.23494859656716e-54,0.0,0.0,0.0,0.0,0.0,2.121785476276924e-41,0.0,0.11764706,0.0,0.0,0.0,0.0,6.906567636773717e-18,1.8053389238188112e-18,6.1173683269451066e-21,6.1173683269451066e-21
6.027593408176458e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,9.93453628527567e-53,0.0,0.0,0.0,0.0,0.0,1.0215483716909423e-40,0.0,0.11764705999999998,0.0,0.0,0.0,0.0,1.5786440312623398e-17,4.126488968728712e-18,1.3982556175874528e-20,1.3982556175874528e-20
1.2808635992374975e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,9.131550416039684e-52,0.0,0.0,0.0,0.0,0.0,4.4613701239597535e-40,0.0,0.11764705999999997,0.0,0.0,0.0,0.0,3.354618566431516e-17,8.768789058548514e-18,2.971293187373337e-20,2.971293187373337e-20
2.6370721160772006e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,0.0,0.0,7.812233633093471e-51,0.0,0.0,0.0,0.0,0.0,1.86253420450666e-39,0.0,0.11764705999999993,0.0,0.0,0.0,0.0,6.906567636766826e-17,1.8053389238188114e-17,6.117368326945103e-20,6.117368326945103e-20
5.349489149756606e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060676,0.0,0.17647059,0.0,0.0,6.459305841627474e-50,0.0,0.0,0.0,0.0,0.0,7.609059955355707e-39,0.0,0.11764705999999986,0.0,0.0,0.0,0.0,1.401046577742528e-16,3.662258959746729e-17,1.240951860608863e-19,1.240951860608863e-19
1.0774323217115419e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806066,0.0,0.17647058999999998,0.0,0.0,5.252600236974763e-49,0.0,0.0,0.0,0.0,0.0,3.07570369235644e-38,0.0,0.11764705999999972,0.0,0.0,0.0,0.0,2.8218262058693525e-16,7.376099031602563e-17,2.499381916437565e-19,2.499381916437565e-19
2.1623991351833043e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060626,0.0,0.17647058999999995,0.0,0.0,4.2364123796314584e-48,0.0,0.0,0.0,0.0,0.0,1.2367269272602333e-37,0.0,0.11764705999999944,0.0,0.0,0.0,0.0,5.663385462103532e-16,1.48037791753142e-16,5.016242028094957e-19,5.016242028094957e-19
4.332332762126829e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060553,0.0,0.17647058999999987,0.0,0.0,3.402916809308319e-47,0.0,0.0,0.0,0.0,0.0,4.959828117951005e-37,0.0,0.11764705999999887,0.0,0.0,0.0,0.0,1.1346503974494024e-15,2.9659139462737376e-16,1.0049962251409693e-18,1.0049962251409693e-18
