Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.597523482055625e-24,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,6.468003495851592e-55,3.1106371779905833e-102,0.0,1.5836267513570408e-78,0.0,0.0,3.648001009900466e-42,0.0,0.11764706,-6.6059041800051e-122,0.0,0.0,0.0,2.5136189742489818e-18,6.57046222163794e-19,2.2263928926439797e-21,2.22639289258592e-21,5.805948384663495e-32
2.687306574975575e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,9.774099078734314e-54,8.381095072157242e-96,0.0,2.370454218268181e-72,0.0,0.0,2.2033926099798816e-41,0.0,0.11764706,1.59982149007337e-120,0.0,0.0,0.0,7.038133127896657e-18,1.8397294220586237e-18,6.233900099403143e-21,6.233900099052463e-21,3.5067928242484517e-31
6.1424150285156e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.0514410041162041e-52,1.5926379083074738e-94,0.0,2.1337346271031508e-71,0.0,0.0,1.0608386936790553e-40,0.0,0.11764705999999998,1.0714739974595057e-118,0.0,0.0,0.0,1.6087161435190034e-17,4.2050958218482836e-18,1.424891451292147e-20,1.4248914511233096e-20,1.688369790127694e-30
1.305263193559565e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,9.664510903759972e-52,2.6086877849142195e-93,0.0,1.7319483743170245e-70,0.0,0.0,4.632961282573588e-40,0.0,0.11764705999999997,7.236678507852155e-117,0.0,0.0,0.0,3.4185218049768886e-17,8.935828621427602e-18,3.0278943339958115e-20,3.0278943332584566e-20,7.373554447153983e-30
2.6873065749755748e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,0.0,0.0,8.268175993901194e-51,4.198898160368916e-92,0.0,1.3922586702894385e-69,0.0,0.0,1.9341701354492227e-39,0.0,0.11764705999999993,4.8369418952581385e-115,0.0,0.0,0.0,7.0381331278895e-17,1.8397294220586238e-17,6.23390009940314e-20,6.233900096324827e-20,3.0783138323167953e-29
5.451393337807595e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060676,0.0,0.17647059,0.0,0.0,6.836281329055346e-50,6.803253369283186e-91,0.0,1.1283934667317856e-68,0.0,0.0,7.901716107484763e-39,0.0,0.11764705999999986,3.2065461362744587e-113,0.0,0.0,0.0,1.4277355773702093e-16,3.732022541890349e-17,1.2645911630217788e-19,1.2645911617641873e-19,1.2575916428687357e-28
1.0979566863471634e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806066,0.0,0.17647058999999998,0.0,0.0,5.559147882039931e-49,1.1422470190186223e-89,0.0,9.49449766568466e-68,0.0,0.0,3.1939999882162955e-38,0.0,0.11764705999999972,2.1721684810606924e-111,0.0,0.0,0.0,2.875580106527673e-16,7.516608781553795e-17,2.5469934691847058e-19,2.5469934641013186e-19,5.083386487716523e-28
2.203591391479971e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806062,0.0,0.17647058999999995,0.0,0.0,4.4836531422052097e-48,2.1740819383019405e-88,0.0,9.103074846692654e-67,0.0,0.0,1.2842933475394672e-37,0.0,0.11764705999999943,1.6416604966327395e-109,0.0,0.0,0.0,5.771269164822384e-16,1.508578126088066e-16,5.111798081510546e-19,5.111798061070473e-19,2.044007345655936e-27
4.4148608017455874e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806055,0.0,0.17647058999999987,0.0,0.0,3.601513629005501e-47,5.705467538657001e-87,0.0,1.2126620742503313e-65,0.0,0.0,5.15059073787215e-37,0.0,0.11764705999999885,1.6789693481464753e-107,0.0,0.0,0.0,1.156264728133094e-15,3.022412621953428e-16,1.0241407306162173e-18,1.0241407224188339e-18,8.19738363256545e-27
