Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.77363867235185e-24,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,8.366399464819287e-55,3.4693007656446853e-102,0.0,1.7343962552440795e-78,0.0,0.0,4.186886121689187e-42,0.0,0.11764706,-7.007208973541773e-122,0.0,0.0,0.0,2.559744048577763e-18,6.691030637715427e-19,2.509232534203693e-21,2.2672473493293316e-21,6.020982465468774e-32,2.4198518481415037e-22
2.7366188282585177e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.2642896363088734e-53,9.013421281100328e-96,0.0,2.503360372004544e-72,0.0,0.0,2.5288792175002685e-41,0.0,0.11764706,1.7500316644746642e-120,0.0,0.0,0.0,7.167283336017226e-18,1.8734885785603198e-18,7.025851095770338e-21,6.3482925779270496e-21,3.63667340904989e-31,6.775585174796212e-22
6.255128750305184e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.3600511040676204e-52,1.7128063836668083e-94,0.0,2.2533811779795825e-71,0.0,0.0,1.217546484187215e-40,0.0,0.11764705999999998,1.190115275708605e-118,0.0,0.0,0.0,1.6382361910894102e-17,4.2822596081378745e-18,1.605908821890363e-20,1.4510383034342163e-20,1.7509017008184436e-30,1.5487051828105625e-21
1.3292148594398515e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.2501162086014653e-51,2.8055910652198702e-93,0.0,1.8291142349768672e-70,0.0,0.0,5.31734537454526e-40,0.0,0.11764705999999997,8.063369166922121e-117,0.0,0.0,0.0,3.4812519060639664e-17,9.099801667292983e-18,3.412556246517021e-20,3.083456394405112e-20,7.646647729699956e-30,3.290998513472445e-21
2.736618828258518e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,0.0,0.0,1.0694988007544441e-50,4.516324331896234e-92,0.0,1.4705363481036346e-69,0.0,0.0,2.2198870217196006e-39,0.0,0.11764705999999993,5.393967832617734e-115,0.0,0.0,0.0,7.167283336009804e-17,1.8734885785603196e-17,7.025851095770335e-20,6.348292575098389e-20,3.192324901890692e-29,6.775585174796207e-21
5.551426765895851e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060676,0.0,0.17647059,0.0,0.0,8.842815339263766e-50,7.320832148618946e-91,0.0,1.1923946827139674e-68,0.0,0.0,9.068962815023591e-39,0.0,0.11764705999999986,3.5778857322204614e-113,0.0,0.0,0.0,1.4539346195888375e-16,3.800505402222361e-17,1.4252440794276954e-19,1.287796493149089e-19,1.3041688848490092e-28,1.3744758497443723e-20
1.1181042641170518e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806066,0.0,0.17647058999999998,0.0,0.0,7.190827583275956e-49,1.2312509245975601e-89,0.0,1.0050980459955496e-67,0.0,0.0,3.665819770072679e-38,0.0,0.1176470599999997,2.4276097075272696e-111,0.0,0.0,0.0,2.928347191559311e-16,7.654539049546439e-17,2.8705620191290157e-19,2.5937309624299694e-19,5.271659146616438e-28,2.768310514273872e-20
2.244027439171985e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806062,0.0,0.17647058999999995,0.0,0.0,5.799661760984105e-48,2.3564295598881827e-88,0.0,9.691741695402757e-67,0.0,0.0,1.4740100066851277e-37,0.0,0.11764705999999941,1.8441662798052411e-109,0.0,0.0,0.0,5.877172335479291e-16,1.5362606344194566e-16,5.761197898531642e-19,5.205599893001246e-19,2.1197109535496246e-27,5.555979843332857e-20
4.495873789281851e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806055,0.0,0.17647058999999987,0.0,0.0,4.658603250646308e-47,6.2539372246892515e-87,0.0,1.3058621059028695e-65,0.0,0.0,5.9114393938959295e-37,0.0,0.11764705999999882,1.9068370006135428e-107,0.0,0.0,0.0,1.1774822623235393e-15,3.07787409334907e-16,1.1542469657336832e-18,1.0429337722181866e-18,8.500988957907374e-27,1.113131850145077e-19
8.999566489501583e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956180604,0.0,0.1764705899999997,0.0,0.0,3.734446935102344e-46,2.593550541179233e-85,0.0,2.745920544559356e-64,0.0,0.0,2.3676591479737054e-36,0.0,0.11764705999999764,3.079677928500983e-105,0.0,0.0,0.0,2.357012319841215e-15,6.161101011208239e-16,2.310501317494698e-18,2.0876813252695373e-18,3.404829651650047e-26,2.2281995817686364e-19
1.800695188994105e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956180601,0.0,0.1764705899999994,0.0,0.0,2.990586241986105e-45,1.4355207567328063e-83,0.0,7.646369064706617e-63,0.0,0.0,9.476806889709093e-36,0.0,0.11764705999999528,6.736854587902199e-103,0.0,0.0,0.0,4.716072434742391e-15,1.2327554846926239e-15,4.623010021016632e-18,4.1771763802331486e-18,1.3628191658160072e-25,4.458335045015665e-19
3.602172269081998e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618059504,0.0,0.1764705899999988,0.0,0.0,2.3936810632145864e-44,8.831837303346761e-82,0.0,2.356502926232043e-61,0.0,0.0,3.7919571671443354e-35,0.0,0.11764705999999056,1.6522190371149543e-100,0.0,0.0,0.0,9.434192664008032e-15,2.4660462518360116e-15,9.248027428060123e-18,8.356166285604021e-18,5.4530516649068805e-25,8.918605971509357e-19
7.205126429257784e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805831,0.0,0.17647058999999757,0.0,0.0,1.915429796839446e-43,5.596605680266585e-80,0.0,7.469998289580488e-60,0.0,0.0,1.5170297842792444e-34,0.0,0.11764705999998111,4.1846871553442264e-98,0.0,0.0,0.0,1.887043312039248e-14,4.9326277861213084e-15,1.849806224214559e-17,1.6714145278120438e-17,2.181575625322248e-24,1.783914782449528e-18
1.4411034749609357e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618055924,0.0,0.1764705899999951,0.0,0.0,1.5325378396621486e-42,3.573258864870418e-78,0.0,2.3849673950120892e-58,0.0,0.0,6.068613007126064e-34,0.0,0.11764705999996222,1.0685756011227125e-95,0.0,0.0,0.0,3.7742914024574044e-14,9.865790854680968e-15,3.6998131870310457e-17,3.3430099990252584e-17,8.727011738221898e-24,3.568023153046128e-18
2.8822851390312503e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618051155,0.0,0.17647058999999016,0.0,0.0,1.2261078773418704e-41,2.2856275226963754e-76,0.0,7.62792060928015e-57,0.0,0.0,2.4275439803662037e-33,0.0,0.11764705999992445,2.734046966826456e-93,0.0,0.0,0.0,7.548787579858784e-14,1.9732116991716395e-14,7.399827112661595e-17,6.686199632291938e-17,3.490945961842925e-23,7.136239894236988e-18
5.76464846717188e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561804162,0.0,0.1764705899999803,0.0,0.0,9.809173450642144e-41,1.4626356872964931e-74,0.0,2.4406746475010556e-55,0.0,0.0,9.710373479989168e-33,0.0,0.11764705999984888,6.998478520651366e-91,0.0,0.0,0.0,1.5097779920921808e-13,3.946476926513036e-14,1.4799854963912999e-16,1.3372573662190387e-16,1.396406169842219e-22,1.4272673376609363e-17
1.1529375123453138e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618022545,0.0,0.17647058999996057,0.0,0.0,7.847462935147007e-40,9.360706701905776e-73,0.0,7.810035883780616e-54,0.0,0.0,3.884188904032886e-32,0.0,0.11764705999969775,1.7916006279474342e-88,0.0,0.0,0.0,3.019576454808892e-13,7.893007380676029e-14,2.959991066637702e-16,2.6745300775480354e-16,5.585676500404595e-22,2.8545540341316705e-17
2.3058828436015655e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956179844,0.0,0.1764705899999211,0.0,0.0,6.27802001831094e-39,5.990847572853323e-71,0.0,2.4992101693059417e-52,0.0,0.0,1.5536834640402888e-31,0.0,0.1176470599993955,4.586522158898244e-86,0.0,0.0,0.0,6.039173358258739e-13,1.5786068284866445e-13,5.920002207114993e-16,5.349067121629571e-16,2.234277964682683e-21,5.709127427058178e-17
4.611773506114068e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617908103,0.0,0.17647058999984216,0.0,0.0,5.022435882739576e-38,3.8341330291561485e-69,0.0,7.997452686420557e-51,0.0,0.0,6.214749660926754e-31,0.0,0.11764705999879098,1.1741488772136169e-83,0.0,0.0,0.0,1.2078367077224142e-12,3.157219006025407e-13,1.1840024488007518e-15,1.0698107695696373e-15,8.937102589991094e-21,1.141827421285135e-16
9.223554831139075e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561775551,0.0,0.1764705899996843,0.0,0.0,4.0179566533434684e-37,2.4538211066813384e-67,0.0,2.5591594979608882e-49,0.0,0.0,2.4859030252282683e-30,0.0,0.11764705999758196,3.005785238658355e-81,0.0,0.0,0.0,2.415675416341777e-12,6.314443334744903e-13,2.3680069049544348e-15,2.1396054789126614e-15,3.574819984242564e-20,2.283656778419833e-16
1.8447117481189086e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617450325,0.0,0.17647058999936857,0.0,0.0,3.2143685013790393e-36,1.8154527004783841e-65,0.0,9.487216308769077e-48,0.0,0.0,9.943618421839158e-30,0.0,0.11764705999516391,1.280448961666493e-78,0.0,0.0,0.0,4.831352692885642e-12,1.26288917814658e-12,4.736015817162511e-15,4.27914127706069e-15,1.4299084253184704e-19,4.567315492593479e-16
3.689424278128911e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561683995,0.0,0.17647058999873713,0.0,0.0,2.571496072330358e-35,1.1691767753303132e-63,0.0,3.0487209497249437e-46,0.0,0.0,3.9774486322871795e-29,0.0,0.11764705999032782,3.297534608928441e-76,0.0,0.0,0.0,9.662706683193994e-12,2.525778698974778e-12,9.4720336411815e-15,8.55799840195522e-15,5.719471705932609e-19,9.134632920557769e-16
7.378849338148916e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995615619206,0.0,0.17647058999747425,0.0,0.0,2.0571973659469633e-34,7.4836121347572125e-62,0.0,9.75610843084685e-45,0.0,0.0,1.590979705117968e-28,0.0,0.11764705998065564,8.441697331403231e-74,0.0,0.0,0.0,1.932541241269371e-11,5.051556392738182e-12,1.894406928763083e-14,1.7114854852129966e-14,2.2876580056380465e-18,1.8269267774954338e-15
