Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.946636858099068e-24,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,8.818645325655278e-55,4.0635616976119164e-102,0.0,1.9961503535489427e-78,0.0,0.0,4.3364177688923716e-42,0.0,0.11764706,-7.85035232761776e-122,0.0,0.0,0.0,2.605052770459805e-18,6.809465153243234e-19,2.5536471775711738e-21,2.3073787365447323e-21,6.236017553518302e-32,2.4626844096383353e-22,2.477714702029897e-34
2.785058320267739e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.332628642870789e-53,1.0244986155809082e-95,0.0,2.7959222513241346e-72,0.0,0.0,2.619196332410992e-41,0.0,0.11764706,2.0363128012608505e-120,0.0,0.0,0.0,7.294147757286925e-18,1.9066502429081055e-18,7.150212097199287e-21,6.460660462123205e-21,3.7665546022267634e-31,6.895516346979312e-22,1.4965396800246041e-33
6.365847589183403e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.4335655784187751e-52,1.946847621436319e-94,0.0,2.516740727657392e-71,0.0,0.0,1.2610302871939011e-40,0.0,0.11764705999999998,1.4097747792477807e-118,0.0,0.0,0.0,1.6672337730939045e-17,4.35805769807567e-18,1.634334193645551e-20,1.476722391247196e-20,1.813433904415686e-30,1.5761180221629151e-21,7.205194353481133e-33
1.3527426127014733e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.317688128498526e-51,3.1890217858027085e-93,0.0,2.042935125954815e-70,0.0,0.0,5.5072505664933065e-40,0.0,0.11764705999999997,9.586184767991129e-117,0.0,0.0,0.0,3.54287176782348e-17,9.260872608410799e-18,3.472960161496796e-20,3.138035080993671e-20,7.919742291444732e-30,3.349250797080038e-21,3.1466976715554344e-32
2.785058320267739e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,0.0,0.0,1.1273077919907202e-50,5.134034817482539e-92,0.0,1.642601271403333e-69,0.0,0.0,2.2991687010667297e-39,0.0,0.11764705999999993,6.418546894009369e-115,0.0,0.0,0.0,7.294147757279239e-17,1.9066502429081052e-17,7.150212097199284e-20,6.460660459193519e-20,3.3063365055042434e-29,6.895516346862904e-21,1.3136843349959694e-31
5.649689735400271e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060676,0.0,0.17647059,0.0,0.0,9.320790441329912e-50,8.325296610806463e-91,0.0,1.33244777954687e-68,0.0,0.0,9.392854344131578e-39,0.0,0.11764705999999986,4.259819861237872e-113,0.0,0.0,0.0,1.4796699736177186e-16,3.867776207042155e-17,1.4504715968604248e-19,1.3105911210420807e-19,1.350746345001362e-28,1.3988047446223117e-20,5.366829153013117e-31
1.1378952565665335e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806066,0.0,0.17647058999999998,0.0,0.0,7.579508675239236e-49,1.4022272938343544e-89,0.0,1.12486460402339e-67,0.0,0.0,3.7967419047181307e-38,0.0,0.1176470599999997,2.8942910065682753e-111,0.0,0.0,0.0,2.9801803693918795e-16,7.79002813531025e-17,2.9213723711414146e-19,2.639641269218573e-19,5.459932687398369e-28,2.8173109644121456e-20,2.1693581517916178e-30
2.2837478226195462e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806062,0.0,0.17647058999999995,0.0,0.0,6.113147014092843e-48,2.6961871793501967e-88,0.0,1.0899051931761175e-66,0.0,0.0,1.5266532212095955e-37,0.0,0.1176470599999994,2.208278990372908e-109,0.0,0.0,0.0,5.981201160918488e-16,1.563453199184641e-16,5.863173919703378e-19,5.2977415572957e-19,2.195414916040647e-27,5.65432340366298e-20,8.722893715938598e-30
4.575452954725572e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806054,0.0,0.17647058999999987,0.0,0.0,4.910411602743932e-47,7.223003036685955e-87,0.0,1.482518600611714e-65,0.0,0.0,6.122562229392203e-37,0.0,0.1176470599999988,2.3042724841997056e-107,0.0,0.0,0.0,1.1983242743884846e-15,3.1323539704918604e-16,1.1746777016827241e-18,1.0613942100346525e-18,8.804595705314758e-27,1.1328348280849317e-19,3.498270520584894e-29
9.158863218937623e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806039,0.0,0.1764705899999997,0.0,0.0,3.936302476455025e-46,3.02147123097377e-85,0.0,3.144012136507063e-64,0.0,0.0,2.4522184032584735e-36,0.0,0.1176470599999976,3.7550030586447645e-105,0.0,0.0,0.0,2.3987325909470147e-15,6.270155513106237e-16,2.3513983211074722e-18,2.124634305403445e-18,3.526430709764777e-26,2.2676398029960652e-19,1.401132896077424e-28
1.8325683747361725e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060087,0.0,0.1764705899999994,0.0,0.0,3.1522343789312676e-45,1.6788105752802873e-83,0.0,8.787354185049557e-63,0.0,0.0,9.815264278627224e-36,0.0,0.1176470599999952,8.248190301418947e-103,0.0,0.0,0.0,4.799549223925105e-15,1.254575859833464e-15,4.7048395599568706e-18,4.251114443175544e-18,1.411491278182117e-25,4.537249750713801e-19,5.608183039046787e-28
3.665932480420993e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805948,0.0,0.17647058999999876,0.0,0.0,2.5230650863172576e-44,1.0340558972387389e-81,0.0,2.7111230185677555e-61,0.0,0.0,3.9273842088280203e-35,0.0,0.1176470599999904,2.025430364563904e-100,0.0,0.0,0.0,9.601182489325409e-15,2.5096964768789215e-15,9.411722037655276e-18,8.50407450685781e-18,5.647803504490015e-25,9.07646963773114e-19,2.244003712910013e-27
7.332660691790634e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618058266,0.0,0.1764705899999975,0.0,0.0,2.0189632271407137e-43,6.554644234893886e-80,0.0,8.596606388002449e-60,0.0,0.0,1.5712094194320416e-34,0.0,0.11764705999998078,5.131653290161651e-98,0.0,0.0,0.0,1.9204449017902507e-14,5.019937710968283e-15,1.8825486993050518e-17,1.7009993786774673e-17,2.259489036037787e-24,1.8154909378093284e-18,8.977476040077447e-27
1.4666117114529915e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805584,0.0,0.17647058999999501,0.0,0.0,1.6153750699109084e-42,4.1852573346934356e-78,0.0,2.744863034974476e-58,0.0,0.0,6.2853491859517275e-34,0.0,0.11764705999996156,1.3104975382959425e-95,0.0,0.0,0.0,3.841098206616268e-14,1.0040420179135499e-14,3.7653016903834726e-17,3.4021828956818437e-17,9.0386906930731e-24,3.631178872412746e-18,3.591282663112673e-26
2.933302996000848e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805099,0.0,0.17647058999999,0.0,0.0,1.2923818561999363e-41,2.6771424892226274e-76,0.0,8.779147451790786e-57,0.0,0.0,2.5142419796647826e-33,0.0,0.1176470599999231,3.3530970117909725e-93,0.0,0.0,0.0,7.682404812710695e-14,2.0081385115381565e-14,7.530807672537802e-17,6.804548573775157e-17,3.615622574696285e-23,7.262554687743538e-18,1.4365715076078179e-25
5.86668556509656e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618041285,0.0,0.17647058999997994,0.0,0.0,1.0339382060653856e-40,1.7131850860930198e-74,0.0,2.8090408776668506e-55,0.0,0.0,1.0057172532844213e-32,0.0,0.1176470599998462,8.583137759022554e-91,0.0,0.0,0.0,1.536501801066911e-13,4.016331498718157e-14,1.5061819636836421e-16,1.3609274506304385e-16,1.4462777958517214e-22,1.4525306102900953e-17,5.746402844159096e-25
1.1733450703287985e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618021873,0.0,0.17647058999995985,0.0,0.0,8.271636534915897e-40,1.096420845755767e-72,0.0,8.988799649893807e-54,0.0,0.0,4.022909936318406e-32,0.0,0.1176470599996924,2.1972740830351444e-88,0.0,0.0,0.0,3.0730244349664187e-13,8.032717472530368e-14,3.0123843565393485e-16,2.721870467676763e-16,5.785164763535053e-22,2.905080807119915e-17,2.2985844421541702e-24
2.3466980979670837e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561798305,0.0,0.17647058999991969,0.0,0.0,6.617361582847512e-39,7.017090160470346e-71,0.0,2.876415266900429e-52,0.0,0.0,1.6091721591834894e-31,0.0,0.1176470599993848,5.6250537102369635e-86,0.0,0.0,0.0,6.14606967999673e-13,1.606548941579613e-13,6.024789142234694e-16,5.443747823958959e-16,2.3140734596292497e-21,5.810180855972944e-17,9.194383910100646e-24
