Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0116677155869816e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,9.278692053657192e-55,9.652955397811866e-66,0.0,4.6621373393769284e-42,0.0,0.0,4.485949416095557e-42,0.0,0.11764706,1.1932366908496521e-63,0.0,0.0,0.0,2.6495868129826085e-18,6.925874699387886e-19,2.5973024283529554e-21,2.3468239654214367e-21,2.2473520401270152e-26,2.504784628667532e-22,9.67951431159946e-29,2.257025077754443e-26
2.832669603643548e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.4021485550799e-53,1.146001773596553e-64,0.0,2.815938757776548e-41,0.0,0.0,2.709513447321716e-41,0.0,0.11764706,1.4166141950102533e-62,0.0,0.0,0.0,7.418843076350756e-18,1.939244915828609e-18,7.272446799388276e-21,6.5711071029710074e-21,6.292606613766199e-26,7.013396960260784e-22,2.710272311864022e-28,6.319670217712441e-26
6.474673379756682e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.5083511187950065e-52,1.1251574983507669e-63,0.0,1.3557612454801342e-40,0.0,0.0,1.3045140902005877e-40,0.0,0.11764705999999998,1.3908478333183474e-61,0.0,0.0,0.0,1.695735560308486e-17,4.43255980760825e-18,1.6622735541458917e-20,1.501967337723409e-20,1.438319936668678e-25,1.6030621623414071e-21,6.194947291736868e-28,1.4444960497628444e-25
1.375868093198295e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.3864286313551864e-51,9.952000257746232e-63,0.0,5.9210353952983634e-40,0.0,0.0,5.697155758441352e-40,0.0,0.11764705999999997,1.2302027063727407e-60,0.0,0.0,0.0,3.603438065654429e-17,9.419189591167531e-18,3.5323313025600195e-20,3.191680592241603e-20,3.0564719295096736e-25,3.406507094958776e-21,1.3164430125341336e-27,3.069554105746046e-25
2.8326696036435487e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,0.0,0.0,1.1861166275715223e-50,8.365440255084469e-62,0.0,2.4719740941983212e-39,0.0,0.0,2.3784503804138577e-39,0.0,0.11764705999999993,1.0340822925310558e-59,0.0,0.0,0.0,7.418843076342807e-17,1.939244915828609e-17,7.272446799388273e-20,6.5711070999403e-20,6.292909684219128e-25,7.013396960140364e-21,2.7103927287985363e-27,6.31967021771246e-25
5.746272624534056e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060676,0.0,0.17647059,0.0,0.0,9.807032829115412e-50,6.858795715755924e-61,0.0,1.0099297786670651e-38,0.0,0.0,9.716745873239559e-39,0.0,0.11764705999999985,8.478405178297756e-59,0.0,0.0,0.0,1.5049653097705522e-16,3.93389682925232e-17,1.4752677793044768e-19,1.3329960109986918e-19,1.2766320269747473e-24,1.422717669029093e-20,5.498504759501373e-27,1.2819902441645325e-24
1.1573478666315069e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806066,0.0,0.17647058999999998,0.0,0.0,7.97491273669579e-49,5.554920352574726e-60,0.0,4.0826832978680713e-38,0.0,0.0,3.9276640393635825e-38,0.0,0.11764705999999969,6.866637735547155e-58,0.0,0.0,0.0,3.03112731403748e-16,7.923200656099733e-17,2.971313978035773e-19,2.6847666108677087e-19,2.571528174523851e-24,2.8654736149741645e-20,1.1075579213603117e-26,2.5820366889511183e-24
2.3227890749877097e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806062,0.0,0.17647058999999995,0.0,0.0,6.432054645341957e-48,4.471871567135755e-59,0.0,1.6419391438708942e-37,0.0,0.0,1.5792964357340637e-37,0.0,0.11764705999999939,5.527842003544595e-57,0.0,0.0,0.0,6.083451322548872e-16,1.5901808309794537e-16,5.963406375498348e-19,5.38830780204451e-19,5.162176591393087e-24,5.750985506524133e-20,2.2233129692590498e-26,5.182129578524345e-24
4.653671491700115e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806054,0.0,0.17647058999999987,0.0,0.0,5.166575527655113e-47,3.5896605887021566e-58,0.0,6.5873979966944004e-37,0.0,0.0,6.333685064888482e-37,0.0,0.11764705999999878,4.43730914062612e-56,0.0,0.0,0.0,1.2188099339481806e-15,3.185902361718401e-16,1.1947591170423436e-18,1.0795390150153184e-18,1.0346897912193978e-23,1.152200928826338e-19,4.4561836933697616e-26,1.0382315357671016e-23
9.315436325124926e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060387,0.0,0.1764705899999997,0.0,0.0,4.14164955804038e-46,2.8781242422388026e-57,0.0,2.6403878870235177e-36,0.0,0.0,2.5367776585432447e-36,0.0,0.11764705999999756,3.557753356392545e-55,0.0,0.0,0.0,2.439739537298827e-15,6.377345423196231e-16,2.3915960760273353e-18,2.1609554709390815e-18,2.0730038501871943e-23,2.3064056846299114e-19,8.927367654841557e-26,2.0782686915965232e-23
1.863896599197455e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060076,0.0,0.1764705899999994,0.0,0.0,3.3166785836280583e-45,2.3074959393399254e-56,0.0,1.058438474404177e-35,0.0,0.0,1.0153721667545367e-35,0.0,0.11764705999999511,2.852379095501836e-54,0.0,0.0,0.0,4.881598743856358e-15,1.2760231546151522e-15,4.785269993997217e-18,4.3237883279947255e-18,4.155111147214453e-23,4.614815194059954e-19,1.7891505630766112e-25,4.1583430032557185e-23
3.7286025325673794e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805946,0.0,0.17647058999999876,0.0,0.0,2.6546870984020585e-44,1.8518944563330724e-55,0.0,4.2478984504293316e-35,0.0,0.0,4.0628112505117143e-35,0.0,0.11764705999999023,2.2891936423236307e-53,0.0,0.0,0.0,9.765317156396376e-15,2.552600379205977e-15,9.572617829936576e-18,8.649453822938496e-18,8.34124245652516e-23,9.231634204211628e-19,3.590686179437481e-25,8.318491626575524e-23
7.458014399307228e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805823,0.0,0.17647058999999748,0.0,0.0,2.1242875026510015e-43,1.4901127665863562e-54,0.0,1.7096503467751661e-34,0.0,0.0,1.6253890545848468e-34,0.0,0.11764705999998044,1.841982225049395e-52,0.0,0.0,0.0,1.9532753979176233e-14,5.105754828385997e-15,1.9147313501813667e-17,1.7300783936156037e-17,1.680117192728759e-22,1.846527218968133e-18,7.22858949673165e-25,1.6638788873220784e-22
1.4916838132786925e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805576,0.0,0.17647058999999493,0.0,0.0,1.6996451579584928e-42,1.205509999678942e-53,0.0,6.920879482907641e-34,0.0,0.0,6.502085364777462e-34,0.0,0.11764705999996089,1.4901744625127377e-51,0.0,0.0,0.0,3.906762761553523e-14,1.0212063726733941e-14,3.829670484556137e-17,3.460344065591189e-17,3.407169820630764e-22,3.693254802128612e-18,1.4643724468558458e-24,3.327938336653506e-22
2.983448559974632e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805082,0.0,0.17647058999998982,0.0,0.0,1.359802193954301e-41,9.85745341016648e-53,0.0,2.833844296440271e-33,0.0,0.0,2.600939978963417e-33,0.0,0.11764705999992178,1.2185154278758455e-50,0.0,0.0,0.0,7.813737485145036e-14,2.0424681523336928e-14,7.659548753303078e-17,6.92087400687122e-17,7.001541954577133e-22,7.386709912715734e-18,3.003130775275596e-24,6.656057235326288e-22
5.966978053366512e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561804095,0.0,0.1764705899999796,0.0,0.0,1.0878761832476307e-40,8.226822700397188e-52,0.0,1.1858656941008851e-32,0.0,0.0,1.0403971585699699e-32,0.0,0.11764705999984357,1.0169472739836222e-49,0.0,0.0,0.0,1.562768691760692e-13,4.084991711581494e-14,1.5319305290786571e-16,1.3841928278751396e-16,1.4751353280194978e-21,1.477361991095463e-17,6.303572761604652e-24,1.3312295032715536e-21
1.193403704015027e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618021207,0.0,0.17647058999995918,0.0,0.0,8.703147180395322e-40,7.126618516550919e-51,0.0,5.16195404876001e-32,0.0,0.0,4.1616309686042793e-32,0.0,0.11764705999968714,8.80947058684966e-49,0.0,0.0,0.0,3.125558572364612e-13,8.170038829500833e-14,3.0638818365712012e-16,2.7684014379828115e-16,3.2495240523629925e-21,2.954743901569108e-17,1.3796157998396968e-23,2.662477062766156e-21
2.3868155013717787e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561798172,0.0,0.17647058999991833,0.0,0.0,6.96257283046408e-39,6.573463230332785e-50,0.0,2.3995473709167265e-31,0.0,0.0,1.6646608543269725e-31,0.0,0.11764705999937428,8.125695326880641e-48,0.0,0.0,0.0,6.251138310018621e-13,1.6340133060753883e-13,6.127784451539665e-16,5.536809681153885e-16,7.696004426945832e-21,5.909507365819909e-17,3.234813309792638e-23,5.3249721818711814e-21
4.773639096085282e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617902746,0.0,0.1764705899998366,0.0,0.0,5.570080298853394e-38,6.654198672066135e-49,0.0,1.2276248803618003e-30,0.0,0.0,6.658660350977685e-31,0.0,0.11764705999874854,8.225495264649656e-47,0.0,0.0,0.0,1.2502297691111325e-12,3.268032148667282e-13,1.2255589681410104e-15,1.1073590259552004e-15,2.0179753591704026e-20,1.1819032867535889e-16,8.371929835603671e-23,1.0649962420716712e-20
