Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0283906289212356e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,9.74647155732889e-55,1.0139603643511344e-65,0.0,4.8175421459467515e-42,0.0,0.0,4.635481063298741e-42,0.0,0.11764706,1.2533930386597587e-63,0.0,0.0,0.0,2.6933846034650093e-18,7.040359723054544e-19,2.6402359555803148e-21,2.385617072267418e-21,2.2845009799253556e-26,2.5461888324597145e-22,9.839517553944545e-29,2.294333804905656e-26,1.1393393101345669e-58
2.87949376097946e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.4728370055289982e-53,1.2037768504758476e-64,0.0,2.909803654418517e-41,0.0,0.0,2.7998305622324397e-41,0.0,0.11764706,1.4880320548344636e-62,0.0,0.0,0.0,7.54147688970146e-18,1.9713007224552726e-18,7.392660675624882e-21,6.6797278021327896e-21,6.396624341915236e-26,7.12932873087862e-22,2.7550734965411856e-28,6.424134653735837e-26,1.3526271189649866e-57
6.581700025095908e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.584393705738594e-52,1.1818818290340429e-63,0.0,1.400953553441334e-40,0.0,0.0,1.3479978932072736e-40,0.0,0.11764705999999998,1.4609668278083677e-61,0.0,0.0,0.0,1.7237661462172096e-17,4.505830222754909e-18,1.6897510115714013e-20,1.5267949260999605e-20,1.462095745839195e-25,1.62956085276821e-21,6.297351304581496e-28,1.4683736351396203e-25,1.3280247188098603e-56
1.3986112553328805e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.4563245716538626e-51,1.045372796758801e-62,0.0,6.118405598485884e-40,0.0,0.0,5.887060950389395e-40,0.0,0.11764705999999997,1.292223081224423e-60,0.0,0.0,0.0,3.66300306071043e-17,9.574889223354182e-18,3.590720899589228e-20,3.244439217527753e-20,3.106996926133314e-25,3.462816812115176e-21,1.3382044223649523e-27,3.1202939746716964e-25,1.1746359749020499e-55
2.8794937609794597e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,0.0,0.0,1.2459139623305666e-50,8.787185123804866e-62,0.0,2.554375211601102e-39,0.0,0.0,2.4577320597609858e-39,0.0,0.11764705999999993,1.08621569943028e-59,0.0,0.0,0.0,7.541476889693245e-17,1.9713007224552724e-17,7.392660675624878e-20,6.679727799001058e-20,6.3969375147165955e-25,7.129328730754184e-21,2.7551979273735172e-27,6.424134653735856e-25,9.873744368074454e-55
5.841258772272618e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060676,0.0,0.17647059,0.0,0.0,1.0301448311913907e-49,7.204588134259694e-61,0.0,1.0435957287083216e-38,0.0,0.0,1.0040637402347546e-38,0.0,0.11764705999999985,8.9058516795723e-59,0.0,0.0,0.0,1.5298424547644368e-16,3.99892432269498e-17,1.4996540227696172e-19,1.3550304956418537e-19,1.2977371603862891e-24,1.4462352567812505e-20,5.5894046221704784e-27,1.3031816011864214e-24,8.095454973640586e-54
1.1764788794858935e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060653,0.0,0.17647058999999998,0.0,0.0,8.376963020374236e-49,5.834985212903763e-60,0.0,4.2187858933972897e-38,0.0,0.0,4.058586174009032e-38,0.0,0.11764705999999969,7.212836027560901e-58,0.0,0.0,0.0,3.081231986348858e-16,8.054171523174385e-17,3.0204299331838705e-19,2.7291459249136974e-19,2.614045143007086e-24,2.912840024105037e-20,1.1258696750883672e-26,2.6247178728121063e-24,6.55649694090309e-53
2.3611848840031567e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060614,0.0,0.17647058999999995,0.0,0.0,6.756322694432422e-48,4.6973455678366e-59,0.0,1.6966810347552172e-37,0.0,0.0,1.6319396502585307e-37,0.0,0.11764705999999939,5.806558561716387e-57,0.0,0.0,0.0,6.184011049494491e-16,1.616466592413317e-16,6.061981754012362e-19,5.47737677461078e-19,5.247545767411984e-24,5.846049558401098e-20,2.2600795964786738e-26,5.2677904160635345e-24,5.278185071924665e-52
4.7305968930376834e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060537,0.0,0.17647058999999987,0.0,0.0,5.427045231227136e-47,3.770675032593676e-58,0.0,6.807062876611313e-37,0.0,0.0,6.544807900384758e-37,0.0,0.11764705999999876,4.661067634392722e-56,0.0,0.0,0.0,1.238956917569291e-15,3.2385654726050605e-16,1.2145085395669279e-18,1.0973838438618516e-18,1.0518085652852209e-23,1.1712468625587176e-19,4.5299054218496186e-26,1.0553935502566614e-23,4.236929214679158e-51
9.469420911106737e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806038,0.0,0.1764705899999997,0.0,0.0,4.350448253986588e-46,3.0232934945610956e-57,0.0,2.7284688773161585e-36,0.0,0.0,2.6213369138280145e-36,0.0,0.11764705999999751,3.7372023138454396e-55,0.0,0.0,0.0,2.480068542771836e-15,6.48276323298848e-16,2.4311292678982853e-18,2.196676162508829e-18,2.107331997007212e-23,2.3445306754335145e-19,9.07518100295014e-26,2.112622567557368e-23,3.397131924798201e-50
1.8947068947244844e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806007,0.0,0.17647058999999937,0.0,0.0,3.4838868791222577e-45,2.423939652416247e-56,0.0,1.0937742468468177e-35,0.0,0.0,1.0492179056463507e-35,0.0,0.11764705999999503,2.9963193760945405e-54,0.0,0.0,0.0,4.9622917930283724e-15,1.2971158753754939e-15,4.864370724560895e-18,4.395260743184505e-18,4.224040678841173e-23,4.691098298933435e-19,1.8188227886564138e-25,4.2270806021591436e-23,2.7236663563486184e-49
3.790236501952106e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618059443,0.0,0.17647058999999873,0.0,0.0,2.7885215033954656e-44,1.945437017512957e-55,0.0,4.389931150726008e-35,0.0,0.0,4.1982382921954083e-35,0.0,0.11764705999999006,2.404824981679456e-53,0.0,0.0,0.0,9.926738292947235e-15,2.5947949795285412e-15,9.730853637885697e-18,8.792429678062759e-18,8.480105314902568e-23,9.384233536934585e-19,3.650430453927144e-25,8.455996671364146e-23,2.1859955742153323e-48
7.581295716407349e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805819,0.0,0.17647058999999743,0.0,0.0,2.231382140705836e-43,1.565524656641967e-54,0.0,1.7669876261121782e-34,0.0,0.0,1.6795686897376512e-34,0.0,0.11764705999998012,1.9352015867943216e-52,0.0,0.0,0.0,1.9855631290408112e-14,5.190153187832928e-15,1.9463819464533623e-17,1.7586766641926943e-17,1.7082823667267855e-22,1.8770503976942116e-18,7.349638938522294e-25,1.691382880978011e-22,1.7591060204468265e-47
1.5163414145317835e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805568,0.0,0.17647058999999482,0.0,0.0,1.7853317153505737e-42,1.2667471315114961e-53,0.0,7.154367205673226e-34,0.0,0.0,6.718821543603184e-34,0.0,0.11764705999996025,1.565871893496094e-51,0.0,0.0,0.0,3.9713417275822457e-14,1.0380869604429014e-14,3.8929751117822756e-17,3.517543694608678e-17,3.4650616618315073e-22,3.7543044712978085e-18,1.4892028522823098e-24,3.3829493086635624e-22,1.4233838444395787e-46
3.032765100313881e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805066,0.0,0.17647058999998963,0.0,0.0,1.4283557789120338e-41,1.0361804664049271e-52,0.0,2.9305392700433048e-33,0.0,0.0,2.6876379782620444e-33,0.0,0.11764705999992049,1.280860108410115e-50,0.0,0.0,0.0,7.94289892086215e-14,2.076230243752366e-14,7.78616144243742e-17,7.035276306013841e-17,7.123562690846064e-22,7.508812560913367e-18,3.0552698143032763e-24,6.766082164045099e-22,1.1643069857232553e-45
6.065612471878075e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618040625,0.0,0.17647058999997925,0.0,0.0,1.142720786884312e-40,8.653403317670268e-52,0.0,1.2271813890694931e-32,0.0,0.0,1.0750770638555125e-32,0.0,0.11764705999984099,1.0696784451063342e-49,0.0,0.0,0.0,1.5886013292210115e-13,4.152516810294853e-14,1.557253410373697e-16,1.4070735731121664e-16,1.5020334026320055e-21,1.501782850977796e-17,6.417759911921254e-24,1.3532347874853449e-21,9.723420041251968e-45
1.2131307215006464e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561802056,0.0,0.1764705899999585,0.0,0.0,9.141910952275072e-40,7.504831499833275e-51,0.0,5.348314036441047e-32,0.0,0.0,4.300352000890103e-32,0.0,0.11764705999968197,9.276993317324556e-49,0.0,0.0,0.0,3.1772241974058646e-13,8.305089942774619e-14,3.1145279426293137e-16,2.8141631390565736e-16,3.313294998488332e-21,3.003585948604111e-17,1.406416474492387e-23,2.7064879296643682e-21,8.432824179014327e-44
2.426269670126324e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561798042,0.0,0.17647058999991697,0.0,0.0,7.313586625101008e-39,6.93514667932e-50,0.0,2.490968193397825e-31,0.0,0.0,1.7201495494704172e-31,0.0,0.11764705999936394,8.572785300870072e-48,0.0,0.0,0.0,6.354469909436615e-13,1.6610236202917764e-13,6.229077007123371e-16,5.628332994667279e-16,7.863444447545377e-21,6.007191775270366e-17,3.3042672509695657e-23,5.4129942141430966e-21,7.792696231923533e-43
4.852547567377679e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561790014,0.0,0.17647058999983392,0.0,0.0,5.850892445416285e-38,7.038124000511865e-49,0.0,1.2776944012035787e-30,0.0,0.0,6.880615696003971e-31,0.0,0.11764705999872786,8.70007922484095e-47,0.0,0.0,0.0,1.2708961236142289e-12,3.3220528684774053e-13,1.245817513604278e-15,1.125663560102102e-15,2.06742239131972e-20,1.2014401954257746e-16,8.574247681591195e-23,1.0826006783764165e-20,7.908406854469682e-42
