Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0448459238304216e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.0221858077055057e-54,1.063416576480674e-65,0.0,4.972946963488193e-42,0.0,0.0,4.7850127105019284e-42,0.0,0.11764706,1.314527649223469e-63,0.0,0.0,0.0,2.736481493603308e-18,7.153012631639625e-19,2.682482413353355e-21,2.423789369213194e-21,2.3210554250315495e-26,2.586930440710761e-22,9.996960262355307e-29,2.3310454768307885e-26,1.1949109168665468e-58,5.342194958386742e-43
2.9255685867251803e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.544674987454777e-53,1.2624914691298204e-64,0.0,3.003668564085992e-41,0.0,0.0,2.8901476771431635e-41,0.0,0.11764706,1.5606113161900485e-62,0.0,0.0,0.0,7.66214818208868e-18,2.0028435368590953e-18,7.510950757389394e-21,6.786610233573994e-21,6.498977484926265e-26,7.243405233981274e-22,2.7991577317167378e-28,6.526927335126208e-26,1.4186019592683623e-57,3.226685754865593e-42
6.687013912514698e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.6616728926805698e-52,1.2395286210949613e-63,0.0,1.4461458741910504e-40,0.0,0.0,1.3914816962139599e-40,0.0,0.11764705999999998,1.5322261101339072e-61,0.0,0.0,0.0,1.7513481559057083e-17,4.57792808424936e-18,1.7167887445461466e-20,1.55122519614038e-20,1.4854910784067391e-25,1.6556354820486862e-21,6.398116575708158e-28,1.4918691051717052e-25,1.39279969286928e-56,1.5535102938988653e-41
1.4209904564093735e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.527357155539671e-51,1.0963614987415976e-62,0.0,6.315775914786393e-40,0.0,0.0,6.07696614233744e-40,0.0,0.11764705999999997,1.355252057861392e-60,0.0,0.0,0.0,3.721614831298454e-17,9.72809717902989e-18,3.648176082160562e-20,3.296353541349624e-20,3.1567134099756356e-25,3.51822539933563e-21,1.3596175995807027e-27,3.1702218484898766e-25,1.2319295680089619e-55,6.784587597151171e-41
2.9255685867251806e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,0.0,0.0,1.306683717758364e-50,9.215788793949406e-62,0.0,2.6367764240821625e-39,0.0,0.0,2.5370137391081145e-39,0.0,0.11764705999999993,1.1391969475529674e-59,0.0,0.0,0.0,7.6621481820802e-17,2.0028435368590947e-17,7.51095075738939e-20,6.78661023034124e-20,6.499300760076052e-25,7.243405233852825e-21,2.7992861764468864e-27,6.526927335126227e-25,1.0355346043081673e-54,2.832431766936657e-40
5.934724847356794e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060676,0.0,0.17647059,0.0,0.0,1.0803903949617332e-49,7.556004484509031e-61,0.0,1.077261756700498e-38,0.0,0.0,1.036452893145553e-38,0.0,0.11764705999999985,9.3402501260585e-59,0.0,0.0,0.0,1.5543214883628718e-16,4.062911174771305e-17,1.5236500107847036e-19,1.3767123602616983e-19,1.3185046208126922e-24,1.469376490266043e-20,5.678850101564887e-27,1.324033830839896e-24,8.490324907552944e-54,1.1571407967664075e-39
1.1953037368620023e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060653,0.0,0.17647058999999998,0.0,0.0,8.785551421633476e-49,6.119605567316571e-60,0.0,4.3548891201932673e-38,0.0,0.0,4.189508308654486e-38,0.0,0.11764705999999969,7.564665530392103e-58,0.0,0.0,0.0,3.130534828666585e-16,8.183046450595718e-17,3.068759880876228e-19,2.772815032433852e-19,2.655882009562507e-24,2.959448423936852e-20,1.1438885037343358e-26,2.6667160254944555e-24,6.876311373147858e-53,4.6773481114256413e-39
2.398966241114648e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060614,0.0,0.17647058999999995,0.0,0.0,7.085863971073547e-48,4.926487978495617e-59,0.0,1.7514234337379427e-37,0.0,0.0,1.6845828647829993e-37,0.0,0.11764705999999937,6.089809773969434e-57,0.0,0.0,0.0,6.282961509250052e-16,1.6423317002244512e-16,6.15897962105926e-19,5.565020367646178e-19,5.3315499836177084e-24,5.939592290915617e-20,2.2962583251069763e-26,5.352080414803626e-24,5.535661562383491e-52,1.8807411038799228e-38
4.8062912496199395e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060537,0.0,0.17647058999999987,0.0,0.0,5.691750677484381e-47,3.9546359561920215e-58,0.0,7.026731833697874e-37,0.0,0.0,6.755930735881036e-37,0.0,0.11764705999999875,4.888468378174996e-56,0.0,0.0,0.0,1.2587814870321144e-15,3.290385810554198e-16,1.2339419101425257e-18,1.1149431001542908e-18,1.0686538717926513e-23,1.1899880023421747e-19,4.6024493047196845e-26,1.0722809193422171e-23,4.4436374048062873e-51,7.542613008576785e-38
