Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0610460515157107e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.0704731755949494e-54,1.1136517095733536e-65,0.0,5.1283517918284167e-42,0.0,0.0,4.9345443577051126e-42,0.0,0.11764706,1.3766251121305155e-63,0.0,0.0,0.0,2.7789100934511045e-18,7.263918666035809e-19,2.724073768230401e-21,2.4613697400284617e-21,2.3570430348752696e-26,2.627040281306964e-22,1.0151961568102742e-28,2.367187872090784e-26,1.2513577602487886e-58,5.509138550836329e-43,1.008081663355349e-70
2.97092894424399e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.617644392099428e-53,1.3221308292151624e-64,0.0,3.097533486573781e-41,0.0,0.0,2.980464792053889e-41,0.0,0.11764706,1.6343336838379395e-62,0.0,0.0,0.0,7.780948261662492e-18,2.0338972264900262e-18,7.627406551045126e-21,6.891835271849777e-21,6.599743489202368e-26,7.355712787650365e-22,2.842558374146559e-28,6.628126041854197e-26,1.4856158877861405e-57,3.327519684705144e-42,2.842858911770624e-69
6.790694729700549e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.7401691994916008e-52,1.298083343468698e-63,0.0,1.4913382075278283e-40,0.0,0.0,1.4349654992206464e-40,0.0,0.11764705999999998,1.604607717920761e-61,0.0,0.0,0.0,1.7785024598082848e-17,4.6489079462629175e-18,1.7434072116674566e-20,1.575276633457274e-20,1.5085236364062998e-25,1.6813057800300624e-21,6.497319349130291e-28,1.5150002381381026e-25,1.4585948652842013e-56,1.6020574905832053e-41,6.183768217393305e-68
1.4430226300613666e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,1.5995084775137377e-51,1.1481532791607355e-62,0.0,6.513146342418026e-40,0.0,0.0,6.266871334285486e-40,0.0,0.11764705999999997,1.4192737487670797e-60,0.0,0.0,0.0,3.779317727091391e-17,9.8789293858087e-18,3.704740324793346e-20,3.347462845634003e-20,3.205658997860992e-25,3.572774782545497e-21,1.3806987460342408e-27,3.2193755060434707e-25,1.2901255423763361e-55,6.996605959562147e-41,1.1463611867242416e-66
2.97092894424399e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,0.0,0.0,1.3684105753546082e-50,9.651143231987893e-62,0.0,2.7191777301437418e-39,0.0,0.0,2.616295418455244e-39,0.0,0.11764705999999993,1.1930126824841482e-59,0.0,0.0,0.0,7.780948261653742e-17,2.033897226490026e-17,7.627406551045122e-20,6.891835268515997e-20,6.600076866700583e-25,7.355712787517901e-21,2.8426908327745245e-27,6.628126041854215e-25,1.084453323672013e-54,2.9209452596534293e-40,1.9702979719325858e-65
6.0267415726092365e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060676,0.0,0.17647059,0.0,0.0,1.1314273086018488e-49,7.912956194088762e-61,0.0,1.1109278614156362e-38,0.0,0.0,1.068842046056352e-38,0.0,0.11764705999999985,9.781491030194024e-59,0.0,0.0,0.0,1.5784209330763009e-16,4.125905802308337e-17,1.5472739003548664e-19,1.3980580108394144e-19,1.3389501188100099e-24,1.492158879722884e-20,5.7669088642465255e-27,1.3445627113475737e-24,8.89141466297165e-54,1.193301446665358e-39,3.2656212479083776e-64
1.2138366829339731e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060653,0.0,0.17647058999999998,0.0,0.0,9.200574945794459e-49,6.408709687574937e-60,0.0,4.490992968311675e-38,0.0,0.0,4.320430443299939e-38,0.0,0.11764705999999968,7.922037578174109e-58,0.0,0.0,0.0,3.1790731468919754e-16,8.30992295394495e-17,3.116340390855569e-19,2.815806976460704e-19,2.697070416577655e-24,3.0053340815715245e-20,1.16162803591562e-26,2.708062925671892e-24,7.201164001031018e-53,4.8235152399076945e-39,5.317215153129965e-63
2.436161734280072e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060614,0.0,0.17647058999999993,0.0,0.0,7.42059540634334e-48,5.1592410659864645e-59,0.0,1.806166332815013e-37,0.0,0.0,1.737226079307468e-37,0.0,0.11764705999999936,6.377524274300486e-57,0.0,0.0,0.0,6.380377574498617e-16,1.6677957257218146e-16,6.254473371856957e-19,5.651304898285929e-19,5.414252746060785e-24,6.031684484894616e-20,2.3318765076837784e-26,5.4350633543205795e-24,5.7971951996452505e-52,1.9395142633761713e-38,8.582004710509879e-62
4.88081183697227e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806053,0.0,0.17647058999999984,0.0,0.0,5.960625140958309e-47,4.1414970322992036e-58,0.0,7.246404803726568e-37,0.0,0.0,6.96705357137731e-37,0.0,0.11764705999999872,5.119454105249797e-56,0.0,0.0,0.0,1.278298642961306e-15,3.3414025863764387e-16,1.2530739333859662e-18,1.1322300704266954e-18,1.0852384340793386e-23,1.2084385290044035e-19,4.6738701423646206e-26,1.0889064211618165e-23,4.6536043591559625e-51,7.778319665094814e-38,1.3791049595942418e-60
