Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0770025266122234e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,9.511062516148675e-79,1.1194978264456567e-54,1.1646538683060324e-65,0.0,5.283756630802506e-42,0.0,0.0,5.084076004908297e-42,0.0,0.11764706,1.4396707231422102e-63,0.0,1.577907285129399e-62,0.0,2.8207005601686003e-18,7.373156655406882e-19,2.765039582279414e-21,2.498384895876618e-21,2.3924893883734372e-26,2.6665468632939416e-22,1.0304631641530911e-28,2.402786679772907e-26,1.3086664740692213e-58,5.676082143285915e-43,1.0701032164409397e-70,2.406301258015698e-49
3.015607074514226e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,4.939892522408305e-77,1.6917279408763698e-53,1.3826808086042409e-64,0.0,3.191398421686096e-41,0.0,0.0,3.0707819069646115e-41,0.0,0.11764706,1.7091817009059648e-62,0.0,4.449951020038103e-61,0.0,7.897961568471458e-18,2.064483863513927e-18,7.742110830382359e-21,6.995477708217647e-21,6.698993975710921e-26,7.466331217213625e-22,2.885306271526986e-28,6.72780270336414e-26,1.5536530361513507e-57,3.4283536145446924e-42,3.0177639136539306e-69,3.6364024702697135e-48
6.892816170318229e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,2.15725784612792e-75,1.8198640387410124e-52,1.357532130966599e-63,0.0,1.5365305532594403e-40,0.0,0.0,1.4784493022273325e-40,0.0,0.11764705999999998,1.6780945119083114e-61,0.0,9.679615461790808e-60,0.0,1.805248358507469e-17,4.718820259460405e-18,1.769625332658825e-20,1.598966333195217e-20,1.5312097903447061e-25,1.706589992501534e-21,6.595030133868094e-28,1.537783475054661e-25,1.5253946563978345e-56,1.6506046872675445e-41,6.564220440126666e-68,3.9118758396136167e-47
1.4647234361926237e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,8.031244259930215e-74,1.672761452588008e-51,1.2007358744138683e-62,0.0,6.71051687968057e-40,0.0,0.0,6.456776526233531e-40,0.0,0.11764705999999997,1.484272994459567e-60,0.0,1.7944375737684174e-58,0.0,3.836152761827121e-17,1.002749305135336e-17,3.7604538319000025e-20,3.39780345756311e-20,3.253868477116397e-25,3.6265037340468184e-21,1.4014628448923589e-27,3.2677898844911573e-25,1.3492101179741758e-55,7.208624321973119e-41,1.216890295549128e-66,3.595687853515306e-46
3.0156070745142256e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,0.0,2.7669365711523463e-72,1.4310799185792142e-50,1.0093145354953231e-61,0.0,2.8015791283567075e-39,0.0,0.0,2.6955770978023723e-39,0.0,0.11764705999999993,1.2476501617658426e-59,0.0,3.084179708533705e-57,0.0,7.897961568462446e-17,2.0644838635139266e-17,7.742110830382356e-20,6.995477704782844e-20,6.699337455557564e-25,7.466331217077149e-21,2.8854427440527684e-27,6.727802703364159e-25,1.134119011953462e-54,3.009458752370199e-40,2.09151924293287e-65,3.07618666092347e-45
6.117374351157429e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060676,0.0,0.17647059,0.0,9.182537691073467e-71,1.1832434868845258e-49,8.27535874935446e-61,0.0,1.1445940416820483e-38,0.0,0.0,1.1012311989671501e-38,0.0,0.11764705999999985,1.0229469921609683e-58,0.0,5.111801683853772e-56,0.0,1.6021579181717192e-16,4.187952980271107e-17,1.5705424827347055e-19,1.419082619315811e-19,1.3590881832030532e-24,1.5145986182896853e-20,5.8536434869708225e-27,1.3647828341110197e-24,9.298629275911197e-54,1.2294620965643086e-39,3.466536421103421e-64,2.5434506188667604e-44
1.2320908904443837e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060653,0.0,0.17647058999999998,0.0,2.99200985585401e-69,9.621935317839528e-49,6.702229132338441e-60,0.0,4.627097428263889e-38,0.0,0.0,4.451352577945389e-38,0.0,0.11764705999999968,8.284867568093382e-58,0.0,8.323243894037716e-55,0.0,3.226881440816303e-16,8.434891213785458e-17,3.163205282127639e-19,2.8581523145651804e-19,2.73763962633349e-24,3.0505296113572436e-20,1.1791008751195803e-26,2.748787961660241e-24,7.530977920255008e-53,4.969682368389745e-39,5.644353275497494e-63,2.068291802699399e-43
2.472797801101665e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060614,0.0,0.17647058999999993,0.0,9.661040502059543e-68,7.760437737896975e-48,5.3955497427641135e-59,0.0,1.8609097243491568e-37,0.0,0.0,1.7898692938319357e-37,0.0,0.11764705999999936,6.669633967004938e-57,0.0,1.3433749201717515e-53,0.0,6.476328486080013e-16,1.6928767680814134e-16,6.348530880913491e-19,5.7362916953611915e-19,5.4957127839344655e-24,6.122391597106831e-20,2.366959439320078e-26,5.516798216758737e-24,6.062724084440742e-52,1.9982874228724194e-38,9.110006836863804e-62,1.6681522678864913e-42
4.954211622416227e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806053,0.0,0.17647058999999984,0.0,3.1054586722565964e-66,6.233604953830049e-47,4.3312140566296254e-58,0.0,7.466081725413102e-37,0.0,0.0,7.1781764068735875e-37,0.0,0.11764705999999871,5.353970173102695e-56,0.0,2.158767432826679e-52,0.0,1.29752225765056e-15,3.3916520614871324e-16,1.271918207848512e-18,1.1492570418142295e-18,1.101574018447066e-23,1.2266115567063896e-19,4.7442186131426945e-26,1.1052818726955947e-23,4.8667804074629325e-51,8.014026321612842e-38,1.4639534740949684e-60,1.3399506195675454e-41
