Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0927260229449766e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,1.0225907296360169e-78,1.169248834322296e-54,1.216411686284152e-65,0.0,5.439161480252881e-42,0.0,0.0,5.233607652111483e-42,0.0,0.11764706,1.5036504318475963e-63,0.0,1.672090319793815e-62,0.0,2.8618808488101797e-18,7.480799672732733e-19,2.805407258916761e-21,2.534859597445354e-21,2.4274181966450286e-26,2.705476613958461e-22,1.0455072608235842e-28,2.4378657131217307e-26,1.3668242864478097e-58,5.8430257357355e-43,1.1339761591254262e-70,2.5132383946219665e-49,3.317498058087411e-95
3.0596328642459345e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,5.3111714111857556e-77,1.7669091233608824e-53,1.4441279131134359e-64,0.0,3.285263369235856e-41,0.0,0.0,3.161099021875335e-41,0.0,0.11764706,1.7851386867462377e-62,0.0,4.715562279808081e-61,0.0,8.013266376667864e-18,2.094623908365165e-18,7.85514032496693e-21,7.097606872603141e-21,6.79679533558506e-26,7.575334519074002e-22,2.927430019024905e-28,6.826023996740847e-26,1.6226982415880145e-57,3.5291875443842427e-42,3.197889960356846e-69,3.7980058983085e-48,3.134674006323767e-93
6.993446546847851e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,2.3193958483755303e-75,1.900739649479497e-52,1.4178617349191674e-63,0.0,1.5817229112022094e-40,0.0,0.0,1.5219331052340184e-40,0.0,0.11764705999999998,1.7526701149375488e-61,0.0,1.0257377975570217e-59,0.0,1.8316037432380676e-17,4.7877117905489485e-18,1.795460645706727e-20,1.622310142194331e-20,1.5535647153381044e-25,1.7315050329266325e-21,6.691314290303021e-28,1.560234056397908e-25,1.5931841793068093e-56,1.6991518839518836e-41,6.956029445625272e-68,4.0857214349921964e-47,2.740204506881798e-91
1.4861073912051682e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,8.634867004334313e-74,1.7470997554614372e-51,1.254097566202862e-62,0.0,6.907887524949413e-40,0.0,0.0,6.646681718181575e-40,0.0,0.11764705999999997,1.5502353095271734e-60,0.0,1.9015450067875748e-58,0.0,3.892157954379606e-17,1.0173887554916515e-17,3.815353872126795e-20,3.447409051672206e-20,3.3013740948636585e-25,3.6794481949495946e-21,1.4219237852361157e-27,3.3154973698455573e-25,1.4091701275050396e-55,7.420642684384092e-41,1.2895247509060367e-66,3.755481906784641e-46,2.0443606049033447e-89
3.0596328642459344e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,0.0,2.9748976034477066e-72,1.4946777808201493e-50,1.0541696663488811e-61,0.0,2.8839806173554765e-39,0.0,0.0,2.7748587771494994e-39,0.0,0.11764705999999993,1.303097209536721e-59,0.0,3.268270019852635e-57,0.0,8.013266376658587e-17,2.0946239083651647e-17,7.855140324966928e-20,7.097606869067315e-20,6.797148917780132e-25,7.575334518933509e-21,2.9275705054485042e-27,6.826023996740866e-25,1.1845206012456246e-54,3.097972245086969e-40,2.2163590593361254e-65,3.212893837752779e-45,1.4102149095072528e-87
6.206683810327467e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060676,0.0,0.17647059,0.0,9.87269085080588e-71,1.2358273819552459e-49,8.643131394582483e-61,0.0,1.1782602963801468e-38,0.0,0.0,1.1336203518779483e-38,0.0,0.11764705999999985,1.0684086975237958e-58,0.0,5.416917874325139e-56,0.0,1.6255483221200176e-16,4.249094214112189e-17,1.5934713230647183e-19,1.439800249761497e-19,1.3789322819074008e-24,1.5367107166653298e-20,5.9391119770763166e-27,1.3847077250531518e-24,9.711878004983958e-54,1.2656227464632588e-39,3.6734490621550015e-64,2.6564827563280726e-44,9.365394401429791e-86
1.250078570249053e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060653,0.0,0.17647058999999998,0.0,3.216887240019761e-69,1.0049538632574624e-48,7.00009850352835e-60,0.0,4.763202490983197e-38,0.0,0.0,4.5822747125908405e-38,0.0,0.11764705999999968,8.653074659222098e-58,0.0,8.820046514009901e-55,0.0,3.2739916910217833e-16,8.558034825606231e-17,3.2093859042007637e-19,2.8998793729740013e-19,2.7776167643501203e-24,3.0950652461100696e-20,1.1963187045144015e-26,2.7889183758112962e-24,7.8656796460915e-53,5.115849496871797e-39,5.981256714950517e-63,2.1602076596925913e-43,6.104936574301864e-84
2.508898948681666e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806061,0.0,0.17647058999999993,0.0,1.0387157600962386e-67,8.1053152278098e-48,5.635361370765293e-59,0.0,1.915653601042695e-37,0.0,0.0,1.842512508356403e-37,0.0,0.11764705999999935,6.966073784271071e-57,0.0,1.4235590633306245e-53,0.0,6.570878428799108e-16,1.7175916048594279e-16,6.441215066472837e-19,5.820037609410904e-19,5.575984537967921e-24,6.211774304602681e-20,2.401530568052721e-26,5.5973396773276406e-24,6.332189069867578e-52,2.0570605823686668e-38,9.653770220720497e-62,1.7422857364317036e-42,3.943071669018092e-82
5.026539705546892e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060526,0.0,0.17647058999999984,0.0,3.3388627907236814e-66,6.510629279286156e-47,4.5237447904525385e-58,0.0,7.685762540198198e-37,0.0,0.0,7.389299242369861e-37,0.0,0.11764705999999868,5.5919643689126145e-56,0.0,2.2876211982803398e-52,0.0,1.3164651904248929e-15,3.441167849457022e-16,1.2904873391016908e-18,1.1660354042332296e-18,1.1176715320105631e-23,1.2445192420000434e-19,4.8135416948280734e-26,1.1214182280360551e-23,5.083118088062967e-51,8.24973297813087e-38,1.5513347800732237e-60,1.3994986530533798e-41,2.535116315958287e-80
1.0061821219277344e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806036,0.0,0.17647058999999968,0.0,1.0708375465358661e-64,5.2190749429260185e-46,3.6272604505313604e-57,0.0,3.080825002472398e-36,0.0,0.0,2.9595739349670923e-36,0.0,0.11764705999999736,4.4837876881647854e-55,0.0,3.6681534439201175e-51,0.0,2.6352198854729275e-15,6.888320338652134e-16,2.5832190040104755e-18,2.3340986748365418e-18,2.2394157823770855e-23,2.491202864444605e-19,9.643913547170402e-26,2.244786748642727e-23,4.0757810309116924e-50,3.3041962291253067e-37,2.4875332046438625e-59,1.1218713935891059e-40,1.626179955173741e-78
2.013238424673825e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060026,0.0,0.17647058999999934,0.0,3.430527176766586e-63,4.179492698977136e-45,2.9084327682995136e-56,0.0,1.2351430873620456e-35,0.0,0.0,1.1846008612136054e-35,0.0,0.11764705999999472,3.595218820322594e-54,0.0,5.875420400966769e-50,0.0,5.272729275401274e-15,1.378262531704191e-15,5.1686823338279265e-18,4.670225152119303e-18,4.4892966586911313e-23,4.984570106793776e-19,1.933005564699568e-25,4.4915237898564323e-23,3.26806835836947e-49,1.3225395900389575e-36,3.984376101842166e-58,8.984069925778455e-40,1.041942435028887e-76
4.0273510301660057e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805936,0.0,0.17647058999999865,0.0,1.0983845972116864e-61,3.345288084473395e-44,2.3347030377209926e-55,0.0,4.958268036116516e-35,0.0,0.0,4.7399464589301693e-35,0.0,0.11764705999998945,2.8860107725574327e-53,0.0,9.405775461819519e-49,0.0,1.0547748054587084e-14,2.7571235273818565e-15,1.0339608993462354e-17,9.342477850989391e-18,9.014627912243899e-23,9.971304581332305e-19,3.8803933427001716e-25,8.984997872285297e-23,2.6233953921631258e-48,5.291881047748317e-36,6.378462113306759e-57,7.190897229784627e-39,6.672233227127681e-75
8.055576241150368e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805803,0.0,0.17647058999999726,0.0,3.515816452795163e-60,2.676908203189068e-43,1.879435927115543e-54,0.0,1.9965016421099435e-34,0.0,0.0,1.8962872303488557e-34,0.0,0.11764705999997889,2.3232386490686224e-52,0.0,1.5053324157025844e-47,0.0,2.109778561027516e-14,5.5148455187351555e-15,2.0681462312729317e-17,1.868698222594793e-17,1.8167568411853401e-22,1.99447734897701e-18,7.815806330677983e-25,1.7971946037148825e-22,2.1118332696359136e-47,2.117097005699762e-35,1.0208308446451584e-55,5.75417465467599e-38,4.2714461741515525e-73
1.611202666311909e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618055363,0.0,0.17647058999999451,0.0,1.1252190074381253e-58,2.1417976898936044e-42,1.5218032606487762e-53,0.0,8.089637410800278e-34,0.0,0.0,7.5857662589059815e-34,0.0,0.11764705999995777,1.881155989174808e-51,0.0,2.4088585846448666e-46,0.0,4.219786071091715e-14,1.1030289501426607e-14,4.1365168951255675e-17,3.7375986884739374e-17,3.688256129153068e-22,3.989171114408867e-18,1.5849182033215297e-24,3.594584236690056e-22,1.7099783544848788e-46,8.469077245085775e-35,1.6335509069182946e-54,4.603922542317993e-37,2.7341150224963186e-71
3.2224927507056535e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618050034,0.0,0.176470589999989,0.0,3.6009532297648725e-57,1.713546609469567e-41,1.2464805787197608e-52,0.0,3.3183746651874124e-33,0.0,0.0,3.0344299754564772e-33,0.0,0.11764705999991552,1.5408196746255687e-50,0.0,3.8544351281709046e-45,0.0,8.439801086926446e-14,2.2061177466692793e-14,8.273258222827808e-17,7.475397983782686e-17,7.594899385625846e-22,7.978558580249767e-18,3.256613233401887e-24,7.189363502650808e-22,1.4006112759776442e-45,3.3877687474035617e-34,2.6138587039747536e-53,3.683371174044534e-36,1.749958253401828e-69
