Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21),CXHO(27)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1235130613416167e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,3.9659416377474336e-106,1.174995082333201e-78,1.2708885449413956e-54,1.3221512543599349e-65,0.0,5.749971209985702e-42,0.0,0.0,5.532670946517853e-42,0.0,0.11764706,1.6343589323351494e-63,0.0,1.8686462362504884e-62,0.0,2.942512986902272e-18,7.691567662078577e-19,2.8844482803483813e-21,2.606278066590926e-21,2.4958097732105807e-26,2.7817021367757655e-22,1.074964019576272e-28,2.5065514254958646e-26,1.4856388385042079e-58,6.1769129206346696e-43,1.2672762138894415e-70,2.731707554980417e-49,3.919328944998143e-95,5.421000484199985e-71,4.48469666410372e-61
3.145836571756527e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,4.510952664809483e-104,6.102735071855554e-77,1.9205018629769823e-53,1.569662393870246e-64,0.0,3.4729933009392113e-41,0.0,0.0,3.3417332516967833e-41,0.0,0.11764706,1.9403163941353122e-62,0.0,5.269881435679836e-61,0.0,8.239036363325686e-18,2.153638945382002e-18,8.076455184975469e-21,7.297578586196809e-21,6.988293143395979e-26,7.788765982961903e-22,3.009909497173509e-28,7.018343991388423e-26,1.7637554007406147e-57,3.7308554040633413e-42,3.5738051883890496e-69,4.1281565107333125e-48,3.7033385975228158e-93,1.2126507555636516e-69,5.324246887023224e-60
7.190483592586347e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,4.083709016284986e-102,2.665072786952561e-75,2.0659659229626166e-52,1.541113218910032e-63,0.0,1.6721076630256123e-40,0.0,0.0,1.6089007112473914e-40,0.0,0.11764705999999998,1.9050257274976267e-61,0.0,1.146314322287227e-59,0.0,1.883208311616981e-17,4.922603303730291e-18,1.8460468994229638e-20,1.668017962437743e-20,1.5973362997392172e-25,1.7802893675293204e-21,6.879841421807773e-28,1.6041929123173545e-25,1.731676042332602e-56,1.796246277320563e-41,7.773717804956516e-68,4.440882399400233e-47,3.237307962211747e-91,2.395970329006045e-68,5.227408954617075e-59
1.5279777634245986e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,3.0950282411203546e-100,9.921785920797215e-74,1.898970519074445e-51,1.3631138636942739e-62,0.0,7.302629133353445e-40,0.0,0.0,7.026492102077665e-40,0.0,0.11764705999999996,1.6849942924125974e-60,0.0,2.1250735626781573e-58,0.0,4.0018176621847235e-17,1.0460532020426866e-17,3.922849661273797e-20,3.544538169661414e-20,3.394391515988605e-25,3.783114905979192e-21,1.4619869148835452e-27,3.408909938674382e-25,1.5316665825056993e-55,7.844679409206043e-41,1.441109701216732e-66,4.081936022021726e-46,2.415230267510471e-89,4.263418191837494e-67,4.623640570993651e-58
3.1458365717565268e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,2.15200758493859e-98,3.4182688793041686e-72,1.6246061694074455e-50,1.1458073900387253e-61,0.0,3.048783862538827e-39,0.0,0.0,2.9334221358437575e-39,0.0,0.11764705999999991,1.4163739032560612e-59,0.0,3.6524584956537017e-57,0.0,8.239036363315878e-17,2.1536389453820018e-17,8.076455184975462e-20,7.297578582458935e-20,6.988666930287907e-25,7.788765982813383e-21,3.0100580113927428e-27,7.018343991388445e-25,1.2874895676020006e-54,3.2749992305205116e-40,2.476894328351718e-65,3.492182206387339e-45,1.6660435174625535e-87,7.190597880729529e-66,3.8865436263582926e-57
6.381554188420382e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060676,0.0,0.17647059,1.434854858834227e-96,1.13440919281423e-70,1.3432545895915166e-49,9.394481420679375e-61,0.0,1.245593024831415e-38,0.0,0.0,1.198398657699545e-38,0.0,0.11764705999999983,1.1612857585826164e-58,0.0,6.0536820979185535e-56,0.0,1.6713473765560876e-16,4.36881043206063e-17,1.6383666232378782e-19,1.4803659401454692e-19,1.417787768608803e-24,1.580006813621955e-20,6.106462408825774e-27,1.423721209681661e-24,1.0556134164902786e-53,1.3379440462611595e-39,4.1052667478277944e-64,2.8874037804231945e-44,1.1064380702402308e-85,1.1809658740046169e-64,3.186579286810146e-56
1.2852989421748095e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060653,0.0,0.17647058999999998,9.370892023392607e-95,3.696324044247235e-69,1.0923118461840302e-48,7.60864031507109e-60,0.0,5.035414390386566e-38,0.0,0.0,4.844118981881745e-38,0.0,0.11764705999999966,9.405314096448523e-58,0.0,9.856851981778049e-55,0.0,3.3662348569981616e-16,8.799153405417878e-17,3.2998088327185373e-19,2.9815821013049077e-19,2.8558938906489727e-24,3.182267244198301e-20,1.2300320021350313e-26,2.8674948307673085e-24,8.549468223654324e-53,5.408183753835902e-39,6.684359545113054e-63,2.3479888014469946e-43,7.212439703743965e-84,1.914098449216824e-63,2.5808272069585845e-55
2.5795859888403517e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806061,0.0,0.17647058999999993,6.0568175395929395e-93,1.1935233512127492e-67,8.809888855687931e-48,6.12529722311623e-59,0.0,2.025142782270928e-37,0.0,0.0,1.9477989374053397e-37,0.0,0.11764705999999933,7.571697541669427e-57,0.0,1.5908998838360706e-53,0.0,6.756009817854603e-16,1.765983935213234e-16,6.622693251679834e-19,5.98401441306493e-19,5.733162018246175e-24,6.386788104931448e-20,2.4692230517032746e-26,5.7550420729386625e-24,6.882703347435182e-52,2.1746069013611637e-38,1.0788580760942189e-61,1.8937380300948304e-42,4.658388553951425e-82,3.081637012529838e-62,2.0776810275501685e-54
5.168160082171436e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060526,0.0,0.17647058999999984,3.893697612446589e-91,3.8364785250336477e-66,7.076581072911308e-47,4.917097333938398e-58,0.0,8.12513562729433e-37,0.0,0.0,7.811544913362416e-37,0.0,0.11764705999999865,6.078189678142848e-56,0.0,2.556533404444391e-52,0.0,1.3535559739456675e-15,3.53812112455611e-16,1.3268462089602353e-18,1.1988878994349569e-18,1.149192180747833e-23,1.279582982471956e-19,4.949283259092664e-26,1.1530136557281608e-23,5.525098604116922e-51,8.721146291166932e-38,1.7336957664623096e-60,1.5211533716513042e-41,2.9950145015067267e-80,4.943633910489504e-61,1.66786098344187e-53
1.0345308268833606e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060354,0.0,0.17647058999999968,2.4952229672611134e-89,1.2304324881204003e-64,5.67275533207219e-46,3.9427693449244825e-57,0.0,3.2570216975915406e-36,0.0,0.0,3.128692445536631e-36,0.0,0.11764705999999729,4.87376084549111e-55,0.0,4.099348624262966e-51,0.0,2.709465958221755e-15,7.08239550324178e-16,2.6559999765447074e-18,2.39986079879772e-18,2.3026335521855984e-23,2.561391325758305e-19,9.916116106879536e-26,2.3080325525968453e-23,4.430267806420379e-50,3.4930074422181915e-37,2.7799452711386867e-59,1.2193927083767864e-40,1.921187015026097e-78,7.912874441638816e-60,1.3373644760785275e-52
