Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21),CXHO(27),COX(37)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.138594448386801e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,4.296273427789191e-106,1.256003198573083e-78,1.3227576262326508e-54,1.376112591778111e-65,0.0,5.90537608998515e-42,0.0,0.0,5.6822025937210396e-42,0.0,0.11764706,1.7010624910412023e-63,0.0,1.9710191808127775e-62,0.0,2.982011572871499e-18,7.794814800796765e-19,2.9231674394080934e-21,2.641263230200399e-21,2.5293121828209435e-26,2.819042091256569e-22,1.089393755475473e-28,2.5401979165757475e-26,1.5462726414672197e-58,6.343856513084256e-43,1.3367033257851081e-70,2.8431974937091075e-49,4.245778637359105e-95,5.717986960152114e-71,4.6677318721376044e-61,3.7306434679138685e-82
3.1880644554830426e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,4.8866792226541156e-104,6.523477971112206e-77,1.9988837694480718e-53,1.6337255360597254e-64,0.0,3.566858284756832e-41,0.0,0.0,3.432050366607507e-41,0.0,0.11764706,2.0195071586841895e-62,0.0,5.5585893493572115e-61,0.0,8.349632404039503e-18,2.182548144223094e-18,8.184868830342663e-21,7.395537044296365e-21,7.08210058701868e-26,7.893317855507875e-22,3.050313034511811e-28,7.112554166412094e-26,1.8357401239887414e-57,3.831689333902891e-42,3.769594369666851e-69,4.296639969466246e-48,4.0117978482851326e-93,1.2790850721505622e-69,5.54154710817413e-60,8.345322986515935e-81
7.287004469675526e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,4.423848996898653e-102,2.848811778647454e-75,2.1502846892436667e-52,1.6040113052842281e-63,0.0,1.7173000565763826e-40,0.0,0.0,1.6523845142540771e-40,0.0,0.11764705999999998,1.9827763244498607e-61,0.0,1.2091145960412164e-59,0.0,1.9084874066372732e-17,4.988681472509929e-18,1.8708271612211794e-20,1.6904084671429292e-20,1.6187783295894285e-25,1.8041869383968403e-21,6.972193669306432e-28,1.6257266666084794e-25,1.80235164741465e-56,1.8447934740049022e-41,8.19959715877737e-68,4.622129206515031e-47,3.5069504785398484e-91,2.5272317429476874e-68,5.440757341837916e-59,1.6489050397949614e-79
1.5484884498060493e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,3.3528182285931587e-100,1.0605826874095575e-73,1.9764736615953422e-51,1.4187474223060123e-62,0.0,7.500000093571025e-40,0.0,0.0,7.216397294025708e-40,0.0,0.11764705999999996,1.7537649440375528e-60,0.0,2.241494685634948e-58,0.0,4.055535739102808e-17,1.06009481290836e-17,3.9755077175950066e-20,3.5921179921459123e-20,3.4399572315565944e-25,3.833897244072116e-21,1.4816123245783456e-27,3.4546691665430207e-25,1.5941793811400044e-55,8.056697771617013e-41,1.5200601961702673e-66,4.248533063041886e-46,2.6164001193714158e-89,4.496985143011898e-67,4.812347901415008e-58,2.934173629060686e-78
3.1880644554830425e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,2.3312506234828062e-98,3.6539357158830096e-72,1.6909116134483233e-50,1.1925722852364804e-61,0.0,3.131185616270987e-39,0.0,0.0,3.012703815190885e-39,0.0,0.11764705999999991,1.4741816791759808e-59,0.0,3.8525566601534106e-57,0.0,8.349632404029431e-17,2.1825481442230937e-17,8.184868830342657e-20,7.395537040457468e-20,7.082484476259033e-25,7.89331785535534e-21,3.050465562628862e-27,7.112554166412116e-25,1.3400370680761558e-54,3.3635127232372814e-40,2.612589780964001e-65,3.63470948237724e-45,1.8048119537015756e-87,7.584523375627825e-66,4.04516871976335e-57,4.949031537802677e-77
6.46721646683703e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060676,0.0,0.17647059,1.5543638594858967e-96,1.212619139214914e-70,1.3980771636405153e-49,9.777913498973219e-61,0.0,1.2792594965739428e-38,0.0,0.0,1.2307878106103433e-38,0.0,0.11764705999999983,1.2086831808724371e-58,0.0,6.385330131044157e-56,0.0,1.6937825733864898e-16,4.42745480685256e-17,1.6603591055837948e-19,1.500237513030294e-19,1.4368216728735729e-24,1.6012159077652488e-20,6.188441329750331e-27,1.442832416615034e-24,1.0986978635454627e-53,1.3741046961601093e-39,4.330171792448992e-64,3.005248088411713e-44,1.198595735499772e-85,1.245661913420448e-64,3.316638268867359e-56,8.129189687221226e-76
1.3025520489545003e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060653,0.0,0.17647058999999998,1.01513721804238e-94,3.951160929568861e-69,1.1368926334272225e-48,7.919194415790434e-60,0.0,5.17152121078793e-38,0.0,0.0,4.975041116527195e-38,0.0,0.11764705999999966,9.789201164001812e-58,0.0,1.0396854829574714e-54,0.0,3.4114212393464697e-16,8.917268132111481e-17,3.344103550682847e-19,3.021605128288331e-19,2.8942392285971558e-24,3.224984152116957e-20,1.2465470028074946e-26,2.9059864165626947e-24,8.898423105909364e-53,5.554350882317953e-39,7.050558935822547e-63,2.4438178355935564e-43,7.813179701573992e-84,2.0189529665650087e-63,2.6861661857426235e-55,1.3179033537106389e-74
2.6142128534960948e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806061,0.0,0.17647058999999993,6.561248839199502e-93,1.2758088244938106e-67,9.169448977720542e-48,6.375324040670294e-59,0.0,2.0798880736998944e-37,0.0,0.0,2.0004421519298065e-37,0.0,0.11764705999999932,7.880764469812286e-57,0.0,1.678056561182654e-53,0.0,6.846698571237976e-16,1.7896894782629288e-16,6.711592440880932e-19,6.064340347960177e-19,5.81015876095343e-24,6.472520640389487e-20,2.5023836081050308e-26,5.8322944164580754e-24,7.163646419064367e-52,2.2333800608574114e-38,1.1379627917307149e-61,1.9710276177786963e-42,5.0463960028499684e-82,3.2504358472847293e-62,2.1624892863548405e-54,2.122851126603375e-73
5.237534462579284e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806052,0.0,0.17647058999999984,4.217942438273214e-91,4.100978126858515e-66,7.365399285698046e-47,5.117834061479056e-58,0.0,8.344827794440153e-37,0.0,0.0,8.022667748858686e-37,0.0,0.11764705999999862,6.3263267696690425e-56,0.0,2.6965918451547776e-52,0.0,1.371725323490718e-15,3.5856148083664737e-16,1.3446570221277021e-18,1.2149810743926962e-18,1.1646335509271499e-23,1.2967593615211005e-19,5.0157802812300995e-26,1.1684910416249082e-23,5.75065620429983e-51,8.956852947684958e-38,1.8286754468731277e-60,1.5832365716663624e-41,3.244475859802835e-80,5.2143814860528065e-61,1.7359500337877554e-53,3.4089598764034977e-72
1.0484177680745662e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806035,0.0,0.17647058999999968,2.7029663283552075e-89,1.3152626001764229e-64,5.904278865782161e-46,4.103773602422552e-57,0.0,3.345124550872552e-36,0.0,0.0,3.2132517008213996e-36,0.0,0.11764705999999725,5.072781346187882e-55,0.0,4.3239294473580085e-51,0.0,2.745836256179034e-15,7.177465468573478e-16,2.691652578206888e-18,2.43207513623529e-18,2.3336039740082363e-23,2.5957739557959892e-19,1.0049467477596561e-25,2.339014241583207e-23,4.611178220022164e-50,3.587413048764631e-37,2.932243222437554e-59,1.2691600775464306e-40,2.0812069154522774e-78,8.346099635935145e-60,1.3919758824617004e-52,5.467451226885622e-71
2.0977464117078418e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806,0.0,0.17647058999999932,1.7277929229283746e-87,4.2135654554514886e-63,4.728211547471395e-45,3.2908042082786737e-56,0.0,1.3411957011075888e-35,0.0,0.0,1.2861380778890443e-35,0.0,0.1176470599999945,4.0677487771125684e-54,0.0,6.925801680794517e-50,0.0,5.494058121373568e-15,1.4361166788986989e-15,5.385643690365129e-18,4.8662631905174255e-18,4.6784851136424175e-23,5.193803141588101e-19,2.0144417270765514e-25,4.6800606415001944e-23,3.697599325290696e-49,1.4359001263280206e-36,4.696684972242338e-58,1.016357396117359e-39,1.3334919019137062e-76,1.3331184108062799e-58,1.1161938504366057e-51,8.768684824569278e-70
4.196403698974394e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618059304,0.0,0.1764705899999986,1.1010447302031501e-85,1.3490974293814274e-61,3.784485555985407e-44,2.6422392976490944e-55,0.0,5.384728645984977e-35,0.0,0.0,5.146227583981226e-35,0.0,0.117647059999989,3.26574198113611e-53,0.0,1.108729776881188e-48,0.0,1.0990501851034247e-14,2.872856942981077e-15,1.0773625914681102e-17,9.73463902146951e-18,9.396008565215758e-23,1.038986150214167e-18,4.044461845861337e-25,9.362153441335752e-23,2.968571522396805e-48,5.745470851841108e-36,7.518774931765333e-57,8.134978517053253e-39,8.539213565817001e-75,2.1232759171032291e-57,8.96122209453853e-51,1.407992208675054e-68
8.393718273507496e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618057917,0.0,0.17647058999999715,6.9808284981988265e-84,4.3183225171388756e-60,3.0283551592126758e-43,2.128353117418768e-54,0.0,2.1688035423372244e-34,0.0,0.0,2.058826135807249e-34,0.0,0.117647059999978,2.6295836044827993e-52,0.0,1.7744489863274939e-47,0.0,2.198338930744205e-14,5.746337471143545e-15,2.154959036331099e-17,1.947138957292506e-17,1.894210014491811e-22,2.0781978179126187e-18,8.148622723847558e-25,1.8726339041013304e-22,2.3903003511998915e-47,2.2985624633312465e-35,1.2033303996757668e-55,6.509630954676235e-38,5.4666540982441863e-73,3.3648520427738494e-56,7.215594092127546e-50,2.2678405012619792e-67
1.6788347422573701e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805514,0.0,0.17647058999999427,4.385186049546048e-82,1.3820569536893392e-58,2.422990850583433e-42,1.726755269209612e-53,0.0,8.792421296456105e-34,0.0,0.0,8.235974795382995e-34,0.0,0.11764705999995599,2.1302593011706264e-51,0.0,2.8395035070630214e-46,0.0,4.396916420860341e-14,1.14932985274514e-14,4.3101519260562553e-17,3.8944886234042674e-17,3.8478461909228475e-22,4.1566211356604735e-18,1.653342703998795e-24,3.745471024039501e-22,1.936411489954773e-46,9.194998151807988e-35,1.9255898035776692e-54,5.2083640995700665e-37,3.4991570730484296e-71,5.283220442673953e-55,5.8454380199717e-49,3.67816597315323e-66
