Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21),CXHO(27),COX(37),HOOH(147)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1534786676784605e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,4.644456659838664e-106,1.3402730089638552e-78,1.3753137649315776e-54,1.430788703906314e-65,0.0,6.060780979894065e-42,0.0,0.0,5.831734240924224e-42,0.0,0.11764706,1.7686496085899203e-63,0.0,2.076122005264175e-62,0.0,3.020993770829489e-18,7.89671212955795e-19,2.961380400358355e-21,2.6757910123969197e-21,2.5623765987359802e-26,2.85589387877238e-22,1.1036348441529712e-28,2.573404527488086e-26,1.607709602969274e-58,6.51080010553384e-43,1.4079818271392598e-70,2.956164133388375e-49,4.5898699360347626e-95,6.02289304882704e-71,4.853191574151242e-61,3.929576838187362e-82,1.4435413115882667e-45
3.2297402694996894e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,5.282710450319197e-104,6.961161766821367e-77,2.078303922249281e-53,1.69863726524925e-64,0.0,3.660723280338972e-41,0.0,0.0,3.522367481518231e-41,0.0,0.11764706,2.0997468922818264e-62,0.0,5.854996122448877e-61,0.0,8.458782558321858e-18,2.2110793962762265e-18,8.291865121003392e-21,7.492214834439657e-21,7.174681648294467e-26,7.996502860551867e-22,3.090188359629345e-28,7.205532676966644e-26,1.9086783643176316e-57,3.93252326374244e-42,3.970604595724948e-69,4.467355149844776e-48,4.336926603338743e-93,1.34729095952192e-69,5.76172571050242e-60,8.790330506518603e-81,8.718989521993134e-45
7.382263473142147e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,4.78237045716083e-102,3.0399488924639706e-75,2.235720341487793e-52,1.6677425531005368e-63,0.0,1.7624924616776266e-40,0.0,0.0,1.6958683172607636e-40,0.0,0.11764705999999998,2.0615568223604234e-61,0.0,1.2735895433440655e-59,0.0,1.9334360133303742e-17,5.053895762917089e-18,1.895283456229347e-20,1.7125062477438257e-20,1.6399400434746316e-25,1.827772082406766e-21,7.063338574586195e-28,1.6469788975923763e-25,1.8739634366057626e-56,1.893340670689242e-41,8.636833295354492e-68,4.80577680700638e-47,3.791164809703173e-91,2.661993417782621e-68,5.656931787207869e-59,1.736831687501148e-79,4.1978181340986826e-44
1.5687309880427064e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,3.624539344172742e-100,1.1317410262424359e-73,2.055003410362087e-51,1.4751179271402416e-62,0.0,7.697371155951242e-40,0.0,0.0,7.406302485973754e-40,0.0,0.11764705999999996,1.8234465615067133e-60,0.0,2.36102037178178e-58,0.0,4.1085515283256106e-17,1.0739528496198815e-17,4.027477344487362e-20,3.6390757759087965e-20,3.484927275698942e-25,3.884015675092649e-21,1.5009811740516303e-27,3.4998301573838026e-25,1.65752025138523e-55,8.268716134027989e-41,1.6011160376556345e-66,4.417336847556776e-46,2.828441439734597e-89,4.736780391057615e-67,5.003554930878979e-58,3.0906367632708757e-78,1.833297465717101e-43
3.2297402694996894e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,2.5201799515821833e-98,3.899091514509752e-72,1.7580953390760253e-50,1.239956669131879e-61,0.0,3.213587455876996e-39,0.0,0.0,3.091985494538014e-39,0.0,0.11764705999999991,1.5327552274307386e-59,0.0,4.057990775688161e-57,0.0,8.458782558311523e-17,2.211079396276226e-17,8.29186512100339e-20,7.492214830499737e-20,7.175075639883249e-25,7.996502860395321e-21,3.0903449016442135e-27,7.205532676966665e-25,1.3932806586755022e-54,3.452026215954052e-40,2.7519037789792177e-65,3.7791246739570387e-45,1.9510796085731909e-87,7.988953026218085e-66,4.2058950998109937e-57,5.212937456891883e-77,7.65365603404101e-43
6.551758832413656e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060676,0.0,0.17647059,1.6803309723354757e-96,1.2939781549774796e-70,1.4536259172367133e-49,1.016642519245241e-60,0.0,1.312926038721039e-38,0.0,0.0,1.2631769635211422e-38,0.0,0.11764705999999983,1.2567085126548262e-58,0.0,6.725822111716062e-56,0.0,1.715924461826509e-16,4.4853324895889136e-17,1.682064067403543e-19,1.519849293272562e-19,1.4556067967193976e-24,1.6221477230724272e-20,6.2693487344556176e-27,1.4616937716132432e-24,1.1423530828447448e-53,1.4102653460590601e-39,4.5610743049267185e-64,3.1246533615254187e-44,1.2957337154487947e-85,1.3120830082694158e-64,3.448420240582135e-56,8.562682156170605e-76,3.126768222552664e-42
1.3195795958241588e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060653,0.0,0.17647058999999998,1.0974026502205552e-94,4.2162586457051976e-69,1.1820639375597751e-48,8.233863210927405e-60,0.0,5.307628601343738e-38,0.0,0.0,5.105963251172647e-38,0.0,0.11764705999999965,1.0178174550842165e-57,0.0,1.095125775331185e-54,0.0,3.456016873809922e-16,9.033838676214281e-17,3.387819178009946e-19,3.061104910935337e-19,2.9320835017578858e-24,3.267142597027662e-20,1.2628461910583303e-26,2.9439747794464117e-24,9.252001472702601e-53,5.700518010800006e-39,7.426523643617528e-63,2.5409162206567234e-43,8.446384435005219e-84,2.1266030459097089e-63,2.7929008553724047e-55,1.3881828517155168e-74,1.263889708278496e-41
2.6483870209897452e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806061,0.0,0.17647058999999993,7.092935127196565e-93,1.3614074654068062e-67,9.533771831367605e-48,6.628664480689999e-59,0.0,2.134633824038755e-37,0.0,0.0,2.0530853664542745e-37,0.0,0.1176470599999993,8.193927476050674e-57,0.0,1.7675374165917884e-53,0.0,6.936201697747549e-16,1.8130851049464976e-16,6.79932939922273e-19,6.143616135131286e-19,5.886149870136213e-24,6.557132344495906e-20,2.5351110304857586e-26,5.9085367951128114e-24,7.448312841923994e-52,2.29215322035366e-38,1.198643633117483e-61,2.0493409829622542e-42,5.455371856192248e-82,3.4237341872820433e-62,2.2484215128250553e-54,2.2360615038077582e-73,5.082044929099053e-41
5.306001871320919e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806052,0.0,0.17647058999999984,4.559703303288718e-91,4.376127622090846e-66,7.658043183116038e-47,5.3212325947187574e-58,0.0,8.56452364404883e-37,0.0,0.0,8.233790584354963e-37,0.0,0.11764705999999861,6.577754181799613e-56,0.0,2.840385177617403e-52,0.0,1.3896571345505993e-15,3.6324875795966197e-16,1.362234984164822e-18,1.230863853900478e-18,1.1798734440066123e-23,1.3137111837663495e-19,5.081409526147704e-26,1.183766082644586e-23,5.979204718780068e-51,9.192559604202992e-38,1.9261879187614602e-60,1.6461421254445689e-41,3.507418419732238e-80,5.492343240921563e-61,1.804941951098667e-53,3.5907758137309354e-72,2.0381273165836824e-40
