Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21),CXHO(27),COX(37),HOOH(147),HOOHX(163),CH4O3(153)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1826852812871825e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,5.396256719789288e-106,1.5187678383257478e-78,1.48245208163131e-54,1.542248701501968e-65,0.0,6.371590788933559e-42,0.0,0.0,6.130797535330598e-42,0.0,0.11764706,1.906429338462292e-63,0.0,2.29451746136978e-62,0.0,3.0974867309954085e-18,8.096660534682337e-19,3.036363922399371e-21,2.743543278983302e-21,2.6272573776144377e-26,2.9282064332755307e-22,1.1315794755926437e-28,2.638564320901996e-26,1.7329519311953695e-58,6.8446872904330124e-43,1.5560929990619418e-70,3.1864522440858636e-49,5.332834723065642e-95,6.656464060234006e-71,5.231260480951841e-61,4.3429449128328204e-82,1.517569071156896e-45,3.8779527528778547e-62,2.915501083208139e-76
3.311518787604111e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,6.137824234903885e-104,7.8882351763305e-77,2.2402058745985885e-53,1.8309630915295827e-64,0.0,3.8484533061952077e-41,0.0,0.0,3.7030017113396794e-41,0.0,0.11764706,2.2633196268461475e-62,0.0,6.470906293784983e-61,0.0,8.672962846786396e-18,2.267064949711054e-18,8.501818982718237e-21,7.681921180867595e-21,7.356349222581519e-26,8.198978013160135e-22,3.168433881301506e-28,7.38798009852559e-26,2.0573666374445887e-57,4.13419112342154e-42,4.3882881824169303e-69,4.8153665772013594e-48,5.038947353829015e-93,1.4890174449214823e-69,6.210570870625324e-60,9.715021591365865e-81,9.166117189787656e-45,4.603905508216296e-61,9.166801885957303e-75
7.569185800237968e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,5.556492680914829e-102,3.444803125390545e-75,2.4098851901894515e-52,1.797661929457796e-63,0.0,1.852877305940885e-40,0.0,0.0,1.7828359232741362e-40,0.0,0.11764705999999998,2.2221548572051725e-61,0.0,1.4075634596685632e-59,0.0,1.982391507836537e-17,5.1818627421966945e-18,1.9432729103355966e-20,1.7558676983493568e-20,1.681464717356004e-25,1.874052117288394e-21,7.242188091287646e-28,1.6886811653772785e-25,2.019947695662605e-56,1.9904350640579213e-41,9.545375916831199e-68,5.1801516222702535e-47,4.4048427959917803e-91,2.942017543421535e-68,6.097614342279279e-59,1.9195364630952674e-79,4.413090858924257e-44,4.520141728753516e-60,2.0450630741194543e-73
1.6084519825505682e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,4.2112413511796655e-100,1.282464002735423e-73,2.215090229542335e-51,1.5900320930732322e-62,0.0,8.092113581975321e-40,0.0,0.0,7.786112869869843e-40,0.0,0.11764705999999996,1.9654961133975105e-60,0.0,2.6093854338734098e-58,0.0,4.212581954151133e-17,1.1011458327167974e-17,4.1294549344631416e-20,3.731218858417506e-20,3.57317001196944e-25,3.982360749214995e-21,1.538987810553358e-27,3.5884474764267205e-25,1.7866438647738655e-55,8.692752858849938e-41,1.7695437602229997e-66,4.761451802085087e-46,3.28628285144565e-89,5.2350557538149615e-67,5.393340269373846e-58,3.415755153712132e-78,1.92731272036926e-43,3.9980141701050365e-59,3.830176805817091e-72
3.311518787604111e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806068,0.0,0.17647059,2.928117026009038e-98,4.4183646212716023e-72,1.8950527228102742e-50,1.3365522286863759e-61,0.0,3.3783913883192616e-39,0.0,0.0,3.2505488532322704e-39,0.0,0.11764705999999991,1.6521604871604722e-59,0.0,4.4848668599096825e-57,0.0,8.672962846775528e-17,2.267064949711053e-17,8.501818982718229e-20,7.681921176725625e-20,7.356763418867157e-25,8.198978012995557e-21,3.1685984511120083e-27,7.387980098525614e-25,1.5018205193024663e-54,3.629053201387594e-40,3.0413874112186734e-65,4.073522262438979e-45,2.266901965680514e-87,8.829324713575831e-66,4.53354428147249e-57,5.761314033014277e-77,8.046151215273881e-43,3.360571808396426e-58,6.615677932647642e-71
6.717652397711196e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806067,0.0,0.17647059,1.952319256061954e-96,1.4663075435350815e-70,1.5668648287610767e-49,1.0958427739711078e-60,0.0,1.3802593306286877e-38,0.0,0.0,1.3279552693427385e-38,0.0,0.11764705999999983,1.354610804059372e-58,0.0,7.433337915708264e-56,0.0,1.759372463200513e-16,4.5989031836995613e-17,1.7246547079228392e-19,1.5583325806029147e-19,1.4924681503345289e-24,1.6632212540266115e-20,6.428110283067147e-27,1.4987045342723443e-24,1.2313466585666891e-53,1.4825866458569604e-39,5.040871733451772e-64,3.3680669807748656e-44,1.5054748630693628e-85,1.4501003376797856e-64,3.717065068524424e-56,9.463447834178274e-76,3.2871153108886956e-42,2.7551998057170186e-57,1.0992047825284956e-69
1.3529919617925367e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806065,0.0,0.17647058999999998,1.2750295983069588e-94,4.777771428298213e-69,1.274147899502284e-48,8.875334584705327e-60,0.0,5.579845063762949e-38,0.0,0.0,5.367807520463548e-38,0.0,0.11764705999999965,1.0971120323095379e-57,0.0,1.210326382860939e-54,0.0,3.543524820238759e-16,9.262579651676571e-17,3.473600327224866e-19,3.138613503538531e-19,3.0063442755026947e-24,3.3498681593644974e-20,1.29482961503287e-26,3.0185175831119267e-24,9.97279235586537e-53,5.99285226776411e-39,8.207749010463903e-63,2.7388561333188822e-43,9.81360544926287e-84,2.3502898044240158e-63,3.0104859340897815e-55,1.5342188559099343e-74,1.328704565113289e-41,2.2312322360435256e-56,1.7919812186447792e-68
2.715445405835371e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060603,0.0,0.17647058999999993,8.240940267861338e-93,1.5427169528884834e-67,1.0276462183888254e-47,7.145116960927358e-59,0.0,2.2441266779790934e-37,0.0,0.0,2.1583717955032096e-37,0.0,0.11764705999999929,8.832332484962583e-57,0.0,1.9534716615977353e-53,0.0,7.111829534284552e-16,1.8589932587630552e-16,6.971491565828896e-19,6.299175337709412e-19,6.035266558924847e-24,6.723161969575367e-20,2.599331669825627e-26,6.058143680791157e-24,8.028625543286568e-52,2.4096995393461575e-38,1.3247336931418318e-61,2.2089866933891508e-42,6.338435976675869e-82,3.783829105860648e-62,2.423600453693961e-54,2.471306052014066e-73,5.342662617770786e-41,1.795889816377332e-55,2.8940544487958362e-67
5.440352293921039e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060515,0.0,0.17647058999999984,5.297615216645048e-91,4.95893143099845e-66,8.25461239956968e-47,5.735879253099992e-58,0.0,9.003926202346321e-37,0.0,0.0,8.656036255347511e-37,0.0,0.11764705999999858,7.09031206767544e-56,0.0,3.1391765177993557e-52,0.0,1.4248438962253343e-15,3.7244638459538336e-16,1.3967274043036878e-18,1.2620298959249777e-18,1.2097791258077794e-23,1.3469749588137504e-19,5.210195304772417e-26,1.213739587614988e-23,6.445121868677251e-51,9.663972917239055e-38,2.1288112369706458e-60,1.7743782419641233e-41,4.075166218347001e-80,6.0699084015911114e-61,1.945588314639247e-53,3.9685822690014774e-72,2.1426466661520642e-40,1.4410884764399302e-54,4.6521079832340394e-66
