Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21),CXHO(27),COX(37),HOOH(147),HOOHX(163),CH4O3(153),SX(168),SX(167),SX(137)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2251904469303703e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,6.669587323902513e-106,1.8120217909203297e-78,1.6481012695469024e-54,1.7145797701064609e-65,0.0,6.837805573767369e-42,0.0,0.0,6.579392476940154e-42,0.0,0.11764706,2.1194539983691564e-63,0.0,2.642585096913268e-62,0.0,3.2088089810154935e-18,8.387650794414642e-19,3.145489446760442e-21,2.8421449639485875e-21,2.721680128960059e-26,3.0334448271686282e-22,1.172248052478901e-28,2.733393110348063e-26,1.9265922032500224e-58,7.34551806778177e-43,1.7921451792695334e-70,3.5425061959324496e-49,6.591201037251215e-95,7.666217647404727e-71,5.8158022010301414e-61,5.001750366032658e-82,1.6286107105098407e-45,4.31127517313817e-62,3.3577692431205216e-76,6.4780544790059e-93,1.9555297399643168e-95,1.1649170415727178e-51
3.430533251405037e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,7.586138172936549e-104,9.411349387042347e-77,2.490526467281868e-53,2.0355553603613836e-64,0.0,4.130048429596733e-41,0.0,0.0,3.973953056071851e-41,0.0,0.11764706,2.516223521907951e-62,0.0,7.452513095016935e-61,0.0,8.984665146842576e-18,2.3485422224360995e-18,8.807370450929235e-21,7.95800589874949e-21,7.620735016490313e-26,8.493645516059978e-22,3.282306727044644e-28,7.653500708974578e-26,2.287257294487366e-57,4.43669291294019e-42,5.053971398694888e-69,5.3534355927543464e-48,6.2279666321622405e-93,1.7148939434392555e-69,6.904541596090756e-60,1.1188748355441538e-80,9.836808691479437e-45,5.1183458855492944e-61,1.0557363742559375e-74,3.731027703208685e-91,1.1262850070034152e-93,1.7604227083985557e-50
7.84121886035437e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,6.867630008643794e-102,4.1099492158659633e-75,2.6791657486983244e-52,1.9985335780642406e-63,0.0,1.988454655413412e-40,0.0,0.0,1.9132873322941948e-40,0.0,0.11764705999999998,2.4704595591357708e-61,0.0,1.6210843880259295e-59,0.0,2.0536377478493528e-17,5.3680965084253705e-18,2.013113245926682e-20,1.8189727767125075e-20,1.74189674131594e-25,1.9414046893793955e-21,7.502472796591013e-28,1.7493715906227616e-25,2.245657667553938e-56,2.1360766541109399e-41,1.0993365719806802e-67,5.758981735312355e-47,5.444235115943313e-91,3.3883056471835074e-68,6.778964836906805e-59,2.2107223367125275e-79,4.735999946162618e-44,5.025222341808798e-60,2.3552897748243005e-73,1.6731494230096034e-89,5.0507347023762314e-92,1.8937824220738648e-49
1.6662590078253035e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,5.20494275895731e-100,1.5300909033193058e-73,2.4626044001696907e-51,1.7677038974375183e-62,0.0,8.684227955823763e-40,0.0,0.0,8.355828445713977e-40,0.0,0.11764705999999996,2.185122649295729e-60,0.0,3.0052172514151668e-58,0.0,4.363980214178256e-17,1.1407205080403911e-17,4.277865647594197e-20,3.8653171498971374e-20,3.701592269293177e-25,4.125484964906702e-21,1.5942999817343287e-27,3.7174146300733715e-25,1.9862852682986323e-55,9.32880794608286e-41,2.0379754430646545e-66,5.2934964012631254e-46,4.061733265481703e-89,6.029180876761295e-67,5.9959975990847004e-58,3.9339130793053817e-78,2.0683356023474987e-43,4.444752252496317e-59,4.411197082687231e-72,6.294806298661495e-88,1.9002126277642065e-90,1.7407123160429933e-48
3.4305332514050364e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806068,0.0,0.17647059,3.619041979355598e-98,5.271492611609804e-72,2.1068059041144307e-50,1.4859013117244835e-61,0.0,3.625597904636693e-39,0.0,0.0,3.4883938912736546e-39,0.0,0.11764705999999991,1.8367762823286634e-59,0.0,5.16520061910337e-57,0.0,8.984665146830915e-17,2.3485422224360985e-17,8.807370450929226e-20,7.95800589430445e-20,7.621179519821234e-25,8.493645515883358e-21,3.282483338548597e-27,7.653500708974603e-25,1.6696370185093487e-54,3.894593679537906e-40,3.5027519501002165e-65,4.528697618650878e-45,2.801813337621417e-87,1.0168662913276415e-65,5.040131799757975e-57,6.635290859937937e-77,8.63489398712319e-43,3.73608208463476e-58,7.61924597107427e-71,2.179691566148461e-86,6.579833027600575e-89,1.4892160342627366e-47
6.959081738564503e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806067,0.0,0.17647059,2.4129857624588832e-96,1.7494322095898402e-70,1.741946296506053e-49,1.2182967483969501e-60,0.0,1.4812597748802548e-38,0.0,0.0,1.425122728075133e-38,0.0,0.11764705999999982,1.5059805779274529e-58,0.0,8.560941228313783e-56,0.0,1.822603501211564e-16,4.764185651227511e-17,1.7866380057599266e-19,1.6143383375271277e-19,1.5461138799170924e-24,1.7229966617524848e-20,6.659161862832374e-27,1.552567286677711e-24,1.3689423903550454e-53,1.5910685955538118e-39,5.805548885163314e-64,3.7444147675332395e-44,1.8607154674987886e-85,1.6700640835422098e-64,4.132425181725066e-56,1.0899048589231645e-75,3.527635943392748e-42,3.0630658175520344e-57,1.2659491129671026e-69,7.251971131029686e-85,2.1891518921417504e-87,1.2313126150122265e-46
1.4016178712883435e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806065,0.0,0.17647058999999998,1.5758745827684282e-94,5.700296137453563e-69,1.416521179107665e-48,9.86713756158656e-60,0.0,5.988173858270029e-38,0.0,0.0,5.760573924399903e-38,0.0,0.11764705999999964,1.2197123538155135e-57,0.0,1.393927351111315e-54,0.0,3.670877474260273e-16,9.595472508810328e-17,3.5984399270939296e-19,3.2514138305813743e-19,3.1144196471038596e-24,3.470260881956052e-20,1.3413766154020804e-26,3.1270017182382306e-24,1.1087234188646727e-52,6.431353653210268e-39,9.452826938874491e-63,3.0448959032854308e-43,1.212928086634751e-83,2.706786125668747e-63,3.346902389262544e-55,1.7669655085685932e-74,1.4259268503654817e-41,2.4805501143921456e-56,2.0638165610006153e-68,2.365959410613913e-83,7.142119607071432e-86,1.0012829682112769e-45
2.8130372661521302e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060603,0.0,0.17647058999999993,1.0185282557725008e-92,1.840595269093201e-67,1.142475401439895e-47,7.943630239713441e-59,0.0,2.4083692596331777e-37,0.0,0.0,2.316301439076613e-37,0.0,0.11764705999999926,9.819402676082451e-57,0.0,2.2498043645758384e-53,0.0,7.367425420324745e-16,1.9258046223975923e-16,7.222043769761913e-19,6.525564804133395e-19,6.252286826739895e-24,6.96478932186427e-20,2.692796370688046e-26,6.275870581359338e-24,8.925876286162869e-52,2.5860190178349025e-38,1.5256897263053677e-61,2.4558188549178756e-42,7.834090193652889e-82,4.357716063543925e-62,2.6944534513307914e-54,2.846232765295978e-73,5.733589150778408e-41,1.9965625350362985e-55,3.3330692516625785e-67,7.644418406213134e-82,2.3076199168471973e-84,8.075709859019573e-45
5.635876055879703e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806051,0.0,0.17647058999999984,6.547365867389411e-91,5.916435749643647e-66,9.176982745788538e-47,6.376996222037797e-58,0.0,9.663056526180739e-37,0.0,0.0,9.289404761836334e-37,0.0,0.11764705999999853,7.882816909100895e-56,0.0,3.61537521621402e-52,0.0,1.4760521312321909e-15,3.8583193654306907e-16,1.4469251455097783e-18,1.307386670101154e-18,1.2533043767023449e-23,1.3953846199685023e-19,5.397631469452525e-26,1.2573608307601837e-23,7.165511909439317e-51,1.0371092886793148e-37,2.4517421503656612e-60,1.972647257410393e-41,5.036766140119395e-80,6.990357016433793e-61,2.1630523840715266e-53,4.570729714059951e-72,2.2994256905046566e-40,1.6021156952354217e-54,5.357811453234899e-66,2.458015825711327e-80,7.420010227021588e-83,6.486849303748215e-44
