Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21),CXHO(27),COX(37),HOOH(147),HOOHX(163),CH4O3(153),SX(168),SX(167),SX(137),OCO(154)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2390348462176004e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,7.13474500187451e-106,1.9167392110481758e-78,1.704604575704322e-54,1.7733622867128837e-65,0.0,6.993210520606471e-42,0.0,0.0,6.728924124143335e-42,0.0,0.11764706,2.1921171908508763e-63,0.0,2.7640676876993537e-62,0.0,3.245067860507189e-18,8.482429517976082e-19,3.1810328285782025e-21,2.8742606156910186e-21,2.75243466104231e-26,3.0677221279003404e-22,1.1854942565903395e-28,2.764279888581956e-26,1.9926433372670304e-58,7.512461660231354e-43,1.874532018764333e-70,3.663957205048182e-49,7.050892415267855e-95,8.018641391206543e-71,6.0151907015811596e-61,5.2316864096571e-82,1.6656245902941548e-45,4.4590824134554195e-62,3.5121295024910333e-76,6.852423395821808e-93,2.068540452196562e-95,1.2048549673257992e-51,-7.580863693938205e-76
3.469297569409281e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,8.115218340388139e-104,9.955234438361921e-77,2.575911377626205e-53,2.1053422517333658e-64,0.0,4.223913492766391e-41,0.0,0.0,4.0642701709825735e-41,0.0,0.11764706,2.6024896196105346e-62,0.0,7.795113160954289e-61,0.0,9.086190009419306e-18,2.3750802650333024e-18,8.906891920018966e-21,8.04792972362133e-21,7.7068484030343e-26,8.589621958108495e-22,3.319396375377211e-28,7.739983688029478e-26,2.3656735240052785e-57,4.5375268427797386e-42,5.286307893823875e-69,5.536972150959639e-48,6.662324642237887e-93,1.7937292467651776e-69,7.141256599590311e-60,1.1703107986396857e-80,1.0060372525376694e-44,5.293822641253918e-61,1.1042697096395204e-74,3.946645031860179e-91,1.1913733911774224e-93,1.820776834110767e-50,7.490378511208816e-75
7.929823015792643e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,7.346598376390667e-102,4.3474645467709445e-75,2.7710179455010564e-52,2.0670513711815066e-63,0.0,2.0336471268724847e-40,0.0,0.0,1.9567711353008803e-40,0.0,0.11764705999999998,2.555156878616154e-61,0.0,1.6956073797387237e-59,0.0,2.076843430724025e-17,5.428754891504691e-18,2.035861010290049e-20,1.8395267938227866e-20,1.7615801295481599e-25,1.9633421618474975e-21,7.587250440647995e-28,1.7691391286924533e-25,2.322647871324218e-56,2.1846238507952795e-41,1.1498742553010393e-67,5.956421975080573e-47,5.823933194400444e-91,3.5440688527574577e-68,7.011375097649773e-59,2.312351953196499e-79,4.843636308575403e-44,5.197506461122535e-60,2.463564976246049e-73,1.769841283198967e-89,5.3426183363061266e-92,1.9587086317124738e-49,4.131279612018453e-73
1.6850873908559365e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,5.567949186761363e-100,1.6185153643026795e-73,2.5470320337038965e-51,1.8283081935592081e-62,0.0,8.881599605131459e-40,0.0,0.0,8.54573363766202e-40,0.0,0.11764705999999996,2.2600378090964346e-60,0.0,3.143370317364554e-58,0.0,4.4132922902868983e-17,1.1536104144447468e-17,4.3262046468663535e-20,3.90899443624246e-20,3.7434208714229347e-25,4.172102093900861e-21,1.6123157881977723e-27,3.7594206484714666e-25,2.054383449540923e-55,9.540826308493832e-41,2.131663363742889e-66,5.4749779963676365e-46,4.345011314833535e-89,6.306345782488691e-67,6.2015655190642486e-58,4.114760487591345e-78,2.115343229673578e-43,4.597135604973688e-59,4.613984551867873e-72,6.658585242827643e-88,2.0100265458773477e-90,1.800390688096957e-48,1.6259287966636982e-71
3.469297569409281e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806068,0.0,0.17647059,3.8714416633792565e-98,5.576133918396741e-72,2.1790353847357393e-50,1.5368446982668901e-61,0.0,3.708000237590615e-39,0.0,0.0,3.567675570620782e-39,0.0,0.11764705999999991,1.8997492421755128e-59,0.0,5.402650440984704e-57,0.0,9.086190009407378e-17,2.3750802650333014e-17,8.906891920018959e-20,8.047929719075267e-20,7.707303008713646e-25,8.589621957927861e-21,3.3195770007789816e-27,7.7399836880295055e-25,1.7268796918981542e-54,3.9831071722546755e-40,3.663777220533396e-65,4.6839589439961085e-45,2.9972206094208317e-87,1.0636117080669488e-65,5.212930207467127e-57,6.94032635642037e-77,8.831141577739625e-43,3.864169474177661e-58,7.969510894284677e-71,2.3056566648151296e-86,6.960083760963092e-89,1.5402721379438852e-47,5.744773144523204e-70
7.037717926515971e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806067,0.0,0.17647059,2.5812700638690553e-96,1.8505324773253864e-70,1.8016669741541955e-49,1.2600662066949853e-60,0.0,1.5149267215037772e-38,0.0,0.0,1.4575118809859312e-38,0.0,0.11764705999999982,1.5576133115330066e-58,0.0,8.95449689429111e-56,0.0,1.8431985447627284e-16,4.818019966210409e-17,1.8068266466324154e-19,1.6325800276714728e-19,1.5635869897458938e-24,1.7424661685662946e-20,6.734418323202442e-27,1.5701109767145625e-24,1.4158767523603652e-53,1.6272292454527615e-39,6.072436204780221e-64,3.8727878337774745e-44,1.9904876147632464e-85,1.7468353738311482e-64,4.2741058985594125e-56,1.140010287230408e-75,3.6078094875607635e-42,3.1680795982132614e-57,1.3241461537851164e-69,7.671064948309138e-85,2.3156637061721314e-87,1.2735267888267871e-46,1.9300035934757963e-68
1.417455864072935e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806065,0.0,0.17647058999999998,1.6857746149762337e-94,6.029718142204889e-69,1.465085021109529e-48,1.0205445959851347e-59,0.0,6.124284524380802e-38,0.0,0.0,5.891496059045351e-38,0.0,0.11764705999999964,1.2615318672759839e-57,0.0,1.4580076890498566e-54,0.0,3.712357632398286e-16,9.703899368564614e-17,3.6391015558934483e-19,3.288154135988902e-19,3.1496214131598778e-24,3.509474113985748e-20,1.356537655709344e-26,3.162336192537805e-24,1.1467375240785396e-52,6.577520781692317e-39,9.887383549182261e-63,3.1492867487879422e-43,1.297521505148763e-83,2.8312091324863693e-63,3.4616555342295965e-55,1.8481991313596342e-74,1.4583342787828782e-41,2.565592996637469e-56,2.158692425581859e-68,2.5026889897575513e-83,7.554865068252296e-86,1.03561083322676e-45,6.326819507120994e-67
2.8448240069156108e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956180606,0.0,0.17647058999999993,1.0895553300105229e-92,1.9469638802772703e-67,1.18164389090893e-47,8.216008441223749e-59,0.0,2.4631176464236298e-37,0.0,0.0,2.3689446536010795e-37,0.0,0.11764705999999926,1.0156098882157388e-56,0.0,2.353230288360362e-53,0.0,7.450675807635706e-16,1.947565817327298e-16,7.30365137441549e-19,6.599302339781915e-19,6.322974442642566e-24,7.043490004314394e-20,2.7232395381051003e-26,6.346786624184361e-24,9.231934480930119e-52,2.6447921773311496e-38,1.5958273221937427e-61,2.5400138536331152e-42,8.380464276113597e-82,4.558010005309521e-62,2.7868432098472e-54,2.9770910801180196e-73,5.86389799511428e-41,2.0650124452304554e-55,3.4862940259780136e-67,8.086191881420441e-82,2.4409780372368344e-84,8.352576525606349e-45,2.0490462206167966e-65
5.6995602926009625e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060503,0.0,0.17647058999999982,7.003893334233411e-91,6.25834853428215e-66,9.491605320229011e-47,6.59568835957655e-58,0.0,9.882773531652828e-37,0.0,0.0,9.5005275973326e-37,0.0,0.11764705999999851,8.153149087399432e-56,0.0,3.7815778991900416e-52,0.0,1.4927312157975771e-15,3.9019175782689515e-16,1.463275101145948e-18,1.3221598696000546e-18,1.2674817232186978e-23,1.4111521782930656e-19,5.458684245366248e-26,1.2715687487477761e-23,7.411244930208872e-51,1.0606799543311172e-37,2.56445137111898e-60,2.0402772590980768e-41,5.38804604759303e-80,7.311599271750155e-61,2.237231786358954e-53,4.780895941230854e-72,2.351685365288854e-40,1.657042437340786e-54,5.604115801528738e-66,2.600065375434441e-80,7.848815078750763e-83,6.709243665582724e-44,6.596359776749514e-64
1.1409032863971666e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060315,0.0,0.17647058999999962,4.4877835474654986e-89,2.0071728039924745e-64,7.60869608296628e-46,5.289177684496835e-57,0.0,3.961925099971068e-36,0.0,0.0,3.805166487814772e-36,0.0,0.11764705999999701,6.538080303053822e-55,0.0,6.063682223597156e-51,0.0,2.9880584858116797e-15,7.810621100152151e-16,2.929095028554708e-18,2.6466191202968243e-18,2.5399049733273185e-23,2.824758533199904e-19,1.093773742976238e-25,2.5453489214065714e-23,5.943140695056325e-50,4.248252294589726e-37,4.112044685155542e-59,1.635534758803495e-40,3.45622503588896e-78,1.1701597608007068e-59,1.7940552446077405e-52,7.668354039766815e-71,9.419007786888496e-40,1.3276503945025535e-53,8.987476247993098e-65,8.34023972036319e-79,2.5176674362463645e-81,5.378289183831689e-43,2.1171626474186817e-62
