Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21),CXHO(27),COX(37),HOOH(147),HOOHX(163),CH4O3(153),SX(168),SX(167),SX(137),OCO(154),SX(194),SX(193),SX(164),CH4O4(184)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2929308665623247e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,9.211472017075215e-106,2.3714934313956897e-78,1.936863430366826e-54,2.014989948572407e-65,0.0,7.614830398043927e-42,0.0,0.0,7.327050712956076e-42,0.0,0.11764706,2.490801873240737e-63,0.0,3.2772969184722452e-62,0.0,3.3862230862571326e-18,8.851401541054469e-19,3.319402633567672e-21,2.999286323472182e-21,2.8721615752261104e-26,3.201163099897042e-22,1.2370615220276045e-28,2.8845216118622394e-26,2.2641489140441434e-58,8.1802360300297e-43,2.2225932731774737e-70,4.163185142224512e-49,9.103214369438525e-95,9.507532414628466e-71,6.834784348991084e-61,6.203101723734375e-82,1.813680109431413e-45,5.066649345273655e-62,4.164258239583589e-76,8.478189214135913e-93,2.5593102378218552e-95,1.369020983811245e-51,-9.379454861334712e-76,-2.2047723431327688e-92,-6.655544347179709e-95,-1.8861797658746952e-85,2.059438560957538e-155
3.620206426374509e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,1.0477332031108233e-103,1.231715496608215e-76,2.92688909623365e-53,2.3922038271637408e-64,0.0,4.59937385238924e-41,0.0,0.0,4.4255386306254685e-41,0.0,0.11764706,2.957089576804407e-62,0.0,9.242502038093033e-61,0.0,9.481424641519077e-18,2.4783924314952512e-18,9.294327373989481e-21,8.39800170538072e-21,8.042086549603683e-26,8.963256679698154e-22,3.4637858258837093e-28,8.076660513214272e-26,2.68800631023887e-57,4.9408625621379386e-42,6.267864322660526e-69,6.291405641340686e-48,8.601545437476258e-93,2.1267861353090365e-69,8.114282299623083e-60,1.3876133433312238e-80,1.0954627860965734e-44,6.0151261027084615e-61,1.309309418684184e-74,4.8830029041542294e-91,1.47403166033138e-93,2.0688645948084418e-50,9.267501808472778e-75,3.7007439414151854e-91,1.1171432504749716e-93,1.863666354003816e-84,2.439272324882863e-153
8.274757545998878e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,9.484983860060828e-102,5.378918505633572e-75,3.1485796757132765e-52,2.3486963412912162e-63,0.0,2.214417117707233e-40,0.0,0.0,2.130706347327626e-40,0.0,0.11764705999999998,2.9033084014177284e-61,0.0,2.0104460825184023e-59,0.0,2.167182775203938e-17,5.66489698627486e-18,2.1244176854833098e-20,1.9195432467832235e-20,1.8382073054241106e-25,2.048744383924612e-21,7.917288690421586e-28,1.8460938315918348e-25,2.6391190046154084e-56,2.3788126375326383e-41,1.3633817713505668e-67,6.76800711328519e-47,7.519121163349315e-91,4.2021241550135316e-68,7.96670623073667e-59,2.7417087287178184e-79,5.274181758226551e-44,5.905686476849666e-60,2.9209972878694996e-73,2.1897434544978084e-89,6.610176654180353e-92,2.2255901290478875e-49,5.111442801474188e-73,4.362466050781996e-89,1.3168972458532932e-91,1.0278955605852276e-82,3.2717829344975265e-150
1.7583859785247615e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,7.188613904626342e-100,2.0025148347706665e-73,2.894074831857355e-51,2.0774245599161062e-62,0.0,9.671087131061692e-40,0.0,0.0,9.3053544054542e-40,0.0,0.11764705999999996,2.567979548969792e-60,0.0,3.7270282131559886e-58,0.0,4.6052633973065654e-17,1.2037906095834077e-17,4.5143875816520316e-20,4.079029398727302e-20,3.906259228704493e-25,4.353581815812501e-21,1.68245114468e-27,3.922949392132652e-25,2.3343037282746067e-55,1.0388899758137731e-40,2.527468511776642e-66,6.22096456352882e-46,5.609725499537112e-89,7.477287913865575e-67,7.046560618896324e-58,4.8787906785038825e-78,2.3033737389778963e-43,5.2235128090005875e-59,5.47070464637637e-72,8.238362157119603e-88,2.4869136650610725e-90,2.0457007641754456e-48,2.011687134683962e-71,3.448326533562113e-87,1.0409460296058606e-89,4.045441483445158e-81,2.5916403396638606e-147
3.620206426374509e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806068,0.0,0.17647059,4.9982941401927864e-98,6.899094774824977e-72,2.4759372403804288e-50,1.746249720406131e-61,0.0,4.0376103500341425e-39,0.0,0.0,3.8848022880092956e-39,0.0,0.1176470599999999,2.158602352179986e-59,0.0,6.405809238879666e-57,0.0,9.481424641506089e-17,2.4783924314952504e-17,9.294327373989473e-20,8.398001700430562e-20,8.042581564676736e-25,8.963256679501465e-21,3.4639825068767474e-27,8.0766605132143e-25,1.962178208373152e-54,4.3371611431217594e-40,4.344063756295916e-65,5.322166158042117e-45,3.8696297116583455e-87,1.2610973752421324e-65,5.923225631721122e-57,8.229017979273399e-77,9.61613194020537e-43,4.390677256219656e-58,9.449281805798439e-71,2.8526832535432344e-86,8.611392446737212e-89,1.7501400726483694e-47,7.107744355369878e-70,2.4403991856269647e-85,7.366830890892588e-88,1.4293457154108646e-79,1.6296781748446663e-144
7.343847322074004e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806067,0.0,0.17647059,3.3325826253290735e-96,2.2895789684889807e-70,2.047150949140187e-49,1.4317617367509158e-60,0.0,1.6495951480037301e-38,0.0,0.0,1.587068492629125e-38,0.0,0.1176470599999998,1.769852346853885e-58,0.0,1.0617159033667248e-55,0.0,1.9233747129882206e-16,5.027596075318933e-17,1.885420695866434e-19,1.703594629509749e-19,1.6316100194266251e-24,1.818260640653213e-20,7.027392474954488e-27,1.6384082755377643e-24,1.608802886956958e-53,1.7718718450485637e-39,7.19996016181309e-64,4.400469900079241e-44,2.56986422374744e-85,2.071170578368423e-64,4.856491849357918e-56,1.351692415076302e-75,3.928503664232834e-42,3.5997424881909416e-57,1.5700123037487976e-69,9.491056863895257e-85,2.8650645068236733e-87,1.447049655549677e-46,2.3879049358474366e-68,1.6409783124989696e-83,4.953619799175659e-86,4.802004008306246e-78,9.219719587427408e-142
1.4791129113472994e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806065,0.0,0.17647058999999998,2.1764253403033525e-94,7.460293733548407e-69,1.6647084253422886e-48,1.1596085764757306e-59,0.0,6.668732371757273e-38,0.0,0.0,6.415184597627159e-38,0.0,0.11764705999999961,1.4334338346378258e-57,0.0,1.7287291167445552e-54,0.0,3.873839210654272e-16,1.0126003362966289e-16,3.7973966128014006e-19,3.431183544947298e-19,3.286663328401833e-24,3.662130585920444e-20,1.415560138584684e-26,3.2998927239704536e-24,1.302997100771273e-52,7.162189295620529e-39,1.17232631612679e-62,3.5783890415823674e-43,1.6751945959852373e-83,3.356855123859855e-63,3.9333561766727164e-55,2.1913908616897145e-74,1.5879639924524685e-41,2.915164796556475e-56,2.5595163028841464e-68,3.0964623130422348e-83,9.34728808082223e-86,1.176716746419344e-45,7.827883626597968e-67,1.0762807575297709e-81,3.2489677830430836e-84,1.5741635262889442e-76,4.9585337342501045e-139
2.9685692696270972e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956180606,0.0,0.17647058999999993,1.406653486029269e-92,2.4088891210037615e-67,1.3426473635370537e-47,9.335646611536965e-59,0.0,2.682115365261094e-37,0.0,0.0,2.5795175116989507e-37,0.0,0.11764705999999922,1.1540122643514998e-56,0.0,2.7901757641239277e-53,0.0,7.774768205949684e-16,2.0322817938260958e-16,7.62134844667131e-19,6.886361361839052e-19,6.598168278575806e-24,7.34987047589929e-20,2.841757510657821e-26,6.622861620835909e-24,1.0490017601240739e-51,2.879884815316145e-38,1.8921389632498764e-61,2.8861003980678425e-42,1.0819788659748292e-81,5.4041754991656505e-62,3.166620643014876e-54,3.529938745698864e-73,6.385133372457778e-41,2.3463782418627506e-55,4.133625656697482e-67,1.0004674379042096e-81,3.020110181291519e-84,9.490646830889871e-45,2.535190918772811e-65,6.972766592226247e-80,2.1048684424039018e-82,5.0981916249573885e-75,2.601542279058381e-136
5.947481986186693e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956180605,0.0,0.17647058999999982,9.042000700413942e-91,7.743167632637121e-66,1.0784872631243442e-46,7.494658961476371e-58,0.0,1.0761675028610745e-36,0.0,0.0,1.0345018939317695e-36,0.0,0.11764705999999844,9.264394461303541e-56,0.0,4.483737548616367e-52,0.0,1.5576626196393755e-15,4.0716447088850067e-16,1.526925211441102e-18,1.3796716939689176e-18,1.322677150777271e-23,1.472535025363452e-19,5.696374614382087e-26,1.326879941456713e-23,8.421371374547084e-51,1.1549626169383309e-37,3.0406161689070604e-60,2.318272792578202e-41,6.956359170942251e-80,8.668693043864776e-61,2.5421585542400514e-53,5.668815128347472e-72,2.560724064425645e-40,1.8828207693364088e-54,6.644682486145402e-66,3.2169416484435032e-80,9.710978945504428e-83,7.623403619692124e-44,8.161373438976001e-64,4.489825476143229e-78,1.3553432244877016e-80,1.6412273082619272e-73,1.3482986561262613e-133
