Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(40)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.8154667711168604e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.4559287380712694e-84,5.2490745429048854e-42,0.0,3.1918002230525699e-64,0.0,5.9134953642398321e-25,-3.6496818018768578e-125,5.9134953642398321e-25,8.3541239493023842e-87,1.4699597500815047e-106,0.0,0.0,8.2512928784297062e-68,4.3529184885030258e-102,2.3452078798180075e-18
1.628330695912721e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,3.2568543499159059e-83,3.1704410239145513e-41,0.0,4.8234484970770309e-63,0.0,1.655778701987153e-24,6.9405723896987953e-124,1.655778701987153e-24,2.3559966196864557e-85,8.9424825001037864e-105,0.0,0.0,9.7959349052717445e-67,2.2531959737016275e-100,6.566582063490422e-18
3.721898733514791e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,6.434995368536728e-82,1.5264308770767409e-40,0.0,5.1888457866120885e-62,0.0,3.7846370331134928e-24,7.3339298240911923e-122,3.7846370331134928e-24,5.1248072618533141e-84,4.0370640601383027e-103,0.0,0.0,9.6177069790976654e-66,9.8383354319263633e-99,1.5009330430835237e-17
7.909034808718931e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,1.1450730437827748e-80,6.6663246694892021e-40,0.0,4.7694432373029798e-61,0.0,8.0423536953661717e-24,5.796900732194421e-120,8.0423536953661702e-24,9.500528967359052e-83,1.5243185747033669e-101,0.0,0.0,8.5067529059458849e-65,3.6625656048281225e-97,3.1894827165524818e-17
1.628330695912721e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996527,0.022821567693054285,0.0,1.9313330557342389e-79,2.7830593226481683e-39,0.0,4.0803591035477179e-60,0.0,1.6557787019871529e-23,4.1086383073748622e-118,1.6557787019871524e-23,1.6328981899248881e-81,5.2885692529308958e-100,0.0,0.0,7.1504383877611207e-64,1.2618093832731355e-95,6.5665820634903807e-17
3.3031851259943766e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.1186699660299652,0.022821567693054285,0.0,3.1722203434735423e-78,1.1369705422913678e-38,0.0,3.3737198132216448e-59,0.0,3.3588653668882233e-23,2.7649252316412509e-116,3.358865366888221e-23,2.7064089987134735e-80,1.7613143678985627e-98,0.0,0.0,5.8623614015775363e-63,4.187485292631467e-94,1.3320780757366097e-16
6.652893986157688e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999975,0.11866996602996506,0.022821567693054285,0.0,5.1423058770250173e-77,4.5958167178912685e-38,0.0,2.743452922791106e-58,0.0,6.7650386966903635e-23,1.8141685767469316e-114,6.7650386966903529e-23,4.4066854636604874e-79,5.7492234494816419e-97,0.0,0.0,4.7474922549807941e-62,1.3644311162346819e-92,2.6829178145117214e-16
1.335231170648431e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999948,0.1186699660299648,0.022821567693054285,0.0,8.281525086490878e-76,1.8479576891278229e-37,0.0,2.2126941706384914e-57,0.0,1.3577385356294636e-22,1.1755542390541792e-112,1.3577385356294598e-22,7.1124081047661974e-78,1.8580496737399678e-95,0.0,0.0,3.8211947893001881e-61,4.4056653938736796e-91,5.3845972920618202e-16
2.6751147147137557e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999892,0.11866996602996426,0.022821567693054285,0.0,1.329368184496191e-74,7.4111368526800386e-37,0.0,1.7773562893278513e-56,0.0,2.720207867550314e-22,7.5702402210715739e-111,2.7202078675502994e-22,1.1429448886613458e-76,5.9752092960313481e-94,0.0,0.0,3.0662681679713404e-60,1.4161617733812339e-89,1.078795624716151e-15
