Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),H2(190),C4H7X(141),C4H7(69),C4H7X(140),C4H7(68),C4H7X(145),C4H7(373),C4H8(73),C2H6(343),C2H5(67),C4H8(187),C4H7X(654),C4H9X(153),C4H9(85),C4H9X(171),C4H9(111),SX(161),C6H11(102),SX(159),C6H11(100),S(1018),S(1027),SX(986),C4H7X(146),C6H13(202),SX(346),SX(249),C6H13(203),S(1590),SX(1543),SX(785),C8H17(813),S(1757),SX(1703),SX(1546),S(1593),S(1942),SX(1880),SX(1706),S(1760),S(2145),SX(2073),SX(1883),S(1945),S(2366),SX(2286),SX(2076),S(2148),S(2603),SX(2515),SX(2289),S(2369),S(2858)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,3.9728450818990672e-40,1.0222533626004366e-76,9.2103343022731697e-37,2.5273966514890105e-42,-1.3321491361474803e-79,-4.3183796999517079e-95,0.0,-7.1630654314897366e-89,1.2418032458299483e-99,2.0007531638301453e-22,2.0007531638301453e-22,-3.3738242357213993e-45,9.2103342787768266e-37,1.4810498070550983e-45,8.6900770418515943e-46,1.3972636975534632e-54,1.4083368991124192e-61,5.8910920805189829e-54,1.6217986724695298e-29,-3.0534176471925629e-57,5.1389926442514231e-48,7.9834474632484351e-31,5.9377784982947714e-61,4.2399162115121098e-51,7.6502281675550756e-59,4.0004192479600169e-60,6.3185085447236075e-69,2.4956963036782274e-75,2.2516104980925017e-68,2.3547237811128886e-84,6.9180300425239838e-91,1.7081791330555582e-97,2.3742606252895207e-101,1.055796825987012e-98,6.3146159290412804e-76,3.0627856951964876e-79,1.8415664264154985e-74,1.737543246909337e-83,2.2484304193150383e-92,1.089891987787996e-102,7.9986649152693621e-98,7.5468503393873992e-107,9.5358103397534364e-114,4.6219599168196002e-124,3.474142422059991e-121,3.2779011494758775e-130,1.5582659269870208e-135,7.5528320388241982e-146,1.5089600242985563e-144,1.4237245333379065e-153,6.9005618838283921e-160,3.344666140680507e-170,6.554021317305706e-168,6.1838092407031715e-177,5.2590735916646342e-186,2.5492715846854266e-196,2.8466755069501814e-191,2.6858774871027462e-200,2.1343271153017227e-209,1.0345897134445299e-219,1.2364258598454722e-214,1.1665848016331756e-223,8.7127937777362869e-233,4.2230449518516743e-243
3.0000000000000002e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.6050522093819205e-39,1.5479926371509278e-75,6.0525053986414279e-36,1.6608587614929925e-41,7.5426622776864299e-78,2.060484067004441e-93,0.0,4.1268741974925384e-87,2.5900467671473953e-98,6.5739032526079181e-22,6.5739032526079181e-22,1.1020626334197688e-43,6.0525053764877325e-36,1.3964093498819216e-44,8.1935012005669342e-45,1.7166381748582348e-53,2.1326243644376942e-60,7.2375724384652947e-53,5.3021101592621577e-29,1.8058784370502078e-55,4.8453321563601293e-47,2.624421694457747e-30,8.9914377414189163e-60,3.9976352820859467e-50,1.0138591098644408e-57,4.9148007856293684e-59,9.5680270386175156e-68,4.4922531550004086e-74,3.4095814262574757e-67,4.9112808474926091e-83,1.2470001875068348e-89,3.5586304318126194e-96,5.6246310220900296e-100,2.5037466769672559e-97,1.1366308301066659e-74,5.5130140901360535e-78,2.7886577280796445e-73,3.127577840621825e-82,4.6895833889519275e-91,2.5846009500624456e-101,1.6682929658140487e-96,1.7896816495624729e-105,2.5338009709711021e-112,1.3601767370781163e-122,9.2312927088904901e-120,9.6463947984762918e-129,5.0309726923580215e-134,2.6542808848348883e-144,4.8717852170746734e-143,5.00337478421058e-152,2.6222134235198941e-158,1.3665349733491093e-168,2.4905280983269261e-166,2.5265277732105086e-175,2.2989664458309436e-184,1.1872321866993937e-194,1.2444038632772733e-189,1.2508515142369366e-198,1.0549673987228494e-207,5.4094261828114555e-218,6.1114763868965291e-213,6.09957195685578e-222,4.8044834098407346e-231,2.4493660642373614e-241
7e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.3960659340837294e-38,2.5566202872692799e-73,3.2894051079556228e-35,9.0263392887997e-41,6.4124445830261672e-76,1.3598049768285213e-89,0.0,1.5022774766731899e-84,4.9804469431053906e-95,1.4576915907951784e-21,1.4576915907951784e-21,3.4750954511473933e-43,3.2894050721786743e-35,2.2553898382497694e-43,1.3233745725627482e-43,8.6829904318597618e-52,3.5220472144926708e-58,3.6607079118548908e-51,1.1588992391616539e-28,3.4842611086790806e-54,7.8258898285251738e-46,5.8274865013986713e-30,1.4848789183484016e-57,6.4567866376355756e-49,5.1020383921758283e-56,2.4859747873042192e-57,1.5801682323372803e-65,2.5010422065964851e-71,5.6309513238207676e-65,9.4439820995077862e-80,7.3948187501652454e-87,6.9452647714086043e-93,3.8619585188263759e-96,1.694024629102062e-93,6.3281433401256952e-72,3.0693471097263493e-75,4.605494463412917e-71,1.7412665137082204e-79,9.0176811186334044e-88,1.7487308596064377e-97,3.2079901637873989e-93,1.2108920973906919e-101,6.1203322668366622e-108,1.1866112401383426e-117,2.229796836319207e-115,8.4154723493577336e-124,1.600240037981827e-128,3.1025134477525796e-138,1.5496076522077197e-137,5.8483095037576173e-146,1.1338309782003061e-151,2.1982474910174198e-161,1.0768924205405907e-159,4.0642514727808924e-168,1.3825908072046125e-176,2.6807755285330122e-186,7.4838047574781956e-182,2.8244290867044902e-190,8.9777061224788765e-199,1.7407343104348608e-208,5.2008286532098175e-204,1.9628213377339903e-212,5.8638360802522876e-221,1.1368681040519922e-230
1.5e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,6.036080691395155e-38,1.0031457525558411e-71,1.4552328197571135e-34,3.9932032462677394e-40,2.3893768890506842e-74,4.2114678776862159e-87,0.0,1.1559906498242957e-82,7.9470567510465124e-93,3.0582941218636664e-21,3.0582941218636664e-21,2.4495501368300277e-42,1.4552327864800566e-34,2.097548405820507e-42,1.2307631589638153e-42,1.6699671725012429e-50,1.3817816936766269e-56,7.0401541153607148e-50,2.3676891555413573e-28,6.2479779672535454e-53,7.2781430263333424e-45,1.2257109435189942e-29,5.8252452298583038e-56,6.0049326474304728e-48,9.8127503208047071e-55,4.7811866450149798e-56,6.1993730364925875e-64,1.9839200693398171e-69,2.2091534750825881e-63,1.5069286613639179e-77,7.0521859665642551e-85,1.2481330177608331e-90,1.3917261108393623e-93,5.422280773159951e-91,5.0197208756046482e-70,2.4347215722999e-73,1.8068449252555034e-69,1.381239078848752e-77,1.4389070104713061e-85,5.5973885009859942e-95,5.1188337048622825e-91,3.8758608826503467e-99,3.9239844801472431e-105,1.5227345729909504e-114,1.4296112337102683e-112,1.0799278259621145e-120,4.1086446936131011e-125,1.5934601880005654e-134,3.9786510968025387e-134,3.0037144288057597e-142,1.1647908139785463e-147,4.5167621118694849e-157,1.1062996822139241e-155,8.3508780818603841e-164,5.6817968320595189e-172,2.2033712424078508e-181,3.0754918029647761e-177,2.3214432781605656e-185,1.4757926287667057e-193,5.7229990806085255e-203,8.5493398476934723e-199,6.4531553642808448e-207,3.8557045365508472e-215,1.4950727746721232e-224
3.1e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.4086632565097255e-37,3.4262662733777021e-70,6.0656630190358748e-34,1.6643963054035037e-39,8.2737211588266061e-73,1.1798381960788708e-84,0.0,8.0697357604486616e-81,1.0885274267813279e-90,6.259499184000403e-21,6.259499184000403e-21,2.0060864455849494e-41,6.0656627381747722e-34,1.7703237252331194e-41,1.0387620828727312e-41,2.8393226089424132e-49,4.7170965856835489e-55,1.1968733110585944e-48,4.6053836203382022e-28,1.0690756727052243e-51,6.1426061122000355e-44,2.5203336292948952e-29,1.988425897231972e-54,5.0681533537124235e-47,1.6683628629258697e-53,8.1291142763654004e-55,2.1163303812180656e-62,1.3572952281689118e-67,7.5415555201593188e-62,2.0640719850198535e-75,8.0686406470053483e-83,2.53859803329054e-88,5.6595182651235031e-91,1.486184065602818e-88,3.4342344524002135e-68,1.6657113739325261e-71,6.1681782972044768e-68,9.4497413891428386e-76,1.9709041647137178e-83,1.5341804319554035e-92,7.0113892023007029e-89,1.0623305830621688e-96,2.1516066699646602e-102,1.6701180663684549e-111,7.8388852849659911e-110,1.1844552794791971e-117,9.0132239661036541e-122,6.9914461512405046e-131,8.7280827570485067e-131,1.3179109296281363e-138,1.0221408649327242e-143,7.9272663755879173e-153,9.7081713852822559e-152,1.4656504022208574e-159,1.9944151443258575e-167,1.5468502244733488e-176,1.0795546097980882e-172,1.6297425862919179e-180,2.072127849975667e-188,1.6071075638971345e-197,1.200394397033566e-193,1.8121482257522375e-201,2.1654855417880311e-209,1.6793604733920936e-218
6.300000000000001e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,9.0410661849046595e-37,1.1278765239663908e-68,2.4717905742885646e-33,6.7821794152571357e-39,2.7433791186558721e-71,3.1385959420045235e-82,0.0,5.3637347700819967e-79,1.4316743299174689e-88,1.2661909308272913e-20,1.2661909308272913e-20,1.6418641745900733e-40,2.4717903444190151e-33,1.4489098040770066e-40,8.5016998307246395e-41,4.6582225328615536e-48,1.5496153075767898e-53,1.9632384774977077e-47,8.4608936124571676e-28,1.7664109949465482e-50,5.0271675367584577e-43,5.1395523579806198e-29,6.530992600358075e-53,4.1480065958997509e-46,2.737033276743496e-52,1.3336754798516267e-53,6.9523770895948292e-61,8.923084938063884e-66,2.4774761504643688e-60,2.7147376778333597e-73,1.3835573303074635e-80,7.12236525101695e-86,3.1735446109195299e-88,3.9099583487526334e-86,2.2577252322367504e-66,1.095067898017353e-69,2.0263173176714851e-66,6.2124435704952628e-74,2.5922077415090002e-81,4.0362377912193646e-90,9.2216561249215366e-87,2.7948662027188229e-94,1.1322075300774497e-99,1.7577478631624841e-108,4.1249528806440464e-107,1.2466083411181113e-114,1.8972627318457425e-118,2.9433919832654906e-127,1.8372552982112958e-127,5.5484397929681708e-135,8.606439669509383e-140,1.334955837926301e-148,8.1743723238619677e-148,2.4681889613527487e-155,6.7172842180218619e-163,1.0419726898876147e-171,3.635993818615131e-168,1.0978115234752848e-175,2.7916122696834744e-183,4.3302525908556491e-192,1.6171966955518876e-188,4.8827294330064307e-196,1.1669545214777241e-203,1.8099750226277406e-212
1.2700000000000001e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,3.1453559224196404e-36,3.6823833884767977e-67,9.9747920490710967e-33,2.7366531960420067e-38,8.9274831811907721e-70,8.1792193229939514e-80,0.0,3.4940011354755426e-77,1.8550957554327784e-86,2.5466729556813976e-20,2.5466729556813976e-20,1.3302411555075862e-39,9.9747901906307237e-33,1.1714067531583891e-39,6.8734343776754628e-40,7.538805498323672e-47,5.0180334779775432e-52,3.1761033489593692e-46,1.4295702571336044e-27,2.8704966595628405e-49,4.0639974660624535e-42,1.0468711309053385e-28,2.1141248832468474e-51,3.3535708499849107e-45,4.4292501247829444e-51,2.1584170641448501e-52,2.2513572980174721e-59,5.7803405275753879e-64,8.0226524907711745e-59,3.5175987791124351e-71,3.1069941053896182e-78,2.3479389116466792e-83,2.0917946744271771e-85,1.0133177885215091e-83,1.462548800138157e-64,7.0938275768663467e-68,6.5617537699500213e-65,4.0244312458378646e-72,3.358851204015684e-79,1.0460484656339473e-87,1.1948984271946568e-84,7.2433279622657235e-92,5.8687106092597547e-97,1.8222528495789932e-105,2.1381528879769245e-104,1.2923675834081565e-111,3.933795678833331e-115,1.2205714126104969e-123,3.8094518475533523e-124,2.3008876378137702e-131,7.137869766897558e-136,2.2143264036185592e-144,6.7796935932201228e-144,4.0941564404801766e-151,2.2284823664952255e-158,6.9135517064367047e-167,1.2062555715373509e-163,7.2840692110733845e-171,3.704509634022494e-178,1.1492598310654482e-186,2.1460465869778029e-183,1.2958924782759605e-190,6.1942623444204154e-198,1.9214905258168416e-206
2.55e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,9.8547751947706198e-36,1.2237731270891066e-65,4.0071006717851647e-32,1.0991648095315005e-37,2.880218114209636e-68,2.1119341770039659e-77,0.0,2.2553695344675455e-75,2.3883697120690234e-84,5.1076370053879555e-20,5.1076370053879561e-20,1.0711100636422727e-38,4.0070991774795939e-32,9.4188354528414493e-39,5.5267063720256429e-39,1.2128038351207849e-45,1.6148717986229708e-50,5.1057737505832747e-45,2.1397856582756763e-27,4.6279273948839473e-48,3.2671580157502324e-41,2.1347882378784597e-28,6.7985939292026196e-50,2.6964982042145742e-44,7.1244897612156341e-50,3.4723954086829307e-51,7.245223991155191e-58,3.7207422554622609e-62,2.5817855163129606e-57,4.5287067249988591e-69,7.6922268877282458e-76,7.5912371973351098e-81,1.3526441632835058e-82,2.6092434990074433e-81,9.4143056157067868e-63,4.5662444519845803e-66,2.1116895090970879e-63,2.5905262336560805e-70,4.3243787543656316e-77,2.6935416387837899e-85,1.5383889802758316e-82,1.8651517383029755e-89,3.0223733139962798e-94,1.8769167979847071e-102,1.1011604652156349e-101,1.3311610526377686e-108,8.1035961987919211e-112,5.0287294025255483e-120,7.8479043755049355e-121,9.4801950497374487e-128,5.8815593087132349e-132,3.649170754440236e-140,5.5868069358636753e-140,6.7475820048709101e-147,7.3455029144036294e-154,4.5576629179679108e-162,3.9760616052821362e-159,4.8019524072684847e-166,4.884309174322634e-173,3.0305352922643544e-181,2.8295208931915284e-178,3.4172182218894019e-185,3.2667961335871884e-192,2.0267523426418372e-200
5.11e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.7169863990405436e-35,4.4243205112715124e-64,1.606242829255922e-31,4.4043021852937017e-37,9.2538881741958652e-67,5.4292727215073092e-75,0.0,1.4495242637413721e-73,3.0657944840227449e-82,1.0229565104793869e-19,1.0229565104793871e-19,8.5968103430622495e-38,1.6062416308441141e-31,7.5537287560478972e-38,4.4323771476745406e-38,1.9456280588991711e-44,5.1817675000154231e-49,8.1787976765015628e-44,2.7610868520294551e-27,7.4326782289272192e-47,2.6193209632932572e-40,4.3492632181174738e-28,2.1783502229045272e-48,2.1625718620503018e-43,1.1425996312338177e-48,5.57070295347051e-50,2.3248636178326684e-56,2.3879007795930976e-60,8.2842920274599605e-56,5.813009195921062e-67,1.9549639940798191e-73,2.2777336619033749e-78,8.1179906994657322e-80,6.6984962498100911e-79,6.0419692713087178e-61,2.9305597601195256e-64,6.7761221053917188e-62,1.6626059859674499e-68,5.5508652077965288e-75,6.914994074143299e-83,1.9747292044325271e-80,4.7884015673222659e-87,1.5518327916389649e-91,1.9273900363318714e-99,5.654070517839609e-99,1.3670123090313845e-105,1.6642919614041662e-108,2.0655566431253759e-116,1.6120833425928569e-117,3.8947654630498195e-124,4.831683090734148e-128,5.9955255978971962e-136,4.5905376028795193e-136,1.1088634793468494e-142,2.4142292319495129e-149,2.9958938096420175e-157,1.3068115375994633e-154,3.1565136806043234e-161,6.4212592418371377e-168,7.9682654126273257e-176,3.7199118541376289e-173,8.9850896571081171e-180,1.7179048965355554e-186,2.1316100795155972e-194
