Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),H2(190),C4H7X(141),C4H7(69),C4H7X(140),C4H7(68),C4H7X(145),C4H7(373),C2H6(343),C2H5(67),C4H6(54),C4H5X(694),C4H7X(654),C4H7X(146),SX(161),C6H11(102),SX(159),C6H11(100),S(1071),S(1081),SX(1036),C6H11(87),SX(155),SX(152),C6H11(84),C4H7X(142),C4H7X(143),C4H6a(693),C6H10(698),C4H5X(695)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,3.0648582335529725e-50,1.2375199364073547e-76,8.7672755640700356e-34,2.527396606257591e-42,6.6305768058404178e-65,3.9129048035549292e-89,-6.4135233654859769e-110,3.9646199279265916e-84,2.0590125699661343e-113,1.9045078872619782e-19,1.9045078872619782e-19,1.0189623708422902e-39,8.7672755416918226e-34,1.4097748627807322e-42,8.272045030982406e-43,1.3300488910764475e-51,1.3405894207416378e-58,5.6075855719889475e-51,2.7667167821881326e-51,3.7538600166480037e-46,4.4405493131601224e-44,2.1439258284946418e-58,5.652025224119508e-58,6.0108538772608204e-73,2.3756418398208669e-72,2.1432976834420572e-65,2.2414507435814227e-81,6.5852409990464447e-88,1.626007863969603e-94,2.2600479198037272e-98,1.0050081456097716e-95,2.0692020385500055e-53,4.0359570554465126e-48,3.8079809807036453e-57,4.9626570800120967e-66,3.7089695904093373e-57,1.6689942370912369e-69,2.3836631515210226e-62,1.3749825106420032e-62,2.4127069387158128e-63
3.0000000000000002e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.1153224904494781e-48,7.8198274019631848e-75,4.4015301904323059e-33,1.2688539832329826e-41,3.0593443448239859e-63,2.7581986119946921e-87,3.2902324846530247e-107,3.0970270562888513e-82,2.9338827660889188e-111,4.7029684664503523e-19,4.7029684664503523e-19,3.0830296940296033e-38,4.4015301715249997e-33,1.1911158424730005e-41,6.9890339634607109e-42,1.6883476403276209e-50,2.3802300374278675e-57,7.1181680997627329e-50,1.006826814092427e-49,3.171628398991977e-45,1.3172432586418393e-42,1.3024550464186624e-56,1.0035190576503355e-56,1.4205241619462903e-71,5.6142715199921608e-71,3.8054465504492628e-64,6.7975420127744878e-80,1.5604192319573535e-86,4.9213597686925458e-93,8.5361550543087447e-97,3.8026224343721179e-94,2.6266195366289697e-52,3.4099718776783457e-47,4.8338044248155658e-56,8.8112480408475016e-65,4.7081205821964991e-56,9.2163036452971616e-68,1.4480977183984348e-60,8.3531476971874102e-61,1.4657420898097274e-61
7e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.5620811330732654e-47,6.9928350373245683e-72,2.7089092281005726e-32,7.8090726374342275e-41,2.2961905816726045e-61,8.8610325273508708e-84,2.6485297515154496e-104,6.500899756294393e-80,2.2265515940137092e-107,1.2321000015497731e-18,1.2321000015497731e-18,2.0141674013392394e-37,2.7089091985522036e-32,1.8614776205772614e-40,1.0922475656971092e-40,7.1936599500129783e-49,2.9240699491509766e-55,3.0327977981321938e-48,2.3128485243214787e-48,4.9566247756733277e-44,8.6983762057237508e-42,1.8100983425011849e-55,1.2327681726096987e-54,5.2585125349008506e-69,2.0782970747775643e-68,4.6749218688638947e-62,7.8504049866467795e-77,6.145082183870388e-84,5.7733380074000701e-90,3.2106874783512149e-93,1.408347125496092e-90,1.1191420610820852e-50,5.3291105692282517e-46,2.0595736773249432e-54,1.0824463738518781e-62,2.0060226725465348e-54,5.6337142085275323e-66,2.0125065253123608e-59,1.1608860392472592e-59,2.0370279339886938e-60
1.5e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,5.4590625859016112e-46,1.2968791247072829e-69,1.2857478007186483e-31,3.7064276442504365e-40,1.0247831598452614e-59,3.3112695136446423e-81,6.7637599549706931e-102,4.2565491436909873e-78,1.0225023002670539e-104,2.7557063113589104e-18,2.7557063113589108e-18,1.9080824204045403e-36,1.2857477715091557e-31,1.8401287544292325e-39,1.0797213062653754e-39,1.4607878200053873e-47,1.2071322555027771e-53,6.1582941323830883e-47,4.9280191081875506e-47,4.8997769983333926e-43,8.246802459439948e-41,3.3662973378281896e-54,5.0889552432537811e-53,4.3825584854750618e-67,1.7320974514674685e-66,1.9299288957310916e-60,1.3152566037841972e-74,6.1564216214323308e-82,1.0893420690924271e-87,1.2145069857103638e-90,4.7318979278736788e-88,2.2725972796170035e-49,5.2679945371286565e-45,4.1822975580369044e-53,4.4686227871145291e-61,4.0735536124159114e-53,2.4163895970075732e-64,3.7427222595663024e-58,2.1589366122725641e-58,3.7883254675589849e-59
3.1e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.0021254922405146e-44,1.9419978952768756e-67,5.5598841009071885e-31,1.602710333420292e-39,3.8042675963897243e-58,9.9311981959905148e-79,2.2795826335034072e-99,3.3826899188282953e-76,6.6576028335739944e-102,5.8029189309745423e-18,5.802918930974543e-18,1.704388992642121e-35,5.5598838446348387e-31,1.6144541452166425e-38,9.4730440528257372e-39,2.583119906653002e-46,4.2864587012053954e-52,1.0888740694144927e-45,9.0464130915527876e-46,4.298862727141749e-42,7.3639297661565268e-40,6.0251941384065068e-53,1.8068947990249032e-51,3.1189239265430565e-65,1.2326766335894733e-64,6.8530643198632057e-59,1.8740282960069532e-72,7.3261546315141307e-80,2.3046506608479318e-85,5.1374696587386904e-88,1.3491566585766532e-85,4.0186480113797126e-48,4.6219282478294114e-44,7.3955941822886177e-52,1.5867843192415227e-59,7.2033014070101764e-52,8.9024426097156835e-63,6.6989412867260248e-57,3.8641899143250511e-57,6.7805644303123651e-58
6.300000000000001e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.7134890151099866e-43,2.6768664905785634e-65,2.3085846878617344e-30,6.6544821254498803e-39,1.3066956353619169e-56,2.7393318025936845e-76,6.6527069091037164e-97,2.4002669922081322e-74,3.8103977204698408e-99,1.1897344170184894e-17,1.1897344170184894e-17,1.4428944927940227e-34,2.3085844736717882e-30,1.3493436761249675e-37,7.9174838359414442e-38,4.3320114707124976e-45,1.4400941260741749e-50,1.8257544076535659e-44,1.546805192040373e-44,3.5929399735248134e-41,6.2326345005092669e-39,1.0231818957018173e-51,6.0694039304274084e-50,2.0974315001356597e-63,8.2895647206407332e-63,2.3023771368407445e-57,2.5215620371024674e-70,1.2850545056994683e-77,6.6149461009534674e-83,2.947332900006631e-85,3.6314203137615601e-83,6.7394602743655788e-47,3.8629654420161617e-43,1.2402794156176448e-50,5.3310280237108987e-58,1.2080309609456414e-50,3.050089592655637e-61,1.1375957831975037e-55,6.5620610242065271e-56,1.1514567594246412e-56
1.2700000000000001e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.8324611526044479e-42,3.5525389228665303e-63,9.4048533141906744e-30,2.7106834077271553e-38,4.328892996608636e-55,7.272666028286369e-74,1.8152061872656305e-94,1.6148317959014537e-72,2.0588071448898297e-96,2.4086194648439261e-17,2.4086194648439267e-17,1.1873486634079452e-33,9.4048515636466246e-30,1.10279706769446e-36,6.4708560627775787e-37,7.0919180175252037e-44,4.7188067821222992e-49,2.9878298852004545e-43,2.5569264822458829e-43,2.9364460614736559e-40,5.1281475966438337e-38,1.686895924895498e-50,1.9880590794708932e-48,1.37507996927738e-61,5.4346429174546971e-61,7.5442595566328868e-56,3.306917952970726e-68,2.920790802544076e-75,2.2071882086901415e-80,1.9663630780426247e-82,9.5258241929484766e-81,1.103314844593358e-45,3.1571511049270662e-42,2.0304696808197906e-49,1.7468432742961161e-56,1.9776756469715237e-49,1.0093406462069847e-59,1.875527409968517e-54,1.0818715662548082e-54,1.8983795385400096e-55
2.55e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,4.6057652315323197e-41,4.6292478143706094e-61,3.7961694848434517e-29,1.0939287013358882e-37,1.4092156127502572e-53,1.8955956233829019e-71,4.7954030465872232e-92,1.0592083128719052e-70,1.0823935481232083e-93,4.8463895603621146e-17,4.8463895603621171e-17,9.6331180173909864e-33,3.7961680695269211e-29,8.9160864015213224e-36,5.2317076077462914e-36,1.1476230962186842e-42,1.5277869992915346e-47,4.83137137757086e-42,4.1577276805450499e-42,2.3740987369404471e-39,4.1602692723521465e-37,2.73970375994123e-49,6.4319688776136424e-47,8.9057628111290769e-60,3.5197548682270717e-59,2.4425581982467627e-54,4.2838679723575314e-66,7.2761882196231193e-73,7.1806182205816915e-78,1.279465843029811e-79,2.4681185609731186e-78,1.7853998964237322e-44,2.552566564206124e-41,3.2857749337342371e-48,5.6557197272152745e-55,3.2003422352120729e-48,3.2840699301681001e-58,3.0460619536242193e-53,1.757077928827624e-53,3.0831758688106201e-54
5.11e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771411,0.67000000000000004,7.4287381270627538e-40,5.9782263982716208e-59,1.5253259502451548e-28,4.3937913496015346e-37,4.5481452836501321e-52,4.8962089578808694e-69,1.2469513922162026e-89,6.862105933954719e-69,5.6150374065811204e-91,9.7219297503385343e-17,9.7219297503385503e-17,7.7606288766632269e-32,1.525324812028936e-28,7.1703724988485933e-35,4.2074312675024684e-35,1.8465230976102276e-41,4.9173396987493824e-46,7.7621950742989857e-41,6.7060876074750814e-41,1.9092482170243445e-38,3.3514875666094088e-36,4.4163570588773917e-48,2.0671885572629832e-45,5.7333637393972449e-58,2.2659340248712474e-57,7.8615410871251285e-53,5.5159629942466468e-64,1.8550423922941673e-70,2.1613105723048851e-75,7.7030113448114719e-77,6.3561235217729447e-76,2.8727108246457615e-43,2.0528187901511149e-40,5.2869443704003889e-47,1.8203794734859424e-53,5.1494809394878478e-47,1.0596418915328258e-56,4.9102013894438795e-52,2.8323805032085671e-52,4.9700269714065405e-53
