Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),H2(190),C4H7X(141),C2H6(343),C4H6(54),C4H7(69),C4H5X(380),C4H7X(140),C4H7(439),C4H7(68),C4H7X(145),C4H7X(142),C4H7X(143),C4H5X(381),C4H7X(146),C4H6a(379),C6H10(384),C6H9X(985),C6H9X(986),C6H9X(525),C6H9(1116),SX(1115),C6H9(1156),SX(1533),SX(1527),SX(2037),S(1546),SX(2134),S(2186),C3H6(75),SX(2035),SX(2135),S(2216),SX(3411),S(3472),SX(4084)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4197795042954325e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.1284245442852146e-51,1.3039986242893959e-83,1.6822700971273872e-34,5.09467328113935e-46,5.1305969419540412e-79,3.4237904088166476e-111,-8.8744746778862199e-113,2.9424256383436193e-89,4.3734657335678721e-124,2.573907535210862e-18,2.5739075352108628e-18,2.6424050795430392e-39,1.682270097035155e-34,1.0186543356248868e-52,1.1515371309448014e-43,3.8406238911035986e-45,7.5138266438873643e-57,2.2535378791073205e-45,2.1689706080548194e-55,5.1444691435022912e-56,7.3618955524200171e-65,1.4345846143872063e-61,8.1392619124703146e-70,8.4558250467940532e-62,4.6865249848306986e-81,8.7762105575103395e-64,5.0624334309033981e-64,5.9604962328887651e-81,5.2129126094953007e-81,4.9109323876798143e-73,9.2395704134447909e-84,6.5785941133474236e-84,1.2376119452490631e-94,1.4594764975342314e-103,6.6896919993601945e-106,3.8322841346931119e-119,2.8315244707326147e-110,5.1336568820319959e-130,1.2296984044073559e-134,4.1159978900043386e-142,4.1159978900043415e-142,2.6901588636136714e-158,4.6733418945544557e-169,3.6036870123185711e-169,1.2519919540104109e-179,3.392943048366237e-192
3.9753826120272114e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,3.5479474043673484e-50,2.7250610999450106e-81,1.0160911386649415e-33,3.0771826303716079e-45,2.4509477940693956e-77,7.7140263444831662e-109,2.712108815474367e-110,2.270507506429877e-87,1.7350773213541099e-121,7.2069410985904074e-18,7.2069410985904074e-18,3.9932025220513088e-38,1.0160911385554425e-33,3.2028122964350566e-51,1.7300644924138499e-42,4.5595886772999179e-44,2.1071116863961334e-55,2.6754001698925023e-44,4.8518998334530064e-54,1.1507971666672401e-54,3.0379068056525343e-63,3.2091086464167237e-60,4.6877982173679168e-68,2.3712774619645744e-60,3.527899024482051e-79,2.4611235665181088e-62,1.4196644598577344e-62,3.0683217395070223e-79,2.6834834652873831e-79,2.5280312271289001e-71,8.6537557871300406e-82,6.1614928384848432e-82,2.0988351082054995e-92,4.4697561294822013e-101,2.0487682993873391e-103,2.1164305982686374e-116,8.6717558452532375e-108,5.1083699054009736e-127,6.7911856025697506e-132,7.3764185150393773e-139,7.3764185150393759e-139,8.6807139877240808e-155,2.7148906628746058e-165,2.0934946448747781e-165,1.3093036011251925e-175,6.3872066917633545e-188
9.086588827490769e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,7.9152754930377295e-49,4.9316960031328811e-79,4.8920414424464221e-33,1.4815309430004804e-44,1.2762034356455395e-75,3.4457037686984857e-106,1.4035742509512311e-107,2.4745101475196944e-85,1.5580224561503332e-118,1.6473008225349431e-17,1.6473008225349431e-17,4.295705050608436e-37,4.8920414413713546e-33,7.1452980525259016e-50,1.8576343307991718e-41,4.4766311881936971e-43,4.5743214279513412e-54,2.6267237513179917e-43,9.5865336108057252e-53,2.2737812630691578e-53,1.2017657150160254e-61,6.3406589190335464e-59,2.1022054783658385e-66,5.1477979906288535e-59,2.7894036627882593e-77,5.3428445866646614e-61,3.0819446359462428e-61,1.3370057738440515e-77,1.1693144303963144e-77,1.1015768989900269e-69,7.547676779483509e-80,5.373962203883001e-80,3.6605451894829649e-90,1.5585050814826195e-98,7.1436018272119683e-101,1.4753490220979001e-113,3.0236494193287374e-105,7.1199692254534223e-124,4.7341193403492517e-129,2.0558185390801535e-135,2.0558185390801532e-135,4.8380237269616893e-151,3.0259314663512268e-161,2.3333430768357155e-161,2.9184687976081892e-171,2.8473596708296958e-183
1.9309001258417885e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,1.4824434998330012e-47,7.4883525495784633e-77,2.136483023351741e-32,6.4702345797802212e-44,5.0929928952143588e-74,1.1444040476395532e-103,4.9334671499605467e-105,2.0243029429217628e-83,1.0373095307055405e-115,3.5005142478866885e-17,3.5005142478866891e-17,3.9484930261185905e-36,2.1364830224008538e-32,1.338235246739381e-48,1.7062209689884286e-40,3.9595295662911486e-42,8.4733082509069317e-53,2.3233074106485059e-42,1.7058714182481419e-51,4.0460722257869851e-52,4.2890164286138571e-60,1.1282867363158186e-57,7.909022408336766e-65,9.5355955784915968e-58,1.9937490813163388e-75,9.8968928687137548e-60,5.708883235233721e-60,4.9732702797969492e-76,4.3495075475313741e-76,4.0975437497123184e-68,5.6261277081813703e-78,4.0058151228012284e-78,5.462543017289138e-88,4.6536836813223826e-96,2.1330737797494829e-98,8.8128748844998016e-111,9.0285928973648134e-103,8.5071260826950157e-121,2.8279614231170591e-126,4.9129849951321876e-132,4.9129849951321858e-132,2.3124459430353508e-147,2.8926716706503288e-157,2.2305843727602881e-157,5.5799246533001178e-167,1.0887977649302221e-178
3.9753826120272116e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771417,0.67000000000000004,2.5605524882557556e-46,1.0424514523224093e-74,8.9193960549686983e-32,2.7011953351199385e-43,1.8101294426403985e-72,3.3199613567914523e-101,1.4689839600553652e-102,1.4569055291625338e-81,6.0252038097892748e-113,7.2069410985897073e-17,7.2069410985897061e-17,3.3780189138885645e-35,8.9193960469759087e-32,2.3114685931438538e-47,1.4592253233668204e-39,3.3282231406038733e-41,1.4558297480086595e-51,1.9528798672584149e-41,2.8771980496729424e-50,6.8242920460487787e-51,1.4491616834549918e-58,1.9030217067597048e-56,2.7386433546390884e-63,1.6383451768630663e-56,1.3483734403624669e-73,1.7004209718895018e-58,9.8086388405281387e-59,1.7127406641994082e-74,1.4979235044115856e-74,1.4111498886654715e-66,3.8794299202661693e-76,2.7621625351153467e-76,7.5374077076701332e-86,1.2846157912877833e-93,5.8881962099119409e-96,4.8661286642904367e-108,2.492277885272823e-100,9.3952563838073766e-118,1.5616555888586988e-123,1.0852157576953867e-128,1.0852157576953858e-128,1.0215971751408545e-143,2.5558828928455941e-153,1.9708812930637765e-153,9.8605694604627251e-163,3.8481483751711843e-174
8.064347584398058e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.273322825837714,0.66999999999999993,4.2543962553778027e-45,1.3909615168871947e-72,3.6438643211806358e-31,1.1035262400904735e-42,6.0970144844858174e-71,9.0363041979460185e-99,4.0488251717118126e-100,9.8753800593526043e-80,3.2816707855542149e-110,1.461979479999188e-16,1.4619794799991877e-16,2.7930113624802893e-34,3.643864314627644e-31,3.8405396384441246e-46,1.2063270136896884e-38,2.7286783487979851e-40,2.4125268380771305e-50,1.6010889013002421e-40,4.7257951594076069e-49,1.1208919687905274e-49,4.7645263524835284e-57,3.1257228487310234e-55,9.1116389406000846e-62,2.7149821006197623e-55,8.8700504834332792e-72,2.817850944674748e-57,1.6254376227817717e-57,5.6829780885478366e-73,4.9702016375444066e-73,4.6822814804306979e-65,2.5758956474745915e-74,1.834043330563612e-74,1.0012332011151891e-83,3.4133270871834964e-91,1.5645409120966171e-93,2.5861215480216628e-105,6.6221819376053468e-98,9.9866384367280301e-115,8.3029754448000689e-121,2.3070895513359488e-125,2.3070895513359446e-125,4.3437205464783472e-140,2.1734770177036328e-149,1.6760021643073416e-149,1.677053996187353e-158,1.3089628877492518e-169
1.6242277529139749e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771372,0.66999999999999982,6.9357396499060956e-44,1.8176182732379444e-70,1.4729082189977932e-30,4.4606279477323362e-42,2.0011011996941792e-69,2.3845570436265606e-96,1.0750478448666122e-97,6.5023936594304143e-78,1.7324419845557261e-107,2.9445502202765165e-16,2.9445502202765165e-16,2.2712304548044993e-33,1.4729082136909796e-30,6.2610489128082982e-45,9.8089045071745227e-38,2.2097543679199199e-39,3.9278543474780419e-49,1.2966033002114833e-39,7.6606810409362986e-48,1.817014025124355e-48,1.5453625688275385e-55,5.0669443403828057e-54,2.9726770180722987e-60,4.420284188797464e-54,5.7551909039534855e-70,4.587765785190182e-56,2.6463880660032603e-56,1.8515597099893056e-71,1.6193314419334274e-71,1.5255247505576613e-63,1.678974716399219e-72,1.1954337077048168e-72,1.3053987008470251e-81,8.9011652118232659e-89,4.0799597529073107e-91,1.348849156348734e-102,1.7269113757584944e-95,1.0417692378399034e-111,4.3379052045617698e-118,4.8133841989334084e-122,4.8133841989333906e-122,1.8125078107904293e-136,1.8138610431010551e-145,1.3986966972864516e-145,2.7991519418037745e-154,4.3695528729226435e-165
3.2598137418623134e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771311,0.66999999999999948,1.1201238059139473e-42,2.3506579778523811e-68,5.9224991677103186e-30,1.7935976300013352e-41,6.4846874201842037e-68,6.1973134157906671e-94,2.8025530190621684e-95,4.2207592762774903e-76,9.006221954943585e-105,5.9096917008062402e-16,5.9096917008062412e-16,1.8318296427567815e-32,5.9224991249959543e-30,1.0111610718223282e-43,7.9109399105827335e-37,1.7786023910392572e-38,6.3393178358282449e-48,1.0436191329643801e-38,1.2337172891976385e-46,2.9262445605522366e-47,4.9785905099167281e-54,8.1601992241393257e-53,9.6047239246333612e-59,7.1340696132702563e-53,3.7086220067123365e-68,7.4043747287470204e-55,4.2711092579417676e-55,5.9783256985600821e-70,5.2285058491958291e-70,4.9256223020183258e-62,1.084372013823088e-70,7.7207532173291997e-71,1.6863139993161699e-79,2.2997874798127017e-86,1.0541361871744413e-88,6.970147887448245e-100,4.4618079017980866e-93,1.0766735070477446e-108,2.2567001567628248e-115,9.9493559486849215e-119,9.9493559486848467e-119,7.4929924628628323e-133,1.4997189446839015e-141,1.1564568687007322e-141,4.6287374581904253e-150,1.445117603222975e-160
6.53098571975899e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771195,0.66999999999999893,1.8005663029419821e-41,3.0243683900002994e-66,2.3751870564645781e-29,7.1931186824730514e-41,2.088172661303972e-66,1.5985016883314996e-91,7.2397927284232046e-93,2.7203902144139279e-74,4.6463437269478518e-102,1.1839974661665919e-15,1.1839974661665921e-15,1.4714251881791526e-31,2.3751870221881731e-29,1.6254118908139979e-42,6.3543787058948914e-36,1.4272161358345276e-37,1.018691013766539e-46,8.3743862136171157e-38,1.980351671547403e-45,4.6972689429551744e-46,1.5985204522465148e-52,1.3099060421155427e-51,3.0883400468492527e-57,1.1464029360757329e-51,2.3816494903564798e-66,1.1898393792671354e-53,6.8634208483974772e-54,1.9216397202440851e-68,1.680621803498539e-68,1.5832645961968592e-60,6.971590197770862e-69,4.9637886274765513e-69,2.1683907193469302e-77,5.9145893881557156e-84,2.7110255885835752e-86,3.5851946955502819e-97,1.1474868353440388e-90,1.1076096353185308e-105,1.1918282291223671e-112,2.0470508831331947e-115,2.047050883133164e-115,3.0833260136741638e-129,1.234253063739694e-137,9.5175206773464844e-138,7.618806541926431e-146,4.7572683023846208e-156
