Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),H2(190),C4H6(54),C4H7X(141),C2H6(343),C4H5X(364),C4H7(69),C4H7X(140),C4H7X(142),C4H5X(365),C4H7X(143),C4H7(68),C4H7X(145),C4H7X(146),C6H8(455),C6H7X(902),C6H7X(904),C6H7X(903),C6H9X(441),C8H10(459),SX(1305),SX(1307),SX(1306),S(1304),C4H6a(363),SX(1127),S(1312),C6H10(368),SX(3584),SX(3585),S(1143),S(3865),S(4742),SX(6827),S(6770),SX(8037),SX(8035),SX(6824),SX(8033),SX(6826),SX(6828),SX(10116),SX(10113),SX(6830),SX(6829),SX(1592),S(1770),S(10130),SX(11733),SX(11736),SX(11732)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6894609608527227e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.0500295018716024e-57,3.9915955510985544e-98,2.2674593247853301e-37,7.2139123576684803e-52,1.1091308711429585e-87,1.2471074243202138e-128,-2.9289898418718794e-124,7.5691596955446919e-101,1.8956132843831991e-144,2.9154759473820013e-18,2.9154759473820013e-18,1.4416760463453766e-42,1.7580785116926689e-46,2.2674593247374588e-37,1.8506080760616953e-58,9.4651648228155162e-60,6.1598877396898944e-51,3.6143973952369798e-51,2.7380879217981692e-70,1.4622877096981939e-64,1.6749009262609236e-75,9.818358781009682e-65,1.6719190306729581e-76,1.2664958895183442e-95,-3.6506691564055234e-87,-1.6148465366478061e-100,-6.2949716750774268e-105,-3.1474858375559487e-105,7.3613628187816019e-79,1.4141303559030676e-99,5.4343666381748379e-113,2.1184170311519297e-117,2.1184170311635294e-117,1.1821246275653042e-117,1.5943901844949524e-69,-1.2559180400395816e-119,4.3425298374439569e-119,9.1970151798421222e-70,1.2265535597382113e-86,1.0727154699805717e-86,-7.711660893373833e-141,-6.5452608030416907e-152,-2.5985163460753983e-160,-8.9486217869640643e-174,-1.5752740234359737e-187,-1.7383784133163308e-199,-1.7383784133163617e-199,-1.4868182033021125e-176,-2.7228187890757201e-201,-1.3658482957600274e-177,-1.1945394352130164e-177,-1.3519927498677764e-218,-1.253722964217663e-218,-1.7441694737501399e-178,-1.7441694737501399e-178,4.2264815523839458e-132,1.5089970215427272e-126,9.4404821805727133e-230,2.9715758215539293e-243,1.4857879107769647e-243,7.5774121309947629e-245
4.7304906903876237e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,6.4456204824068035e-56,8.3498854048432156e-96,1.3695454321703389e-36,4.3572030639787912e-51,5.2984509965822501e-86,2.8098153298399164e-126,8.9512208483690141e-122,5.8407024187363809e-99,7.5204324529430775e-142,8.1633326526696028e-18,8.1633326526696028e-18,2.1786609055793741e-41,2.641329784468031e-45,1.3695454321135065e-36,5.8186076392146213e-57,2.654327957973626e-58,7.3130187244123098e-50,4.2910125875451328e-50,6.1255027266170853e-69,4.1007116337763338e-63,9.6465713798055954e-74,2.1963275858312038e-63,6.8992206936652407e-75,9.5338649387297477e-94,7.2473653459731014e-86,5.6089887004642495e-99,2.1864879537344776e-103,1.0932439768778422e-103,3.7894546841012108e-77,1.7926510838840348e-98,1.2943610216606433e-111,5.0456596238294866e-116,5.045659623880379e-116,2.8155918126988465e-116,4.4711682488850903e-68,7.7265315301698639e-118,1.0343065404755132e-117,2.5791304196751631e-68,6.3140063146929791e-85,5.5220843782572338e-85,3.6467668875130116e-139,5.5058850671844776e-150,3.9085926935554076e-158,2.4138851624275925e-171,7.6329726483234303e-185,1.5144543874780852e-196,1.5144543874781332e-196,4.0106828577854708e-174,2.3720870150227666e-198,3.6843672844293263e-175,3.2222626983694706e-175,2.1187597189122251e-215,1.8922600941984522e-215,4.7048863095073725e-176,4.7048863095073725e-176,1.8542638983861903e-130,6.6203490374806756e-125,2.7571489412683421e-226,1.5624566482150976e-239,7.8122832410754879e-240,3.9842086055698617e-241
1.0812550149457425e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.4379824703237393e-54,1.5099433975728836e-93,6.5937717164757373e-36,2.0978057135305405e-50,2.7588924460323051e-84,1.2550892213459708e-123,4.6324479950848162e-119,6.3654832011684391e-97,6.7530147251787207e-139,1.8659046063244807e-17,1.8659046063244807e-17,2.3437039886756899e-40,2.8360936372751442e-44,6.5937717159177536e-36,1.2980993544483339e-55,5.7622713490453627e-57,7.1799651489251918e-49,4.2129416036395791e-49,1.2105051227306124e-67,8.9022206494949553e-62,4.3259274895705405e-72,4.3395731965529502e-62,2.7292630960850453e-73,7.5381403312200913e-92,7.6266229995268641e-84,1.2200979153615314e-96,4.7561682448511534e-101,2.3780841224725626e-101,1.6512358364695978e-75,7.0693588304742248e-97,9.9095073266110197e-110,3.8629099743197298e-114,3.8629099743963895e-114,2.1555901920704618e-114,9.706443629136456e-67,3.4238002028464417e-115,7.9185532678720982e-116,5.5990252742133831e-67,2.7512965235526729e-83,2.4062205191827414e-83,1.3069428577054968e-136,3.9988610447904602e-147,5.7191859470615136e-155,7.0927597037955717e-168,4.495639198194308e-181,1.7861543421888085e-192,1.7861543421889214e-192,1.1784657448159796e-170,2.7976501352333065e-194,1.0825838865798883e-171,9.4680291249021907e-172,5.0011505255768004e-211,4.1237300325496472e-211,1.3824447221612767e-172,1.3824447221612767e-172,2.7930418531818644e-128,9.9721006948366265e-123,1.4805544270915342e-221,1.6777357615248408e-234,8.388678807624204e-235,4.2781662240521597e-236
2.297666906759703e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,2.6931820219268583e-53,2.2923323866431379e-91,2.879673342477368e-35,9.1616686934179559e-50,1.1010015515617807e-82,4.1684639666200338e-121,1.628273673573323e-116,5.2073604921706668e-95,4.4960626727845773e-136,3.9650472884395213e-17,3.9650472884395213e-17,2.1542677505826843e-39,2.6049273288261115e-43,2.8796733419838372e-35,2.4311964272977467e-54,1.0673823900614952e-55,6.3505978631502615e-48,3.7262991380713619e-48,2.1547700185659388e-66,1.6490152889598828e-60,1.6275220391521908e-70,7.7220386400557224e-61,9.7405461277680203e-72,5.3879475099447211e-90,6.0231486208964521e-82,1.9304935980929347e-94,7.5254225356459551e-99,3.7627112679717976e-99,6.1421141743105471e-74,2.558149729344584e-95,7.1772154957107891e-108,2.7978118802354793e-112,2.797811880346552e-112,1.5612406621114492e-112,1.7979866570464913e-65,1.0844367697448001e-112,5.735214066326568e-114,1.0371432751417892e-65,1.0234018062018541e-81,8.9504362920205485e-82,4.0248334374347925e-134,2.4635676563844781e-144,7.047710532872489e-152,1.7481854157647392e-164,2.2161954297717602e-177,1.7610545589156964e-188,1.7610545589159191e-188,2.9046192372246852e-167,2.7583363926247101e-190,2.6682947694509064e-168,2.333629098321956e-168,9.8618268768928842e-207,7.0499317358677354e-207,3.4073756933992015e-169,3.4073756933992015e-169,4.0469352179911338e-126,1.4448913689587034e-120,6.1944282298507886e-217,1.4038850564291921e-229,7.0194252821459606e-230,3.5798567143900051e-231
4.730490690387623e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771411,0.67000000000000004,4.6518021950157003e-52,3.1910270952545554e-89,1.2022069340011805e-34,3.8248163312969161e-49,3.9131319566994564e-81,1.2092878910922503e-118,4.84833046781483e-114,3.7477751652308785e-93,2.611534330694838e-133,8.163332652669597e-17,8.163332652669597e-17,1.8430214157474668e-38,2.2278333188029542e-42,1.2022069335863383e-34,4.1992872322910953e-53,1.8339083036408592e-54,5.3380601552689323e-47,3.1321789514067051e-47,3.6368311224290874e-65,2.8332328314683175e-59,5.6355920968365725e-69,1.3024346840973649e-59,3.2911103886411473e-70,3.6438715093320355e-88,4.2674090830906239e-80,2.7375308544604174e-92,1.0671403626366944e-96,5.3357018136056962e-97,2.1152778995484644e-72,8.6883924923269246e-94,4.8797384465869849e-106,1.902212662545713e-110,1.9022126626968172e-110,1.0614752583741425e-110,3.0891859289556607e-64,3.0766989875849274e-110,3.8993294043270985e-112,1.7819533862070027e-64,3.5244854810428335e-80,3.0824337585743178e-80,1.1271413087245448e-131,1.3800500818645041e-141,7.896663170961254e-149,3.917695190016037e-161,9.9332187566663419e-174,1.5786619840006278e-184,1.5786619840010263e-184,6.5092711058487784e-164,2.4726552508422669e-186,5.9796663955414624e-165,5.229678391848548e-165,1.7680962753271862e-202,9.9835033447404923e-203,7.6359516812292932e-166,7.6359516812292932e-166,5.5054556685663316e-124,1.965629583046269e-118,2.2848741302235518e-212,1.0356745369848264e-224,5.1783726849241322e-225,2.6409330508710979e-226
9.596138257643465e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771395,0.66999999999999993,7.7290389180126609e-51,4.2578053983448201e-87,4.9114075958580039e-34,1.5625622716948104e-48,1.3180506139017529e-79,3.2914520759549896e-116,1.3363006656486328e-111,2.5403640402284674e-91,1.422391100193044e-130,1.6559903381129732e-16,1.6559903381129732e-16,1.5238457470163108e-37,1.8417275738706645e-41,4.9114075924568753e-34,6.977178542103173e-52,3.0390593455570474e-53,4.3764642257661333e-46,2.5679495418109107e-46,5.9817055047362535e-64,4.6950890060934272e-58,1.8749969874249134e-67,2.1392528788159143e-58,1.0820450901616279e-68,2.397060387199917e-86,2.871265521722509e-78,3.6852146241652014e-90,1.4365650943099674e-94,7.1828254726868362e-95,7.018621210923648e-71,2.8625848722533546e-92,3.2169810467206836e-104,1.2540389508038803e-108,1.2540389510031584e-108,6.9977876662959544e-109,5.1192414304017272e-63,8.2851632918049177e-108,2.5706405265475922e-110,2.9529623051207634e-63,1.1694458000219457e-78,1.0227703397274368e-78,3.0152506937094297e-129,7.3842309826411286e-139,8.4508863328329223e-146,8.3854890766214037e-158,4.2522844231017347e-170,1.3516172627641878e-180,1.3516172627648702e-180,1.3932534081254835e-160,2.1170355375469904e-182,1.2798960819986722e-161,1.1193676103432393e-161,3.0276217952916486e-198,1.203658362644292e-198,1.6344096798482984e-162,1.6344096798482984e-162,7.2606691988570916e-122,2.5922924261110882e-116,7.9341677623598995e-208,7.1927134607982291e-220,3.5963567303991146e-220,1.8341162233619519e-221
1.9327433392155148e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771361,0.66999999999999971,1.2600284136611544e-49,5.5638118958163774e-85,1.9852694768971344e-33,6.3161265317857458e-48,4.3259740877749035e-78,8.685692414095676e-114,3.548158018867171e-109,1.672689755199636e-89,7.5090111927085821e-128,3.3353044838049902e-16,3.3353044838049902e-16,1.2391660539758181e-36,1.4975483178118441e-40,1.9852694741428121e-33,1.1374561972566608e-50,4.9479169618410806e-52,3.5441741950388744e-45,2.0795921161958969e-45,9.7231845950392503e-63,7.6441121706088552e-57,6.1171875740248701e-66,3.4678211006947149e-57,3.5095873105434895e-67,1.5552945645364735e-84,1.8837809826692386e-76,4.8365253832136429e-88,1.8853674075340108e-92,9.4268370406547665e-93,2.2867229208821681e-69,9.2934563701744054e-91,2.0892879712774051e-102,8.1444324879757619e-107,8.1444324905645073e-107,4.544733445900292e-107,8.3346781438391227e-62,2.1749213735869467e-105,1.6695140827799055e-108,4.8077416778796878e-62,3.8101479412018391e-77,3.3322675614053025e-77,7.8889185278613844e-127,3.8640741960342372e-136,8.8446691998133653e-143,1.755263429889227e-154,1.7801987707833396e-166,1.131699336247736e-176,1.1316993362488787e-176,2.9163793948162929e-157,1.7725785092121932e-178,2.6790981018093075e-158,2.3430774437582824e-158,5.0700182431188973e-194,1.2662312166069165e-194,3.421171400120652e-159,3.421171400120652e-159,9.4320674900554774e-120,3.3675348717457572e-114,2.6755620592731652e-203,4.8510593814410835e-215,2.4255296907205417e-215,1.2370028029735909e-216
3.879002366117851e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771295,0.66999999999999937,2.0349492510405482e-48,7.1954678280615678e-83,7.9826812512796245e-33,2.5396866969924905e-47,1.4018576274527312e-76,2.2573570716233355e-111,9.2497287488683191e-107,1.0857572138427216e-87,3.9036131280168739e-125,6.6939327751889689e-16,6.6939327751889689e-16,9.9943231422976301e-36,1.2077816383399111e-39,7.9826812291104437e-33,1.8369947968691074e-49,7.9856368065427199e-51,2.8526597243549495e-44,1.673836653365679e-44,1.5744507815344661e-61,1.2337131761421886e-55,1.9764642246880081e-64,5.5848189675500383e-56,1.1306603001205774e-65,1.0022257682562954e-82,1.220610457844234e-74,6.2683360478698255e-86,2.4435137922359751e-90,1.22175689689169e-90,7.3833829553801092e-68,2.9953357044798164e-89,1.3469354692457039e-100,5.250604580247011e-105,5.2506045835850621e-105,2.9298987355657045e-105,1.3451663208867512e-60,5.6378486997739579e-103,1.0763076884810711e-106,7.7594024304199253e-61,1.2302225648179896e-75,1.0759242972488727e-75,2.0415504294221858e-124,1.9999674573133701e-133,9.1557441209647714e-140,3.6340144077388463e-151,7.3712981685581356e-163,9.3721042717723301e-173,9.372104271791255e-173,6.0379339982416694e-154,1.4679509023428095e-174,5.5466780290324142e-155,4.8509967472774228e-155,8.3974196075077207e-190,1.2028308640578285e-190,7.083031496975752e-156,7.083031496975752e-156,1.2162154209655175e-117,4.342216074670033e-112,8.8932729801634318e-199,3.2248778884042441e-210,1.6124389442021217e-210,8.2233233476077458e-212
7.771520419922524e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771161,0.66999999999999871,3.2711214792977466e-47,9.2577270106314282e-81,3.2014122159083185e-32,1.0185279540694746e-46,4.5142049173657477e-75,5.8225073432184969e-109,2.3894684001528972e-104,6.9979904685111242e-86,2.0138893435723945e-122,1.341118935795655e-15,1.341118935795655e-15,8.0279838596910736e-35,9.7013781063328607e-39,3.2014121981189456e-32,2.9529154844721616e-48,1.2832447694895308e-49,2.2890797681431217e-43,1.343148496286602e-43,2.5548295455289533e-60,1.9825043621192624e-54,6.3551994312957371e-63,8.9648712675791313e-55,3.6303130923060831e-64,6.4362215773478197e-81,7.8602246617014177e-73,8.0734893495909734e-84,3.1471960683099475e-88,1.5735980361480575e-88,2.3732735004607547e-66,9.6194577633252079e-88,8.6518094503640678e-99,3.372635982632621e-103,3.3726359869210269e-103,1.88193311186435e-103,2.1616029969671833e-59,1.4523222331788785e-100,6.9134104147223103e-105,1.2468902386147553e-59,3.9543589037783547e-74,3.4583911450584161e-74,5.2546690272274588e-122,1.0295183802453751e-130,9.4262100800559828e-137,7.4827503608316105e-148,3.035632264464773e-159,7.7192050215386479e-169,7.7192050215698227e-169,1.2432628970274427e-150,1.2090576084272349e-170,1.1421090388320072e-151,9.9886223850101844e-152,1.3832843326559854e-185,1.0693203101263885e-186,1.4584575222656263e-152,1.4584575222656263e-152,1.5624754186932277e-115,5.5783474982513673e-110,2.9349145907060949e-194,2.1285171866829188e-205,1.064258593341459e-205,5.4276427457832181e-207
