Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H6(54),C4H7X(141),H2(190),C2H6(343),C4H5X(364),C4H5X(365),C4H7X(140),C4H7X(142),C4H7X(143),C6H8(455),C6H7X(563),C6H7X(565),C6H7X(564),C8H10(459),C8H9X(844),C8H9X(846),C8H9X(845),S(746),S(1212),S(1748),SX(3061),S(3004),SX(3899),SX(3897),SX(3060),SX(3058),C6H9X(441),SX(3062),SX(3895),C8H10(843),SX(3064),SX(3063),SX(1214),SX(730)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5520514468757118e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.3230323023461725e-63,0.0,1.8215649990552964e-40,6.0881699361618277e-58,6.575837471153648e-97,0.0,-1.2199401528047077e-136,4.1226256170524398e-113,0.0,2.5495097567608442e-18,2.5495097567608442e-18,1.2350675036288733e-49,1.8215649990217347e-40,1.1177420424130357e-51,1.194331233463024e-64,6.1085560398049889e-66,8.9832290761353356e-68,2.6674667859915122e-57,1.937929297177886e-79,9.4524997595142953e-82,-1.8927270536139082e-96,-7.6913880255853176e-113,-2.8540166926953887e-114,-1.4270083463477014e-114,8.3841249664460343e-109,2.9598873701611477e-125,1.098315146088296e-126,1.0983151460883018e-126,-3.374319677800201e-156,-2.6310147571728555e-170,-9.5957678639782783e-182,-3.0357666478915028e-198,-4.9093760090810806e-215,-4.9770551960491471e-230,-4.9770551960491471e-230,-4.4106638550073392e-199,-4.0454627055219497e-199,4.3644201977903818e-88,-1.054745394705008e-199,-7.7955520491172511e-232,6.4385724590140824e-130,-1.5400535686081162e-200,-1.5400535686081162e-200,-1.0675171890770365e-172,-5.4953165738654662e-135
4.3457440512519933e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,4.1598250525092094e-62,0.0,1.100225259429399e-39,3.677254641441703e-57,3.1413563835171381e-95,0.0,3.7282321161548102e-134,3.1812025314281956e-111,0.0,7.1386273189303648e-18,7.1386273189303648e-18,1.8555600551864737e-48,1.1002252593895552e-39,1.6891316524038832e-50,3.7551683184371343e-63,1.7130298135054664e-64,2.5191778758667571e-66,3.1668165682775335e-56,4.6226516610001584e-78,5.444155647559255e-80,3.7574712163582351e-95,2.6715175069659246e-111,9.9131074057708266e-113,4.9565537028854589e-113,1.0628306164905577e-107,7.0498790663346312e-124,2.6159741869585216e-125,2.6159741869585458e-125,1.5956137316244331e-154,2.2131190159283163e-168,1.443297542359903e-179,8.1886054092641571e-196,2.3787289497360863e-212,4.3357614548058604e-227,4.3357614548058604e-227,1.1897220732247079e-196,1.0912135758663027e-196,2.2466996153630018e-86,2.845045369503831e-197,6.7910948868572015e-229,1.5335433924797973e-128,4.1541042000774045e-198,4.1541042000774045e-198,8.979587000915066e-171,3.3807728556527176e-133
9.933129260004556e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,9.2803408467712548e-61,0.0,5.2971110172528043e-39,1.7704398174357987e-56,1.635697755190774e-93,0.0,1.9294397577360131e-131,3.4670301323185542e-109,0.0,1.631686244326941e-17,1.631686244326941e-17,1.9923835574603356e-47,5.2971110168616149e-39,1.8170907437286275e-49,8.3775739348326588e-62,3.7188104398483555e-63,5.468874453175654e-65,3.1091992855917748e-55,1.0313139295748092e-76,2.4413878924064582e-78,3.9541012188325249e-93,5.8112310222058758e-109,2.1563533509574144e-110,1.0781766754787267e-110,4.191295817580382e-106,5.397321682374951e-122,2.0027654470313001e-123,2.002765447031336e-123,5.7184497271840282e-152,1.6073714141018714e-165,2.1118938948990738e-176,2.4060856101373713e-192,1.4010228878521727e-208,5.1136466670011976e-223,5.1136466670011976e-223,3.4958005879855972e-193,3.2063497399789739e-193,9.7898805682187246e-85,8.3596929899767463e-194,8.009495009226968e-225,1.1740665226911634e-126,1.2206144806427588e-194,1.2206144806427588e-194,6.5218053597615861e-168,1.4980966103710587e-130
2.1107899677509684e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,1.7381051328395602e-59,0.0,2.3133875488002268e-38,7.7319758189248864e-56,6.5276403542852003e-92,0.0,6.7818483134383186e-129,2.8362459165879574e-107,0.0,3.467333269194748e-17,3.467333269194748e-17,1.8299869606138024e-46,2.3133875484542238e-38,1.6702194499450365e-48,1.5690268814866627e-60,6.8885905073035621e-62,1.0130346048323173e-63,2.7500515573499474e-54,2.2532640603427907e-75,9.1851114254718303e-77,3.1227634143442325e-91,9.1947901327816086e-107,3.4118789011157297e-108,1.7059394505579269e-108,1.5166810057281452e-104,3.9091490156061341e-120,1.450554374277585e-121,1.4505543742776381e-121,1.7610439368763938e-149,9.9025094319571052e-163,2.6024762854293434e-173,5.9304024599314014e-189,6.9065741917368511e-205,5.0417973959454827e-219,5.041797395945484e-219,8.6162787886985475e-190,7.902854455908617e-190,3.6415491235030745e-83,2.0604563554660429e-190,7.8969576331796683e-221,8.5034786861765384e-125,3.008511038897917e-191,3.008511038897917e-191,4.0178790389575555e-165,4.7449937229810542e-128
4.345744051251993e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771417,0.67000000000000004,3.0021443803094878e-58,0.0,9.6579376249911813e-38,3.2279477001524284e-55,2.3200256199870366e-90,0.0,2.0193559805347446e-126,2.0412667847482239e-105,0.0,7.1386273189303632e-17,7.1386273189303632e-17,1.5650747252949625e-45,9.6579376220828207e-38,1.4289079035245196e-47,2.7101037483303335e-59,1.183553658739401e-60,1.7405314072707682e-62,2.3115840366623173e-53,5.2094101665124296e-74,3.1805124670360838e-75,2.2124821743297883e-89,1.3038645510344313e-104,4.8382049914619885e-106,2.419102495731171e-106,5.1511917821938054e-103,2.6578029817087988e-118,9.8622173923133938e-120,9.8622173923141134e-120,4.9317482982775608e-147,5.5472331177730236e-160,2.9159705614389075e-170,1.3290095958639552e-185,3.0956041863092807e-201,4.5196263116585393e-215,4.5196263116585403e-215,1.9309173817778101e-186,1.7710382183303387e-186,1.2541102560745324e-81,4.617504944689566e-187,7.0790820610272495e-217,5.7814554756896902e-123,6.7421057288651838e-188,6.7421057288651838e-188,2.2507538969567031e-162,1.346221171116929e-125
8.815652218254044e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.273322825837714,0.66999999999999993,4.9881077872866426e-57,0.0,3.9455826505537285e-37,1.3187219608519102e-54,7.8144852426282933e-89,0.0,5.5657648730660614e-124,1.3836370934927092e-103,0.0,1.4481215418401578e-16,1.4481215418401578e-16,1.2938316580505717e-44,3.9455826481692791e-37,1.1814486869972716e-46,4.5028779108798925e-58,1.9613247840016969e-59,2.8843199133442546e-61,1.8951762527444343e-52,1.3183937335870078e-72,1.0581765308658054e-73,1.4886371708934736e-87,1.7552389239770267e-102,6.5131042303865244e-104,3.2565521151937362e-104,1.6971751313995802e-101,1.7521639554417845e-116,6.5016940512389691e-118,6.5016940512399183e-118,1.3193076668988825e-144,2.9681650583405189e-157,3.1206350816373108e-167,2.8446384457813772e-182,1.3251923961856857e-197,3.8696199351641331e-211,3.8696199351641356e-211,4.1329737850854055e-183,3.7907652589487753e-183,4.1612143945119973e-80,9.8833989838205178e-184,6.0609783148114864e-213,3.8114404797467299e-121,1.4430936557222592e-184,1.4430936557222592e-184,1.2043137444076371e-159,3.6252042447018642e-123
1.7755468552258144e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771372,0.66999999999999982,8.1318746219062063e-56,0.0,1.5948675917928615e-36,5.3304850112626147e-54,2.5647923012166862e-87,0.0,1.4778270919660973e-121,9.1104879250581596e-102,0.0,2.9166391617343979e-16,2.9166391617343979e-16,1.0520423598684856e-43,1.5948675898618729e-36,9.6073445126223555e-46,7.3408274624380885e-57,3.1932486546017971e-58,4.6959844477852354e-60,1.5347628643662537e-51,3.6373711692168204e-71,3.4523065208546186e-72,9.7666564496212411e-86,2.303599240536113e-100,8.5478858483000754e-102,4.2739429241512821e-102,5.5099232826803672e-100,1.1379535728251379e-114,4.2225648758747256e-116,4.2225648758759597e-116,3.4517568203791446e-142,1.5532109922755627e-154,3.2660628899561213e-164,5.954471272928922e-179,5.5478836995205352e-194,3.2400212954393547e-207,3.2400212954393581e-207,8.651248355148869e-180,7.9349285566683955e-180,1.3557569284201657e-78,2.0688188129964152e-180,5.0748391677262708e-209,2.4753632663929655e-119,3.0207212202617389e-181,3.0207212202617389e-181,6.3020530117497638e-157,9.5164499694065909e-121
3.563510122026634e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771311,0.66999999999999948,1.313299922030296e-54,0.0,6.4128924417740914e-36,2.1433645787022686e-53,8.3113619681695203e-86,0.0,3.8525622782063682e-119,5.9136955654886789e-100,0.0,5.853674401522863e-16,5.853674401522863e-16,8.4847842964389962e-43,6.4128924262318136e-36,7.7486713993847702e-45,1.1855455960182285e-55,5.1537089618605766e-57,7.5790330635327829e-59,1.2353106731951434e-50,1.0689871129626207e-69,1.115440756013959e-70,6.3283805868918028e-84,2.9855594699318063e-98,1.1078412031574279e-99,5.5392060157903646e-100,1.7758807143778283e-98,7.3362315328388899e-113,2.7222300040707233e-114,2.7222300040723142e-114,8.9327023500148591e-140,8.0391898236208578e-152,3.38096713517229e-161,1.2327979325040393e-175,2.2972443000588614e-190,2.6832322640408734e-203,2.6832322640408779e-203,1.7911315038657357e-176,1.6428265535012567e-176,4.3774750782571109e-77,4.2832275755239333e-177,4.2027415711213572e-205,1.5958329338019116e-117,6.2540210613494135e-178,6.2540210613494135e-178,3.2618492372224387e-154,2.4668618249425679e-118
7.139436655628275e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771195,0.66999999999999893,2.111091263309812e-53,0.0,2.5718566927761437e-35,8.59585060382111e-53,2.6763909789010603e-84,0.0,9.9522657110009923e-117,3.8115321441964775e-98,0.0,1.1727744881099742e-15,1.1727744881099742e-15,6.8153131326465885e-42,2.5718566803044441e-35,6.2241542588113829e-44,1.9057299204095634e-54,8.2817065552512241e-56,1.2179059444223012e-57,9.9125901584611602e-50,3.2672424027884923e-68,3.5866313045545165e-69,4.0752144010328071e-82,3.8453398795796495e-96,1.4268769393622194e-97,7.1343846968194031e-98,5.7032036507352453e-97,4.7123027610628944e-111,1.7485778504947118e-112,1.7485778504967557e-112,2.299154375266554e-137,4.1383967629294253e-149,3.4809122831902461e-158,2.5384883199426904e-172,9.4606510364954748e-187,2.2100514819634336e-199,2.2100514819634425e-199,3.6881684193039182e-173,3.3827895941421699e-173,1.4070712118227878e-75,8.819712367653714e-174,3.4615994157651394e-201,1.0250559529062908e-115,1.2877827743160229e-174,1.2877827743160229e-174,1.6791277315146508e-151,6.3546903534853243e-116
