Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H6(54),C4H7X(141),C2H2(37),C2H6(343),C4H5X(365),C4H5X(364),C6H8(494),C6H7X(498),C6H7X(517),C6H7X(518),C8H10(500),C8H9X(719),C8H9X(786),C8H9X(785),S(721),S(1141),S(1666),SX(2966),SX(2965),SX(2963),S(2906),SX(3918),SX(3916),SX(2962),SX(2964),SX(2960),SX(1086),SX(1144),C4H7X(140),C4H7X(143),SX(1143),SX(1145),S(1619),SX(6234),SX(6230),S(7289),SX(7451),SX(7445),SX(7444),SX(7450),SX(6229),SX(6228),SX(6227),C4H7X(142),SX(3917),SX(3915)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.770117512888795e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.538129683075195e-66,0.0,6.2109202540608274e-42,2.1807645723911488e-62,2.3496142051905233e-101,0.0,-3.1048760311767893e-142,4.5273320800974741e-119,0.0,2.8284271247067536e-18,2.8284271247067536e-18,7.1064628011493262e-51,6.2109202514992796e-42,2.846245221339208e-42,1.3885045127616534e-67,2.1605002221599996e-68,1.0802501110799992e-68,-6.9271749306561825e-101,-1.7303176896353337e-118,-8.6515884481766665e-119,-8.6515884481766665e-119,2.9957339835798549e-113,6.5009024541892184e-131,6.5009024541892184e-131,3.2504512270946092e-131,-1.1273502902530622e-163,-2.7015866751360407e-179,-3.0282959787976585e-192,-2.9444890059982966e-210,-2.9444890059982966e-210,-2.9444890059982966e-210,-1.4634935504882658e-228,-4.5599485142043927e-245,-4.5599485142043927e-245,-2.9444890059982966e-210,-1.4722445029991483e-210,-1.4722445029991483e-210,-2.1923025746493101e-181,-2.192302574649309e-181,2.7953311601758525e-60,2.2957159448563429e-84,-1.0961512873246545e-181,-1.0961512873246545e-181,-3.1307728627637914e-193,-3.0441298800475506e-211,-3.0441295372840641e-211,-6.8552697256394203e-218,-8.9559480297926401e-236,-8.9559480297926401e-236,-4.8223172075811769e-236,-4.4779740148963201e-236,-3.0441298800475506e-211,-3.0441298800475506e-211,-3.0441295372840641e-211,7.1265024193448522e-84,-1.4284477299746702e-246,-1.4284477299746702e-246
1.3356329036088627e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,4.836126191543278e-65,0.0,3.7513958334527408e-41,1.3171818017242538e-61,1.1224389634909579e-99,0.0,9.4887436468183827e-140,3.4934924528717946e-117,0.0,7.9195959491789114e-18,7.9195959491789114e-18,9.9093450346656532e-50,3.7513958304116706e-41,1.7191321136888818e-41,4.3656806820126943e-66,5.6387837993782357e-67,2.8193918996891166e-67,2.1443489527094211e-99,9.4683139931691959e-117,4.7341569965845966e-117,4.7341569965845966e-117,5.2107895425323475e-112,2.1003934238168196e-129,2.1003934238168196e-129,1.0501967119084098e-129,8.1631890705049236e-162,3.4941978516593113e-177,7.0198841591281134e-190,1.2256655733649154e-207,1.2256655733649154e-207,1.2256655733649154e-207,1.0950787534871543e-225,6.1371172183050239e-242,6.1371172183050239e-242,1.2256655733649154e-207,6.1283278668245768e-208,6.1283278668245768e-208,2.8354962722677611e-179,2.8354962722677594e-179,3.3186171521505375e-59,1.32221494223312e-82,1.4177481361338797e-179,1.4177481361338797e-179,7.2574355277748097e-191,1.2671418324962533e-208,1.2671415760188828e-208,5.1295474096020034e-215,1.2053578618754505e-232,1.2053578618754505e-232,6.49023189871036e-233,6.0267893093772524e-233,1.2671418324962533e-208,1.2671418324962533e-208,1.2671415760188828e-208,1.9985063188481141e-82,1.9225109958518563e-243,1.9225109958518563e-243
3.052875208248829e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.0789131515425677e-63,0.0,1.806135609880889e-40,6.3416633765134578e-61,5.8445164148949556e-98,0.0,4.9106275773718963e-137,3.8073789664116901e-115,0.0,1.810193359812323e-17,1.810193359812323e-17,1.0374317288734474e-48,1.8061356068951478e-40,8.2768811036544213e-41,9.7395934691335913e-65,1.1918243492831833e-65,5.9591217464159142e-66,2.1603015100656092e-97,1.9520825310200381e-114,9.7604126551001867e-115,9.7604126551001867e-115,2.0560357226814235e-110,1.6272185012014598e-127,1.6272185012014598e-127,8.1360925060072991e-128,2.9391486280768714e-159,2.539113642691964e-174,1.0253248789827591e-186,3.5902434754453663e-204,3.5902434754453663e-204,3.5902434754453663e-204,6.4251209036265405e-222,7.2075873147064383e-238,7.2075873147064383e-238,3.5902434754453663e-204,1.7951217377226832e-204,1.7951217377226832e-204,2.0604578144772537e-176,2.0604578144772523e-176,3.2582379965492445e-58,5.9293667860129986e-81,1.0302289072386262e-176,1.0302289072386262e-176,1.0600216521471918e-187,3.7117365417173956e-205,3.711735036896144e-205,3.0096425025798265e-211,1.4156027926837459e-228,1.4156027926837459e-228,7.6222926747117949e-229,7.0780139634187297e-229,3.7117365417173956e-205,3.7117365417173956e-205,3.711735036896144e-205,5.6071581431283376e-81,2.2578460494050128e-239,2.2578460494050128e-239
6.487359817528762e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,2.0206849241070842e-62,0.0,7.8878687226572433e-40,2.769571006936752e-60,2.3323930737202023e-96,0.0,1.7260518856657524e-134,3.1146723909193239e-113,0.0,3.8466608896011849e-17,3.8466608896011849e-17,9.4322286031096681e-48,7.8878686962487032e-40,3.614731431100795e-40,1.8241180667935416e-63,2.183838149753746e-64,1.0919190748768727e-64,1.6872351123232368e-95,3.0539555108337971e-112,1.5269777554168978e-112,1.5269777554168978e-112,7.3768199429170018e-109,1.168854848772913e-125,1.168854848772913e-125,5.844274243864565e-126,8.9772127487771512e-157,1.5514771284418871e-171,1.2531780078184525e-183,8.7767669822717497e-201,8.7767669822717497e-201,8.7767669822717497e-201,3.1414978963348623e-218,7.0482744942379584e-234,7.0482744942379584e-234,8.7767669822717497e-201,4.3883834911358749e-201,4.3883834911358749e-201,1.2590035828203401e-173,1.2590035828203394e-173,2.8818746050162619e-57,2.2307759743329881e-79,6.2950179141016968e-174,6.2950179141016968e-174,1.295585281808596e-184,9.0737708874174925e-202,9.0737635297491327e-202,1.4715336721917857e-207,1.3843124720266401e-224,1.3843124720266401e-224,7.4538103976445966e-225,6.9215623601332004e-225,9.0737708874174925e-202,9.0737708874174925e-202,9.0737635297491327e-202,1.585602249541967e-79,2.2079397761115372e-235,2.2079397761115372e-235
1.3356329036088625e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771417,0.67000000000000004,3.4902306861026139e-61,0.0,3.2930299187030418e-39,1.1562413762817807e-59,8.2896902679669402e-95,0.0,5.1394738227361391e-132,2.2416523342507109e-111,0.0,7.9195959491789092e-17,7.9195959491789092e-17,8.0299608402403403e-47,3.2930298965050724e-39,1.509079216354048e-39,3.1507103342773677e-62,3.7337999984128107e-63,1.8668999992064048e-63,1.1894964158494185e-93,4.3090768569896952e-110,2.1545384284948464e-110,2.1545384284948464e-110,2.4952934454842659e-107,7.9143700067079831e-124,7.9143700067079831e-124,3.9571850033539916e-124,2.5036993815923566e-154,8.6553348539019011e-169,1.3983476707815437e-180,1.9587721149204277e-197,1.9587721149204277e-197,1.9587721149204277e-197,1.4022472206077808e-214,6.2922338774784655e-230,6.2922338774784655e-230,1.9587721149204277e-197,9.7938605746021384e-198,9.7938605746021384e-198,7.0236920623511193e-171,7.0236920623511157e-171,2.4223892438157333e-56,7.7244689226835753e-78,3.5118460311755578e-171,3.5118460311755578e-171,1.4456674549130432e-181,2.0250565415888195e-198,2.0250532574033817e-198,6.5683708755988581e-204,1.235821728936312e-220,1.235821728936312e-220,6.6542641483933225e-221,6.1791086446815598e-221,2.0250565415888195e-198,2.0250565415888195e-198,2.0250532574033817e-198,4.6553195403686487e-78,1.971102781260691e-231,1.971102781260691e-231
2.7094267473208356e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.273322825837714,0.66999999999999993,5.7990704476872103e-60,0.0,1.3453101707105821e-38,4.7236232943820665e-59,2.7921959716423766e-93,0.0,1.41654581820467e-129,1.5194649354289859e-109,0.0,1.6065466068334344e-16,1.6065466068334344e-16,6.6238794973419349e-46,1.3453101525113461e-38,6.1650809992295736e-39,5.2349523432623469e-61,6.1730827992383165e-62,3.0865413996191574e-62,7.9845187934684475e-92,5.7870444350519134e-108,2.8935222175259552e-108,2.8935222175259552e-108,8.2054696824657084e-106,5.2073600194074416e-122,5.2073600194074416e-122,2.6036800097037208e-122,6.6845694602346752e-152,4.6221067649036102e-166,1.4935462576613246e-177,4.1843319718619194e-194,4.1843319718619194e-194,4.1843319718619194e-194,5.9910253646328309e-211,5.3766727009010771e-226,5.3766727009010771e-226,4.1843319718619194e-194,2.0921659859309594e-194,2.0921659859309597e-194,3.7507797383076064e-168,3.750779738307604e-168,1.9860210440929574e-55,2.569979448794936e-76,1.875389869153802e-168,1.875389869153802e-168,1.5440875414777034e-178,4.3259288649524425e-195,4.325914833470644e-195,2.8062963598302903e-200,1.0559998735346753e-216,1.0559998735346753e-216,5.6860159800053198e-217,5.2799993676733765e-217,4.3259288649524425e-195,4.3259288649524425e-195,4.325914833470644e-195,1.4152541859775926e-76,1.6842944367671121e-227,1.6842944367671121e-227
5.457014434744782e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771367,0.66999999999999982,9.4539483153448502e-59,0.0,5.4379588066023673e-38,1.9093640598278773e-58,9.1642666522814406e-92,0.0,3.7612256531833468e-127,1.0004839317485449e-107,0.0,3.2357206306645165e-16,3.2357206306645165e-16,5.3803184479409897e-45,5.4379586592202359e-38,2.4920243110530955e-38,8.5342935532681484e-60,1.0039052131602473e-60,5.0195260658012349e-61,5.2324691080569654e-90,7.586203934544938e-106,3.7931019672724671e-106,3.7931019672724671e-106,2.6614276817770054e-104,3.3787270151955938e-120,3.3787270151955938e-120,1.6893635075977969e-120,1.7472362578220938e-149,2.4163824031004968e-163,1.5616478810308108e-174,8.7503402833679016e-191,8.7503402833679016e-191,8.7503402833679028e-191,2.5057177594178854e-207,4.4975467090047676e-222,4.4975467090047676e-222,8.7503402833679016e-191,4.3751701416839495e-191,4.3751701416839508e-191,1.9608630046476251e-165,1.9608630046476236e-165,1.6083313122022122e-54,8.3845714218387243e-75,9.804315023238118e-166,9.804315023238118e-166,1.6144937091205373e-175,9.0464499147120922e-192,9.0463912288996193e-192,1.1737162494783208e-196,8.8333317234907834e-213,8.8333317234907834e-213,4.7562946355606029e-213,4.4166658617453917e-213,9.0464499147120922e-192,9.0464499147120922e-192,9.0463912288996193e-192,4.4034500140283753e-75,1.4088997643110068e-223,1.4088997643110068e-223
1.0952189809592674e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.273322825837713,0.66999999999999948,1.526815138090918e-57,0.0,2.1865793191230616e-37,7.6774689076855387e-58,2.969735037735224e-90,0.0,9.805176669207231e-125,6.4942265537165933e-106,0.0,6.494068678326664e-16,6.494068678326664e-16,4.3369910429347753e-44,2.1865792004971028e-37,1.0020320151533483e-37,1.3782906884782317e-58,1.6193347655621422e-59,8.0966738278107088e-60,3.3884951360267927e-88,9.8264103510904166e-104,4.9132051755452058e-104,4.9132051755452058e-104,8.5739656412315929e-103,2.1771941547954958e-118,2.1771941547954958e-118,1.0885970773977479e-118,4.5194863000391476e-147,1.2500916829117055e-160,1.6158226650578256e-171,1.8107884197613156e-187,1.8107884197613156e-187,1.8107884197613161e-187,1.0370650743230195e-203,3.7228889628132367e-218,3.7228889628132367e-218,1.8107884197613156e-187,9.0539420988065754e-188,9.053942098806578e-188,1.0144332002193185e-162,1.0144332002193179e-162,1.294524928919638e-53,2.7090562202724127e-73,5.0721660010965896e-163,5.0721660010965896e-163,1.6705017561758353e-172,1.8720651100446657e-188,1.8720408213507456e-188,4.8577387839954489e-193,7.3118306515939168e-209,7.3118306515939168e-209,3.9370445934708286e-209,3.6559153257969584e-209,1.8720651100446657e-188,1.8720651100446657e-188,1.8720408213507456e-188,1.3885354693347046e-73,1.1662307746047351e-219,1.1662307746047351e-219
2.194254055928846e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771172,0.66999999999999882,2.4543106131639522e-56,0.0,8.769161041186389e-37,3.079008415171306e-57,9.5630195619013487e-89,0.0,2.5329562982026513e-122,4.1856994319573336e-104,0.0,1.3010764773650891e-15,1.3010764773650891e-15,3.4827374113768956e-43,8.7691600892878292e-37,4.018596550537454e-37,2.2155620272022071e-57,2.6014515169955099e-58,1.3007257584977544e-58,2.1814348859933553e-86,1.2652619586366583e-101,6.3263097931832875e-102,6.3263097931832875e-102,2.7528775610049792e-101,1.3981564440618136e-116,1.3981564440618136e-116,6.9907822203090679e-117,1.1629804065434833e-144,6.4336816930051798e-158,1.6631966004448266e-168,3.7277664336117061e-184,3.7277664336117061e-184,3.7277664336117066e-184,4.2698983613998495e-200,3.0656451379762857e-214,3.0656451379762861e-214,3.7277664336117061e-184,1.8638832168058515e-184,1.8638832168058531e-184,5.2208493200347418e-160,5.220849320034738e-160,1.0387746764816139e-52,8.7108036110582817e-72,2.610424660017369e-160,2.610424660017369e-160,1.719478815337283e-169,3.8539132471810144e-185,3.8538132448652972e-185,2.0000463143504863e-189,6.0209121309558316e-205,6.0209121309558316e-205,3.2419513911711253e-205,3.0104560654779158e-205,3.8539132471810144e-185,3.8539132471810144e-185,3.8538132448652972e-185,4.4099911458594125e-72,9.603428250579987e-216,9.603428250579987e-216
