Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),HX(5),C2H3X(75),C4H6(49),C4H5X(118),C6H8(51),C4H5X(117),C6H8(233)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4412156865406993e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,1.4142135623533768e-18,1.4142135623533768e-18,2.5566202454210803e-39,3.8863065654249359e-57,-1.430295547311815e-76,1.9431532827125166e-57,-2.3839270279764004e-77
6.835403922313957e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,3.9597979745894557e-18,3.9597979745894557e-18,3.8635646751451891e-38,1.0960006762060859e-55,2.7612073153799963e-75,5.480003381030686e-56,4.6022073978712045e-76
1.5623780393860475e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,9.0509667990616135e-18,9.0509667990616135e-18,4.156246584063045e-37,2.3840408766516919e-54,2.9155433106903112e-73,1.1920204383259575e-54,4.8594449676180467e-74
3.320053333695351e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,1.9233304448005931e-17,1.9233304448005931e-17,3.8203066699141926e-36,4.4196099989718001e-53,2.3044940009028819e-71,2.2098049994863146e-53,3.8409862527279891e-72
6.835403922313957e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,0.0,0.0,3.9597979745894552e-17,3.9597979745894552e-17,3.2683527874738826e-35,7.5961803733525358e-52,1.633343735712113e-69,3.7980901866776952e-52,2.7223550299513947e-70
1.3866105099551171e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771417,0.67000000000000004,0.0,0.0,8.0327330341671771e-17,8.0327330341671771e-17,2.7023372884375248e-34,1.2590111891391103e-50,1.0991654566247019e-67,6.2950559457002897e-51,1.8320201340152033e-68
2.79275074540256e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.273322825837714,0.66999999999999993,0.0,0.0,1.6178603153322612e-16,1.6178603153322612e-16,2.1974958036762666e-33,2.0499733441638085e-49,7.2120266009320254e-66,1.024986672083448e-49,1.2020554194400838e-66
5.605031216297446e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771367,0.66999999999999982,0.0,0.0,3.2470343391633428e-16,3.2470343391633428e-16,1.7723599754175433e-32,3.3086652423493572e-48,4.67328590714214e-64,1.6543326211796637e-48,7.7891402266259138e-65
1.1229592158087217e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.273322825837713,0.66999999999999948,0.0,0.0,6.5053823868254898e-16,6.5053823868254878e-16,1.4236559173255917e-31,5.3169362209360936e-47,3.0094653027022601e-62,2.658468110484071e-47,5.0159882608847678e-63
2.2478714041666758e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771172,0.66999999999999882,0.0,0.0,1.302207848214972e-15,1.3022078482149696e-15,1.1412364309912476e-30,8.52559764914875e-46,1.9320192283916513e-60,4.2627988246257701e-46,3.2201686328705664e-61
4.497695780882584e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770912,0.66999999999999749,0.0,0.0,2.6055470672797895e-15,2.605547067279771e-15,9.1391472826551151e-30,1.3655772891033832e-44,1.2384034095848342e-58,6.8278864456815846e-45,2.0640932325257137e-59
8.997344534314401e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258377039,0.66999999999999493,0.0,0.0,5.212225505409317e-15,5.2122255054091702e-15,7.3150219694074662e-29,2.186109670665962e-43,7.9319028676822824e-57,1.0930548353857185e-43,1.3220398865112068e-57
1.7996642041178036e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583769346,0.66999999999998971,0.0,0.0,1.0425582381667931e-14,1.0425582381666759e-14,5.8534995947321741e-28,3.4987245498886334e-42,5.0783774529197713e-55,1.7493622751132077e-42,8.4643214419525773e-56
3.5995237054905304e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583767259,0.66999999999997928,0.0,0.0,2.0852296134183401e-14,2.0852296134174039e-14,4.683392555845315e-27,5.598718649296667e-41,3.2507887887025791e-53,2.7993593251894026e-41,5.418211132434673e-54
7.199242708235984e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258376309,0.66999999999995841,0.0,0.0,4.1705723639207346e-14,4.1705723639132404e-14,3.7469512111670991e-26,8.9585573772496852e-40,2.0807055572947849e-51,4.4792786903598517e-40,3.46798969382542e-52
1.4398680713726892e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583754747,0.66999999999991666,0.0,0.0,8.3412578649227146e-14,8.3412578648627612e-14,2.9976558383977683e-25,1.4334177850003465e-38,1.3317157945433725e-49,7.1670889305761487e-39,2.2196204725739323e-50
2.8797556724708706e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583738066,0.66999999999983328,0.0,0.0,1.6682628866915458e-13,1.6682628866435825e-13,2.3981626189980031e-24,2.2935073398273389e-37,8.5231866498590274e-48,1.1467536717117245e-37,1.4205913658110762e-48
5.759530874667234e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583704698,0.66999999999966642,0.0,0.0,3.3365370870856053e-13,3.3365370867018968e-13,1.9185452743591799e-23,3.6696428487954849e-36,5.4549052340351618e-46,1.8348214302424668e-36,9.0918943906379226e-47
1.151908127905996e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583637968,0.6699999999993328,0.0,0.0,6.6730854878557727e-13,6.6730854847860875e-13,1.5348422903286701e-22,5.8714534323165553e-35,3.4911603926013064e-44,2.9357267354433249e-35,5.8188475023878227e-45
2.3038182087845412e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583504508,0.66999999999866544,0.0,0.0,1.334618228932429e-12,1.3346182264766763e-12,1.2278762579125972e-21,9.3943453423142308e-34,2.2343493722603e-42,4.6971727365838707e-34,3.7240736308382665e-43
4.6076383705416315e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583237583,0.66999999999733084,0.0,0.0,2.669237589197406e-12,2.6692375695513668e-12,9.8230196800481545e-21,1.5030968162591041e-32,1.4299857208174449e-40,7.5154843145230171e-33,2.3834107019052508e-41
9.215278694055812e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282582703737,0.66999999999466164,0.0,0.0,5.3384763096124546e-12,5.3384761524440694e-12,7.8584193160937586e-20,2.40495600018808e-31,9.1519145985235018e-39,1.2024780899800353e-31,1.5253839128586587e-39
1.8430559341084174e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282581636042,0.66999999998932314,0.0,0.0,1.0676953749982918e-11,1.0676952492635718e-11,6.2867360035130844e-19,3.8479295316142057e-30,5.8572254013747003e-37,1.9239651510606642e-30,9.7624583520405924e-38
2.7645839988112535e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282580568346,0.66999999998398463,0.0,0.0,1.6015431189893736e-11,1.6015427457144458e-11,1.8663746404771811e-18,1.4557497250730362e-29,3.3255589379673711e-36,7.278750620285661e-30,5.542834712942334e-37
3.6861120635140896e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228257950065,0.66999999997864612,0.0,0.0,2.1353908629344901e-11,2.1353900495881812e-11,4.0667315441403523e-18,3.7893074703788265e-29,1.2789422019299395e-35,1.8946544314112956e-29,2.1316614181181402e-36
5.529168192919762e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282577365258,0.66999999996796922,0.0,0.0,3.2030863507168388e-11,3.2030839898245616e-11,1.180446138654308e-17,1.3906213840873998e-28,9.7337453324724259e-35,6.9531113946983918e-29,1.6223605878419152e-35
7.372224322325434e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282575229866,0.66999999995729231,0.0,0.0,4.2707818383301435e-11,4.2707766753277166e-11,2.5815012140088354e-17,3.6059828858099772e-28,3.6754564208378677e-34,1.8029930374061409e-28,6.1260248439453986e-35
9.215280451731106e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282573094485,0.66999999994661541,0.0,0.0,5.3384773257623221e-11,5.3384676392737308e-11,4.8432442962083592e-17,7.8843910337427703e-28,1.1242465379711609e-33,3.9422001859288091e-28,1.8738253832472183e-34
1e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282572185301,0.66999999994206949,0.0,0.0,5.7930709255532935e-11,5.7930586491362651e-11,6.1382085159099408e-17,1.0679555827796898e-27,1.785133346067907e-33,5.3397851911688062e-28,2.9753515125542932e-34
1.1058336581136777e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282570959099,0.66999999993593851,0.0,0.0,6.4061728130100633e-11,6.4061564155444564e-11,8.1987328056186347e-17,1.5370247502934586e-27,2.996851297769308e-33,7.6851357752985304e-28,4.9949697930606671e-34
1.4744448839948122e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282566688337,0.66999999991458459,0.0,0.0,8.5415637869548877e-11,8.5415256686390468e-11,1.9059157922660932e-16,4.607929183325264e-27,1.6597214037824721e-32,2.3039709062846274e-27,2.766326064741179e-33
1.8430561098759466e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282562417592,0.66999999989323067,0.0,0.0,1.0676954760162348e-10,1.0676880858537536e-10,3.6950812408824049e-16,1.0974317131119262e-26,6.0534748104516283e-32,5.4871810092370833e-27,1.0089586603121457e-32
2.211667335757081e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228255814687,0.66999999987187675,0.0,0.0,1.2812345732632892e-10,1.2812218444111041e-10,6.3644260923947919e-16,2.2435251194001493e-26,1.7356226754633535e-31,1.1217688896122766e-26,2.8928402081968774e-32
2.5802785616382155e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282553876158,0.66999999985052283,0.0,0.0,1.4947736704367169e-10,1.4947534902024952e-10,1.0090117110469234e-15,4.1203319402390064e-26,4.2527032074814197e-31,2.060181295574821e-26,7.0881807000893054e-32
