Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C2H2(37),C4H6(54),C4H7X(140),C4H5X(374),C4H4(459),C4H5X(381),C4H5X(562),C4H6a(380),C4H3X(489),C4H2(708),C4H3X(488),C6H10(384),C2H6(343),C4H4(604),C4H5X(927),C4H5X(926),C8H8(948),C8H8(599),C8H8(974),C4H6(439),C4H7X(141),C6H9X(605),C6H8(619)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8179568827726426e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.8856946573964066e-69,0.0,5.4097993760646291e-45,1.6197383830643798e-71,1.0493673891524306e-104,0.0,0.0,2.075980029181919e-119,0.0,2.2638462845027911e-18,2.2638462845027884e-18,1.5726930910053098e-33,3.6438401703925278e-51,1.8385988426562583e-57,8.8667039404733389e-69,1.1477601742705746e-82,4.4333507584335086e-69,-9.1159254655540151e-125,7.467900523645654e-79,1.4232178367768754e-100,5.5103796567376223e-114,7.1160891838846535e-101,4.3077532178408469e-79,1.8921664207602821e-76,8.745956116660317e-92,3.3509447125327486e-90,1.0052834137598132e-89,1.5243540369681591e-193,3.556938900472819e-132,7.4932502500299845e-134,1.6525162502502928e-71,3.9788707864442811e-42,7.7919291362818723e-93,-1.8064945340187999e-101
1.06902792717634e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,9.0730856702708117e-68,0.0,3.2675188225542149e-44,9.7832198337088565e-71,5.0129540334420387e-103,0.0,0.0,1.6019192217656173e-117,0.0,6.3387695966078199e-18,6.3387695966078022e-18,9.4990662696720614e-33,5.0810181992116881e-50,2.1827845416206678e-56,2.3141597143064548e-67,5.5068367816805079e-81,1.1570794761429244e-67,5.2639435476252767e-123,1.9490798036563661e-77,1.243354020515417e-98,8.7202810749219732e-112,6.2167701025775226e-99,1.1242992283366032e-77,5.9492741290987404e-75,4.1962207153939473e-90,1.3827767156849141e-88,4.1483301470546552e-88,2.9630430360212047e-191,1.1662848190430145e-130,2.4569618028899978e-132,3.6966127440724634e-70,2.4032379542463468e-41,3.7384882816562974e-91,5.7666071811493178e-100
2.4434924049744914e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.0241555004530541e-66,0.0,1.5731696576763636e-43,4.7101992179512216e-70,2.6102347709121387e-101,0.0,0.0,1.745849922022368e-115,0.0,1.4488616220817901e-17,1.4488616220817806e-17,4.5733915086434292e-32,5.3194327610873268e-49,2.1430707974195247e-55,4.8912531855594478e-66,2.3344213637951531e-79,2.4456257427667525e-66,1.0430236265196336e-120,4.1196130782808751e-76,1.0545157375790549e-96,1.4785455533894792e-109,5.2725786878960147e-97,2.3763407718184727e-76,1.32725033189658e-73,1.7788337456887237e-88,5.4701271525815196e-87,1.6410381457743865e-86,1.2597405566903553e-187,9.5868009050898726e-129,2.0196098562724271e-130,7.3038838191154415e-69,1.1570556235489992e-40,1.5847948818884625e-89,5.7889803245747843e-98
5.192421360570794e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,3.7910192297171661e-65,0.0,6.8704451984753647e-43,2.0570677464917678e-69,1.0416761740284557e-99,0.0,0.0,1.4282136242078172e-113,0.0,3.0788309469238131e-17,3.0788309469237736e-17,1.9973202255767325e-31,4.8363766402535047e-48,1.8955218343056169e-54,8.9624829207067058e-65,8.5865825368925569e-78,4.4812398683733393e-65,1.6327140021602428e-118,7.54856887782816e-75,7.7715267191884859e-95,2.181237025532343e-107,3.8857633595953341e-95,4.3542856215877024e-75,2.4857929802479644e-72,6.5429930057333124e-87,1.9522495098964288e-85,5.8567485296887944e-85,3.9002538651669831e-184,6.9840191446153564e-127,1.4712930764449321e-128,1.2996870901532755e-67,5.0531658869112647e-40,5.8292697966260082e-88,4.5164871915306953e-96
1.06902792717634e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771417,0.67000000000000004,6.5480429422237242e-64,0.0,2.8682756209754235e-42,8.5878529070073913e-69,3.7022802601801489e-98,0.0,0.0,1.0278957005422655e-111,0.0,6.3387695966078916e-17,6.3387695966077264e-17,8.3384187685100568e-31,4.1173636325697397e-47,1.5933002877223122e-53,1.532353431681916e-63,2.9422089774376938e-76,7.6617644086607355e-64,2.3052391848605932e-116,1.2906105913375663e-73,5.3313059751789641e-93,2.9942054707128474e-105,2.6656529875909792e-93,7.4447053897014155e-74,4.2935891939505608e-71,2.2419690960961414e-85,6.596209754004012e-84,1.9788629262008704e-83,9.7791715280608468e-181,4.7611246281078083e-125,1.003005509022185e-126,2.1921122068255519e-66,2.109597280287084e-39,1.9974104700225937e-86,3.1825823674712877e-94
2.168599509414861e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771406,0.66999999999999993,1.0879671225574496e-62,0.0,1.1717841770985464e-41,3.5084181272528116e-68,1.2470299467028114e-96,0.0,0.0,6.9674115213838603e-110,0.0,1.2858646895976169e-16,1.2858646895975491e-16,3.4065161428410614e-30,3.3963952125498283e-46,1.3062837934832262e-52,2.5334363474652074e-62,9.7389918137349709e-75,1.2667177168579629e-62,3.0969534288187978e-114,2.1337634706750221e-72,3.5312901368477528e-91,3.9675822829544356e-103,1.7656450684258603e-91,1.2308314000444667e-72,7.1338626406041984e-70,7.4211311300916254e-84,2.1686893785784883e-82,6.5060681357332706e-82,2.2120552944498604e-177,3.1434672258793865e-123,6.6222062767884239e-125,3.6005507607351424e-65,8.6183931877977337e-39,6.6116187953450912e-85,2.1358241037539314e-92
4.3677426738919036e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771378,0.66999999999999982,1.7736609798429598e-61,0.0,4.7365389669078005e-41,1.4181587018152859e-67,4.09287708927151e-95,0.0,0.0,4.5876562966384838e-108,0.0,2.5898401494713221e-16,2.5898401494710469e-16,1.3769682904434514e-29,2.7587590984128289e-45,1.0578624098959667e-51,4.1200321507515848e-61,3.169324989196134e-73,2.0600153305556095e-61,4.0604617842911008e-112,3.4700591954087078e-71,2.2989639800629808e-89,5.166693258597847e-101,1.1494819900340742e-89,2.0016547646543565e-71,1.1629996529012406e-68,2.4150319425010495e-82,7.0340915483141264e-81,2.110227464492814e-80,4.7587584263165392e-174,2.0431489335735096e-121,4.3042133762289565e-123,5.8366475475738212e-64,3.4836922849091714e-38,2.1515952613125302e-83,1.3995054115630212e-90
8.766029002845988e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771328,0.6699999999999996,2.8644671598977592e-60,0.0,1.9045414631399596e-40,5.7023537671137497e-67,1.3263211216221649e-93,0.0,0.0,2.9778865030673732e-106,0.0,5.1977910692189305e-16,5.1977910692178231e-16,5.5367289346073037e-29,2.2237928166090158e-44,8.5145958069452089e-51,6.6457582061798952e-60,1.0227213273605564e-71,3.3228779002059173e-60,5.2599578174544434e-110,5.5973287391604194e-70,1.4839216955350227e-87,6.6703808161453876e-99,7.4196084777084633e-88,3.2287402344321098e-70,1.8782475236341493e-67,7.7931568434791287e-81,2.2661259893248331e-79,6.7983779679653152e-79,9.9873934485193043e-171,1.3177207603839072e-119,2.7759852587147791e-121,9.3997396730012449e-63,1.4007773154875251e-37,6.9430631622067866e-82,9.0625542665723915e-89
1.7562601660754156e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771222,0.66999999999999904,4.604547105897229e-59,0.0,7.6380629065030796e-40,2.2868989046185234e-66,4.2709650928078539e-92,0.0,0.0,1.9193255608969674e-104,0.0,1.0413692908714938e-15,1.0413692908710501e-15,2.2204759390314251e-28,1.7857741420643269e-43,6.8324249989395441e-50,1.067637043584207e-58,3.2864333793899637e-70,5.3381832843283008e-59,6.7730764407587548e-108,8.9920748247852117e-69,9.5375693471833336e-86,8.5747595692645332e-97,4.7687846736345424e-86,5.1869516926323893e-69,3.0192279661219127e-66,2.5042687673853908e-79,7.2760533693178678e-78,2.1828160107894622e-77,2.0705340348098841e-167,8.4658780868777292e-118,1.7834698728150778e-119,1.5088659830885211e-61,5.6177433039222277e-37,2.2310979408909044e-80,5.8341016832785922e-87
