Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),C2H6X(52)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.669155158374822e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,6.4627831178825271e-66,6.9032758212391834e-42,0.0,3.1202046480401801e-57,0.0,6.7815739758938046e-25,-5.3055010550182185e-118,6.7815739758532905e-25,9.3655769427352226e-80,1.155000035116197e-70,0.0,0.0,2.4780994364417913e-54,5.5962924180901744e-95,2.6894754702803979e-18,1.2931237063347711e-19,4.9843974463614576e-23,5.504777807478382e-38,4.9843974463618572e-23,1.8575897555629038e-54,3.3807730377462777e-42,5.165181067771996e-74
1.8673634443449502e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.4457590642807583e-64,4.1695785960284756e-41,0.0,4.715253264098753e-56,0.0,1.8988407132633915e-24,1.0240510367248957e-116,1.8988407132389213e-24,2.641242547071846e-78,3.631504964536708e-69,0.0,0.0,2.9419996509273326e-53,2.8968021288137437e-93,7.5305313167851143e-18,3.6207463777373594e-19,1.3956312849810789e-22,3.3248857956967503e-37,1.3956312849813201e-22,2.2053305577852305e-53,2.0419869148104749e-41,1.4566637040029493e-72
4.268259301359886e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,2.8566296233411164e-63,2.0074726088163668e-40,0.0,5.0724542922017974e-55,0.0,4.3402073446639184e-24,1.0812992176750636e-114,4.3402073445461052e-24,5.7452794594167589e-77,8.1016878107604708e-68,0.0,0.0,2.8884727030658265e-52,1.2648571786831882e-91,1.7212643009794536e-17,8.2759917205425345e-19,3.1900143656704269e-22,1.6007893863844237e-36,3.1900143656715887e-22,2.1652066190250685e-52,9.831287993942023e-41,3.168561731357853e-71
9.070051015389758e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,5.0832633750764595e-62,8.7671602929738811e-40,0.0,4.6624594014478104e-54,0.0,9.2229406076749882e-24,8.546769846715624e-113,9.2229406071604685e-24,1.065077985195925e-75,1.5173564638324109e-66,0.0,0.0,2.554821394887504e-51,4.7087461387302092e-90,3.6576866395813313e-17,1.7586482406152885e-18,6.7787805270470493e-22,6.9910678151845444e-36,6.7787805270521246e-22,1.9151007342711191e-51,4.2935817581194807e-40,5.8739794445892093e-70
1.86736344434495e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,8.5737021425506126e-61,3.660116840421121e-39,0.0,3.988832179571087e-53,0.0,1.8988407134537202e-23,6.0576477954120954e-111,1.8988407132389183e-23,1.8305969279479991e-74,2.6208559512371839e-65,0.0,0.0,2.1474813218362069e-50,1.6222344395579995e-88,7.5305313167850619e-17,3.6207463777373587e-18,1.3956312849792005e-21,2.9186331932433365e-35,1.3956312849813194e-21,1.6097575605097292e-50,1.7924858647766136e-39,1.00958698570004e-68
3.788080129956899e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996517,0.022821567693054282,0.0,1.4082360202421298e-59,1.4952771559837799e-38,0.0,3.2980435825111187e-52,0.0,3.8519340191621902e-23,4.0765192654175626e-109,3.8519340182846542e-23,3.0340801584389111e-73,4.354591360755291e-64,0.0,0.0,1.7606349328277823e-49,5.3836046449500139e-87,1.5276220671192417e-16,7.3449426519814969e-18,2.8311377495248756e-21,1.1923568919725394e-34,2.8311377495335313e-21,1.319776505363149e-49,7.3228896320645576e-39,1.6733163891867961e-67
7.629513501180796e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996502,0.022821567693054278,0.0,2.2828135822238216e-58,6.0441493387350423e-38,0.0,2.6819142687609198e-51,0.0,7.7581206319232408e-23,2.6747533966493002e-107,7.7581206283761008e-23,4.9402130040414223e-72,7.0990829587017934e-63,0.0,0.0,1.4258078158716262e-48,1.7541691926562169e-85,3.0767599380006701e-16,1.4793335200469761e-17,5.7021506786029596e-21,4.8196971978201593e-34,5.7021506786379491e-21,1.0687892312389372e-48,2.9600290727916307e-38,2.7245619608112701e-66
1.5312380243628592e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.11866996602996471,0.022821567693054271,0.0,3.6764027499113198e-57,2.4303258659711218e-37,0.0,2.1630610167474309e-50,0.0,1.557049386282179e-22,1.7332003955493766e-105,1.5570493848558894e-22,7.973523705873357e-71,1.1465037936262998e-61,0.0,0.0,1.147614172246525e-47,5.6641060256140436e-84,6.1750356797633643e-16,2.9690120297446258e-17,1.1444176536706068e-20,1.9379790446426555e-33,1.1444176536846758e-20,8.6025455534643374e-48,1.1902146719545446e-37,4.3974539893057913e-65
3.067811372852418e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999987,0.11866996602996409,0.022821567693054257,0.0,5.9014420920201996e-56,9.7466937123573566e-37,0.0,1.7374882409158953e-49,0.0,3.1195240346124663e-22,1.1161325371173124e-103,3.1195240288924074e-22,1.2813238540035514e-69,1.8429713618283249e-60,0.0,0.0,9.2088809829998076e-47,1.8206762694305397e-82,1.237158716328808e-15,5.9483690491399117e-17,2.2928228252700042e-20,7.7721627448934501e-33,2.2928228253264279e-20,6.903001028973497e-47,4.7732931747971961e-37,7.066590507815783e-64
6.140958069831536e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999742,0.11866996602996285,0.022821567693054226,0.0,9.4576962339557238e-55,3.9037613333906207e-36,0.0,1.3928118829343828e-48,0.0,6.2444733398753547e-22,7.1653576594992477e-102,6.2444733169652829e-22,2.0545763919473964e-68,2.9556244093356721e-59,0.0,0.0,7.3783110050910178e-46,5.839255829612171e-81,2.4764690130334861e-15,1.190708308793043e-16,4.5896331683839049e-20,3.1129190313633585e-32,4.5896331686098917e-20,5.5308010289969392e-46,1.9118070094118049e-36,1.1331132237594716e-62
1.2287251463789772e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999481,0.11866996602996037,0.022821567693054167,0.0,1.514463733004887e-53,1.5625218829220831e-35,0.0,1.1153791263868705e-47,0.0,1.2494371984810384e-21,4.5929166996067844e-100,1.2494371893110393e-21,3.2908928790609093e-67,4.7345024378499604e-58,0.0,0.0,5.9071351147718981e-45,1.8706591106266651e-79,4.9550896064417789e-15,2.3824511165511244e-16,9.1832538542721197e-20,1.2459788585303166e-31,9.183253855176658e-20,4.4280037657395652e-45,7.6522103744645977e-36,1.81495039748585e-61
2.4579838251706243e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999896,0.11866996602995541,0.022821567693054049,0.0,2.4241283163172312e-52,6.2521228107042095e-35,0.0,8.9275536982784457e-47,0.0,2.4994169412317437e-21,2.9417368392417148e-98,2.4994169045398039e-21,5.2682867562467392e-66,7.5796094560046419e-57,0.0,0.0,4.7275033615386557e-44,5.9894667957468459e-78,9.9123307932541086e-15,4.7659367320672002e-16,1.8370495224690211e-19,4.9855383637120868e-31,1.8370495228309542e-19,3.5437487393008341e-44,3.0618809155199857e-35,2.9054969255023578e-60
4.916501182753919e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997921,0.11866996602994551,0.02282156769305381,0.0,3.8793945236062555e-51,2.5012562380796093e-34,0.0,7.1438516731943412e-46,0.0,4.999376481787954e-21,1.8834383667648113e-96,4.9993763349963022e-21,8.4315459791356165e-65,1.2130900610592419e-55,0.0,0.0,3.7827209155006828e-43,1.9171667608473383e-76,1.9826813166861747e-14,9.532907963098998e-16,3.6744977960093031e-19,1.9945399578187609e-30,3.6744977974572702e-19,2.8355373563152633e-43,1.2249517592619064e-34,4.6500564705033291e-59
9.833535897920507e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995845,0.11866996602992567,0.022821567693053334,0.0,6.2076625173978108e-50,1.0005839237959664e-33,0.0,5.715804909564445e-45,0.0,9.9992957831195769e-21,1.205633197416718e-94,9.9992951959051814e-21,1.3492303555347338e-63,1.9412261445534459e-54,0.0,0.0,3.0264639974553079e-42,6.1357935806417709e-75,3.9655777914008943e-14,1.9066850425161195e-15,7.3493943409165254e-19,7.9788089435880797e-30,7.3493943467088676e-19,2.2686451886454962e-42,4.9002059436226602e-34,7.4410996042089553e-58
1.9667605328253686e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991688,0.11866996602988601,0.02282156769305238,0.0,9.9327645291593431e-49,4.0024985581571535e-33,0.0,4.57293336867352e-44,0.0,1.9999135266659629e-20,7.7167972292045322e-93,1.9999132917706467e-20,2.1589149760661828e-62,3.1061873662273771e-53,0.0,0.0,2.4212860202886603e-41,1.9635915455818762e-73,7.9313707408031033e-14,3.8134735349279977e-15,1.46991874220376e-18,3.1916532776458998e-29,1.4699187445207906e-18,1.8150021723709613e-41,1.9601622352588919e-33,1.1906566812220037e-56
3.933574418892004e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319983372,0.1186699660298067,0.022821567693050472,0.0,1.58928250879431e-47,1.6010319964744255e-32,0.0,3.6584624668026976e-43,0.0,3.9998817757246942e-20,4.9389888535174558e-91,3.9998808361243126e-20,3.4543810842402768e-61,4.9700798340241059e-52,0.0,0.0,1.9370746026502591e-40,6.2837131006480045e-72,1.5862956639498595e-13,7.6270505197495105e-15,2.939877354950628e-18,1.2766871500621506e-28,2.9398773642189393e-18,1.4520359800637889e-40,7.840809248734854e-33,1.9051152836899694e-55
7.867202191025275e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319966746,0.11866996602964806,0.022821567693046659,0.0,2.5428835947214787e-46,6.4041931331969541e-32,0.0,2.9268162699689685e-42,0.0,7.999819683245035e-20,3.1610295981016762e-89,7.9998159248052839e-20,5.5271034107854788e-60,7.9522705365284453e-51,0.0,0.0,1.5496777669524267e-39,2.0108234091614932e-70,3.1726128436453886e-13,1.5254204489383556e-14,5.8797945665349751e-18,5.106799466712912e-28,5.8797946036085966e-18,1.1616422133657687e-39,3.1363562327096025e-32,3.0482361163585323e-54
