Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),H2OX(23),CH3OO(77),C2H6X(52)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.783166069317647e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,6.9155737376727385e-66,7.1413221617792008e-42,0.0,3.282978086798524e-57,0.0,6.8975089818230277e-25,-5.8734731225283984e-118,6.8975089817811177e-25,1.0022613057946658e-79,1.2360305411829737e-70,0.0,0.0,1.9554871228823124e-55,6.0912767593007598e-95,2.7354527404208294e-18,1.3152299863987238e-19,5.0696069938776972e-23,5.6945977314238892e-38,5.0696069938781104e-23,4.6437642392514868e-58,1.9544955794184298e-54,3.4973530304434763e-42,5.5275424098317425e-74
1.8992864994089412e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.547000467214966e-64,4.3133585857146452e-41,0.0,4.9612364847912637e-56,0.0,1.9313025149240263e-24,1.1336826324500459e-116,1.9313025148987124e-24,2.8265372441616068e-78,3.8862778102390431e-69,0.0,0.0,2.321554312110647e-54,3.1530202793975673e-93,7.6592676731783235e-18,3.6826439619164274e-19,1.4194899582856214e-22,3.4395370294965284e-37,1.4194899582858713e-22,5.5130769048393559e-57,2.3203771517031553e-53,2.1124012304001948e-41,1.5588554002575653e-72
4.341226284363294e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.0566248607523361e-63,2.0766964846454034e-40,0.0,5.3370718161691659e-55,0.0,4.4144057484617891e-24,1.1970594423489219e-114,4.4144057483399138e-24,6.148335899016307e-77,8.6700720110252599e-68,0.0,0.0,2.279315789888395e-53,1.37673205058247e-91,1.7506897538693295e-17,8.4174719129518333e-19,3.2445484760807888e-22,1.655989019872814e-36,3.2445484760819911e-22,5.4127715972715e-56,2.2781600468046649e-52,1.0170302612714654e-40,3.3908509921728575e-71
9.225105854272001e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,5.439110943588957e-62,9.0694791454597049e-40,0.0,4.905688495558564e-54,0.0,9.3806122157545725e-24,9.4617580084511236e-113,9.3806122152223101e-24,1.1397978562904085e-75,1.6238085335812428e-66,0.0,0.0,2.0160290030659676e-52,5.1252282364368463e-90,3.7202157269723175e-17,1.7887127815022646e-18,6.8946655116689792e-22,7.2321391145140526e-36,6.8946655116742304e-22,4.7875351800986404e-55,2.0150067613697626e-51,4.4416383488544034e-40,6.2860662711955984e-70
1.8992864994089411e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,9.1738639968851984e-61,3.786329010175439e-39,0.0,4.1969197904348409e-53,0.0,1.9313025151209176e-23,6.7061590013065678e-111,1.9313025148987089e-23,1.9590212953496414e-74,2.8047254271914247e-65,0.0,0.0,1.6945938508261426e-51,1.7657188369863922e-88,7.6592676731782674e-17,3.6826439619164271e-18,1.4194899582836788e-21,3.019275713246087e-35,1.4194899582858705e-21,4.0242117895073769e-54,1.6937345950403445e-50,1.8542965769131995e-39,1.0804141823296393e-68
3.8528383273724233e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996517,0.022821567693054282,0.0,1.5068105935181287e-59,1.5468389455301111e-38,0.0,3.4700944431924497e-52,0.0,3.9177851025594532e-23,4.5129375772743542e-109,3.9177851016516578e-23,3.2469341292089188e-73,4.6600932391541138e-64,0.0,0.0,1.3893304201337122e-50,5.8597770461988596e-87,1.5537371565590059e-16,7.4705063227447491e-18,2.879536772513809e-21,1.2334726436688912e-34,2.8795367725227638e-21,3.2992919576735487e-53,1.3886259502519247e-49,7.5754065595186292e-39,1.790707273379106e-67
7.7599419832993875e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996502,0.022821567693054278,0.0,2.4426054452197209e-58,6.2525703361021844e-38,0.0,2.8218231713175147e-51,0.0,7.890750278826985e-23,2.9611034139135211e-107,7.8907502751575289e-23,5.286790516647209e-72,7.5971281059484877e-63,0.0,0.0,1.1251157920974232e-49,1.9093230369204737e-85,3.129357935041321e-16,1.5046231044401385e-17,5.7996304009603484e-21,4.9858936270090255e-34,5.7996304009965439e-21,2.6718521672443367e-52,1.1245452940018013e-48,3.0621004522970943e-38,2.9157025841164237e-66
1.5574149295153318e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.1186699660299647,0.022821567693054271,0.0,3.9337411861510694e-57,2.5141310323436049e-37,0.0,2.2759026152056482e-50,0.0,1.5836680636923891e-22,1.9187509453070932e-105,1.5836680622169173e-22,8.5329012085065703e-71,1.2269382117278949e-61,0.0,0.0,9.0559106759208913e-49,6.1650883868773895e-84,6.2805994920057793e-16,3.0197680487714612e-17,1.1639817657798533e-20,2.0048058873977039e-33,1.1639817657944076e-20,2.1505390700830806e-51,9.0513188089816258e-48,1.231257124751758e-37,4.7059557259368223e-65
3.1202563918861175e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999987,0.11866996602996407,0.022821567693054257,0.0,6.3145260808401358e-56,1.0082789912287837e-36,0.0,1.8281287493841059e-49,0.0,3.1728541375365063e-22,1.2356218970428356e-103,3.1728541316192041e-22,1.3712143169847727e-69,1.9722673197735896e-60,0.0,0.0,7.2667979198675659e-48,1.9817125728518462e-82,1.2583082605934007e-15,6.0500579374340935e-17,2.3320192171255348e-20,8.0401681894515872e-33,2.3320192171839037e-20,1.7256721675212532e-50,7.2631132327152906e-47,4.93789176739462e-37,7.5623445166150007e-64
