Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58),C4H6(99),C2H2X(98)
0.0,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.458656502896803e-25,0.004023131612903226,0.0,0.0,0.010942917987096772,0.5,1.1847996373741155e-185,4.3636568259278908e-67,2.9580591966796945e-114,8.8319917186184516e-135,2.1916049028441698e-201,6.8256521024745392e-48,1.1105180705609649e-62,0.0,0.5,3.2700170048958826e-19,2.2656734970649937e-18,9.8751070392763202e-20,3.355936958291099e-35,4.5671141789941361e-21,4.5671141789933288e-21,1.2017594530732417e-47,4.0339705091289259e-34
6.884238208111048e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,1.7670354298419989e-183,6.5943581982805737e-66,8.8119506645507042e-103,4.7358291722492099e-123,3.2686062600136354e-199,4.1226938698949668e-47,1.3184070533700783e-61,0.0,0.5,9.1560476136838675e-19,6.3438857917819695e-18,2.7650299709960002e-19,2.0269859228078203e-34,1.2787919701184889e-20,1.2787919701180015e-20,1.8160988846616291e-46,2.4365181875136637e-33
1.5735401618539538e-24,0.004023131612903226,0.0,0.0,0.010942917987096772,0.5,8.5023896882020835e-181,7.0939096321412721e-65,1.6994476281582743e-101,1.8740352581526109e-121,3.6652224217704816e-196,1.9848996314001141e-46,1.294419863046174e-60,0.0,0.5,2.0928108831161411e-18,1.4500310381215869e-17,6.3200685051272569e-19,9.7590646747104547e-34,2.9229530745571621e-20,2.9229530745548149e-20,1.9536763067295044e-45,1.1730786240543795e-32
3.343772843939652e-24,0.004023131612903226,0.0,0.0,0.010942917987096769,0.5,2.7234966625267856e-178,6.520525124964415e-64,2.9092025693886691e-100,6.441404221253786e-120,2.4414930990397051e-193,8.6685781701480117e-46,1.1448997100261896e-59,0.0,0.5,4.4472231265722809e-18,3.0813159560083451e-17,1.343014557336785e-18,4.2620399370296351e-33,6.211275283436598e-20,6.2112752834263508e-20,1.795765114665675e-44,5.1231425465905119e-32
6.884238208111048e-24,0.004023131612903226,0.0,0.0,0.010942917987096762,0.5,7.7224822118446571e-176,5.578446525061258e-63,4.8026389971802323e-99,2.1292896850672716e-118,1.4106726989644933e-190,3.618960744736811e-45,9.6235719166019471e-59,0.0,0.49999999999999994,9.1560476133270801e-18,6.3438857917817772e-17,2.7650299709761359e-18,1.7793177752858857e-32,1.2787919701203822e-19,1.2787919701161047e-19,1.5363148629459863e-43,2.1388111639372536e-31
1.396516893645384e-23,0.004023131612903226,0.0,0.0,0.01094291798709675,0.5,2.0770455358051464e-173,4.6123674635140256e-62,7.8021388838933216e-98,6.9219264813241787e-117,7.6597808093754625e-188,1.4784635480084674e-44,7.8899856889659332e-58,0.0,0.49999999999999989,1.857369658620677e-17,1.28690254633283e-16,5.6090607982197684e-18,7.2690936891363871e-32,2.59412085367717e-19,2.5941208536596951e-19,1.2702548380961552e-42,8.7377414815690398e-31
2.8127030393139425e-23,0.004023131612903226,0.0,0.0,0.010942917987096725,0.5,5.4481258462181354e-171,3.7507006210930178e-61,1.2577713862930709e-96,2.2323145974926713e-115,4.0372879740029931e-185,5.9761860470508765e-44,6.3895149726345877e-57,0.0,0.49999999999999972,3.7408994529446488e-17,2.5919304806419995e-16,1.1297122452566756e-17,2.9382838919574739e-31,5.2247786208041168e-19,5.2247786207334785e-19,1.0329501384747609e-41,3.5319348113065918e-30
5.645075330651059e-23,0.004023131612903226,0.0,0.0,0.010942917987096675,0.5,1.4116554739927105e-168,3.0250759294110232e-60,2.0199771345542746e-95,7.1710809012143236e-114,2.0971234612627499e-182,2.4029981253117414e-43,5.142837525243212e-56,0.0,0.49999999999999944,7.507959040584732e-17,5.2019863492597951e-16,2.2673245760699611e-17,1.181471029913905e-30,1.0486094155111494e-18,1.048609415482746e-18,8.3311170785794131e-41,1.4201754536044735e-29
1.1309819913325292e-22,0.004023131612903226,0.0,0.0,0.010942917987096575,0.5,3.6356321304473815e-166,2.429905497250691e-59,3.2379977069643796e-94,2.2991737020276898e-112,1.0814760266141329e-179,9.6370972497900418e-43,4.1268032294573498e-55,0.0,0.49999999999999883,1.5042078211833457e-16,1.0422098086493217e-15,4.542549237472088e-17,4.7382272557869581e-30,2.1008725223940186e-18,2.1008725222801079e-18,6.6920063029278466e-40,5.6955387578839582e-29
2.263930907867376e-22,0.004023131612903226,0.0,0.0,0.010942917987096373,0.49999999999999994,9.3351898101783363e-164,1.9478700181137539e-58,5.1856237604310068e-93,7.3644403370696368e-111,5.5570721186810827e-177,3.8598655832385053e-42,3.3064644648658766e-54,0.0,0.49999999999999761,3.0110316538205123e-16,2.0862321560951373e-15,9.0929985593785583e-17,1.8977623485273405e-29,4.205398736245329e-18,4.2053987357890924e-18,5.3644713557500709e-39,2.2811862803421149e-28
4.52982874093707e-22,0.004023131612903226,0.0,0.0,0.010942917987095973,0.49999999999999983,2.3933937620284846e-161,1.5598758067466965e-57,8.300859960025211e-92,2.3577544262167466e-109,2.8503291181436207e-174,1.5449521433675618e-41,2.6471820439523254e-53,0.0,0.49999999999999523,6.0246793126445359e-16,4.1742768509832956e-15,1.8193897199600369e-16,7.5959951055154932e-29,8.4144511642902462e-18,8.4144511624641087e-18,4.2959278618744973e-38,9.130690063961487e-28
