Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),CH2X(27),CHX(28),CX(26),OCX(25),C2H6X(52)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592107898e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,8.3685749080398461e-66,7.8554543779573085e-42,2.7188917408281635e-94,3.7875381123810497e-57,1.2753710688545756e-143,7.2341684504362229e-25,-7.8175316297758884e-118,7.234168450425131e-25,1.2127361800178679e-79,1.4955969575147203e-70,5.7954355902848368e-122,3.5018690416257391e-123,3.0081073166611926e-54,7.7301878038277965e-95,2.8689670379046562e-18,1.3794248471136902e-19,5.3170486719245069e-23,6.2640575050589801e-38,5.3170486719246832e-23,2.2548814833208161e-54,3.847088333470345e-42,3.5710214242238483e-37,3.4638160560597797e-47,2.0133227462053316e-55,6.2802834993302614e-86,6.6883263159312701e-74
1.9919884857902116e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.8720948557884679e-64,4.7446944442863273e-41,3.2884466905953695e-92,5.7237275954283179e-56,5.0335286748099993e-141,2.0255671661257357e-24,1.5089321947472431e-116,2.0255671661190365e-24,3.4201100654380767e-78,4.7023961513618423e-69,1.2674994329303267e-119,7.6588152095026812e-121,3.5712250063189788e-53,4.0013678366687399e-93,8.0331077061330364e-18,3.8623895719183324e-19,1.4887736281388162e-22,3.7834907330311112e-37,1.4887736281389227e-22,2.6769952969738051e-53,2.3236413534194612e-41,2.1568969400291391e-36,4.1122424190832831e-46,2.6220256664956718e-54,4.185043297124764e-84,1.8862150343130489e-72
4.5531165389490546e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.6990130340539746e-63,2.2843661331101555e-40,3.5316460130804099e-90,6.15732495853272e-55,2.1620492193587355e-138,4.6298678083043367e-24,1.5932861238567955e-114,4.6298678082720819e-24,7.4394864378136502e-77,1.0490787136599008e-67,2.7227033518739839e-117,1.6451827354341734e-118,3.5062498882345997e-52,1.7471537950154334e-91,1.8361389042589783e-17,8.8283190215276172e-19,3.4029111500313659e-22,1.8215879224343825e-36,3.4029111500318779e-22,2.6282898568822753e-52,1.1187332873782348e-40,1.0384530298611976e-35,4.0374239866635303e-45,3.0653365888183528e-53,2.244911254400144e-82,4.1029297005313168e-71
9.67537264526674e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,6.5822525001033221e-62,9.9764270600075436e-40,3.5183129701044535e-88,5.6596424505647359e-54,8.620235435030382e-136,9.8384690927190344e-24,1.2593599909523445e-112,9.8384690925781675e-24,1.3791554061127155e-75,1.9648083268542388e-66,5.4268213781310951e-115,3.2791353613462139e-116,3.1012383190470838e-51,6.5042155151585803e-90,3.9017951715503193e-17,1.8760177920746187e-18,7.231186193815737e-22,7.9553530310449599e-36,7.2311861938179723e-22,2.324692613883846e-51,4.8858021835596082e-40,4.535197205632283e-35,3.5710557837679189e-44,3.5847311655756324e-52,1.1173979651207698e-80,7.6061401881539423e-70
1.9919884857902113e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,1.1101976859920971e-60,4.1649619111945473e-39,3.6195756288666949e-86,4.8419432724048538e-53,3.5465033990321281e-133,2.0255671661778418e-23,8.9258976302478315e-111,2.0255671661190321e-23,2.3704157673775895e-74,3.3937177711368098e-65,1.1164274777493787e-112,6.7459688933540696e-114,2.6067776706512629e-50,2.2408008629347789e-88,8.0331077061329741e-17,3.8623895719183326e-18,1.4887736281381562e-21,3.3212032888403198e-35,1.4887736281390898e-21,1.954044215050743e-50,2.0397262344530215e-39,1.8933555563046799e-34,3.0016875415786666e-43,4.4826081964332107e-51,5.749636660979824e-79,1.3073011606213529e-68
4.0408909283172856e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.8235067477251069e-59,1.7015228400844053e-38,3.9792219256867951e-84,4.0034123316227348e-52,1.5588248323864587e-130,4.1090076800817113e-23,6.0067199146689742e-109,4.1090076798414555e-23,3.9287902963577995e-73,5.6387128334814273e-64,2.4539468684210103e-110,1.4827876929077217e-111,2.1371938290527827e-49,7.4364010774008124e-87,1.6295732775298161e-16,7.8351331316057558e-18,3.0200836456501549e-21,1.3568199115362753e-34,3.0200836456539692e-21,1.6020435056210035e-49,8.3329472142284172e-39,7.7349752218599459e-34,2.4609647731440243e-42,6.0848426663440728e-50,3.1624560959844032e-77,2.1667558007969774e-67
8.138695813371434e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.9559860073688917e-58,6.877827369722789e-38,4.6449550162259308e-82,3.2555084210800073e-51,7.2755756353862989e-128,8.2758887082574293e-23,3.9412286430132294e-107,8.2758887072862723e-23,6.3970165251920203e-72,9.1925250542387145e-63,5.7274710838595969e-108,3.4608017573308147e-109,1.7307549729020593e-48,2.4230430231343632e-85,3.2820982913628068e-16,1.5780620250980593e-17,6.0827036806694892e-21,5.4844830180578442e-34,6.0827036806849056e-21,1.2973763662193467e-48,3.368310496520938e-38,3.1266006463047326e-33,1.992953033142199e-41,8.8306801628005654e-49,1.8467573552141155e-75,3.5280001268077825e-66
1.6334305583479732e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,0.0,4.7605267335013182e-57,2.7655441355863241e-37,5.6486428156959314e-80,2.6256854804828888e-50,3.53815867712931e-125,1.660965076608077e-22,2.5538575070241823e-105,1.6609650762175797e-22,1.0324810462450845e-70,1.4845952510704487e-61,1.3927731403730246e-105,8.4157766336787028e-107,1.393062173896903e-47,7.8238590925065109e-84,6.5871483190285983e-16,3.167159448973023e-17,1.2207943750689501e-20,2.2052864989543438e-33,1.2207943750751489e-20,1.0442413680577034e-47,1.3543828364173248e-37,1.257192360560286e-32,1.6041019116757707e-40,1.3390708456922843e-47,1.1232927123949499e-73,5.6942064284704493e-65
3.2725525123696327e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,0.0,7.6417016181867385e-56,1.1091068903583688e-36,7.0370314358659874e-78,2.1090933688097864e-49,1.7628620997115635e-122,3.3277174887615061e-22,1.6446127434410522e-103,3.3277174871954377e-22,1.6591693236023297e-69,2.3864435047769533e-60,3.4698672539615447e-103,2.0966535691505847e-104,1.1178446616392974e-46,2.5149095940095503e-82,1.3197248374359425e-15,6.3453542967229351e-17,2.4458423890654896e-20,8.8441851914877447e-33,2.4458423890903492e-20,8.3793793276905386e-47,5.4316809376374755e-37,5.0419035944681054e-32,1.2871906451292489e-39,2.0828649745924967e-46,6.9983263376024187e-72,9.1504368653834685e-64
