Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),H2X(49),CH3OO(77),CH2X(27),CHX(28),CX(26),OCX(25),C2H6X(52)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221183e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,8.8826694073770434e-66,8.0934957904185418e-42,2.9785314224579598e-94,3.9609964956554737e-57,1.4394999508861598e-143,7.3429566300753704e-25,-8.5499483555304486e-118,7.3429566300639433e-25,1.2873492206556803e-79,9.917182714077816e-71,6.4443436028335515e-122,3.8939705272685612e-123,2.3593412986319166e-55,8.3291886197694071e-95,2.9121118203838406e-18,1.400169241939002e-19,5.3970087778966361e-23,6.453877428911496e-38,5.3970087778968171e-23,2.3581486926528312e-54,5.60281797854157e-58,3.9636649407884601e-42,3.6792335461310616e-37,3.6224478705176831e-47,2.1089997021791869e-55,6.7780901938818818e-86,7.0998208255601427e-74
2.0219448808219312e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.9870359632251289e-64,4.8884714574129184e-41,3.6066344785231817e-92,5.9858579042562509e-56,5.6878107972622932e-141,2.0560278564248062e-24,1.650306661914614e-116,2.0560278564179042e-24,3.6305307781370148e-78,3.1181209221425081e-69,1.4110394060397242e-119,8.5261528536700106e-121,2.8010099895107323e-54,4.311427910239673e-93,8.1539130970747493e-18,3.9204738774292058e-19,1.5111624578110111e-22,3.898141966720492e-37,1.5111624578111209e-22,2.7995941276831521e-53,6.6516655041246727e-57,2.3940536242397564e-41,2.2222570616518425e-36,4.3005701090433837e-46,2.7498751563479676e-54,4.5220283285184318e-84,2.0022630699481591e-72
4.6215882990215566e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.9260644408460825e-63,2.3535885758538905e-40,3.8808109291619357e-90,6.4393127830812869e-55,2.447765948884559e-138,4.6994922432741544e-24,1.7425636444010342e-114,4.6994922432409224e-24,7.8971974495697756e-77,6.9563562486076946e-68,3.0368552282328706e-117,1.8350084171675265e-118,2.7500482169876174e-53,1.8825381576479195e-91,1.8637515650456547e-17,8.9610831484096137e-19,3.4540856178535188e-22,1.8767875558143852e-36,3.4540856178540468e-22,2.7486581154298421e-52,6.5306446357884316e-56,1.1526337647865745e-40,1.0699211148979347e-35,4.2223252290862602e-45,3.221069252557896e-53,2.430357435813006e-82,4.3553595261010685e-71
9.820875135420809e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,0.0,6.9862351573218664e-62,1.0278739653833385e-39,3.8756890166238656e-88,5.9188378435489164e-54,9.7834120857222829e-136,9.9864210170320882e-24,1.3773514374259529e-112,9.9864210168869529e-24,1.4640073137783583e-75,1.3028485374082146e-66,6.0678793548966637e-115,3.6664934130136132e-116,2.4323865037722946e-52,7.0082175523328971e-90,3.9604720757220064e-17,1.9042301690370426e-18,7.3399319379377846e-22,8.1964243294157889e-36,7.3399319379400886e-22,2.4311569746521352e-51,5.7762812231580071e-55,5.033854474856011e-40,4.6726266003110091e-35,3.7345988381316929e-44,3.7762146478857265e-52,1.212693306254519e-80,8.0741025421536543e-70
2.0219448808219312e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,0.0,1.1783317502699444e-60,4.2911714680815629e-39,3.997300624879881e-86,5.0636903881034301e-53,4.0352119826810145e-133,2.0560278564784914e-23,9.762179217608111e-111,2.0560278564178999e-23,2.5162545168986572e-74,2.2503468511947374e-65,1.2514591169127142e-112,7.5618949231628117e-114,2.0445674172752294e-51,2.4144372065013471e-88,8.1539130970746812e-17,3.9204738774292058e-18,1.5111624578103312e-21,3.421845808037243e-35,1.5111624578112928e-21,2.0435339239066612e-50,4.8553124151179012e-54,2.1015351516552411e-39,1.9507296232107926e-34,3.1391553319380296e-43,4.7339665246045168e-51,6.255731680945961e-79,1.3877319327840428e-68
4.1016596153816315e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,0.0,1.9354143079031509e-59,1.7530835621892159e-38,4.4035371426325297e-84,4.186757135050855e-52,1.7772949658880907e-130,4.170799366123838e-23,6.5694990852534763e-109,4.1707993658763012e-23,4.1705073283808695e-73,3.7389849446310313e-64,2.7564295909878071e-110,1.6655622743443799e-111,1.6762598939028014e-50,8.0126367946090865e-87,1.6540795139779909e-16,7.952961294213526e-18,3.0655009858422352e-21,1.3979356625719625e-34,3.0655009858461634e-21,1.6754125735024612e-49,3.9806784635352549e-53,8.5854568087619913e-39,7.9693670053028639e-34,2.5736691714264987e-42,6.4391775823030747e-50,3.4478950138200293e-77,2.3000639071427361e-67
8.261089084501032e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,0.0,3.1373906891604353e-58,7.0862440523208712e-38,5.1474322447191412e-82,3.4046013703139364e-51,8.3068696228551136e-128,8.4003423857936582e-23,4.3104886415354114e-107,8.4003423847930739e-23,6.7905900507896265e-72,6.095489113173298e-63,6.4424603621200508e-108,3.8928325861048824e-109,1.3574787182653682e-49,2.6108010420643769e-85,3.3314559225189871e-16,1.601793612778216e-17,6.1741780419012373e-21,5.6506794418964778e-34,6.174178041917121e-21,1.3567925360818238e-48,3.2236566258315395e-52,3.4703789119201049e-38,3.2213455523172838e-33,2.084223974163447e-41,9.3577589133282548e-49,2.0162390288084132e-75,3.745057820120108e-66
1.6579948022739835e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,0.0,5.0526715196412838e-57,2.8493475670093355e-37,6.2648844116439686e-80,2.7459343453024496e-50,4.04304749646712e-125,1.6859428426649804e-22,2.7931324907159182e-105,1.68594284226265e-22,1.0960039719531426e-70,9.8442311426439221e-62,1.5679426591761918e-105,9.4742348942766794e-107,1.0926169643387693e-48,8.430118358054032e-84,6.6862087396007854e-16,3.2147885794919389e-17,1.2391532154000018e-20,2.2721133374030597e-33,1.2391532154063886e-20,1.0920646649713016e-47,2.5946793042606033e-51,1.3954240973422675e-37,1.2952888701969663e-32,1.6775647009482148e-40,1.4201503025104254e-47,1.2273903279393081e-73,6.0445384205854979e-65
3.3217665899217438e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,0.0,8.1106571472550792e-56,1.1427158145592326e-36,7.8082881824505191e-78,2.2056837964456727e-49,2.0153399266184224e-122,3.3777600514428133e-22,1.7986991348291451e-103,3.3777600498292883e-22,1.7612489598952941e-69,1.5824313866702314e-60,3.9080556455866024e-103,2.3614280120151045e-104,8.7675629347824224e-48,2.70978621759811e-82,1.3395714373763602e-15,6.4407785129193661e-17,2.4826240378120701e-20,9.1121906014902791e-33,2.4826240378376826e-20,8.763131076177899e-47,2.0820667344795616e-50,5.596274750148318e-37,5.1946876342420378e-32,1.346139899847614e-39,2.209963529338938e-46,7.650326206624668e-72,9.7134109717906248e-64
