Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),CH3OO(77)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.553161002830065e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.0549864288707748e-71,6.6652318274033472e-42,0.0,2.9602141457974258e-57,0.0,6.6636245612947117e-25,-4.7753787066158295e-118,6.6636245612852995e-25,8.7308113235337554e-80,5.044257009839352e-72,0.0,0.0,1.3223916642908291e-56,5.1262582687759362e-95,2.642698415522306e-18,1.2706328827193013e-19,4.8977056602268849e-23,5.3149578772712479e-38,4.897705660226973e-23,4.1872142665341884e-58,3.2641946571194476e-42
1.8348850807924183e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,3.293192873312774e-70,4.02580002375163e-41,0.0,4.4734756171187488e-56,0.0,1.8658148771655686e-24,9.2172556631708529e-117,1.865814877159884e-24,2.4622284862122158e-78,1.5859951075812308e-70,0.0,0.0,1.5699433823195023e-55,2.653498916150774e-93,7.3995555634624574e-18,3.5577720716140437e-19,1.3713575848634988e-22,3.2102345544631711e-37,1.3713575848635524e-22,4.9710607772293789e-57,1.9715735729027825e-41
4.194023041811242e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,7.3319271207011199e-69,1.9382494154089044e-40,0.0,4.812360932527766e-55,0.0,4.2647197192499598e-24,9.7325353195713781e-115,4.2647197192225914e-24,5.3558847754875175e-77,3.5382678316431121e-69,0.0,0.0,1.5413797191650235e-54,1.1586214741209533e-91,1.6913269859342745e-17,8.1320504494035286e-19,3.1345316225450046e-22,1.5455897455974857e-36,3.1345316225452627e-22,4.8806169490722207e-56,9.4922780629428934e-41
8.912298963848889e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,1.3721028786673466e-67,8.4648444208023588e-40,0.0,4.4233887937701936e-54,0.0,9.0625294034675252e-24,7.6927586890225918e-113,9.0625294033480025e-24,9.9289077335848871e-76,6.6267840319736157e-68,0.0,0.0,1.3633329002793003e-53,4.3132572471144095e-90,3.5940698451103261e-17,1.7280607204982499e-18,6.6608796979075558e-22,6.7499964513002112e-36,6.6608796979086833e-22,4.3168504202260231e-55,4.145527214582553e-40
1.8348850807924181e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,2.3691267948017287e-66,3.5339059148893512e-39,0.0,3.7843022414061888e-53,0.0,1.86581487720978e-23,5.4523549303965024e-111,1.8658148771598808e-23,1.706525554713789e-74,1.1446121350212891e-66,0.0,0.0,1.145963439977481e-52,1.4859825199318209e-88,7.3995555634624035e-17,3.5577720716140435e-18,1.3713575848630813e-21,2.8179906189783696e-35,1.3713575848635521e-21,3.6285728879501457e-54,1.7306760072415e-39
3.7221954496074766e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996518,0.022821567693054282,0.0,3.935676419881438e-65,1.4437158747429553e-38,0.0,3.128934274422626e-52,0.0,3.7849387510138892e-23,3.6691849155055519e-109,3.7849387508100368e-23,2.8284409562738486e-73,1.901790148153366e-65,0.0,0.0,9.395300484191373e-52,4.9314342006055082e-87,1.5010527000166457e-16,7.2171947738456284e-18,2.7818968150069944e-21,1.1512410957887446e-34,2.781896815008918e-21,2.9749232826813351e-53,7.0703761954183162e-39
7.496816187237595e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996503,0.022821567693054278,0.0,6.4156180664062755e-64,5.8357303960200052e-38,0.0,2.544397387931779e-51,0.0,7.6231864989343325e-23,2.4074864303477158e-107,7.6231864981103239e-23,4.6053828718213512e-72,3.1003978199390937e-64,0.0,0.0,7.608557664680793e-51,1.606836036606916e-85,3.0232469873574168e-16,1.4536040178308787e-17,5.602975275291868e-21,4.6535004083604582e-34,5.6029752752996432e-21,2.4091700044098549e-52,2.8579591039076947e-38
1.5046057662497829e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.11866996602996473,0.022821567693054271,0.0,1.036081857581432e-62,2.3465215257651911e-37,0.0,2.0521486704871292e-50,0.0,1.5299681996024107e-22,1.5600153784707811e-105,1.5299681992710797e-22,7.433106522606715e-71,5.0071504100020252e-63,0.0,0.0,6.1240287243263674e-50,5.1883761927289839e-84,6.0676355620387971e-16,2.9173730987235074e-17,1.1245132195849806e-20,1.8711519119103151e-33,1.1245132195881069e-20,1.9391096126022492e-51,1.1491727860252364e-37
3.0144540613018297e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999875,0.11866996602996412,0.022821567693054257,0.0,1.6654374521332569e-61,9.4106008257241125e-37,0.0,1.6483974127588604e-49,0.0,3.0652672995199207e-22,1.0046062336342798e-103,3.0652672981911367e-22,1.1944802634641658e-69,8.0488469168847698e-62,0.0,0.0,4.9141467093719655e-49,1.6677571656360437e-82,1.2156412711400919e-15,5.8449112605087531e-17,2.2529446036918451e-20,7.5041549734504835e-33,2.2529446037043826e-20,1.556013343255085e-50,4.6086968528921045e-37
6.034150651405923e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999748,0.1186699660299629,0.02282156769305423,0.0,2.6708807023329383e-60,3.769148873618341e-36,0.0,1.321394556984321e-48,0.0,6.1358655013531637e-22,6.4493800914183479e-102,6.1358654960310923e-22,1.9153244844205414e-68,1.2908155970031831e-60,0.0,0.0,3.9372962980359894e-48,5.3488151164807085e-81,2.4333967010122595e-15,1.1699987584079189e-16,4.5098073718866794e-20,3.0055752655315579e-32,4.5098073719368938e-20,1.2467041775806403e-49,1.8458826253439627e-36
1.2073543831614112e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999492,0.11866996602996045,0.022821567693054171,0.0,4.2783584198634679e-59,1.5086418179935842e-35,0.0,1.0581873437073936e-47,0.0,1.2277061913012537e-21,4.1339828207615282e-100,1.2277061891710385e-21,3.0678478210928862e-67,2.0677073061932856e-59,0.0,0.0,3.1522293793096879e-47,1.7135419343401248e-79,4.8689075607555671e-15,2.3410140231219854e-16,9.0235329082007733e-20,1.2030126850397733e-31,9.023532908401761e-20,9.9812139157575461e-49,7.3883410157166265e-36
2.415233019203049e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998982,0.11866996602995558,0.022821567693054053,0.0,6.8493297433617486e-58,6.0365323689545819e-35,0.0,8.4697876369028422e-47,0.0,2.4559454768302833e-21,2.6477923086441299e-98,2.4559454683066481e-21,4.9112209489123579e-66,3.3102520466634749e-58,0.0,0.0,2.5227388031530823e-46,5.486409823114796e-78,9.7399292802380765e-15,4.6830445525500335e-16,1.8050983980526655e-19,4.8136121614010809e-31,1.8050983981330871e-19,7.9880046272602967e-48,2.9562987865815719e-35
4.830990291286324e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999796,0.11866996602994584,0.022821567693053817,0.0,1.0962075224768496e-56,2.4150060229724511e-34,0.0,6.7775460830195106e-46,0.0,4.9124240606769634e-21,1.6952412322405265e-96,4.9124240265768736e-21,7.8600856733466619e-65,5.2979311541513201e-57,0.0,0.0,2.0185699704877421e-45,1.756143394864966e-76,1.9481972719186654e-14,9.3671056114057896e-16,3.610588612396919e-19,1.92575384717212e-30,3.6105886127186586e-19,6.3916173589708467e-47,1.1827120206983807e-34
9.662504835452874e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995918,0.11866996602992635,0.022821567693053348,0.0,1.7541779944151102e-55,9.6608102987119676e-34,0.0,5.4227233389429589e-45,0.0,9.8253812795248074e-21,1.0851637690525652e-94,9.8253811431133471e-21,1.2577843042864659e-63,8.4778838393862739e-56,0.0,0.0,1.6150023258899249e-44,5.6204465854496223e-75,3.8966059597018093e-14,1.8735227729115949e-15,7.2215690406017374e-19,7.703606628501225e-30,7.2215690418887998e-19,5.1137794018713975e-46,4.7312331430445217e-34
1.9325533923785973e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991832,0.11866996602988739,0.022821567693052412,0.0,2.8068627143831861e-54,3.8644813664903954e-33,0.0,4.3384532758419381e-44,0.0,1.9651295921838425e-20,6.9457182627373355e-93,1.965129537617039e-20,2.0125913733250479e-62,1.356547817890035e-54,0.0,0.0,1.2920520230049132e-43,1.7986689520278982e-73,7.7934233352418034e-14,3.7471471964530848e-15,1.444352989507661e-18,3.0815394881066976e-29,1.4443529900225077e-18,4.0912177376924312e-45,1.8925702885701403e-33
3.8651592100452177e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319983661,0.11866996602980945,0.022821567693050538,0.0,4.4910623380000701e-53,1.5458239965910642e-32,0.0,3.4708724641651463e-43,0.0,3.9303126024937391e-20,4.4454742067154306e-91,3.9303123842220836e-20,3.2202553888018443e-61,2.1705164391036923e-53,0.0,0.0,1.0336482751165458e-42,5.7559423228991501e-72,1.5587058086216622e-13,7.4943960435338969e-15,2.8887451596287319e-18,1.2326180309722208e-28,2.8887451616881631e-18,3.2730518786179723e-44,7.570435352208811e-33
7.730370845378459e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319967324,0.11866996602965357,0.022821567693046791,0.0,7.1855722299709269e-52,6.1833588871851904e-32,0.0,2.7767419066220317e-42,0.0,7.8606789505022228e-20,2.8451722188030186e-89,7.8606780774067222e-20,5.1524959717693898e-60,3.4727648278236508e-52,0.0,0.0,8.2689982999052338e-42,1.8419338103907226e-70,3.1174327587745583e-13,1.4988893737686847e-14,5.7775294967752604e-18,4.9303395476257595e-28,5.7775295050130883e-18,2.6184725785530393e-43,3.0282050867287001e-32
1.5460794116044938e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631993465,0.11866996602934182,0.022821567693039297,0.0,1.1496195683627669e-50,2.4733561353112442e-31,0.0,2.2214110951041795e-41,0.0,1.5721412956073951e-19,1.8209323134745578e-87,1.5721409463674191e-19,8.2440634190290622e-59,5.5560756355205012e-51,0.0,0.0,6.6147802732877465e-41,5.8942398096637534e-69,6.2348866589120821e-13,2.9977889125958087e-14,1.1555098158685861e-17,1.9719996785802538e-27,1.1555098191637487e-17,2.0947904929618983e-42,1.2112883086761991e-31
3.09216406573779e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319869302,0.11866996602871832,0.022821567693024309,0.0,1.8391360452108693e-49,9.8934497039112405e-31,0.0,1.7771358969231764e-40,0.0,3.1442886205436441e-19,1.1654038794059712e-85,3.1442872235801894e-19,1.3190557310299626e-57,8.8884862626220526e-50,0.0,0.0,5.2911078702978468e-40,1.886164990474903e-67,1.2469794458514048e-12,5.9955879902361829e-14,2.311023543297724e-17,7.8868496436414856e-27,2.3110235564785244e-17,1.6758373660707319e-41,4.845166461007772e-31
6.184333374004383e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319738601,0.11866996602747132,0.02282156769299433,0.0,2.9417812071266844e-48,3.9573849154921016e-30,0.0,1.4217115145044679e-39,0.0,6.2885853657037324e-19,7.4586095134274546e-84,6.2885797778428376e-19,2.110493620284823e-56,1.4217531568344446e-48,0.0,0.0,4.2317217656243948e-39,6.0357411251517485e-66,2.493961005502566e-12,1.1991186145461446e-13,4.6220509783440699e-17,3.1538089510273866e-26,4.6220510310682726e-17,1.3406718809593193e-40,1.9380697723113242e-30
