Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),H2(190),C4H7X(141),C4H7X(140),C2H6(343),C4H6(54),C4H7(69),C4H7(68),C4H7X(145),C4H5X(398),C4H7X(142),C4H7X(143),C4H6a(397),C6H10(402),C4H7X(146)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,3.0648582384803071e-50,1.300058641190944e-79,8.7672755640737424e-34,2.405821919243152e-39,9.8148770895658657e-76,2.4042082406813876e-105,-6.4135233755857813e-110,3.9646199406700794e-84,2.1630658263797333e-116,1.9045078872619782e-19,1.9045078872619782e-19,1.0189623708422981e-39,8.7672755557868684e-34,8.2720450575677932e-43,2.7667167821893017e-51,4.3198838655754711e-44,1.4810185621521181e-45,1.3972635940383014e-54,1.4083367947864914e-61,2.0856677726912398e-58,3.7089696023295337e-57,1.6689942398278811e-69,2.3188905838080804e-62,1.337619367398446e-62,6.3146154612709839e-76
3.0000000000000002e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.1153224927229485e-48,8.215006394030563e-78,4.4015301904354369e-33,1.2078201877853063e-38,5.5610007177920566e-74,2.9098629437049543e-103,3.2902324897538787e-107,3.0970270689782565e-82,3.0821480381320995e-114,4.7029684664503523e-19,4.7029684664503523e-19,3.0830296940296211e-38,4.4015301834338745e-33,6.989033997207874e-42,1.006826814092967e-49,1.3070482597119184e-42,1.2513094990639981e-44,1.7736691566457864e-53,2.5005161859961376e-60,1.2950598402594909e-56,4.7081206033609278e-56,9.2163036626209298e-68,1.4398755680865655e-60,8.3057193813556105e-61,1.4923110805025499e-74
7e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.5620811501367894e-47,7.3462216141346082e-75,2.7089092281054667e-32,7.4334806203944919e-38,3.80365203353724e-72,6.4840863476825002e-100,2.6485297673089414e-104,6.5008998416063332e-80,2.3390715435751932e-110,1.2321000015497731e-18,1.2321000015497731e-18,2.0141674013392536e-37,2.7089092171634112e-32,1.0922475800760014e-40,2.3128485243255301e-48,8.5390485649120744e-42,1.9555483855529844e-43,7.5571953192509906e-52,3.0718393537475361e-58,1.7785890571339601e-55,2.0060226985466622e-54,5.6337142460610314e-66,1.9774738196741249e-59,1.1406779165003429e-59,5.5242542166920578e-72
1.5e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,5.4590626620555903e-46,1.3624176075655871e-72,1.2857478007234861e-31,3.5281907218987791e-37,1.4051405822810042e-70,1.51805796009211e-97,6.7637600465221585e-102,4.2565492475089724e-78,1.0741750024906251e-107,2.7557063113589104e-18,2.7557063113589108e-18,1.9080824204045536e-36,1.2857477899069151e-31,1.0797213354640294e-39,4.9280191082056275e-47,8.0893020399636027e-41,1.933120689803618e-42,1.5346095173074962e-50,1.2681353322310111e-56,3.3023126351785092e-54,4.0735537197512526e-53,2.4163896306680165e-64,3.6715826819107361e-58,2.1179007490343438e-58,4.604033431122044e-70
3.1e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.0021255205108739e-44,2.0401378547809797e-70,5.5598841009496321e-31,1.5256644901477145e-36,5.4268390035557468e-69,4.9282028052583226e-95,2.2795826958477495e-99,3.3826900862469014e-76,6.9940485430542354e-105,5.8029189309745423e-18,5.802918930974543e-18,1.7043889926421333e-35,5.5598840060493035e-31,9.4730445691477264e-39,9.0464130916198951e-46,7.225745178710039e-40,1.6960415691862428e-41,2.7136593310171679e-49,4.5030773113021539e-55,5.9120494130311732e-53,7.2033017881522464e-52,8.9024428599594432e-63,6.5731445315070503e-57,3.7916258281559133e-57,3.2765405065362457e-68
6.300000000000001e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.7134891122132981e-43,2.8121435958750479e-68,2.308584687897209e-30,6.3348041246117708e-36,1.9026312214840716e-67,1.4089906021150962e-92,6.6527072740568588e-97,2.4002672310219283e-74,4.0029585206195177e-102,1.1897344170184894e-17,1.1897344170184894e-17,1.442894492794033e-34,2.308584608580296e-30,7.9174847018387333e-38,1.5468051920634225e-44,6.1171410792373253e-39,1.4175337164509806e-40,4.5509323602695815e-48,1.5128701748456277e-53,1.0042069386344772e-51,1.2080310889957171e-50,3.0500897646714658e-61,1.1164990151292772e-55,6.4403672894705199e-56,2.2034264985855508e-66
1.2700000000000001e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.8324614742926294e-42,3.7320690658496377e-66,9.404853314480603e-30,2.580640864691573e-35,6.3647551690764283e-66,3.8047212472499108e-90,1.8152063866748305e-94,1.6148321180060917e-72,2.1628504558578923e-99,2.4086194648439261e-17,2.4086194648439267e-17,1.1873486634079537e-33,9.4048526662324645e-30,6.470857480339179e-37,2.556926482322243e-43,5.0337563276810644e-38,1.1585279214674524e-39,7.4503132890911397e-47,4.957275125085423e-52,1.6558318928513965e-50,1.9776760665590649e-49,1.0093407602149189e-59,1.8409897466201329e-54,1.0619490016775591e-54,1.4445706362803387e-64
2.55e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,4.6057662787404514e-41,4.863191240043078e-64,3.7961694850778587e-29,1.041591595359927e-34,2.0817675442446987e-64,9.999132491309889e-88,4.7954041008168039e-92,1.0592087359179024e-70,1.1370933232624572e-96,4.8463895603621146e-17,4.8463895603621171e-17,9.6331180173910576e-33,3.7961689609649733e-29,5.2317099016776373e-36,4.1577276807936296e-42,4.0839536242597797e-37,9.3666725199647567e-39,1.2056193259536475e-45,1.604995165850881e-50,2.6894348776677566e-49,3.2003435937008531e-48,3.2840706725561454e-58,2.9901719220241971e-53,1.724838551408187e-53,9.35582395984315e-63
5.11e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771411,0.67000000000000004,7.4287415068121017e-40,6.2803443549305132e-62,1.5253259504336653e-28,4.184727610587703e-34,6.7343966487692068e-63,2.5932835314867265e-85,1.2469519406364889e-89,6.8621114184978785e-69,5.8988010143564141e-94,9.7219297503385343e-17,9.7219297503385503e-17,7.7606288766632817e-32,1.5253255289293031e-28,4.2074349584824117e-35,6.706087608277341e-41,3.2901131667864464e-36,7.5327424171525223e-38,1.9398397304434701e-44,5.1658442925107026e-49,4.3354723637701904e-48,5.1494853119813262e-47,1.059642370765665e-56,4.82027203435167e-52,2.7805060215270423e-52,6.023107202340508e-61
