Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),H2(190),C4H7X(141),C2H6(343),C4H6(54),C4H5X(380),C4H7X(140),C4H7X(142),C4H7X(143),C4H5X(381),C4H7(69),C6H9X(441),C6H9X(640),C6H9(670),C6H9X(739),SX(1079),SX(1110),SX(1077),C3H6(75),SX(1111),SX(1342),S(1381),S(1211),SX(1814),SX(1809),SX(1811),C4H6a(379),SX(1076),SX(1233),SX(1190),SX(2663),SX(1189),SX(1188),SX(2665),SX(2909),S(2972),SX(3081),SX(3784),SX(3848),SX(3782),SX(3849),SX(4061),S(4128),S(4012),SX(4830),SX(4823),SX(4826),SX(4825),C6H10(384),SX(5968),SX(5969),S(1757),SX(6385),SX(6382),SX(1383),SX(1194),C4H7X(146),SX(3993),SX(3992),SX(3781),SX(1380),SX(8214),SX(8211),S(4762),SX(9385),SX(9382),C4H7(68),C4H7X(145),SX(4130),SX(3996),SX(1813),SX(1812),SX(11572),SX(11569),SX(4127),SX(4829),SX(4828),SX(4827),C3H5X(138),C3H5X(144),S(1760),SX(1816)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9404415478885456e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,3.9372334859725829e-51,1.220240691093699e-85,3.1423535776530418e-34,9.0586801320437979e-43,2.4466182044627215e-78,4.3788009101771615e-113,-1.0803884854854191e-111,1.9177123427663823e-88,7.0411191233818309e-127,3.5178118198185211e-18,3.5178118198185226e-18,6.7458755801440267e-39,3.1423535775954098e-34,3.5542293468196337e-52,2.8599097181907771e-43,2.5504405855443693e-56,5.7531255264824786e-45,5.0054695831649615e-61,3.8813546973619781e-69,2.8701859126474784e-61,1.0300338644116725e-47,2.2782304764687288e-72,4.171060189672336e-83,1.1266480126505114e-96,1.8158523432196653e-105,1.6220452938826844e-121,2.9696945155595953e-132,3.2541663093939414e-144,3.2541663093939391e-144,2.9068471163758416e-160,5.3219524581955796e-171,2.6547025209037572e-184,-7.547710545072595e-195,-2.4669105396034177e-207,-5.2876970631319845e-208,-4.8538967739852899e-209,2.9789353220394251e-63,1.5798704584034261e-121,1.0588054568634146e-160,2.8312661203650612e-160,4.9266491515279652e-176,2.8312661203569369e-160,2.8312661202111262e-160,2.529083327400241e-176,4.6303299390648882e-187,1.1549102362184856e-200,1.7187553575810088e-209,1.5353115298772601e-225,2.8108994533853561e-236,9.7316385831860351e-248,8.6929747478947348e-264,1.5915387523465811e-274,7.4126539256225958e-288,-2.1347645308440487e-298,-6.6083674467970399e-311,-1.4164698954240582e-311,-1.3002633421991368e-312,-1.3002633421991368e-312,1.7183568766916156e-63,2.7651336040665984e-80,2.4183221108407698e-80,-1.1687678084907027e-221,-1.5412601647936777e-230,-1.5412601647937116e-230,4.7539371641735054e-187,8.7036664000571773e-198,2.9554792906023765e-84,8.4669485196870838e-264,8.4669484622428265e-264,1.4953918609085754e-225,4.6303299390647718e-187,-1.3767605075667348e-246,-1.3409633288624217e-246,0.0,0.0,0.0,1.8856885021033555e-58,3.6880661357285377e-67,1.4216728319982116e-290,2.602845942709917e-301,-4.3543569704592197e-212,-4.3543569706081846e-212,0.0,0.0,1.3847078853219902e-290,-1.1664464656010455e-315,-1.1664464656010455e-315,-1.1664464656010455e-315,3.0915816846044669e-162,3.087827242069299e-162,-9.0842156890704339e-225,-6.357878427338448e-213
5.433236334087928e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.2379292454342469e-49,2.5500244516953116e-83,1.8979815609024353e-33,5.471442723359746e-42,1.1687789280926147e-76,9.8657283623116586e-111,3.3017516992620402e-109,1.4797928240766923e-86,2.7934107768457702e-124,9.8498730954918448e-18,9.8498730954918448e-18,1.0194368320613272e-37,1.8979815608340125e-33,1.1175067008378641e-50,4.3218953590538889e-42,7.1926501893255947e-55,6.8301106249290237e-44,1.1197036419440155e-59,2.2354616401071193e-67,8.0943831290490777e-60,1.2228562016948998e-46,1.1792776541890944e-70,3.9280200109642317e-81,1.9210669402389364e-94,5.5913925400391646e-103,9.0065359822799297e-119,2.9710735508562693e-129,5.8634735667519461e-141,5.8634735667519496e-141,9.4306973457021785e-157,3.1084184253016988e-167,2.7912462794023601e-180,3.1733118950460957e-191,1.8666635094183668e-203,4.0010981339411462e-204,3.672849842353307e-205,8.4010738495528871e-62,8.7723568415896725e-119,3.435087368567897e-157,9.1854895760844948e-157,2.8775317173479398e-172,9.1854895760370247e-157,9.1854895751853782e-157,1.4771738898020902e-172,4.8684894611841775e-183,2.1858782927344969e-196,5.8556763432475269e-205,9.4154069919882509e-221,3.1028754030931022e-231,1.9336581059817702e-242,3.1091083267317174e-258,1.0246082141662097e-268,8.5898824195858609e-282,9.8951438838112412e-293,5.5136386860450045e-305,1.1818203627304283e-305,1.0848643516449371e-306,1.0848643516449371e-306,4.8460411054142944e-62,1.4313127244434537e-78,1.2517931155148567e-78,1.5917743243370551e-217,3.7781917621187396e-226,3.7781917621188874e-226,4.9984543838457229e-183,1.6473276363330126e-193,2.2248110340913933e-82,3.0282683325888315e-258,3.0282682956070994e-258,9.1705967871438676e-221,4.8684894611839358e-183,6.0747597219509583e-242,5.9168097734300183e-242,4.4547923022921836e-319,0.0,0.0,4.2182097376619461e-57,1.5218908125637785e-65,1.6474534782664055e-284,5.4291854002505802e-295,3.2948577311594832e-208,3.2948577313623618e-208,0.0,0.0,1.6046180040478601e-284,9.7321530949222488e-310,9.732153094886182e-310,9.7321530961495573e-310,1.003003254737732e-158,1.0017851992351671e-158,1.2372022227949021e-220,4.8108836809556104e-209
1.2418825906486692e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.7617520513783825e-48,4.6149246161142581e-81,9.1379642038149787e-33,2.6342640678062653e-41,6.0858076527966053e-75,4.4068267106766977e-108,1.7087270413976173e-106,1.6127506076230079e-84,2.5083589408329047e-121,2.2513995646838323e-17,2.2513995646838323e-17,1.0966636322776719e-36,9.1379642031431874e-33,2.4930959844686159e-49,4.6492977857284263e-41,1.5645585136553924e-53,6.7058431133239183e-43,2.2123461945514434e-58,1.0024748274174759e-65,1.7607051230079553e-58,1.2006074657408623e-45,5.1491877245175297e-69,3.4331097417381204e-79,3.3575615473666932e-92,1.953725092275476e-100,6.2917366111077473e-116,4.1498545668721945e-126,1.6376416289259074e-137,1.6376416289259093e-137,5.2672215010906764e-153,3.471936443602024e-163,6.2350304398901247e-176,1.6207235268521735e-186,1.9070138719594329e-198,4.0875870803699197e-199,3.7522432745121011e-200,1.8274170534070509e-60,6.1281450289366596e-116,1.9185607790456117e-153,5.1302683588962486e-153,3.2140483901375827e-168,5.1302683588432285e-153,5.1302683578919811e-153,1.6499239033573538e-168,1.087513501527972e-178,9.7652455606304156e-192,5.2318630171153512e-200,1.6824561043769922e-215,1.1089098926322754e-225,1.3821017814599149e-236,4.4445242259110504e-252,2.9293868662931091e-262,4.9117449880408034e-275,1.2932841924366334e-285,1.441254550411041e-297,3.0892557030707393e-298,2.8358145544512439e-299,2.8358145544512439e-299,1.0541197847007822e-60,6.2496714703093956e-77,5.4658186063460878e-77,3.2526198993878041e-212,1.5441325952760019e-220,1.5441325952761234e-220,1.1165448076583356e-178,7.3593113700052431e-189,1.7590911739025607e-80,4.3289620537108636e-252,4.3289619479789358e-252,1.63871052615394e-215,1.0875135015278641e-178,4.9655809601340952e-236,4.8364708014536396e-236,2.32895207460259e-311,1.0467274772792649e-319,1.0467274772792649e-319,8.3344715519324746e-56,6.0204486649638524e-64,9.4202353534676198e-278,6.2088775039313224e-288,3.3660803713802216e-203,3.3660803717947832e-203,0.0,0.0,9.1752996066065702e-278,2.5439661048142198e-302,2.5439661047953695e-302,2.5439661054558609e-302,5.6019614621831397e-155,5.5951583935468464e-155,2.5280898915885556e-215,4.9148771962361143e-204
2.639000505128422e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,5.1724559445512546e-47,7.0073633928907731e-79,3.9907890436192234e-32,1.1504522583577423e-40,2.4286860758906209e-73,1.4636169112969357e-105,6.0060582640131311e-104,1.3193301329420215e-82,1.670030246528682e-118,4.78422407495298e-17,4.78422407495298e-17,1.0080228172329394e-35,3.9907890430250302e-32,4.6692928633682659e-48,4.2735056639539741e-40,2.9004278017296766e-52,5.9312422920597445e-42,3.9367535645042228e-57,3.7715608475600645e-64,3.2640505574218421e-57,1.061923698957337e-44,1.9169134814212404e-67,2.5612063834032793e-77,5.0146022192816564e-90,5.8387101454971052e-98,3.7614812434324754e-113,4.9625343016236795e-123,3.9169280970072929e-134,3.9169280970073017e-134,2.5197145088514024e-149,3.3218347734776614e-159,1.1931034003072572e-171,6.5903184189637544e-182,1.5508950114454781e-193,3.324264445586126e-194,3.0515432854152029e-195,3.3877232336122822e-59,3.663678887034495e-113,9.1779421663402151e-150,2.4541993566228389e-149,3.0750959519300271e-164,2.4541993565721096e-149,2.4541993556619889e-149,1.5785930084824092e-164,2.08101000141958e-174,3.7372684642624121e-187,4.0045922351048108e-195,2.5755861482000422e-210,3.3951486619288486e-220,8.4631621436965909e-231,5.4431206265220119e-246,7.1751243540632983e-256,2.4061268361969965e-268,1.346280761831453e-278,3.0006294122148174e-290,6.4316962758883662e-291,5.904042805796286e-292,5.904042805796286e-292,1.9541604249471326e-59,2.3265959871408496e-75,2.0347872198368869e-75,5.290447338245485e-207,5.0231244690905407e-215,5.0231244690913301e-215,2.1365628181646786e-174,2.8164906272589513e-184,1.2573247988839368e-78,5.3015939277668271e-246,5.3015936687912337e-246,2.5086182761954159e-210,2.0810100014191675e-174,3.2306472910253801e-230,3.1466471874743178e-230,9.697554165753638e-304,8.7169110973443594e-312,8.7169110973443594e-312,1.4830746601075126e-54,2.1486553340250001e-62,4.6147105290891869e-271,6.0831118829338272e-281,2.7374930681659661e-198,2.7374930688402573e-198,0.0,0.0,4.4947233393016575e-271,5.2964270007534272e-295,5.296427000674936e-295,5.2964270034251655e-295,2.6798462096969418e-151,2.6765917821497471e-151,4.1119856962823181e-210,3.9970650642837287e-199
5.433236334087929e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771411,0.67000000000000004,8.9341313490798027e-46,9.7549310353449754e-77,1.6660758668713977e-31,4.8029111403030219e-40,8.6319307026151823e-72,4.2460104562340757e-103,1.7883575563739715e-101,9.4953147847370847e-81,9.7003567736836618e-116,9.8498730954900649e-17,9.8498730954900649e-17,8.6238474273092813e-35,1.6660758663719386e-31,8.0650422504061967e-47,3.6560740668087074e-39,4.9850943264458163e-51,4.9855665299298565e-41,6.6399160790152209e-56,1.3059717779305354e-62,5.6100689354186833e-56,8.9261084114500678e-44,6.6040575847860835e-66,1.7667057605456667e-75,6.9219141433098705e-88,1.6123396208833233e-95,2.0777266804383671e-110,5.4826810131064986e-120,8.6552580920166258e-131,8.6552580920166658e-131,1.1135846614022032e-145,2.936186709016445e-155,2.1091894105288892e-167,2.3986255789221076e-177,1.128935377783398e-188,2.4198154678642669e-189,2.2212948950895238e-190,5.822630668956962e-58,2.0237036636680742e-110,4.0561800097903796e-146,1.0846303223486139e-145,2.7180930039502743e-160,1.0846303223037746e-145,1.0846303214993138e-145,1.3953264164314591e-160,3.6788465703266096e-170,1.3213647781001394e-182,2.8317648999033567e-190,3.6425473304926338e-205,9.6032454851960256e-215,4.7876451184675993e-225,6.1583912026704355e-240,1.6235989322754586e-249,1.0889246672196995e-261,1.2543943921738647e-271,5.5916608713146841e-283,1.1985440206531947e-283,1.1002160081937053e-284,1.1002160081937053e-284,3.3587024788411511e-58,8.0154759341581107e-74,7.0101504867542478e-74,7.7021039527618047e-202,1.4625848552005803e-209,1.4625848552010401e-209,3.7770538293872189e-170,9.9581061073864476e-180,8.5032934606948667e-77,5.9982667389583577e-240,5.9982661529441561e-240,3.5478373777999797e-205,3.6788465703251519e-170,1.8813376559411976e-224,1.8324209866233428e-224,3.6142705690854527e-296,6.4975713954904882e-304,6.4975713954924228e-304,2.5014221119629046e-53,7.2598205446271892e-61,2.088448601910727e-264,5.5059863595752133e-274,1.992689864522188e-193,1.992689865503856e-193,8.3578614978734472e-319,8.1405714268324669e-319,2.034146804226527e-264,9.8698704617098797e-288,9.8698704614173453e-288,9.8698704716674292e-288,1.1843546655754396e-147,1.1829163754092856e-147,5.9864392484983351e-205,2.9095639125329828e-194
1.102170799200694e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771389,0.66999999999999993,1.4844192870340718e-44,1.3016177896807689e-74,6.8064635433355301e-31,1.9621454490225894e-39,2.9074719912526718e-70,1.1556833784022726e-100,4.9290851999090767e-99,6.4362335431685003e-79,5.2833693245428569e-113,1.9981171136554399e-16,1.9981171136554399e-16,7.1303638218087961e-34,6.8064635392405944e-31,1.3400188321954727e-45,3.0229127394296427e-38,8.2624282549419603e-50,4.0874686553234579e-40,1.0906101096365555e-54,4.3450503685871685e-61,9.2982778297793369e-55,7.3181627465562843e-43,2.1916459300132081e-64,1.1732780937535603e-73,9.1963695755627304e-86,4.2848779033424854e-93,1.1044121898272968e-107,5.8288271249828032e-117,1.8403733112589552e-127,1.8403733112589718e-127,4.7356870583817132e-142,2.4973266263580093e-151,3.5878824223376284e-163,8.2770412327860239e-173,7.7913383227615054e-184,1.6700336759574296e-184,1.5330248642096034e-185,9.6505833203702939e-57,1.0756963446561021e-107,1.7249518469761343e-142,4.6125543573168274e-142,2.3118305124847811e-156,4.6125543569354534e-142,4.6125543500932401e-142,1.1867725582698854e-156,6.2579820683779929e-166,4.495477455754913e-178,1.9268172638892e-185,4.9569969785704532e-200,2.6137349023551504e-209,2.6061264462150621e-219,6.7045682514363498e-234,3.5351862799622128e-243,4.7419979728835385e-255,1.1081229780414367e-264,9.8792659689433656e-276,2.1175703298212677e-276,1.9438458122537015e-277,1.9438458122537015e-277,5.566803042001908e-57,2.6600442210853555e-72,2.3264133589082793e-72,1.0631204941854487e-196,4.0376090374492358e-204,4.0376090374517755e-204,6.4250396632510092e-166,3.3878944069531453e-175,5.5937501385064327e-75,6.5302426285166157e-234,6.5302413525431472e-234,4.828109993083251e-200,6.257982068373032e-166,1.038723526440411e-218,1.0117156891128765e-218,1.2771281801296248e-288,4.5919260216183035e-296,4.5919260216210376e-296,4.1085930901869066e-52,2.3868700223753868e-59,9.0946781981466746e-258,4.7954423459293073e-267,1.3752532876447895e-188,1.3752532889997856e-188,1.1813261118274506e-310,1.1506104664321853e-310,8.8582072741362761e-258,1.7437945095505433e-280,1.7437945094471747e-280,1.7437945130691146e-280,5.0366471974341474e-144,5.0305306511407402e-144,8.263075145420137e-200,2.008033165660764e-189
2.2198651307844965e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258377135,0.66999999999999971,2.4199780900551552e-43,1.7008696398985128e-72,2.7512813902003603e-30,7.9313018501107586e-39,9.5426141935563966e-69,3.0496902297423667e-98,1.3087753127338409e-96,4.2379051742385785e-77,2.7891678283959139e-110,4.0243767218603815e-16,4.0243767218603815e-16,5.7982934417916076e-33,2.7512813868840642e-30,2.1845688997617717e-44,2.4581824362119831e-37,1.3453222517098091e-48,3.3101380899874712e-39,1.7679321443954796e-53,1.417574980725264e-59,1.5139835003970792e-53,5.9264375689199373e-42,7.1411591716427225e-63,7.648108431028348e-72,1.1991176683148135e-83,1.1174934998804961e-90,5.7608070061528098e-105,6.080945306221356e-114,3.8399868799195532e-124,3.8399868799196229e-124,1.9762357577284893e-138,2.0843088595335593e-147,5.9890146409886062e-159,2.7827223444482803e-168,5.2388622767216382e-179,1.1229234392595475e-179,1.0307993052922743e-180,1.5713473185206008e-55,5.611020141874843e-105,7.1983462596649955e-139,1.9248516104220482e-138,1.9294908233114487e-152,1.9248516101037474e-138,1.9248516043931268e-138,9.9049941299194869e-153,1.0446036138225365e-161,1.5008014325148919e-173,1.2865244899791735e-180,6.6195160482559922e-195,6.9807027994859805e-204,1.3920765108967729e-213,7.1625627749674384e-228,7.5533555401703334e-237,2.0263709526986283e-248,9.5372523699269834e-258,1.7005522813488013e-268,3.6450471792288351e-269,3.3460091478652834e-270,3.3460091478652834e-270,9.0640956534978679e-56,8.6673668127744847e-71,7.5802792224207832e-71,1.4296753786574522e-191,1.0859485473495859e-198,1.0859485473509521e-198,1.0724894341828797e-161,1.131038307261119e-170,3.629415531615274e-73,6.9763288311599758e-228,6.9763261048879706e-228,6.4474018717736144e-195,1.0446036138208803e-161,5.5874667680004395e-213,5.4421873087175209e-213,4.3967295029423052e-281,3.1616962081377879e-288,3.1616962081415537e-288,6.6602056723307729e-51,7.7417548135720644e-58,3.8863772813378274e-251,4.0984183974973706e-260,9.2471437681816549e-184,9.2471437864035241e-184,1.6267658191469067e-302,1.5844683578761184e-302,3.7853275038087474e-251,3.0016539026707938e-273,3.0016539023149305e-273,3.001653914784072e-273,2.1018285570407818e-140,2.0992760789341238e-140,1.111211344690473e-194,1.3501928368915404e-184
4.455253793952102e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771267,0.66999999999999926,3.9082710927652287e-42,2.1996711948794059e-70,1.1062781464164203e-29,3.1891385550165496e-38,3.092340874817631e-67,7.9259521849189348e-96,3.4118595129601901e-94,2.7508604634355827e-75,1.4499685030008818e-107,8.0768959382066408e-16,8.0768959382066418e-16,4.6765337183348398e-32,1.1062781437469983e-29,3.5280846083478138e-43,1.9826131884525275e-36,2.171355538041668e-47,2.6642871072989951e-38,2.8472200540864655e-52,4.5801869146868952e-58,2.4435754672194734e-52,4.7701119652731404e-41,2.3058370199680057e-61,4.9397679343198662e-70,1.5490860097200455e-81,2.8873829131999431e-88,2.9770115733293286e-102,6.2849554317386365e-111,7.9376655747655413e-121,7.9376655747658302e-121,8.1702017967392879e-135,1.7234019877512408e-143,9.9039868603387945e-155,9.2357127970981844e-164,3.4775037327759017e-174,7.4538520873250646e-175,6.8423414141759518e-176,2.5361609071162887e-54,2.8996062357770174e-102,2.9759577714110248e-135,7.9577682181926695e-135,1.5953913406267329e-148,7.95776821556081e-135,7.9577681683427873e-135,8.1899026116679339e-149,1.7274531554026266e-157,4.9637286743262516e-169,8.5100657044821134e-176,8.7573180062292883e-190,1.8470303875489291e-198,7.366615472729125e-208,7.5805957124955634e-222,1.5988393169719776e-230,8.5785476965743593e-242,8.1033393073422253e-251,2.8897530696418189e-261,6.1940384842697324e-262,5.685882352583585e-263,5.685882352583585e-263,1.4629486927461787e-54,2.7986402219870902e-69,2.4476262265217703e-69,1.8980078306061544e-186,2.8833663594231088e-193,2.8833663594303608e-193,1.7735677253491361e-157,3.7407801668321145e-166,2.3387807221125053e-71,7.3834924951932624e-222,7.383486724421387e-222,8.529618804485038e-190,1.7274531553971489e-157,2.9671226915942248e-207,2.889974880563288e-207,1.4942745343048683e-273,2.1490710887494303e-280,2.1490710887545493e-280,1.0726053406143821e-49,2.494108864100067e-56,1.6452801068499098e-244,3.4700934957314961e-253,6.1381603872365748e-179,6.1381604114275622e-179,2.2114933859975534e-294,2.1539926040985385e-294,1.6025011458360661e-244,5.1007185356977122e-266,5.1007185344882739e-266,5.1007185768659645e-266,8.6894306037701392e-137,8.6788780867695307e-137,1.4752215967744959e-189,8.9624433214552246e-180
8.92603112028731e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771106,0.66999999999999849,6.2824316785612992e-41,2.8301077083094829e-68,4.436670161995983e-29,1.2789847632851897e-37,9.9578303200379522e-66,2.0443772440575897e-93,8.8138050167282501e-92,1.7730018334673143e-73,7.4804411087941511e-105,1.6181934370389244e-15,1.6181934370389255e-15,3.7564462031359154e-31,4.4366701405726927e-29,5.6712929659459158e-42,1.5925427319411481e-35,3.4893100576542359e-46,2.1379226077729859e-37,4.5704824389646028e-51,1.4727310102761345e-56,3.9267601559519715e-51,3.8277135123253519e-40,7.4119070384559135e-60,3.1759178732120865e-68,1.9919744483633087e-79,7.4259231405392461e-86,1.5313007870231822e-99,6.4656790184180021e-108,1.6331862376425792e-117,1.6331862376426982e-117,3.3620655925653402e-131,1.4183722600944667e-139,1.6302104178253845e-150,3.0457208022359756e-159,2.2935980614168113e-169,4.9162105957308679e-170,4.5128868893794091e-171,4.0755424922603974e-53,1.4914854077289958e-99,1.2246166619370202e-131,3.2746484663199909e-131,1.3130185631781763e-144,3.2746484641539512e-131,3.2746484252931769e-131,6.7403488912583809e-145,2.8434136026163413e-153,1.6340739242855449e-164,5.6030771843956597e-171,1.1531739482989815e-184,4.8643828161587074e-193,3.8801785045049369e-202,7.9857743865829348e-216,3.3685928066997337e-224,3.6148253970797947e-235,6.8410642103776142e-244,4.8792196794287894e-254,1.0458358807678944e-254,9.6003597545131869e-256,9.6003597545131869e-256,2.3509192751029124e-53,8.9959789158429753e-68,7.8676757930381388e-68,2.5036725433309708e-181,7.6069289543362228e-188,7.6069289543744892e-188,2.9193188648826968e-153,1.2314761359981688e-161,1.5019474252967025e-69,7.7781361309145201e-216,7.778123972491043e-216,1.1231902515150319e-184,2.8434136025983093e-153,1.5655789491165654e-201,1.5248727306410564e-201,5.0460301584687524e-266,1.4514437981192477e-272,1.4514437981261622e-272,1.7217683132314963e-48,8.0080568172712864e-55,6.9328777051278129e-238,2.9244544707118388e-246,4.0484421542707928e-174,4.0484421861812728e-174,2.9872049294682323e-286,2.9095353760630554e-286,6.7526158272883911e-238,8.6123365725245188e-259,8.6123365684403524e-259,8.6123367115460465e-259,3.5757300061600189e-133,3.5713876096634648e-133,1.9459732001787394e-184,5.9112064683225204e-175
