Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),H2(190),C2H6(343),C4H6(54),C4H5X(365),C4H7X(141),C4H7X(140),C4H7X(142),C4H5X(366),C4H7X(143),C6H9X(424),C6H9X(546),C6H9(574),C6H9X(642),SX(952),SX(982),C5H7X(950),C3H6(75),SX(1099),C3H5X(138),C3H5X(144),C6H9X(949),SX(983),SX(1351),S(1390),S(1079),SX(1821),SX(1816),SX(1818),SX(1820),SX(1819),SX(1823),SX(1822),SX(1058),SX(1057),SX(1056),SX(2706),C4H6a(364),S(1764),SX(3150),SX(3147),SX(2708),SX(4496),S(4575),SX(4700),SX(1454)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6261626397816103e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.7596382801371334e-57,0.0,2.1007343744334727e-37,6.3619721223791185e-49,9.1635106184465793e-88,0.0,-2.157965089480016e-124,6.0192527592822175e-101,0.0,2.8062430400413288e-18,2.8062430400413288e-18,3.5975529755259625e-42,1.5884653411706757e-58,1.5251801856230055e-46,7.9036352250118733e-60,2.1007343744334406e-37,3.2231710655214191e-51,2.3502269572256146e-70,1.2210446270955415e-64,1.3837837662202683e-75,5.9166073512723337e-79,9.0778909760142651e-93,2.0548974587788905e-109,2.7755294836293775e-121,2.0777424158628325e-140,3.1878943468146817e-154,2.9274893826950881e-169,2.9274893826950881e-169,7.5984398956021394e-186,2.218650976960959e-187,2.2159566287438795e-187,2.0237189894223302e-140,2.1914985584876212e-188,3.3624311716012226e-202,1.4055999328451139e-218,-3.1879666803296336e-229,-5.495420251539506e-243,-5.495420251539506e-243,-1.6354668685339274e-243,-1.4671524531526036e-246,-1.4671524531526442e-246,-2.1422168634113795e-247,-2.1422168634115456e-247,2.1345173560705008e-188,2.1345173560704983e-188,2.1345173560704064e-188,3.1126769376504918e-207,1.3313533002840017e-69,-1.0179489406191643e-259,-1.1249601059342394e-271,-1.1249601059342394e-271,1.5978851149884855e-207,2.4516460202386369e-221,5.1245708383378076e-238,6.3912638870795758e-250,2.7457778335210937e-232
4.5532553913885095e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,5.5325838510255497e-56,0.0,1.2688435621578183e-36,3.8426311618720261e-48,4.3775187402963838e-86,0.0,6.5949092084887947e-122,4.6447248303020842e-99,0.0,7.8574805121157228e-18,7.8574805121157228e-18,5.4366215313058529e-41,4.9943887864211534e-57,2.3048520585755229e-45,2.2289513696736809e-58,1.2688435621577797e-36,3.826548688986978e-50,5.2577846943714035e-69,3.4435408726661201e-63,7.96988536785932e-74,3.0626060642488455e-77,8.5489381462277272e-91,3.5038408948118109e-107,8.5464405471388479e-119,1.153683006979514e-137,3.189374552614525e-151,5.2748551080577642e-166,5.2748551080577642e-166,2.4651651982948409e-182,7.1979791255999502e-184,7.1892378398253789e-184,1.1236860696366797e-137,7.1098884148886283e-185,1.9639112868893542e-198,1.4778964389222735e-214,1.3403286332339651e-225,4.1582782426037213e-239,4.1582782426037213e-239,1.2375261553506659e-239,1.1101658918292713e-242,1.1101658918293273e-242,1.6209740777452432e-243,1.6209740777454682e-243,6.9250240491957411e-185,6.9250240491957124e-185,6.9250240491951754e-185,1.8180361346640145e-203,3.7546289494694456e-68,1.3863703088890768e-255,2.7576882238231165e-267,2.7576882238231165e-267,9.3328441604471151e-204,2.5777455150285594e-217,9.699184653075105e-234,2.1774577083964126e-245,5.1968851761017728e-228
1.0407440894602307e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.2342890193556555e-54,0.0,6.1089355608525426e-36,1.8500614931204041e-47,2.2793649298647324e-84,0.0,3.4130063761743561e-119,5.0620483224312895e-97,0.0,1.7959955456264509e-17,1.7959955456264509e-17,5.8484693198278659e-40,1.1142206613514611e-55,2.4794546475579215e-44,4.8484560374790677e-57,6.1089355608521658e-36,3.7569281939716064e-49,1.0390223339686292e-67,7.4904534758095977e-62,3.5740311022533402e-72,1.337253648342797e-75,7.4718159673496728e-89,6.1238685637965418e-105,2.9862677690867834e-116,8.0593355956700355e-135,4.4547670426081579e-148,1.4732431555745272e-162,1.4732431555745272e-162,1.3768410376642437e-178,4.0202064572515031e-180,4.0153242850608915e-180,7.8497846328619074e-135,3.9710061417397659e-181,2.1935834328319169e-194,3.301295693232024e-210,6.8455362051433267e-221,4.2481648362477451e-234,4.2481648362477451e-234,1.2642768930743162e-234,1.1341635717761425e-237,1.1341635717762573e-237,1.6560135411317995e-238,1.6560135411322592e-238,3.8677559233513631e-181,3.8677559233513294e-181,3.867755923350729e-181,2.0306487222266188e-199,8.1671379852553358e-67,2.8328988675727457e-250,1.1270566892555507e-261,1.1270566892555507e-261,1.0424285693670589e-199,5.7581167008265664e-213,4.3330372314271742e-229,1.9454901251573993e-240,2.3216690640445516e-223
2.2115811901029904e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,2.3116867315828194e-53,0.0,2.6679326555305116e-35,8.0797045947245583e-47,9.096347079962817e-83,0.0,1.1996483145640631e-116,4.1410698312393657e-95,0.0,3.8164905344562079e-17,3.8164905344562079e-17,5.3757509044062661e-39,2.0868119852883191e-54,2.2790459903304959e-43,8.9882203549042982e-56,2.6679326555301791e-35,3.3229604417096251e-48,1.8494967935955267e-66,1.3886038334325389e-60,1.344639826144057e-70,4.9782600328862338e-74,5.5742065294284917e-87,9.1461510961462655e-103,8.9244654632727356e-114,4.8182309405973195e-132,5.3271588535235695e-145,3.5237181755907226e-159,3.5237181755907221e-159,6.5864827907524154e-175,1.9231719509813106e-176,1.9208364349532942e-176,4.6929520115036537e-132,1.8996356804493839e-177,2.098748616033777e-190,6.3171900130078858e-206,2.7835878908435508e-216,3.4548556892017318e-229,3.4548556892017311e-229,1.0281837887962225e-229,9.2236803878275938e-233,9.2236803878294549e-233,1.3467669039476634e-233,1.3467669039484118e-233,1.8502432111699444e-177,1.8502432111699126e-177,1.8502432111693377e-177,1.9428580338614636e-195,1.5140497369251655e-65,4.6077633155628797e-245,3.6663601261378804e-256,3.666360126137881e-256,9.9736143359212981e-196,1.1018436606904746e-208,1.6583017447613088e-224,1.4891243888473816e-235,8.8852868185373954e-219
4.5532553913885095e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771417,0.67000000000000004,3.992863952896959e-52,0.0,1.1138093653246275e-34,3.3731176186581771e-46,3.2329842226537181e-81,0.0,3.5720601330390738e-114,2.9803580329485203e-93,0.0,7.8574805121157188e-17,7.8574805121157188e-17,4.5990680774432279e-38,3.6044487510740307e-53,1.9497718260457642e-42,1.5448454282015955e-54,1.1138093653243478e-34,2.7931484746432001e-47,3.1215092819922226e-65,2.386655198646035e-59,4.656060806691515e-69,1.7150860615684505e-72,3.8450563182326417e-85,1.2624904496796365e-100,2.4644603411438061e-111,2.6614428105093297e-129,5.8855237281267629e-142,7.7863800947634975e-156,7.7863800947634944e-156,2.9108878626328532e-171,8.4994344746901436e-173,8.4891126907047895e-173,2.5922425772174961e-129,8.3954162203345672e-174,1.8550946562101667e-186,1.1167641358991975e-201,1.0131202847812762e-211,2.5148761687666162e-224,2.5148761687666157e-224,7.4844078600378392e-225,6.7141484572462766e-228,6.7141484572489901e-228,9.8034543156338791e-229,9.8034543156447694e-229,8.1771268177839876e-174,8.1771268177837039e-174,8.1771268177786208e-174,1.7173021718060464e-191,2.6022646550742851e-64,6.7082179678046142e-240,1.067535376858877e-250,1.0675353768588772e-250,8.8157288187443161e-192,1.9478589073868718e-204,5.8631635282956345e-220,1.0530036812634901e-230,3.1415205210669047e-214
9.236603793959548e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.273322825837714,0.66999999999999993,6.6342031760722679e-51,0.0,4.5502746843978737e-34,1.3780286090647494e-45,1.0889581255713273e-79,0.0,9.8453403016490783e-112,2.0201837203007303e-91,0.0,1.5939460467434722e-16,1.5939460467434722e-16,3.8025984236594332e-37,5.9888455089982668e-52,1.6121090503685473e-41,2.5604680031235062e-53,4.5502746843955807e-34,2.2899918744347954e-46,5.1338626737353489e-64,3.9557059619433637e-58,1.5491007579483853e-67,5.6917453238942031e-71,2.5535210501063157e-83,1.6773292856327613e-98,6.5494341370605762e-109,1.4146856024447757e-126,6.2571033919068563e-139,1.6556232799551018e-152,1.6556232799551003e-152,1.2378991116799621e-167,3.6145131253817827e-169,3.6101236305508587e-169,1.3779023308537426e-126,3.5702777886926694e-170,1.5778211529236697e-182,1.8996960415842051e-197,3.4960182369172246e-207,1.7356398234021714e-219,1.7356398234021705e-219,5.1653582382295889e-220,4.6337643130718285e-223,4.6337643130755733e-223,6.7658463380501201e-224,6.7658463380651555e-224,3.477446917063169e-170,3.4774469170629285e-170,3.4774469170586048e-170,1.46062395445113e-187,4.313062823853889e-63,9.2593462616892254e-235,2.9470364876579057e-245,2.9470364876579073e-245,7.4980774496273127e-188,3.3134479673112773e-200,1.9947347070758971e-215,7.1649516345263298e-226,1.0687916149906791e-209
1.8603300599101624e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771367,0.66999999999999982,1.0815425563438766e-49,0.0,1.8392937800664706e-33,5.5702119634364082e-45,3.5740696047873844e-78,0.0,2.6141439617762655e-109,1.3301796754540072e-89,0.0,3.2103420378072647e-16,3.2103420378072647e-16,3.0922098861607314e-36,9.7633296862277846e-51,1.3109403064147642e-40,4.169058384681101e-52,1.8392937800646133e-33,1.8544947919651412e-45,8.3441745397830243e-63,6.4408417085610233e-57,5.0539494075212301e-66,1.8545723464396606e-69,1.6645334119189941e-81,2.1870754041595414e-96,1.7080885211361023e-106,7.3792480484750431e-124,6.5277467085212328e-136,3.4545014492085291e-149,3.4545014492085235e-149,5.1658411761981297e-164,1.5083620756190634e-165,1.5065303081570483e-165,7.1873800570067668e-124,1.4899023545024877e-166,1.3168749670802656e-178,3.1710374304001612e-193,1.1753534519372104e-202,1.1670368401812453e-214,1.167036840181244e-214,3.4731649248121789e-215,3.1157234289927646e-218,3.1157234289978003e-218,4.5493263204889607e-219,4.549326320509178e-219,1.4511633704809142e-166,1.4511633704807133e-166,1.4511633704771051e-166,1.2190602961348463e-183,7.0227047194141755e-62,1.2451892522548637e-229,7.9263015070460088e-240,7.9263015070460162e-240,6.2580163007365517e-184,5.5309203676742029e-196,6.6593621587545182e-211,4.7839966879418862e-221,3.5681288399962735e-205
3.733669420938578e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.273322825837713,0.66999999999999948,1.7466941174470271e-48,0.0,7.3957193945679274e-33,2.2397577300288046e-44,1.1581985099459164e-76,0.0,6.8148381383909625e-107,8.6343099522762417e-88,0.0,6.443134019934797e-16,6.443134019934797e-16,2.493979296184447e-35,1.576780352243416e-49,1.0573208491494379e-39,6.728877040927025e-51,7.3957193945529771e-33,1.492658745972716e-44,1.3508773113999142e-61,1.0395544484608068e-55,1.632931815426879e-64,5.9883017248056589e-68,1.075090508862195e-79,2.8253845605560473e-94,4.4133648509552487e-104,3.8133738817272083e-121,6.7467478793799545e-133,7.1408271030852147e-146,7.1408271030851925e-146,2.1356749911954853e-160,6.2359082532579325e-162,6.2283353143600766e-162,3.7142222632189285e-121,6.1595916120923167e-163,1.0888527172337607e-174,5.2439217882128153e-189,3.9009385872710969e-198,7.7466738416801939e-210,7.746673841680175e-210,2.3054521455128347e-210,2.068186054991688e-213,2.0681860549983731e-213,3.0197973183579231e-214,3.0197973183847644e-214,5.9994359345673364e-163,5.9994359345656743e-163,5.9994359345358416e-163,1.0079750538932122e-179,1.1334673729998807e-60,1.6530885066138902e-224,2.1045601749504924e-234,2.1045601749504966e-234,5.174415357486895e-180,9.1464432274003908e-192,2.2025084797929653e-206,3.1645057002364143e-216,1.1801181313957185e-200
7.480348142995408e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771172,0.66999999999999882,2.8077597796498763e-47,0.0,2.9660142588562602e-32,8.9824302392128972e-44,3.7295837459052962e-75,0.0,1.7604668058736963e-104,5.5650395982411359e-86,0.0,1.2908717984189528e-15,1.2908717984189528e-15,2.0032997991075692e-34,2.5346283645913003e-48,8.4929760558797833e-39,1.0813124762883327e-49,2.9660142588442627e-32,1.1977646392765144e-43,2.1911669964259808e-60,1.6705360910289453e-54,5.2505920636294157e-63,1.9248860800158669e-66,6.912063921203437e-78,3.6331720304074727e-92,1.1350527946159444e-101,1.9615055163329173e-118,6.940752896546415e-130,1.4692361156720291e-142,1.4692361156720198e-142,8.7883779381713645e-157,2.5660982473141229e-158,2.5629819562392636e-158,1.9105043680908352e-118,2.5346936802144045e-159,8.9613397504342274e-171,8.6315765697902837e-185,1.2864382599528555e-193,5.1093439995399106e-205,5.1093439995398876e-205,1.5205684822465181e-205,1.3640788583495113e-208,1.3640788583583294e-208,1.9917171709522923e-209,1.9917171709876977e-209,2.4687890538677566e-159,2.4687890538663879e-159,2.4687890538418358e-159,8.2957104986439401e-176,1.821451639606262e-59,2.1805999374832044e-219,5.5522785121234396e-229,5.5522785121234631e-229,4.2585827536076205e-176,1.505518737119018e-187,7.2507272373465013e-202,2.0835306199211734e-211,3.8849860316462253e-196
