Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H6(54),H2(190),C4H7X(141),C2H6(343),C4H5X(365),C4H5X(364),C4H7X(140),C4H7X(143),C4H7X(142),C6H8(474),C6H7X(565),C6H7X(563),C6H7X(564),C6H9X(460),SX(757),C6H9X(665),C6H9(569),C6H9X(954),C8H10(479),SX(1410),SX(1409),SX(1408)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.771109011846547e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,6.0083196068980254e-67,0.0,3.8818251587880197e-42,1.2974124509031546e-59,7.255988413017801e-102,0.0,-4.7376645555210858e-143,1.1053055811229135e-119,0.0,2.2360679774686128e-18,2.2360679774686128e-18,2.2456702410828703e-51,2.0891094380664209e-53,3.8818251587880178e-42,5.4238458817369746e-68,5.3974275416703423e-69,2.6987137708351711e-69,1.3811895756628671e-60,7.0895428611120777e-85,2.6898851310956168e-84,-5.5995803325821838e-104,-1.1057709619442852e-121,-5.5288548097214259e-122,-5.5288548097214259e-122,4.6849805630037916e-93,-9.5981195186916231e-146,1.6669597550406693e-111,8.750551722759554e-133,2.7409192045064269e-149,1.0209976953847248e-119,1.7516009573953018e-137,1.7516009573953018e-137,8.7580047869765091e-138
1.0559105233170333e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.88911181337613e-65,0.0,2.344622395907964e-41,7.8363712034550539e-59,3.4662727708608888e-100,0.0,1.4478672341332625e-140,8.529033125437088e-118,0.0,6.2609903369121168e-18,6.2609903369121168e-18,3.3936561207210378e-50,3.1570620375760968e-52,2.3446223959079625e-41,1.705343923009237e-66,1.5221606021584956e-67,7.6108030107924782e-68,1.6397482642269559e-59,4.0832136945996275e-83,7.265821100225803e-83,1.0810155908175908e-102,3.7319254517260546e-120,1.8659627258630273e-120,1.8659627258630273e-120,2.4250803615174818e-91,5.7347958785353008e-144,1.5698287536761378e-109,1.4920714173935396e-130,8.4398672833742754e-147,1.2691743614197865e-118,4.0944212908475232e-136,4.0944212908475232e-136,2.0472106454237616e-136
2.4135097675817905e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,4.2145045354562025e-64,0.0,1.1288347561755564e-40,3.772875407226371e-58,1.8048810458286236e-98,0.0,7.4930222426935623e-138,9.295357516139171e-116,0.0,1.4310835055799123e-17,1.4310835055799123e-17,3.6507401788739153e-49,3.3962232650024277e-51,1.1288347561755542e-40,3.8045284811334318e-65,3.3110315809650489e-66,1.6555157904825244e-66,1.6099145693926365e-58,1.8310844036428739e-81,1.9477589026600942e-81,1.1414370835975315e-100,8.1518643901655832e-118,4.0759321950827916e-118,4.0759321950827916e-118,1.058884923850993e-89,2.5530366972220423e-141,1.3720383419616437e-107,2.6077807269188822e-128,2.9490291475074762e-144,5.0048126335310934e-117,3.1319565339329513e-134,3.1319565339329513e-134,1.5659782669664756e-134
5.128708256111305e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,7.89330056663195e-63,0.0,4.9299179516607852e-40,1.647713812647003e-57,7.2028064555288247e-97,0.0,2.6337458875614621e-135,7.6041795986817325e-114,0.0,3.0410524493573136e-17,3.0410524493573136e-17,3.3556591168211806e-48,3.121714297436967e-50,4.9299179516607657e-40,7.1254607898167319e-64,6.1380943879286258e-65,3.0690471939643129e-65,1.4239512049253849e-57,6.8889971692765045e-80,5.2812730526539189e-80,9.022106295815149e-99,1.2909258307881714e-115,6.4546291539408572e-116,6.4546291539408572e-116,3.9419629795562229e-88,8.0933236124713878e-139,1.0235831478807983e-105,3.8947857474062045e-126,8.813177584941716e-142,1.8121877329774805e-115,2.2697628481563827e-132,2.2697628481563827e-132,1.1348814240781913e-132
1.0559105233170334e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771417,0.67000000000000004,1.363371380363331e-61,0.0,2.0581436991894073e-39,6.8788808146884947e-57,2.5599902273810312e-95,0.0,7.8422138984108391e-133,5.472783284153439e-112,0.0,6.2609903369121143e-17,6.2609903369121143e-17,2.8708369949636238e-47,2.6706923047592565e-49,2.0581436991893916e-39,1.2307461537452235e-62,1.0549815851639555e-63,5.2749079258197775e-64,1.1969167872362218e-56,2.3854410001812394e-78,1.5025193609814787e-78,6.394548618323838e-97,1.8312785449249012e-113,9.1563927246245061e-114,9.1563927246245061e-114,1.3580660003178975e-86,2.2970515771400505e-136,7.0606189200470776e-104,5.3761737652708139e-124,2.4337285517323713e-139,6.156640226467837e-114,1.5436537313037698e-130,1.5436537313037698e-130,7.7182686565188491e-131
2.141989918728839e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771406,0.66999999999999993,2.2652619394173427e-60,0.0,8.408188566941194e-39,2.8102472651542415e-56,8.6227521308538075e-94,0.0,2.16147717766764e-130,3.7096307132083553e-110,0.0,1.2700866112021708e-16,1.2700866112021708e-16,2.3736635329628621e-46,2.2081800436928083e-48,8.4081885669410661e-39,2.0449031418133369e-61,1.7485546000234936e-62,8.7427730001174681e-63,9.813046968426221e-56,7.9365124615874897e-77,4.4771017900747117e-77,4.3032378133527696e-95,2.4656709775152706e-111,1.2328354887576353e-111,1.2328354887576353e-111,4.5069258866737039e-85,6.1867711567038668e-134,4.6889921646571476e-102,7.1427183138553002e-122,6.4677627433622972e-137,2.0287239157735977e-112,1.0178014334692231e-128,1.0178014334692231e-128,5.0890071673461155e-129
4.31414870955245e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771378,0.66999999999999982,3.6929486838432022e-59,0.0,3.3987242541265242e-38,1.1359468765633319e-55,2.830073588398487e-92,0.0,5.7391744108258287e-128,2.4425874382440886e-108,0.0,2.5580617662240862e-16,2.5580617662240862e-16,1.930223759843501e-45,1.795655339004148e-47,3.3987242541264193e-38,3.3337082280598926e-60,2.8470678760579729e-61,1.4235339380289864e-61,7.9468598554550298e-55,2.5892913838666068e-75,1.3771317498571162e-75,2.8235116444511351e-93,3.2362590674228673e-109,1.6181295337114336e-109,1.6181295337114336e-109,1.4685161793401865e-83,1.6242173921040631e-131,3.0565575744694417e-100,9.3134148671428263e-120,1.6867886662854531e-134,6.5867492280675172e-111,6.6106265710591976e-127,6.6106265710591976e-127,3.3053132855295988e-127
8.658466291199672e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771328,0.6699999999999996,5.9641219887729044e-58,0.0,1.3666120744519505e-37,4.5675924299024038e-55,9.171021763909416e-91,0.0,1.4961511389407513e-125,1.585504380839027e-106,0.0,5.1340120762679075e-16,5.1340120762679075e-16,1.5567953877392228e-44,1.4482610829887628e-46,1.3666120744518658e-37,5.3839476931031052e-59,4.5951790249925728e-60,2.2975895124962864e-60,6.3963241728523116e-54,8.3660043644724923e-74,4.3158434356190528e-74,1.8295934989211435e-91,4.1945035942147183e-107,2.0972517971073592e-107,2.0972517971073592e-107,4.7417497495559927e-82,4.2104893671889961e-129,1.9741724681701782e-98,1.2031582676077986e-117,4.3583302099257817e-132,2.1230186513330068e-109,4.2619248360646029e-125,4.2619248360646029e-125,2.1309624180323015e-125
1.7347101454494116e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771222,0.66999999999999904,9.5871519080753212e-57,0.0,5.4807256507417957e-37,1.8318088549553067e-54,2.9532151362961559e-89,0.0,3.8649845574804474e-123,1.0218992266131107e-104,0.0,1.0285912696355508e-15,1.0285912696355508e-15,1.2505027169061517e-43,1.1633220616729054e-45,5.4807256507411167e-37,8.6545386724281631e-58,7.3843293278830216e-59,3.6921646639415108e-59,5.1326473222877748e-53,2.6900373735849442e-72,1.3663426499503887e-72,1.1782069880371445e-89,5.4025495838474196e-105,2.7012747919237098e-105,2.7012747919237098e-105,1.52419308545106e-80,1.0846543568987999e-126,1.2692518602797855e-96,1.5471454844832547e-115,1.1208986907470875e-129,6.8181424278643386e-108,2.737620405904814e-123,2.737620405904814e-123,1.368810202952407e-123
