Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H6(54),C4H5X(365),C4H5X(364),C2H6(343),C6H8(56),C6H7X(481),C6H8(455),C6H7X(480),C6H7X(479),C6H7X(636),C6H7X(635),C6H7X(634),C6H9X(441),C8H10(458),SX(1061),SX(1060),SX(1059),SX(1058),SX(1056),SX(1055),SX(931),C8H10(459),SX(1750),SX(1922)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8642368377458115e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.9467167678729545e-76,0.0,4.0759164167274191e-42,1.5034494619638356e-65,0.0,0.0,0.0,0.0,0.0,2.2912878474459732e-18,2.2912878474459732e-18,2.4161815828775063e-51,5.9506588927110299e-69,2.9753294463555149e-69,1.3901388427795572e-70,-1.2774751136975986e-100,-2.5849776916373944e-118,2.1194306281202532e-105,-1.2924888458186972e-118,-1.2924888458186972e-118,4.2886791561880833e-123,2.1443395780940416e-123,2.1443395780940416e-123,5.2927414375009074e-93,7.3340168733051347e-154,6.446395854801503e-172,6.446395854801503e-172,6.446395854801503e-172,1.6602520225510109e-170,5.2060572842274332e-153,3.3945192841002491e-151,3.8145137020336269e-147,1.1534479790403654e-119,2.0276970722222922e-137,2.0276970722223261e-137
1.0819863145688273e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,9.2649484019880519e-75,0.0,2.4618535157033617e-41,9.0808347502615677e-65,0.0,0.0,0.0,0.0,0.0,6.4156059728487259e-18,6.4156059728487259e-18,3.651333517129348e-50,1.6781809779831599e-67,8.3909048899157994e-68,4.3708186651575966e-69,2.4661850711649254e-99,8.7241117418151812e-117,7.5555114482169547e-102,4.3620558709075906e-117,4.3620558709075906e-117,2.7523800409476393e-119,1.3761900204738188e-119,1.3761900204738196e-119,2.7396753344498397e-91,2.7398243176293183e-151,4.3412585966566875e-169,4.3412585966566875e-169,4.3412585966566875e-169,1.4956440611974725e-168,2.2425368722177938e-151,1.4622072409982729e-149,4.4069093809869321e-143,1.4338188582768045e-118,4.7398018377902601e-136,4.739801837790409e-136
2.4731115761573197e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.066959017937292e-73,0.0,1.1852764939843335e-40,4.3720310353908316e-64,0.0,0.0,0.0,0.0,0.0,1.466424222365423e-17,1.466424222365423e-17,3.9279379715637465e-49,3.6504101790441069e-66,1.8252050895220535e-66,9.7510559840544483e-68,2.6040309658642207e-97,1.9056614985054634e-114,6.8311726837702973e-100,9.5283074925273172e-115,9.5283074925273172e-115,5.003772942278597e-117,2.5018864711392957e-117,2.5018864711392985e-117,1.1962494676118638e-89,2.5104027946873633e-148,7.9480072763900067e-166,7.9480072763900067e-166,7.9480072763900067e-166,7.784672711142362e-166,3.3735589675533861e-149,2.1996705656896525e-147,1.6066031828282317e-140,5.6540653055081467e-117,3.6256290914786702e-134,3.6256290914788941e-134
5.255362099334304e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,3.8711854854660861e-72,0.0,5.1764138492438163e-40,1.9093808166940674e-63,0.0,0.0,0.0,0.0,0.0,3.1161514725265233e-17,3.1161514725265233e-17,3.610451719459138e-48,6.7672452578572752e-65,3.3836226289286376e-65,1.8262648686237295e-66,2.0582694528433106e-95,3.0177984335841607e-112,5.1549156927852914e-98,1.5088992167920804e-112,1.5088992167920804e-112,7.5603572543780188e-115,3.7801786271890022e-115,3.7801786271890094e-115,4.4533368308646432e-88,1.7165113128782336e-145,1.0871059388545201e-162,1.0871059388545201e-162,1.0871059388545201e-162,6.5405645903391125e-163,4.890941361719353e-147,3.1890534166920187e-145,4.8576830910343959e-138,2.0472750384146479e-115,2.6275327484052349e-132,2.6275327484055593e-132
1.0819863145688272e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771417,0.67000000000000004,6.6865102302703512e-71,0.0,2.1610508841488721e-39,7.971289047332219e-63,0.0,0.0,0.0,0.0,0.0,6.4156059728487226e-17,6.4156059728487226e-17,3.0888174590191886e-47,1.1631165559294689e-63,5.8155827796473445e-64,3.1544184005343971e-65,1.4588284958063688e-93,4.2809819891228834e-110,3.5756446566031441e-96,2.1404909945614417e-110,2.1404909945614417e-110,1.0494487402738341e-112,5.2472437013691509e-113,5.2472437013691705e-113,1.5342420602472764e-86,1.0134696462595641e-142,1.2838556570405894e-159,1.2838556570405894e-159,1.2838556570405894e-159,6.7200941483186475e-160,6.6556294820016602e-145,4.3396876736121939e-143,1.348981711279064e-135,6.9553146929500239e-114,1.7869711675733427e-130,1.7869711675737832e-130
2.1948865238396208e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771406,0.66999999999999993,1.1109736752810297e-69,0.0,8.8285979952882064e-39,3.2565316725921137e-62,0.0,0.0,0.0,0.0,0.0,1.3014514973493112e-16,1.3014514973493112e-16,2.5538940069854056e-46,1.9277803925144909e-62,9.6389019625724546e-63,5.2411133508040886e-64,9.8172470047479003e-92,5.7640022703717029e-108,2.3811539862695912e-94,2.8820011351858515e-108,2.8820011351858515e-108,1.3981584835402076e-110,6.9907924177009846e-111,6.9907924177010378e-111,5.091590018724138e-85,5.5682849046376087e-140,1.4108614953240626e-156,1.4108614953240626e-156,1.4108614953240626e-156,7.133672061556518e-157,8.7787811259092076e-143,5.7240518488102024e-141,3.5949861604840424e-133,2.2919015564182277e-112,1.1782317411232286e-128,1.1782317411238096e-128
4.4206869423812087e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771378,0.66999999999999982,1.8111674859856557e-68,0.0,3.568660466832812e-38,1.3163421695234852e-61,0.0,0.0,0.0,0.0,0.0,2.6212332974781867e-16,2.6212332974781867e-16,2.0767841924817614e-45,3.1388906247570825e-61,1.5694453123785412e-61,8.5443375505189031e-63,6.4414548437058102e-90,7.5654072825266442e-106,1.5543058649278813e-92,3.7827036412633221e-106,3.7827036412633221e-106,1.8255857903447959e-108,9.1279289517238455e-109,9.1279289517239797e-109,1.6590204775900711e-83,2.9527582092671355e-137,1.496356618907879e-153,1.496356618907879e-153,1.496356618907879e-153,7.5024056434686612e-154,1.1404978607923348e-140,7.4364183307462887e-139,9.3887219678807108e-131,7.4412199315806848e-111,7.6526224216539771e-127,7.6526224216615265e-127
8.872287779464383e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771322,0.6699999999999996,2.9250403277405599e-67,0.0,1.4349426781745172e-37,5.2929539688219383e-61,0.0,0.0,0.0,0.0,0.0,5.260796897735925e-16,5.260796897735925e-16,1.6750016879106165e-44,5.0661821234119979e-60,2.533091061705999e-60,1.3799127967171181e-61,4.1739668762041048e-88,9.8054969785381443e-104,1.0045843708717263e-90,4.9027484892690721e-104,4.9027484892690721e-104,2.3600205158456775e-106,1.1800102579228036e-106,1.1800102579228387e-106,5.3568765864905593e-82,1.5384887876499605e-134,1.5593328761860994e-150,1.5593328761860994e-150,1.5593328761860994e-150,7.801983054769063e-151,1.4706620115264975e-138,9.5891963648620967e-137,2.4275422994907811e-128,2.3984287502055391e-109,4.9337080595810188e-125,4.9337080595907566e-125
1.7775489453630732e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771217,0.66999999999999904,4.7019168977571483e-66,0.0,5.754761933278638e-37,2.1227112746497876e-60,0.0,0.0,0.0,0.0,0.0,1.0539924098251359e-15,1.0539924098251359e-15,1.3454524462292082e-43,8.1412186669957622e-59,4.0706093334978811e-59,2.2181695188207398e-60,2.6879178244539872e-86,1.2629547888189537e-101,6.4609698096558669e-89,6.3147739440947684e-102,6.31477394409477e-102,3.035805291159274e-104,1.5179026455795471e-104,1.517902645579637e-104,1.7219201090099609e-80,7.9461546781266832e-132,1.6107761236756762e-147,1.6107761236756762e-147,1.6107761236756762e-147,8.0552472443945753e-148,1.8893956333833381e-136,1.2319476261274739e-134,6.2454445828579997e-126,7.7026307892883206e-108,3.1691361032659216e-123,3.1691361032784309e-123
