Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C2H2(37),C4H6(54),C4H5X(374),C4H5X(381),C6H8(56),C4H4(439),C6H7X(455),C8H10(458),C6H7X(498),C6H7X(497),C4H3X(623),C4H2(1102),C6H6(755),C4H3X(622),C6H8(474),C6H6(1605),C8H9X(771),S(774),C8H10(478),C8H8(1121)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6756223990324043e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.4121646182932738e-76,0.0,3.6877339003366598e-42,1.5012209404011316e-71,0.0,0.0,0.0,0.0,0.0,2.1794494717399492e-18,2.1794494717399492e-18,1.5312794545143558e-36,2.079366198613896e-51,4.8711737389718157e-69,2.4355868683923494e-69,-9.4613987044485128e-101,6.3772459999991908e-86,-1.821070873517302e-118,1.8867011154976668e-109,-9.1053543668532632e-119,-9.1053543893958684e-119,7.6129550714339601e-104,2.9810826544377256e-120,-1.0216134064232254e-135,3.8064775357169801e-104,-4.8009460029014644e-104,-4.6465750917348598e-137,3.1548253435710649e-127,-1.0048800235767028e-159,1.1732205433227674e-153,6.6063721713882505e-145
1.0291742717290732e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,7.5842321010897246e-75,0.0,2.227391275504769e-41,9.067374480022833e-71,0.0,0.0,0.0,0.0,0.0,6.1024585208718589e-18,6.1024585208718589e-18,9.2489279052667117e-36,3.142338452146663e-50,1.3737490398400801e-67,6.8687451957620758e-68,1.8265374429554425e-99,3.3010464456553881e-84,6.1459820603919026e-117,2.3453053920120765e-108,3.0729910298159686e-117,3.0729910379920082e-117,7.1693627274006285e-102,5.0830960233006067e-118,6.5141567794346604e-134,3.5846813637003142e-102,9.2682994417533661e-103,3.1041302620564075e-135,7.3744978129521949e-126,4.634968683857935e-158,3.639092913014086e-152,2.8457300830138699e-143
2.352398335380739e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.692000464656217e-73,0.0,1.0723930177700399e-40,4.3655504946864876e-70,0.0,0.0,0.0,0.0,0.0,1.3948476619135678e-17,1.3948476619135678e-17,4.4529606537277474e-35,3.3803843311943796e-49,2.9882042488899345e-66,1.4941021236778956e-66,1.9286306426610134e-97,1.4413660808335344e-82,1.3425047506327672e-114,9.2483857523160897e-107,6.7125237521957303e-115,6.712523769047358e-115,6.266060094171057e-100,8.8840257419231559e-116,2.7498815992579957e-131,3.133030047085529e-100,9.7863454032763114e-101,1.2619097101649421e-132,5.6409940494269502e-124,1.6605459924497724e-155,4.4395433850142881e-149,4.2809723333645006e-141
4.99884646268407e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,3.1689296115787142e-72,0.0,4.6834220487996621e-40,1.9065505943094332e-69,0.0,0.0,0.0,0.0,0.0,2.9640512815663307e-17,2.9640512815663307e-17,1.944724907233232e-34,3.1071555907698655e-48,5.5396270726167821e-65,2.7698135348717513e-65,1.5244217883889181e-95,5.3658445306606244e-81,2.1259855128248907e-112,3.3487390532751818e-105,1.062992756244786e-112,1.0629927589149133e-112,4.6746752541637053e-98,1.3268515026126509e-113,8.721687772900945e-129,2.3373376270818536e-98,7.735290434249831e-99,4.0038281861286086e-130,4.0880896051740873e-122,5.1168463894753445e-153,3.5140087146948793e-146,6.2064973103171199e-139
1.0291742717290732e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771417,0.67000000000000004,5.4735378408455231e-71,0.0,1.95523650979339e-39,7.9594734260067657e-69,0.0,0.0,0.0,0.0,0.0,6.102458520871856e-17,6.102458520871856e-17,8.1188436678351123e-34,2.6582370249052026e-47,9.5212035578824345e-64,4.7606017764597795e-64,1.0804561772779043e-93,1.8486147988280919e-79,3.0158759410787953e-110,1.1376846541465262e-103,1.5079379702916232e-110,1.5079379740822398e-110,3.2245647052017422e-96,1.8315216245809807e-111,2.4769832586280892e-126,1.6122823526008721e-96,5.4824999198777985e-97,1.1376388348186282e-127,2.780288184568182e-120,1.4333832430621443e-150,2.2139767959056657e-143,8.4458478284351638e-137
2.0877535226504058e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771406,0.66999999999999993,9.0943649661435961e-70,0.0,7.9877791022206349e-39,3.2517046057464358e-68,0.0,0.0,0.0,0.0,0.0,1.2379272999482896e-16,1.2379272999482896e-16,3.3168125496562718e-33,2.1978817774684815e-46,1.5780696645351433e-62,7.890348318552772e-63,7.2709747587302225e-92,6.1348785201378607e-78,4.0606374462855654e-108,3.7488759957871525e-102,2.0303187228025959e-108,2.0303187279083047e-108,2.1414494802185471e-94,2.4333371074678024e-109,6.6735725955255192e-124,1.0707247401092748e-94,3.6894711114106392e-95,3.0658071552565203e-125,1.8331710371026969e-118,3.8350316607815214e-148,1.2539904650204735e-140,1.1140080695475312e-134
4.2049120244930705e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771378,0.66999999999999982,1.4826110128455024e-68,0.0,3.2287880119639973e-38,1.3143909919263036e-67,0.0,0.0,0.0,0.0,0.0,2.493290195670495e-16,2.493290195670495e-16,1.3407086638411323e-32,1.7872809599418181e-45,2.5694773608386836e-61,1.2847386797471987e-61,4.7707524885088478e-90,1.9989608469658769e-76,5.3296953517647949e-106,1.2171644415865284e-100,2.6648476754316142e-106,2.6648476821342648e-106,1.3959212163062592e-92,3.1728365946546231e-107,1.7523030769102401e-121,6.9796060815313124e-93,2.4207969454024291e-93,8.050966039842973e-123,1.1906457186342459e-116,1.0034435388364212e-145,6.7482203866684889e-138,1.4472667697294173e-132
8.439229028178401e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771328,0.6699999999999996,2.3944207248241695e-67,0.0,1.2982814470204408e-37,5.2851083695195865e-67,0.0,0.0,0.0,0.0,0.0,5.004015987114897e-16,5.004015987114896e-16,5.3909305707959451e-32,1.4415068428924826e-44,4.1471468197485232e-60,2.0735734087887502e-60,3.0913766136346181e-88,6.4545234438029462e-75,6.9077988423747345e-104,3.92312311324155e-99,3.4538994206003474e-104,3.4538994292884491e-104,9.0159899471095605e-91,4.0988452032925967e-105,4.5428969546275908e-119,4.5079949735548015e-91,1.5686403940255178e-91,2.0873617720514173e-120,7.6761900097368223e-115,2.5968708161958882e-143,3.5415783473132968e-135,1.8662378352106072e-130
1.6907863035549062e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771228,0.66999999999999904,3.8489613153297789e-66,0.0,5.2066891779556202e-37,2.1195648384265441e-66,0.0,0.0,0.0,0.0,0.0,1.0025467570003663e-15,1.0025467570003658e-15,2.1620042741520723e-31,1.1578966887162681e-43,6.6643536061779712e-59,3.3321768013440628e-59,1.9907600008189394e-86,2.0747488856551546e-73,8.8972926586746536e-102,1.2599235595236009e-97,4.4486463285794688e-102,4.4486463397703314e-102,5.7966374287225259e-89,5.2707195907429499e-103,1.1703324927179647e-116,2.8983187143612895e-89,1.0101605020628033e-89,5.3775828383986291e-118,4.9307520026840323e-113,6.6840998842862756e-141,1.8357644502495897e-132,2.3976016168636979e-128
