Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(50),C2H6X(52)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592107898e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,8.3685740967624628e-66,7.8554517965953942e-42,1.0359641168096839e-93,3.7875379447724355e-57,4.8594733408440948e-143,7.2341660732134701e-25,-7.8175306066002961e-118,7.2341660732107995e-25,1.212736419809716e-79,1.4955945917776149e-70,2.2082016314562863e-121,1.3342975795667268e-122,3.0081025782618878e-54,7.7301915237579599e-95,2.8689670379046562e-18,1.3794248471136902e-19,5.3170486719244786e-23,6.264057505058979e-38,5.317048671924796e-23,1.4842754862140126e-36,5.9841014843661225e-46,1.3252895699265671e-53,4.1340586189994974e-84,2.2548814833208158e-54,1.9546508008508217e-111,6.6883260199550722e-74
1.9919884857902116e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.8720946741973011e-64,4.7446928851511341e-41,1.173168723035487e-91,5.723727342137877e-56,1.7966009181263849e-140,2.0255665005006361e-24,1.5089319972541474e-116,2.0255665004990235e-24,3.4201107416892815e-78,4.702388713105769e-69,4.523268382774107e-119,2.7331680082518601e-120,3.5712193808913246e-53,4.0013697622115285e-93,8.0331077061330364e-18,3.8623895719183324e-19,1.4887736281387992e-22,3.7834907330311112e-37,1.4887736281389908e-22,8.9650239332424288e-36,7.1043252757018794e-45,1.6134311689282424e-52,2.5779104535163763e-82,2.6769952969738051e-53,4.0038962207473767e-109,1.8862149508429309e-72
4.5531165389490546e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.6990126751617036e-63,2.2843653824612148e-40,1.1170454615663092e-89,6.1573246860542565e-55,6.8445914731729511e-138,4.6298662868626722e-24,1.593285915320147e-114,4.629866286854911e-24,7.4394879088075295e-77,1.0490770542258766e-67,8.6169405781675656e-117,5.2067541264951618e-118,3.5062443651563712e-52,1.7471546357827251e-91,1.8361389042589783e-17,8.8283190215276172e-19,3.4029111500312831e-22,1.8215879224343822e-36,3.4029111500322056e-22,4.3162731086750432e-35,6.9750686699106576e-44,1.6689044361517541e-51,1.2252226000421158e-80,2.6282898568822749e-52,7.6275234842527794e-107,4.1029295189654655e-71
9.67537264526674e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,6.5822518613930251e-62,9.9764237817926444e-40,9.299477645754659e-88,5.6596422001098114e-54,2.2818491617836061e-135,9.8384658596005776e-24,1.2593598261165838e-112,9.8384658595666793e-24,1.3791556788101248e-75,1.964805218917922e-66,1.435817689195591e-114,8.6758747032038287e-116,3.1012334339469375e-51,6.5042186451241011e-90,3.9017951715503193e-17,1.8760177920746187e-18,7.2311861938153758e-22,7.9553530310449599e-36,7.2311861938194045e-22,1.8850298620819809e-34,6.1693692237624604e-43,1.6270290522384603e-50,5.0922495978345523e-79,2.324692613883846e-51,1.2709537734428121e-104,7.6061398515610995e-70
1.9919884857902113e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,1.1101975782577045e-60,4.1649605426597222e-39,7.6358901879250321e-86,4.8419430581349269e-53,7.4955875152779407e-133,2.0255665005131715e-23,8.925896461880924e-111,2.0255665004990203e-23,2.3704162360745409e-74,3.3937124029495671e-65,2.3581345926658859e-112,1.424894010793209e-113,2.6067735644302411e-50,2.2408019412551523e-88,8.0331077061329741e-17,3.8623895719183326e-18,1.4887736281380054e-21,3.3212032888403203e-35,1.4887736281396875e-21,7.8696285792183563e-34,5.1857265235125897e-42,1.6214744714041852e-49,2.0902946616756308e-77,1.9540442150507432e-50,2.0873681118000317e-102,1.3073011027695217e-68
4.0408909283172856e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.823506570765734e-59,1.701522281038516e-38,6.6560772043486946e-84,4.0034121544594474e-52,2.6121313496954701e-130,4.1090063296415296e-23,6.0067191283182383e-109,4.1090063295837164e-23,3.9287910731878942e-73,5.6387039141575561e-64,4.1096424047397156e-110,2.4832360575288561e-111,2.1371904625247026e-49,7.4364046559516218e-87,1.6295732775298161e-16,7.8351331316057558e-18,3.020083645649538e-21,1.3568199115362761e-34,3.0200836456564108e-21,3.2150000329362068e-33,4.2515718444152727e-41,1.7456885136562319e-48,9.116890327069756e-76,1.6020435056210041e-49,3.6377637361971176e-100,2.1667557049114063e-67
8.138695813371434e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.9559857205058515e-58,6.8778251103356805e-38,6.3930425875761742e-82,3.2555082770125146e-51,1.0027617789082846e-127,8.2758859879867718e-23,3.9412281269372466e-107,8.2758859877530811e-23,6.3970177900560734e-72,9.1925105134881182e-63,7.8902729171847835e-108,4.767667909278454e-109,1.730752246600338e-48,2.4230441891521572e-85,3.2820982913628068e-16,1.5780620250980593e-17,6.0827036806669952e-21,5.4844830180578484e-34,6.0827036806947753e-21,1.2995543994946357e-32,3.4430329989766878e-40,2.0879904256219574e-47,4.3830022971322169e-74,1.2973763662193478e-48,6.984293487880251e-98,3.5279999706816757e-66
1.6334305583479732e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,0.0,4.7605262715138111e-57,2.7655432273908476e-37,6.77872382232091e-80,2.6256853642852189e-50,4.2498842634752608e-125,1.6609645305031355e-22,2.5538571724558687e-105,1.6609645304091695e-22,1.0324812503938851e-70,1.4845929027348373e-61,1.672431027989936e-105,1.0105601956119242e-106,1.3930599795320963e-47,7.8238628575015875e-84,6.5871483190285983e-16,3.167159448973023e-17,1.2207943750679471e-20,2.2052864989543465e-33,1.2207943750791172e-20,5.2254509451956468e-32,2.7712523174814189e-39,2.766051208545357e-46,2.3260127618741527e-72,1.0442413680577052e-47,1.4803986197661603e-95,5.6942061764780502e-65
3.2725525123696327e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,0.0,7.6417008765917396e-56,1.1091065263672915e-36,7.7639242388792491e-78,2.1090932754702591e-49,1.9459916638554808e-122,3.3277163940536919e-22,1.6446125277839571e-103,3.3277163936768468e-22,1.6591696516615052e-69,2.3864397298944174e-60,3.8296450468887495e-103,2.3140487009214741e-104,1.1178429007997396e-46,2.5149108042298965e-82,1.3197248374359425e-15,6.3453542967229351e-17,2.4458423890614677e-20,8.844185191487772e-33,2.445842389106264e-20,2.0956394317845025e-31,2.2237551730260654e-38,3.961602168599325e-45,1.332975701838809e-70,8.3793793276905658e-47,3.3899163225447352e-93,9.150436460424847e-64
