Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),H2OX(23)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.005623792273728e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,7.8682153982678793e-66,7.6174078027589793e-42,9.4419547256662097e-94,3.6166880408404214e-57,4.2947950433117739e-143,7.1237143035515641e-25,-7.1281820653130292e-118,7.1237143035489762e-25,1.140350866749134e-79,1.5851083735301424e-72,1.9818644452895896e-121,1.1975341810771605e-122,1.6156527472739212e-56,7.1578130352542598e-95,2.8251634421299508e-18,1.3583636890012977e-19,5.2358675890949229e-23,6.0742375735630827e-38,5.2358675890952297e-23,1.4392974411860843e-36,5.7141680399047224e-46,1.2649516442388635e-53,3.8262717565595491e-84,5.1157946744189927e-58,2.1531673091043175e-54
1.9615746618366438e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.7600895288909056e-64,4.6009143128736003e-41,1.0688621176550859e-91,5.4655389672967795e-56,1.587267216701983e-140,1.9946400049952763e-24,1.3758710333751358e-116,1.9946400049937132e-24,3.2159719003591674e-78,4.9838343753034963e-71,4.0581897243849175e-119,2.4521459678018875e-120,1.9181029395697118e-55,3.7050901720493825e-93,7.9104576379638617e-18,3.8034183292036332e-19,1.466042924946525e-22,3.668839490267515e-37,1.4660429249467112e-22,8.6933565414311836e-36,6.7838602908275213e-45,1.5394076433806186e-52,2.3851166684134863e-82,6.0734714374788802e-57,2.5562402267031473e-53
4.483599227055186e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.4776413787789094e-63,2.2151421890530758e-40,1.0169945490268426e-89,5.8795774142083161e-55,6.0427387537418847e-138,4.5591771542788692e-24,1.4527866212988213e-114,4.5591771542713431e-24,6.9954413394116049e-77,1.1118660307662791e-69,7.7253923277018742e-117,4.6680394295593143e-118,1.8832048360414311e-54,1.6177873715196983e-91,1.8081046029631668e-17,8.6935276096083047e-19,3.3509552570203787e-22,1.766388280145264e-36,3.3509552570212735e-22,4.1854769539699843e-35,6.6604342482561103e-44,1.5911644954572754e-51,1.1327691911216406e-80,5.9629702725296001e-56,2.5097318072289477e-52
9.52764835749227e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,6.1882778774276552e-62,9.6741079096151368e-40,8.4559475569864266e-88,5.4043446056422811e-54,2.0120168092965281e-135,9.688251452859469e-24,1.1483068364513283e-112,9.6882514528265978e-24,1.2968369284679391e-75,2.0824020133102281e-68,1.2856546407690118e-114,7.768520097529623e-116,1.6656733433493121e-53,6.0226167565129542e-90,3.8422222812967213e-17,1.8473746170417649e-18,7.1207799211672369e-22,7.7142816538740127e-36,7.1207799211711433e-22,1.8279077451405401e-34,5.8910786424008266e-43,1.5492619499690503e-50,4.7020665401639102e-79,5.2741796775953297e-55,2.2198293516417926e-51
1.9615746618366439e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,1.0437435763250695e-60,4.0387496171229214e-39,6.929865000956691e-86,4.6235305911301309e-53,6.5965142299761454e-133,1.994640005007432e-23,8.1387921992051274e-111,1.9946400049937095e-23,2.2289313367680186e-74,3.5968315875208237e-67,2.1074478651905246e-112,1.2734174930083767e-113,1.4000987967938145e-52,2.0748827885032748e-88,7.9104576379638032e-17,3.8034183292036333e-18,1.4660429249457554e-21,3.2205607034071542e-35,1.4660429249473866e-21,7.6311549866765363e-34,4.9518065240862628e-42,1.540954283122261e-49,1.926390123612223e-77,4.4332658122388986e-54,1.865900307910653e-50
3.9791943140114775e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.7143519861928888e-59,1.6499609997935647e-38,6.0255393282540465e-84,3.8228245030571703e-52,2.2930737921944567e-130,4.0462697244718628e-23,5.477034042816859e-109,4.0462697244158011e-23,3.6942902285992126e-73,5.9761893659410834e-66,3.6635819059123219e-110,2.2137056688872725e-111,1.1478855632907836e-51,6.8857794814017308e-87,1.6046928351297846e-16,7.7155057535273671e-18,2.9739727906024583e-21,1.3157041061961168e-34,2.9739727906091227e-21,3.1175757901434086e-33,4.0597901000908839e-41,1.6548248282483537e-48,8.3809577044255912e-76,3.6346591596020043e-53,1.5297777776646856e-49
8.014433618361144e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.7790383952837248e-58,6.6694061675872254e-38,5.7723351360054479e-82,3.1086573980164428e-51,8.7798412174260039e-128,8.149529163486565e-23,3.5936823681289605e-107,8.1495291632599555e-23,6.0151939550209984e-72,9.7426966139664504e-65,7.0155210142664431e-108,4.2391023425487803e-109,9.2958745652432951e-51,2.2436309926788254e-85,3.2319869777965478e-16,1.5539680602174825e-17,5.9898325219104254e-21,5.3182861544475376e-34,5.9898325219373621e-21,1.2601739636561083e-32,3.2877231767154113e-40,1.9741599829134858e-47,4.0187008311236465e-74,2.9434412224937496e-52,1.2388536616405452e-48
1.6084912227060478e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,4.4755553862519121e-57,2.6817388871580221e-37,6.1073073927432931e-80,2.5072448103371687e-50,3.7129721701932641e-125,1.6356048041859339e-22,2.3286526929625685e-105,1.6356048040948157e-22,9.7085472947978304e-71,1.5734479877199431e-63,1.4837903839280975e-105,8.9657479174593239e-107,7.4821280324888634e-50,7.2445485179957486e-84,6.4865752631298909e-16,3.1188030299469699e-17,1.2021551984504603e-20,2.13845930653915e-33,1.2021551984612916e-20,5.0671039509596601e-32,2.6462454714528275e-39,2.6096421695058841e-46,2.1280750190884308e-72,2.3691375696964355e-51,9.9713713247467204e-48
3.2225869444459145e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996403,0.022821567693054254,0.0,7.1842566034636085e-56,1.0754972376823857e-36,6.9845237298525446e-78,2.0139553814667009e-49,1.6976055547071686e-122,3.2769085799978359e-22,1.4995871472403238e-103,3.2769085796324109e-22,1.5601374869622124e-69,2.5292713070900116e-62,3.3926174752249261e-103,2.0499764247462484e-104,6.0039356707871652e-49,2.328695386347263e-82,1.299575183379584e-15,6.248472969405931e-17,2.4084990909605924e-20,8.5761769411275439e-33,2.4084990910040314e-20,2.0321352098715298e-31,2.1234450687181864e-38,3.7321164393814533e-45,1.2177384664778583e-70,1.9010836969851896e-50,8.0013963536136127e-47
