Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.895292112840976e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,9.6985202170602878e-73,7.3793662338502298e-42,8.5803192998242032e-94,3.4484873926481819e-57,3.7809057293490409e-143,7.011525118848588e-25,-6.4805985171449588e-118,7.0115251188460818e-25,1.070192349860098e-79,1.1156648166330725e-73,1.7726438757924353e-121,1.0711130533261433e-122,1.1553589603354598e-57,6.6116435258936565e-95,2.780669898587693e-18,1.3369707978709934e-19,5.1534078279770839e-23,5.884417565519984e-38,5.1534078279773813e-23,1.394319641926812e-36,5.4484218184319039e-46,1.2055842721022227e-53,3.5327359469754893e-84,4.8778767357052492e-58
1.9306817915954733e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,3.0274415276108086e-71,4.4571372052523817e-41,9.7096723486379231e-92,5.211354147766088e-56,1.3968378942728705e-140,1.963227033278417e-24,1.2508720030156747e-116,1.9632270332769028e-24,3.0181136573793052e-78,3.5078286396054606e-72,3.6284573593673501e-119,2.1924810133214614e-120,1.3716421389979562e-56,3.4223771043337152e-93,7.785875716045541e-18,3.7435182340387818e-19,1.4429541918335322e-22,3.5541881566270813e-37,1.4429541918337121e-22,8.4216906340601761e-36,6.4683663770731985e-45,1.4666099195203862e-52,2.2013288865610766e-82,5.7910152606373918e-57
4.412986952218225e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,6.740261157484929e-70,2.1459197008139104e-40,9.2317153055947137e-90,5.606136984475148e-55,5.3138829605479553e-138,4.4873760760687832e-24,1.3207999220093076e-114,4.4873760760614914e-24,6.5650564432862012e-77,7.8257724904798934e-71,6.9022711295357095e-117,4.1706700400475617e-118,1.3466863461588767e-55,1.4943437818974063e-91,1.7796287350961222e-17,8.5566131063743596e-19,3.2981810099049748e-22,1.7111885486327301e-36,3.2981810099058404e-22,4.0546815139565158e-35,6.3506804536798325e-44,1.5147838695669686e-51,1.04470974341588e-80,5.68565312316321e-56
9.377597273463728e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,1.2613779511468707e-68,9.3717951170958511e-40,7.6660393466584131e-88,5.1530057410801501e-54,1.7670842274578751e-135,9.5356741616625056e-24,1.0439823437962559e-112,9.5356741616306629e-24,1.2170508221067198e-75,1.4656804880078418e-69,1.147208733127641e-114,6.931963411958787e-116,1.1911287519303663e-54,5.5630672233474384e-90,3.7817110620792512e-17,1.8182802851045512e-18,7.0086346460470342e-22,7.4732094875321119e-36,7.0086346460508212e-22,1.7707859403215081e-34,5.6171049203733239e-43,1.4729743285138342e-50,4.3309642862807778e-79,5.0288957994955429e-55
1.9306817915954735e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,2.1779445318223626e-67,3.9125399772828463e-39,6.2701113405337083e-86,4.4085049009050068e-53,5.7820884831127957e-133,1.9632270332901926e-23,7.399377140512277e-111,1.9632270332768993e-23,2.0917994053714557e-74,2.5315982430622718e-68,1.8768025808867477e-112,1.134050539059815e-113,1.0012153682723818e-53,1.9165610065637961e-88,7.7858757160454815e-17,3.7435182340387825e-18,1.4429541918327863e-21,3.1199174546283417e-35,1.4429541918343667e-21,7.3926826971660662e-34,4.7215151049644425e-42,1.4621439841992685e-49,1.7708343516506026e-77,4.2270899332303019e-54
3.9165259200936747e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,3.6180769227606085e-66,1.5984002437977125e-38,5.437864394030623e-84,3.6450371041901569e-52,2.0048045668524924e-130,3.9825462675588672e-23,4.97944160537621e-109,3.9825462675045576e-23,3.4670041090897129e-73,4.2062873105835649e-67,3.2542494146110523e-110,1.9663673422327882e-111,8.2085665527394843e-53,6.360367210608356e-87,1.5794205023977832e-16,7.5939941319072389e-18,2.9271356462876343e-21,1.2745877570052695e-34,2.9271356462940903e-21,3.0201520796665073e-33,3.870983285004879e-41,1.566127699073242e-48,7.6843458230420574e-76,3.4656237173632894e-53
7.888214177090077e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,5.8978906319353618e-65,6.4609893479798863e-38,5.1953221793969839e-82,2.9640836378766156e-51,7.6554145197080639e-128,8.0211847361793742e-23,3.2671937695612731e-107,8.0211847359598495e-23,5.645117429481912e-72,6.857306558468643e-66,6.2148843115441829e-108,3.7553192730405594e-109,6.6475068652410432e-52,2.0724330538152197e-85,3.1810863639842088e-16,1.5294945927644146e-17,5.8954985551920621e-21,5.1520848865957968e-34,5.8954985552181577e-21,1.2207937429761096e-32,3.1348225290794314e-40,1.8633226277902713e-47,3.6747523675770298e-74,2.8065519388200851e-52
1.5831590691082882e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,9.5247127337332052e-64,2.5979354006311223e-37,5.4844415012053693e-80,2.390640835240951e-50,3.2301536411177035e-125,1.6098461673753032e-22,2.1170929399302411e-105,1.6098461672870327e-22,9.1112422905447583e-71,1.1074557523925104e-64,1.3114926271421809e-105,7.9246423461250956e-107,5.3504867733547691e-51,6.6917607474914666e-84,6.3844180871568824e-16,3.0696849519117916e-17,1.1832224372979839e-20,2.071628569211227e-33,1.1832224373084769e-20,4.9087578217696046e-32,2.5231777384306414e-39,2.4576360305810932e-46,1.9415744433797137e-72,2.2589571650829153e-51
3.171834371906849e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996405,0.022821567693054257,0.0,1.5310358211493626e-62,1.0418882913719157e-36,6.2624711813767637e-78,1.9202927274743384e-49,1.4745586571368344e-122,3.2253015550230899e-22,1.3633485885746774e-103,3.2253015546690842e-22,1.4641521762883159e-69,1.7801992780888131e-63,2.9940070540797562e-103,1.8091169248138187e-104,4.2934205341126246e-50,2.151006697037949e-82,1.2791081533501516e-15,6.1500656702065314e-17,2.3705676008471078e-20,8.3081402451383968e-33,2.3705676008891897e-20,1.9686313348028269e-31,2.0246909799545063e-38,3.5093635656940262e-45,1.1093046927769586e-70,1.8126708611791939e-50
6.349184977503971e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999731,0.11866996602996277,0.022821567693054226,0.0,2.4553303444701448e-61,4.1729876277062089e-36,7.5273344166095849e-76,1.5393523056044479e-48,7.0871861487635955e-120,6.4562123308508844e-22,8.7524374709378623e-102,6.4562123294330163e-22,2.3477378387232392e-68,2.8549438540610968e-62,7.1958562898952239e-101,4.3480677123960208e-102,3.4399480209529673e-49,6.8986884744101119e-81,2.5604408426187943e-15,1.2310827106795958e-16,4.7452579279116321e-20,3.327576082723743e-32,4.7452579280801781e-20,7.8847928543820182e-31,1.6222162157124308e-37,5.2751273307173322e-44,6.669728881426672e-69,1.4523425174267723e-49
1.2703886188698215e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999465,0.1186699660299602,0.022821567693054164,0.0,3.933049726823919e-60,1.6702825644425371e-35,9.3210560598639346e-74,1.2327303140943056e-47,3.5097619833398913e-117,1.2918033884635361e-21,5.6102176666839608e-100,1.2918033878960191e-21,3.7604606799052133e-67,4.5731901382213619e-61,1.7818986422851709e-98,1.0767052093725131e-99,2.7540291677840332e-48,2.2100580661806363e-79,5.1231062211549425e-15,2.4632349979974568e-16,9.4946385819057868e-20,1.3318868029011197e-31,9.4946385825804112e-20,3.1559713285722096e-30,1.2987587055729362e-36,8.1676880301960969e-43,4.1305600920201123e-67,1.1627571012742034e-48
2.5413288611086704e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998926,0.11866996602995508,0.022821567693054039,0.0,6.2964246523533206e-59,6.6833059127536575e-35,1.172963863427275e-71,9.866838831267888e-47,1.7665047770449829e-114,2.584167700071986e-21,3.5933122652137866e-98,2.5841676978011791e-21,6.0200030592173775e-66,7.3212445880802508e-60,4.4843992171543034e-96,2.7096804966155634e-97,2.2040269125274973e-47,7.0761526406889322e-78,1.0248436978222694e-14,4.9275395726330854e-16,1.8993399889354512e-19,5.3291954759381076e-31,1.8993399892053888e-19,1.2627990959612839e-29,1.0394006531051854e-35,1.285002720083505e-41,2.5992913143622162e-65,9.3055906809030271e-48
