Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),H2(190),C4H7X(141),C2H6(343),C4H7X(140),C4H7X(142),C4H6(54),C4H5X(418),C4H7X(143),C4H5X(419),C6H9X(483),C6H9X(546),SX(577),SX(486),C4H7X(146),C6H9X(573),C6H9X(693),C4H7X(145),SX(695),SX(782),SX(819),SX(698),SX(815),C6H9X(692),C6H9X(468),SX(962),SX(1040),C6H9(960),SX(1145),SX(1399),SX(1442),SX(1396),C6H9X(691),SX(1589),SX(1584),C4H6a(417),C6H9(574),SX(1850),SX(2360),SX(2415),C3H6(75),SX(2358),SX(2416),SX(2759),SX(2819),SX(2700),SX(1397),SX(2696),SX(2697),SX(3136),SX(1586),SX(3138),SX(3351),SX(3422),SX(3141),SX(2816),SX(3418),S(2817),S(3419),SX(4343),SX(5140),SX(5223),SX(5138),SX(5224),SX(5479),SX(5559),SX(5396),SX(5393),SX(5392),SX(5556),S(5557),SX(1487),SX(1486),SX(6770),SX(6766),SX(6983),S(6767),SX(7361),SX(8708),SX(8705),SX(8704),SX(7357)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9404415478885456e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,3.9372334845219884e-51,1.6873095822676426e-124,3.1423535776530418e-34,8.6229166453423692e-40,2.446618204462792e-78,-1.0434088956605702e-188,-1.0803884850873699e-111,4.3317149578857942e-90,-3.99290864257037e-185,3.5178118198185211e-18,3.5178118198185226e-18,6.7458755801440737e-39,3.142353577595512e-34,3.5542293468196337e-52,5.7531255264828558e-45,5.0054695831652897e-61,2.0792474951936175e-45,1.854253358210202e-58,3.8813546959319733e-69,2.0867186231974934e-63,1.6563477446651856e-74,3.0324965842504524e-85,2.7088363387946009e-101,4.9594277355941935e-112,4.2648730638589674e-141,2.5394417718132119e-101,4.4188494192318027e-117,3.4837251550127366e-142,2.2684055729747344e-117,4.1530724293231637e-128,3.709812427365757e-144,6.792048077117547e-155,3.6133535125790194e-144,-2.5366079437423256e-83,-4.9160111851446695e-78,-2.2658742011281038e-99,-4.1484379094849286e-110,-7.1993942911313132e-100,-2.3206958777760453e-108,-2.073006564180645e-124,-3.7953294199553321e-135,-2.0191062746858245e-124,2.2094247096159084e-117,1.9736114289630595e-133,1.9222955208387217e-133,2.1657829851400519e-65,8.6050392415598663e-102,1.3868999452210214e-110,1.2388752519619221e-126,2.2681740485848157e-137,2.4847805547580223e-149,2.4854460733498739e-149,2.2201728689675651e-165,4.0647663893493675e-176,3.6309313459299578e-192,6.6476299675658711e-203,-6.6551859185154626e-153,2.1618670751091122e-165,2.1624461052147185e-165,3.7628441893365236e-181,8.0847103692615588e-166,1.9316468882109061e-181,3.5365234198822572e-192,3.1590680769531928e-208,5.7837269882490998e-219,3.5365234198822541e-192,3.0769290781744685e-208,2.1300568722397913e-192,9.2666672295911915e-209,1.3790798148893655e-217,1.231889769001548e-233,2.2553847938563253e-244,7.8083866192328533e-256,6.9749926615716771e-272,1.2770048734943464e-282,1.1407093495520956e-298,2.0884486468801538e-309,6.793635723493274e-272,6.7936356774016453e-272,1.1110497405828568e-298,6.2482701501170656e-299,-6.6042215441424942e-151,-3.3020830949208867e-151,-5.8993488733848283e-167,-5.7459597732324949e-167,-1.0800724283564588e-177,-1.6154593883658667e-167,-2.2444251197335146e-176,-2.0048762249774749e-192,-1.9527473987074091e-192,-1.9527473987074091e-192,-2.2444251197335149e-176
5.433236334087928e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.2379292449781939e-49,9.3689212351106182e-122,1.8979815609024353e-33,5.2082415810670129e-39,1.1687789280926717e-76,1.7583771676283907e-185,3.3017516980456629e-109,3.3425454734147452e-88,6.7289433880826216e-182,9.8498730954918448e-18,9.8498730954918448e-18,1.0194368320613346e-37,1.8979815608341346e-33,1.1175067008378641e-50,6.830110624929866e-44,1.1197036419441508e-59,3.1421586849499232e-44,5.2292909423535131e-57,2.235461639283575e-67,5.8848801577327725e-62,8.5737326193946052e-73,2.8557984776335692e-83,4.6188835590002519e-99,1.5271124653124375e-109,4.2668535775510819e-138,4.5276978062257682e-99,1.4225646434447444e-114,3.4853429207154431e-139,7.3027009044821199e-115,2.4107580933827086e-125,3.8799313027311088e-141,1.2793105326179279e-151,3.7790491233674823e-141,4.2577186185505155e-82,4.8573160487986317e-77,6.619333974538805e-98,2.1399170759067741e-108,2.103170380244221e-98,1.1971004090060423e-106,1.9040695831384333e-122,6.2369078550641673e-133,1.8545618277938178e-122,7.112823217223758e-115,1.1456336943471372e-130,1.1158460538714447e-130,6.1078543000336381e-64,1.4672600778982225e-99,4.2705576166300624e-108,6.8789537781020048e-124,2.2692273331020467e-134,4.4785620949392864e-146,4.4783659026936945e-146,7.2029169997490923e-162,2.3741277126363392e-172,3.8176871480479823e-188,1.2581852434576267e-198,1.961922455906513e-150,7.0159404693641002e-162,7.0156337960255979e-162,2.1977825567296663e-177,2.6237434907998304e-162,1.1282263158703488e-177,3.7184233803228217e-188,5.9791126415025304e-204,1.9704743574061575e-214,3.7184233803228045e-188,5.8236496018573402e-204,2.2396156665506958e-188,1.7538858200028275e-204,4.6984261379430132e-213,7.554651541070432e-229,2.4896579049288108e-239,1.5515116024923295e-250,2.494659023437087e-266,8.2211613695833889e-277,1.3218692478208468e-292,4.3562220821319094e-303,2.42979533917455e-266,2.4297953095014723e-266,1.2874992963579979e-292,7.2405789858043478e-293,1.9469026932568931e-148,9.7343668796517333e-149,3.1244960564385253e-164,3.0432559656515901e-164,1.028597576392288e-174,8.5560230120086577e-165,2.1374587206629664e-173,3.4347826643869981e-189,3.3454748190630745e-189,3.3454748190630745e-189,2.1374587206629675e-173
1.2418825906486692e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.7617520503611346e-48,6.5448897712312189e-119,9.1379642038149787e-33,2.5075440513858863e-38,6.0858076527972572e-75,2.8255160518813847e-181,1.7087270407682231e-106,3.6428695662997758e-86,1.0812661757245075e-177,2.2513995646838323e-17,2.2513995646838323e-17,1.0966636322776794e-36,9.1379642031443889e-33,2.4930959844686159e-49,6.7058431133255863e-43,2.212346194551979e-58,3.3801909193923898e-43,1.137484997493295e-55,1.0024748270482285e-65,1.2800899710371889e-60,3.7436271858658532e-71,2.4959825992919617e-81,8.0726942050291025e-97,5.3359837378351558e-107,5.9597386759713472e-135,7.9335759981267444e-97,4.9840659117695603e-112,4.8681616620021591e-136,2.5585580808856349e-112,1.6887563456775662e-122,5.4345315232268204e-138,3.5831789450301226e-148,5.2932281494221022e-138,5.0189836402604267e-80,2.6790008911102007e-75,1.6206089166199344e-95,1.0702832264476103e-105,5.1491836705816777e-96,5.9873183466607689e-104,1.9272877990831287e-119,1.2708990463716078e-129,1.8771763463273819e-119,2.4920329558848051e-112,8.0252604453871121e-128,7.8165955625208368e-128,1.3285917172617664e-62,2.5644166405827604e-97,1.4922035134844978e-105,4.8054618912874343e-121,3.1695490781112255e-131,1.2508675777030434e-142,1.2507873303970987e-142,4.0229643675323573e-158,2.6517731589710507e-168,8.5278737091880334e-184,5.6208472351068722e-194,8.0247305943707154e-147,3.9186145602014153e-158,3.9183631824567568e-158,2.4548050896223097e-173,1.4654399492455936e-158,1.2601682065147008e-173,8.3061402770899714e-184,2.6711232653795685e-199,1.7605570034930754e-209,8.3061402770898982e-184,2.6016713305374823e-199,5.0028089571283836e-184,7.8353519570200703e-200,4.1978962920588557e-208,1.3499543506798486e-223,8.8975737921268353e-234,1.108958687308542e-244,3.5661583085950707e-260,2.3504557026417837e-270,7.5585256974966676e-286,4.9818245940956014e-296,3.4734345479395605e-260,3.4734344631033055e-260,7.3619963043957506e-286,4.1402054058865423e-286,7.9633363165082532e-145,3.9815480035388668e-145,2.5611380625863795e-160,2.4945458555538727e-160,1.688148913233986e-170,7.0133409169253214e-161,3.5080275049817741e-169,1.1281352120021902e-184,1.0988025530266206e-184,1.0988025530266206e-184,3.5080275049817782e-169
2.639000505128422e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,5.1724559426467367e-47,3.9128275618787176e-116,3.9907890436192234e-32,1.095110301242805e-37,2.4286860758911629e-73,3.1508936775707358e-177,6.0060582618016035e-104,2.9800934915048574e-84,1.2057814198552595e-173,4.78422407495298e-17,4.78422407495298e-17,1.0080228172329466e-35,3.9907890430260921e-32,4.6692928633682659e-48,5.9312422920627127e-42,3.9367535645061341e-57,3.1069778097794452e-42,2.1087054814023143e-54,3.7715608461713483e-64,2.3730710683110311e-59,1.3936585365557976e-69,1.8620804614614636e-79,1.2056771026247929e-94,1.5946594993852108e-104,7.1268540868387113e-132,1.1855428075402602e-94,1.4903062920007751e-109,5.8215099222580715e-133,7.6504510045448715e-110,1.010171181734081e-119,6.502390412552936e-135,8.5750339994985481e-145,6.333321616670098e-135,3.9671988291327406e-78,1.0543421923884449e-73,2.5677256959010363e-93,3.3954787572225264e-103,8.158471089577441e-94,1.899479633373732e-101,1.2235851214447881e-116,1.6142007644983941e-126,1.1917706575163712e-116,7.4515314600040242e-110,4.8005070299970781e-125,4.6756890498228664e-125,2.4629851320319237e-61,3.8300204501760544e-95,4.4594522719763792e-103,2.8729198160198659e-118,3.7902523527650807e-128,2.9918498871006866e-139,2.991646008457931e-139,1.9244912508393445e-154,2.5371294786914e-164,1.6318501306331647e-179,2.1511609951012631e-189,2.0387864275035581e-143,1.8745802526625441e-154,1.8744525116018772e-154,2.348676897398952e-169,7.0103470197021919e-155,1.2056875581690815e-169,1.5894203595576693e-179,1.0222686974603034e-194,1.3475721677494298e-204,1.5894203595576412e-179,9.9568866661248468e-195,9.5731182727127673e-180,2.9986766457997297e-195,3.2131695451345101e-203,2.0665761921325865e-218,2.724169563653048e-228,6.7905977086201411e-239,4.3674033211963096e-254,5.7571132598555391e-264,3.7027109031732821e-279,4.8809138844528204e-289,4.2538463716829029e-254,4.2538461638883407e-254,3.6064366356830745e-279,2.0281711221132466e-279,2.0232087723050097e-141,1.011543329099927e-141,1.3014908319846986e-156,1.2676507404184277e-156,1.7157939853243497e-166,3.563962014631566e-157,3.5654747971362588e-165,2.2932619672007613e-180,2.2336348511188103e-180,2.2336348511188103e-180,3.5654747971362661e-165
5.433236334087929e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771411,0.67000000000000004,8.934131345792554e-46,2.1613257882724807e-113,1.6660758668713977e-31,4.5718693909192311e-37,8.6319307026191234e-72,2.9906562310592875e-173,1.7883575557159161e-101,2.1447949291279727e-82,1.1444618846566768e-169,9.8498730954900649e-17,9.8498730954900649e-17,8.6238474273093411e-35,1.6660758663728319e-31,8.0650422504061967e-47,4.9855665299348606e-41,6.6399160790216785e-56,2.6580849293175008e-41,3.6243259457793592e-53,1.3059717774500026e-62,4.0787028426691797e-58,4.8013649660932076e-68,1.2844526316020848e-77,1.664258344100421e-92,4.4035971800753355e-102,7.8738535865358123e-129,1.6368704812184196e-92,4.116450626650824e-107,6.4316900868053197e-130,2.1131698897534377e-107,5.581262665361856e-117,7.185724674355003e-132,1.8953019076348918e-141,6.9988884902509603e-132,2.8075027741462662e-76,3.725088178677548e-72,3.6369902672746325e-91,9.6225156806512159e-101,1.1555860099688879e-91,5.382973427144113e-99,6.9363971205809083e-114,1.8303258904232389e-123,6.756043704007575e-114,2.058225313325494e-107,2.6523118420675158e-122,2.5833491438845828e-122,4.2332421463401254e-60,5.28677481784469e-93,1.2314623280505111e-100,1.5869126465685746e-115,4.1875266456900343e-125,6.6111194225540356e-136,6.6106570488044725e-136,8.5052649072687736e-151,2.2425816952217835e-160,2.8848137462240228e-175,7.6057378799936583e-185,4.6237374954068277e-140,8.2846987471975241e-151,8.2841193290281714e-151,2.0760074956564219e-165,3.0982196195789985e-151,1.065713386256196e-165,2.8098056410398742e-175,3.614377433248697e-190,9.5290791758501635e-200,2.809805641039776e-175,3.5203999267120268e-190,1.6923528748576848e-175,1.0602250655107699e-190,2.2721266498626135e-198,2.9226751356656297e-213,7.7053677700543911e-223,3.8414686417385924e-233,4.9413158459391755e-248,1.3027290517090191e-257,1.675711046999259e-272,4.4178449778108623e-282,4.8128365850698902e-248,4.8128361148689615e-248,1.6321408474894024e-272,9.1787578772910427e-273,4.5885014440693499e-138,2.2939737856113678e-138,5.9035271666596499e-153,5.7500294291342444e-153,1.5565774414323971e-162,1.6166034697889211e-153,3.2346176287654251e-161,4.1609433537475059e-176,4.0527547151404263e-176,4.0527547151404263e-176,3.2346176287654385e-161
1.102170799200694e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771389,0.66999999999999993,1.4844192864886663e-44,1.1488492112981873e-110,6.8064635433355301e-31,1.8677573781537581e-36,2.9074719912553549e-70,2.6327244945085695e-169,4.9290851980978032e-99,1.4538118407904956e-80,1.0074888599614192e-165,1.9981171136554399e-16,1.9981171136554399e-16,7.1303638218088457e-34,6.8064635392479188e-31,1.3400188321954727e-45,4.0874686553316773e-40,1.0906101096386783e-54,2.1977560218703369e-40,6.0070544595927631e-52,4.3450503669906401e-61,6.7601508394943789e-57,1.5933979759255472e-66,8.5301138937585782e-76,2.2111131685409467e-90,1.1702793185674584e-99,8.3709654810589011e-126,2.1749906573383467e-90,1.0941022172589264e-104,6.837751694239307e-127,5.6165470472179013e-105,2.9670741132810771e-114,7.6403274933831003e-129,4.0304870785780316e-138,7.4416711734217958e-129,1.8876855217762796e-74,1.2513794383087881e-70,4.8926595169324987e-89,2.5894239591439486e-98,1.5545514506145728e-89,1.4485608398356015e-96,3.7335269131321135e-111,1.9704443458140637e-120,3.6364513954140998e-111,5.470511086295066e-105,1.4100044772655973e-119,1.3733430479400348e-119,7.0162884062113336e-59,7.0239436795639621e-91,3.2726763338044178e-98,8.4352079987905418e-113,4.4519038852605838e-122,1.4057279819757879e-132,1.405628425589639e-132,3.616992434760082e-147,1.9073919799424612e-156,4.9072752419131056e-171,2.587584079915967e-180,9.9556386139603028e-137,3.5231964552588935e-147,3.5229469366659875e-147,1.7657149577282692e-161,1.3175658783556438e-147,9.0642546944598969e-162,4.7796810724941922e-171,1.2296644524260639e-185,6.4838698476083471e-195,4.7796810724938566e-171,1.1976919204726027e-185,2.8788135873479224e-171,3.6070417192774433e-186,1.5460227138666111e-193,3.9773517006845549e-208,2.0971856557432996e-217,2.0910808495271067e-227,5.3795525905073633e-242,2.8365317194359302e-251,7.2973080183432931e-266,3.8477249134096893e-275,5.239678728209257e-242,5.239677704404872e-242,7.1075705551488524e-266,3.997122350772052e-266,9.8801672969532635e-135,4.9388911545184833e-135,2.5423778089940597e-149,2.4762733897703221e-149,1.3407005942502477e-158,6.9619676968409379e-150,2.7860184812101446e-157,7.1677706044453555e-172,6.9814017299123766e-172,6.9814017299123766e-172,2.7860184812101675e-157
2.2198651307844965e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258377135,0.66999999999999971,2.4199780891685354e-43,5.9925988339587363e-108,2.7512813902003603e-30,7.5497703578947968e-36,9.542614193574098e-69,2.2348276746761299e-165,1.3087753122542187e-96,9.5725499721901096e-79,8.5522202982666323e-162,4.0243767218603815e-16,4.0243767218603815e-16,5.7982934417916487e-33,2.7512813868899959e-30,2.1845688997617717e-44,3.3101380900007985e-39,1.7679321444023662e-53,1.7871786975638062e-39,9.7809309601322621e-51,1.4175749802058538e-59,1.1007153173407301e-55,5.1918553152727947e-65,5.5604239388890748e-74,2.8830780355438101e-88,3.0520814877273374e-97,8.7330412950913961e-123,2.836146703564405e-88,2.8535826937915845e-102,7.1335102320675415e-124,1.4648797152147767e-102,1.5477705867160725e-111,7.9712784818097902e-126,8.4102217056452304e-135,7.7640171021559164e-126,1.2379050876322694e-72,4.1015762969040228e-69,6.4182349862151634e-87,6.7943079517626843e-96,2.0392743629589628e-87,3.8008326257236037e-94,1.9593499454588786e-108,2.0682224694548667e-117,1.9084048421598665e-108,1.4267913468960187e-102,7.3552702716635876e-117,7.1640270647055453e-117,1.1424206815360283e-57,9.158543378484432e-89,8.5351195835596645e-96,4.3999519192345534e-110,4.6444650796824068e-119,2.9330893411391698e-129,2.9328803454261634e-129,1.5093965664516954e-143,1.5919399412294336e-152,8.1913904410709633e-167,8.638571237433717e-176,2.0899571296709808e-133,1.4702554766025521e-143,1.4701507147302705e-143,1.4736940227484971e-157,5.4982981312436514e-144,7.5651723596019054e-158,7.9784059257246304e-167,4.1051976064538314e-181,4.3292419140449634e-190,7.9784059257235113e-167,3.9984582770371901e-181,4.805412969412577e-167,1.2041998727054511e-181,1.0322702214305145e-188,5.3113091512207965e-203,5.6011150045675767e-212,1.116962124968863e-221,5.7470342145179364e-236,6.0605950813591558e-245,3.1183172710880827e-259,3.2884529596318065e-268,5.5976054582762901e-236,5.5976032707941014e-236,3.0372378380588556e-259,1.7080675008971245e-259,2.0742805067195609e-131,1.0366396576242473e-131,1.0675196004598017e-145,1.0397630017134405e-145,1.1258975108313677e-154,2.9232618630093659e-146,2.3396505630309814e-153,1.2038758544956564e-167,1.1725740154897611e-167,1.1725740154897611e-167,2.3396505630310203e-153
4.455253793952102e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771267,0.66999999999999926,3.9082710913415047e-42,3.0967951850540248e-105,1.1062781464164203e-29,3.0357265660677323e-35,3.0923408748291325e-67,1.8634381463017273e-161,3.4118595117166816e-94,6.2136239887875779e-77,7.1309898834283552e-158,8.0768959382066408e-16,8.0768959382066418e-16,4.6765337183348732e-32,1.1062781437517726e-29,3.5280846083478138e-43,2.6642871073204571e-38,2.8472200541086506e-52,1.4414243645484029e-38,1.5786462003029027e-49,4.5801869130181019e-58,1.7765589554064786e-54,1.6764186179145083e-63,3.5913721835402798e-72,3.7245191158309943e-86,7.8859783689519289e-95,9.0260284807099928e-120,3.6639914907349736e-86,7.3733003857874432e-100,7.3728343135683142e-121,3.7850657636148835e-100,7.9986354031631189e-109,8.2389376191714201e-123,1.7385317883564262e-131,8.0247168371186969e-123,8.0174611818979323e-71,1.3279631950922468e-67,8.3145212857207154e-85,1.7604265760043626e-93,2.6417832028572612e-85,9.8480742322931402e-92,1.0153718063807656e-105,2.1436091513824294e-114,9.8897109944670754e-106,3.6866501928948911e-100,3.8010873151578841e-114,3.702256542664517e-114,1.843871585851309e-56,1.1831508944124998e-86,2.2053066484543938e-93,2.2737626468504311e-107,4.8002826142273366e-116,6.0630121088637201e-126,6.062578879031667e-126,6.2401838908161164e-140,1.3162888248022808e-148,1.3546040874382645e-162,2.8571088838466812e-171,4.3322983189206294e-130,6.0783670707308783e-140,6.0779327460225971e-140,1.2185176805913954e-153,2.2731202055196516e-140,6.2552308518351769e-154,1.3193829994279574e-162,1.3577472745273222e-176,2.8636951491332564e-185,1.3193829994275869e-162,1.322444460441846e-176,7.9466739961456021e-163,3.9827530202041444e-177,6.8282317810739472e-184,7.0266199114786899e-198,1.4820040209828709e-206,5.9107602263690036e-216,6.0824518118905439e-230,1.2828626494960118e-238,1.320125402616397e-252,2.7843031433352021e-261,5.9243018634328442e-230,5.9242972331315877e-230,1.2858007955803117e-252,7.2310247571865002e-253,4.300493417182533e-128,2.1481719875852694e-128,4.426474441402318e-142,4.31138159795569e-142,9.3370914298691895e-151,1.2121314530622912e-142,1.9402766074506857e-149,1.9967541389344173e-163,1.9448370334110403e-163,1.9448370334110403e-163,1.9402766074507502e-149
8.92603112028731e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771106,0.66999999999999849,6.2824316762989629e-41,1.5929150927599101e-102,4.436670161995983e-29,1.2174598113315752e-34,9.957830320112125e-66,1.540049437680885e-157,8.8138050135511635e-92,4.004843891979451e-75,5.8934486136598278e-154,1.6181934370389244e-15,1.6181934370389255e-15,3.7564462031359417e-31,4.4366701406110026e-29,5.6712929659459158e-42,2.137922607807437e-37,4.5704824390358368e-51,1.1578304375369628e-37,2.5368420637765259e-48,1.4727310097456019e-56,2.8548825336196766e-53,5.3886978334573309e-62,2.3089957380633621e-70,4.7893723233966973e-84,2.0281581167841491e-92,9.2855749397494727e-117,4.7115835219215243e-84,1.8963226473131905e-97,7.5848426230928199e-118,9.7347260228028576e-98,4.1143395992539247e-106,8.4759309818716255e-120,3.5770895496043491e-128,8.2555481480711505e-120,5.1594243108239651e-69,4.2724462029549828e-66,1.070171840107684e-82,4.5318458115559593e-91,3.4002684223219573e-83,2.5351769721609812e-89,5.2277827826629003e-103,2.2073477965724056e-111,5.0918550647076946e-103,9.4816132365719662e-98,1.9552031014942441e-111,1.9043672449791451e-111,2.9630521381712549e-55,1.5214173619172507e-84,5.6717235522582551e-91,1.1695670120711538e-104,4.9383145066375592e-113,1.2474736452462672e-122,1.2473844226451636e-122,2.5678567155517906e-136,1.0833151921044708e-144,2.2296984831852003e-158,9.4056887911222311e-167,8.9222601037467642e-127,2.5012687238323845e-136,2.5010898282014217e-136,1.0028488267918005e-149,9.3539669638386227e-137,5.148100085808621e-150,2.1717240528433753e-158,4.4697450622031235e-172,1.8854743280590403e-180,2.1717240528421579e-158,4.3535271404627186e-172,1.3080339179252644e-158,1.3111338843003957e-172,4.4957478628293622e-179,9.2527358501751969e-193,3.9030407631423953e-201,3.1133435512196893e-210,6.4075555181540517e-224,2.7028619119867424e-232,5.562741525892691e-246,2.3464980945472145e-254,6.2409525581301188e-224,6.2409428025610709e-224,5.4181045834797196e-246,3.0470066571481025e-246,8.8596036611074157e-125,4.4212616395321227e-125,1.8238311465599917e-138,1.7764096860394702e-138,7.69429100538128e-147,4.9943178833805444e-139,1.59889681504445e-145,3.2908749534607808e-159,3.205310630771696e-159,3.205310630771696e-159,1.5988968150445559e-145
