Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H6(54),C4H5X(365),C4H5X(364),C6H8(56),C6H7X(480),C8H10(439),C6H7X(479),C6H7X(478),C8H9X(653),S(610),C8H9X(652),C8H9X(651),C8H9X(650)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.319861286846701e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.7563666496247691e-77,0.0,3.0084144980607143e-42,1.1657675820479044e-68,0.0,0.0,0.0,0.0,0.0,1.9685019684755064e-18,1.9685019684755064e-18,1.1139149787449647e-53,2.3569139781805203e-71,1.1784569890902601e-71,-3.7146898116099941e-104,-6.4577779442468923e-122,6.8322088017780562e-112,-3.2288889721234461e-122,-3.2288889721234461e-122,1.0318638407467788e-129,-6.4359882907876812e-164,5.1593192037338939e-130,5.1593192037338939e-130,5.1593192037338939e-130
9.295611603170764e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,8.6664576319484087e-76,0.0,1.8170823568286716e-41,7.0412361955693433e-68,0.0,0.0,0.0,0.0,0.0,5.5118055117314184e-18,5.5118055117314184e-18,1.6833483019191802e-52,6.6468744715368561e-70,3.323437235768428e-70,7.1712651238652363e-103,2.1794531403965749e-120,8.4929274326676949e-111,1.0897265701982875e-120,1.0897265701982875e-120,2.4120122635817378e-128,2.9685736371521812e-162,1.2060061317908689e-128,1.2060061317908689e-128,1.2060061317908689e-128
2.124711223581889e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.9334390226388848e-74,0.0,8.7484693603605535e-41,3.3900521285953052e-67,0.0,0.0,0.0,0.0,0.0,1.2598412598243243e-17,1.2598412598243243e-17,1.8108692866630972e-51,1.4458403823182794e-68,7.2292019115913969e-69,7.5720985733901059e-101,4.7607138247958098e-118,3.3490678497346953e-109,2.3803569123979049e-118,2.3803569123979049e-118,1.8450268912372101e-126,1.0635353497491103e-159,9.2251344561860505e-127,9.2251344561860505e-127,9.2251344561860505e-127
4.515011350111514e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,3.6211173114829238e-73,0.0,3.8206864125371037e-40,1.4805248292008361e-66,0.0,0.0,0.0,0.0,0.0,2.6771626771266885e-17,2.6771626771266885e-17,1.664500859666843e-50,2.6803443976345738e-67,1.3401721988172869e-67,5.985112847910366e-99,7.5390486384320814e-116,1.2126607388634925e-107,3.7695243192160407e-116,3.7695243192160407e-116,1.3371110106400268e-124,3.2772034249559629e-157,6.6855550532001342e-125,6.6855550532001342e-125,6.6855550532001342e-125
9.295611603170764e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771417,0.67000000000000004,6.2545796473018401e-72,0.0,1.5950613668717872e-39,6.1808997200179651e-66,0.0,0.0,0.0,0.0,0.0,5.5118055117314163e-17,5.5118055117314163e-17,1.4240155292024302e-49,4.6068271885376381e-66,2.3034135942688191e-66,4.2420360275311485e-97,1.0694727347515789e-113,4.1198358287611655e-106,5.3473636737578944e-114,5.3473636737578944e-114,9.093621479364644e-123,9.1804367687720926e-155,4.546810739682322e-123,4.546810739682322e-123,4.546810739682322e-123
1.8856812109289264e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771406,0.66999999999999993,1.0392077629142194e-70,0.0,6.5163461393793958e-39,2.5250992134190216e-65,0.0,0.0,0.0,0.0,0.0,1.1181091180940865e-16,1.1181091180940865e-16,1.1774035773041427e-48,7.6354782162725183e-65,3.8177391081362592e-65,2.8546957785052935e-95,1.4399601042208395e-111,1.3575601629781519e-104,7.1998005211041976e-112,7.1998005211041976e-112,5.9958401473821639e-121,2.4562353326237685e-152,2.997920073691082e-121,2.997920073691082e-121,2.997920073691082e-121
3.797921312152626e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771383,0.66999999999999982,1.6941709360467408e-69,0.0,2.6340112969480327e-38,1.0206854749268604e-64,0.0,0.0,0.0,0.0,0.0,2.2519662519359737e-16,2.2519662519359737e-16,9.5744503523988859e-48,1.2432396906651876e-63,6.2161984533259378e-64,1.8730703160338059e-93,1.8899861846031471e-109,4.4076516789229654e-103,9.4499309230157357e-110,9.4499309230157357e-110,3.8943018717854834e-119,6.4267878140005155e-150,1.9471509358927417e-119,1.9471509358927417e-119,1.9471509358927417e-119
7.622401514600026e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771339,0.6699999999999996,2.7360905870755849e-68,0.0,1.059124357700243e-37,4.1041314033027802e-64,0.0,0.0,0.0,0.0,0.0,4.5196805196197407e-16,4.5196805196197407e-16,7.7221410674935494e-47,2.0065938730986827e-62,1.0032969365493414e-62,1.2137216895288752e-91,2.4496042487241375e-107,1.4206593280162543e-101,1.2248021243620687e-107,1.2248021243620687e-107,2.5106881631742501e-117,1.6632263869484565e-147,1.2553440815871251e-117,1.2553440815871251e-117,1.2553440815871251e-117
1.5271361919494826e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258377125,0.66999999999999915,4.3981857081274707e-67,0.0,4.2475623793247408e-37,1.6459402544878239e-63,0.0,0.0,0.0,0.0,0.0,9.055109054987244e-16,9.055109054987244e-16,6.2028436534570838e-46,3.2245424856041915e-61,1.6122712428020958e-61,7.8160279177346612e-90,3.1551072050798475e-105,4.562492957162027e-100,1.5775536025399237e-105,1.5775536025399237e-105,1.6127246294036616e-115,4.2809874219419051e-145,8.0636231470183082e-116,8.0636231470183082e-116,8.0636231470183082e-116
3.0569282729284426e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771067,0.66999999999999826,7.0534927053552381e-66,0.0,1.7012404685027703e-36,6.5923461967320452e-63,0.0,0.0,0.0,0.0,0.0,1.8125966125722117e-15,1.8125966125722117e-15,4.9723469462804843e-45,5.1704874184220265e-60,2.5852437092110133e-60,5.017740597700217e-88,4.0511361839491825e-103,1.4626227106951236e-98,2.0255680919745913e-103,2.0255680919745913e-103,1.0340294307341018e-113,1.0989013526660734e-142,5.1701471536705091e-114,5.1701471536705091e-114,5.1701471536705091e-114
6.116512434886362e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770706,0.66999999999999649,1.1298721993159662e-64,0.0,6.8093954346245355e-36,2.6386564936934455e-62,0.0,0.0,0.0,0.0,0.0,3.6267680267191322e-15,3.6267680267191322e-15,3.9819103078445446e-44,8.281765669442827e-59,4.1408828347214135e-59,3.2163174016657648e-86,5.1935324441969458e-101,4.6845955510125833e-97,2.5967662220984729e-101,2.5967662220984729e-101,6.6238268496973443e-112,2.8169924928546297e-140,3.3119134248486721e-112,3.3119134248486721e-112,3.3119134248486721e-112
1.2235680758802202e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583769979,0.66999999999999282,1.8088469008178834e-63,0.0,2.7246451386789478e-35,1.0558062984017479e-61,0.0,0.0,0.0,0.0,0.0,7.2551108550127633e-15,7.2551108550127633e-15,3.1871421349532247e-43,1.3258017810322349e-57,6.6290089051611746e-58,2.0600328636373658e-84,6.6528962688898988e-99,1.4997432713092564e-95,3.3264481344449494e-99,3.3264481344449494e-99,4.241182198471463e-110,7.2163745865000583e-138,2.1205910992357315e-110,2.1205910992357315e-110,2.1205910992357315e-110
2.4474017406633882e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258376853,0.66999999999998561,2.8949964224311841e-62,0.0,1.0900354737077871e-34,4.2239126933783436e-61,0.0,0.0,0.0,0.0,0.0,1.4511796511599175e-14,1.4511796511599175e-14,2.5503594211099478e-42,2.1218584327683308e-56,1.0609292163841654e-56,1.3189299745163881e-82,8.5190205747606186e-97,4.8002549679243811e-94,4.2595102873803093e-97,4.2595102873803093e-97,2.714975283218757e-108,1.8480159566628449e-135,1.3574876416093785e-108,1.3574876416093785e-108,1.3574876416093785e-108
4.895069070229724e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583765627,0.66999999999997106,4.6326674910415797e-61,0.0,4.3604967565718412e-34,1.6897025870965654e-60,0.0,0.0,0.0,0.0,0.0,2.9025167824768601e-14,2.9025167824768601e-14,2.0405458536824343e-41,3.3954340245155647e-55,1.6977170122577823e-55,8.4427808175571749e-81,1.0906467365532129e-94,1.5362538447134723e-92,5.4532336827660656e-95,5.4532336827660636e-95,1.737782175482845e-106,4.7317197870207464e-133,8.6889108774142276e-107,8.688910877414224e-107,8.6889108774142252e-107
9.790403729362396e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258375982,0.66999999999994209,7.4128066018849658e-60,0.0,1.7442696775020195e-33,6.759085377657242e-60,0.0,0.0,0.0,0.0,0.0,5.8051910451093877e-14,5.8051910451093877e-14,1.6325400159702597e-40,5.4330628911278799e-54,2.71653144556394e-54,5.4039010557556674e-79,1.3961635842328433e-92,4.91628792305987e-91,6.9808179211642172e-93,6.9808179211642138e-93,1.1122439533135817e-104,1.211422538364066e-130,5.5612197665679093e-105,5.5612197665679077e-105,5.5612197665679085e-105
1.958107304762774e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583748208,0.66999999999988402,1.1860921473604096e-58,0.0,6.977220662266319e-33,2.7036891578867978e-59,0.0,0.0,0.0,0.0,0.0,1.1610539570369003e-13,1.1610539570369003e-13,1.3060733472462015e-39,8.6931953978092604e-53,4.3465976989046302e-53,3.4586635114782763e-77,1.7871762801102793e-90,1.5732562355341302e-89,8.9358814005513999e-91,8.9358814005513944e-91,7.1185640609724207e-103,3.1013726131497411e-128,3.5592820304862118e-103,3.5592820304862089e-103,3.5592820304862103e-103
3.916241168415843e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583724987,0.66999999999976789,1.897781909319875e-57,0.0,2.7909166555985683e-32,1.0814866646097925e-58,0.0,0.0,0.0,0.0,0.0,2.3221236620866496e-13,2.3221236620866496e-13,1.0448752118353471e-38,1.3909348458254989e-51,6.9546742291274945e-52,2.2135980362954347e-75,2.2876412511879617e-88,5.0344905147093672e-88,1.1438206255939818e-88,1.14382062559398e-88,4.5559458828571579e-101,7.9396814643590185e-126,2.2779729414285808e-101,2.2779729414285767e-101,2.2779729414285789e-101
7.83250889572198e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583678547,0.66999999999953563,3.0364786339980193e-56,0.0,1.1163723403932552e-31,4.3259686613861893e-58,0.0,0.0,0.0,0.0,0.0,4.6442630721774524e-13,4.6442630721774524e-13,8.3590678313104349e-38,2.2255146192161987e-50,1.1127573096080993e-50,1.4167198279229192e-73,2.9282163940947215e-86,1.6110482545177524e-86,1.4641081970473633e-86,1.4641081970473583e-86,2.9158261279458884e-99,2.0325799046473627e-123,1.4579130639729466e-99,1.4579130639729418e-99,1.4579130639729442e-99
1.5665044350334255e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258358566,0.66999999999907123,4.858387877680623e-55,0.0,4.4655007178271404e-31,1.7303918651048309e-57,0.0,0.0,0.0,0.0,0.0,9.2885418923242702e-13,9.2885418923242702e-13,6.6872807197515757e-37,3.5608384834867186e-49,1.7804192417433593e-49,9.0670615699778248e-72,3.7481397637774168e-84,5.1553724781341434e-85,1.8740698818887148e-84,1.8740698818887022e-84,1.8661353660033631e-97,5.203432011645034e-121,9.3306768300168478e-98,9.3306768300167854e-98,9.3306768300168153e-98
3.1330115259558805e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583399886,0.66999999999814241,7.7734382546472578e-54,0.0,1.7862025583211619e-30,6.9215762611391008e-57,0.0,0.0,0.0,0.0,0.0,1.8577099532478768e-12,1.8577099532478768e-12,5.3498351576247345e-36,5.6973536476616598e-48,2.8486768238308299e-48,5.8029368994826556e-70,4.7976334762724372e-82,1.6497220831510215e-83,2.3988167381362353e-82,2.3988167381362025e-82,1.1943287603190649e-95,1.3320821092711295e-118,5.9716438015953659e-96,5.9716438015952828e-96,5.9716438015953243e-96
6.266025707800791e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583028344,0.66999999999628468,1.243751532673568e-52,0.0,7.1448147751634209e-30,2.7686322642879932e-56,0.0,0.0,0.0,0.0,0.0,3.71542148122312e-12,3.71542148122312e-12,4.2798723587084149e-35,9.1157754950986187e-47,4.5578877475493093e-47,3.7138852137622395e-68,6.1409801794870489e-80,5.2791152900403909e-82,3.0704900897435675e-80,3.0704900897434821e-80,7.643710868931787e-94,3.410134697748757e-116,3.8218554344659478e-94,3.8218554344658408e-94,3.8218554344658935e-94
1.2532054071490612e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282582285261,0.66999999999256921,1.9900035815009599e-51,0.0,2.857926818037882e-29,1.1074532574317003e-55,0.0,0.0,0.0,0.0,0.0,7.4308445369509787e-12,7.4308445369509787e-12,3.4238995798113005e-34,1.4585248517835242e-45,7.2926242589176209e-46,2.3768883279183019e-66,7.860460599613238e-78,1.6893176324652027e-80,3.9302302998067278e-78,3.9302302998065102e-78,4.8919771323235649e-92,8.7299505822524997e-114,2.4459885661618506e-92,2.445988566161714e-92,2.4459885661617824e-92
2.5064110798870252e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282580799094,0.66999999998513837,3.1840066327517002e-50,0.0,1.1431709084868867e-28,4.4298137311593804e-55,0.0,0.0,0.0,0.0,0.0,1.4861690647516189e-11,1.4861690647516189e-11,2.7391203406675316e-33,2.3336403804603918e-44,1.1668201902301959e-44,1.5212091026636697e-64,1.0061393385036534e-75,5.4058176061733816e-79,5.0306966925185466e-76,5.0306966925179882e-76,3.1308660601541356e-90,2.2348680850860534e-111,1.5654330300771548e-90,1.5654330300769808e-90,1.5654330300770678e-90
5.012822425362954e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282577826755,0.66999999997027671,5.094411330991053e-49,0.0,4.5726839939086877e-28,1.7719256311498579e-54,0.0,0.0,0.0,0.0,0.0,2.972338286508459e-11,2.972338286508459e-11,2.1912965427502598e-32,3.733825101389731e-43,1.8669125506948655e-43,9.735740085391496e-63,1.2878585967909344e-73,1.729861822399223e-77,6.439292983955387e-74,6.4392929839539583e-74,2.0037544998713174e-88,5.7212632361449959e-109,1.0018772499357702e-88,1.0018772499355469e-88,1.0018772499356587e-88
1.002564511631481e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282571882077,0.66999999994055337,8.1510586939222695e-48,0.0,1.8290736674898246e-27,7.0877027891682994e-54,0.0,0.0,0.0,0.0,0.0,5.9446767285973295e-11,5.9446767285973308e-11,1.7530373414687967e-31,5.9741205517625039e-42,2.9870602758812519e-42,6.2308742338282788e-61,1.6484591576479215e-71,5.5355581284077861e-76,8.2422957882414362e-72,8.2422957882377776e-72,1.2824029492505905e-86,1.464643506616621e-106,6.4120147462543813e-87,6.412014746251523e-87,6.4120147462529526e-87
2.0051290498218524e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282559992721,0.66999999988110659,1.3041694325837851e-46,0.0,7.3162947932849409e-27,2.8350811583384112e-53,0.0,0.0,0.0,0.0,0.0,1.1889353607075834e-10,1.1889353607075834e-10,1.4024299147738142e-30,9.5585931797837149e-41,4.7792965898918585e-41,3.9877596859010978e-59,2.1100278140359625e-69,5.535558127779022e-76,1.0550139070184496e-69,1.0550139070175126e-69,3.8071337552710619e-86,1.8789345189040425e-105,1.9035668776365253e-86,1.9035668776345537e-86,1.9035668776355309e-86
4.010258126202595e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282536214014,0.66999999976221303,2.0866711143942793e-45,0.0,2.9265179287574615e-26,1.1340324636754356e-52,0.0,0.0,0.0,0.0,0.0,2.3778707341235892e-10,2.3778707341235897e-10,1.1219439463647077e-29,1.5293749278289099e-39,7.6468746391445527e-40,2.5521662452134956e-57,2.700835646773757e-67,5.5355581277507456e-76,1.3504178233880777e-67,1.3504178233856793e-67,8.8565953585013787e-86,1.8000016838053463e-104,4.4282976792561757e-86,4.428297679245203e-86,4.4282976792503236e-86
8.020516278964079e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282488656601,0.6699999995244259,3.3386737654570339e-44,0.0,1.1706071632143668e-25,4.5361297898287099e-52,0.0,0.0,0.0,0.0,0.0,4.7557414718368206e-10,4.7557414718368216e-10,8.97555159559861e-29,2.4469998847576045e-38,1.2234999423788025e-38,1.6333863984216324e-55,3.4570696195005056e-65,5.5355587579294243e-76,1.7285348097533231e-65,1.7285348097471835e-65,1.8955519679427114e-85,1.5600960868278062e-103,9.4777598397603735e-86,9.47775983966674e-86,9.4777598397135568e-86
1.2030774431725564e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282441099187,0.66999999928663878,1.272869367942941e-43,0.0,2.4875402046727656e-25,9.6392756890930485e-52,0.0,0.0,0.0,0.0,0.0,7.133612200431274e-10,7.133612200431275e-10,2.6646168782676054e-28,9.2574975916810089e-38,4.628748795840507e-38,9.2738842481493021e-55,2.2931941645786664e-64,3.9537725026839149e-71,1.146597082291669e-64,1.1465970822869981e-64,7.213345630875909e-81,5.2522574908026722e-99,3.606672815444337e-81,3.6066728154315752e-81,3.6066728154379559e-81
2.0051290737248534e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228234598436,0.66999999881106465,1.0467263620445769e-42,0.0,6.8773168980274788e-25,2.6649761321193805e-51,0.0,0.0,0.0,0.0,0.0,1.1889353621145061e-09,1.1889353621145067e-09,1.2481626338021742e-27,7.3061106693204361e-37,3.653055334660221e-37,2.4930735773704232e-53,1.0700075169801992e-62,3.9537725096959259e-71,5.3500375849201618e-63,5.3500375848818356e-63,2.1639657657211507e-80,8.4030808649622463e-98,1.0819828828650458e-80,1.0819828828561109e-80,1.0819828828605813e-80
2.726975541221921e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282260381013,0.66999999838304791,3.0528227427117461e-42,0.0,1.2246463607936657e-24,4.7455328038089905e-51,0.0,0.0,0.0,0.0,0.0,1.6169520870324464e-09,1.6169520870324473e-09,2.8802619281944751e-27,2.0503330919632318e-36,1.0251665459816169e-36,1.0825260971430077e-52,5.1543831682259459e-62,-1.8819637990552052e-70,2.577191584123022e-62,2.5771915841029282e-62,-1.0440440114703234e-79,1.8806990601262312e-97,-5.2202200573761383e-80,-5.2202200573271013e-80,-5.2202200573516288e-80
3.448822008718988e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282174777667,0.66999999795503118,6.9854553682926592e-42,0.0,1.9116902248172381e-24,7.4078435094441848e-51,0.0,0.0,0.0,0.0,0.0,2.0449688088317886e-09,2.0449688088317899e-09,5.5457700039372902e-27,4.6943605482950592e-36,2.3471802741475336e-36,3.277895764315432e-52,1.828290238293236e-61,2.1424009771455595e-69,9.1414511915072919e-62,9.1414511914250859e-62,6.9192471816004701e-79,2.173435031192562e-96,3.4596235908103936e-79,3.4596235907900795e-79,3.4596235908002357e-79
