Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H6(54),C4H5X(365),C4H5X(364),C6H8(56),C2H2(37),C6H7X(480),C8H10(439),C6H7X(479),C6H7X(478),C4H4(421),C8H9X(637),S(632)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2658762046995418e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.5814044722474887e-77,0.0,2.9113688690906364e-42,1.1851744266324726e-71,0.0,0.0,0.0,0.0,0.0,1.9364916730767077e-18,1.9364916730767077e-18,1.0604527598569402e-53,2.2073072784336909e-71,1.1036536391452429e-71,-3.3666752357125992e-104,1.2699974542508625e-39,-5.7576009009322706e-122,6.2944823437994842e-112,-2.8788004504636867e-122,-2.8788004505389614e-122,2.6973786238563588e-91,9.3519260387501546e-130,-5.6448639664008562e-164
9.144453373158718e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,8.1163494693739894e-76,0.0,1.7584667969305252e-41,7.1584535368601321e-71,0.0,0.0,0.0,0.0,0.0,5.4221766846147844e-18,5.4221766846147844e-18,1.6025563991243856e-52,6.2249604003712643e-70,3.1124801999605024e-70,6.4994178084067804e-103,7.6707846236752096e-39,1.9431485092962055e-120,7.8244949481935248e-111,9.7157425464683408e-121,9.715742546741357e-121,1.3962410155122215e-89,2.1860404446385181e-128,2.6036707756543772e-162
2.0901607710077068e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.8107129241282871e-74,0.0,8.4662606713122778e-41,3.4464872326472279e-70,0.0,0.0,0.0,0.0,0.0,1.2393546707690936e-17,1.2393546707690936e-17,1.7239570583757247e-51,1.3540648723757165e-68,6.7703243613763302e-69,6.8626988415169036e-101,3.6931525969615089e-38,4.2445390989513034e-118,3.0854808004838206e-109,2.1222695494724193e-118,2.1222695495286906e-118,6.0965347862974469e-88,1.6721736786859715e-126,9.3280351314185098e-160
4.441591638391377e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,3.3912649118653724e-73,0.0,3.6974384637417007e-40,1.5051715218232377e-69,0.0,0.0,0.0,0.0,0.0,2.6336286753843235e-17,2.6336286753843235e-17,1.5846135493872275e-50,2.5102080724901727e-67,1.25510403615102e-67,5.4243914899425838e-99,1.6128967668985955e-37,6.7216362789994582e-116,1.1172187591799564e-107,3.3608181394941304e-116,3.3608181395832925e-116,2.2695870458348952e-86,1.2118424117980594e-124,2.8743631973763166e-157
9.144453373158717e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771417,0.67000000000000004,5.8575667872603943e-72,0.0,1.5436077743887863e-39,6.2837948100053444e-69,0.0,0.0,0.0,0.0,0.0,5.4221766846147824e-17,5.4221766846147824e-17,1.3556702534496752e-49,4.3144063162498412e-66,2.1572031579624445e-66,3.844616587207499e-97,6.733526502438071e-37,9.5351642882970432e-114,3.795585793398771e-106,4.7675821441402472e-114,4.7675821442668263e-114,7.8190714926550111e-85,8.2416763439068255e-123,8.0519596016388095e-155
1.8550176842693396e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771406,0.66999999999999993,9.7324348243384128e-71,0.0,6.3061414251790921e-39,2.5671352150629789e-68,0.0,0.0,0.0,0.0,0.0,1.0999272703075694e-16,1.0999272703075694e-16,1.1208943816541433e-48,7.1508120657105983e-65,3.575406032585343e-65,2.5872507141505221e-95,2.7508652858055361e-36,1.2838341470953853e-111,1.2507139319273506e-104,6.4191707354655663e-112,6.4191707356360578e-112,2.5948647483711891e-83,5.4341137924724203e-121,2.1543101018553157e-152
3.736162378176276e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771383,0.66999999999999982,1.5866325103324717e-69,0.0,2.5490431905731875e-38,1.0376770988891898e-67,0.0,0.0,0.0,0.0,0.0,2.2153464739997495e-16,2.2153464739997495e-16,9.1149269581930367e-48,1.1643243721986778e-63,5.8216218605532918e-64,1.6975898270188754e-93,1.1119437310744318e-35,1.6850666863796205e-109,4.0607492118941115e-103,8.425333431883051e-110,8.4253334321068667e-110,8.4549889914536222e-82,3.5294602580027011e-119,5.636794539305589e-150
7.498451765990148e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771339,0.6699999999999996,2.5624157422762105e-68,0.0,1.0249590558214922e-37,4.1724539759365358e-67,0.0,0.0,0.0,0.0,0.0,4.4461848813841013e-16,4.4461848813841013e-16,7.3515188026893583e-47,1.8792242309316939e-62,9.3961211539477129e-63,1.1000129441696209e-91,4.4710768375883127e-35,2.184008829253551e-107,1.3088469023536635e-101,1.0920044146248155e-107,1.0920044146538271e-107,2.7300647106348549e-80,2.2754718005717551e-117,1.4587793602204725e-147
1.5023030541617893e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258377125,0.66999999999999915,4.119008467413312e-67,0.0,4.110544237916154e-37,1.6733406619157073e-66,0.0,0.0,0.0,0.0,0.0,8.9078616961527739e-16,8.9078616961527739e-16,5.9051396950630716e-46,3.0198628899722722e-61,1.5099314448718841e-61,7.0837754286463407e-90,1.7931017856720526e-34,2.8130184688916026e-105,4.203403769101018e-100,1.4065092344432709e-105,1.4065092344806399e-105,8.775549063337378e-79,1.4616348896376062e-115,3.7547601105284511e-145
