Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.005623792273728e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,7.8690731917645033e-66,7.6174103067803839e-42,3.8399841989968699e-93,3.6166882008662061e-57,1.7466670247778502e-142,7.1237166444684483e-25,-7.1281829982551675e-118,7.1237166444678266e-25,1.1403506412629104e-79,6.7801013762790175e-71,8.0601221694100755e-121,4.8702969530183665e-122,2.8724163074614588e-54,7.1578095907205613e-95,2.8251634421299508e-18,1.3583636890012977e-19,5.2358675890944879e-23,6.0742375806638731e-38,5.235867589095684e-23,5.9823630458253021e-36,9.8718243922665705e-45,8.8876185412482771e-52,2.6883591930253853e-82,2.1531673116213732e-54,7.1346377190388962e-111
1.9615746618366438e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.7603536568667832e-64,4.6009158258100723e-41,4.2687893031492749e-91,5.4655392091574819e-56,6.3400620891786345e-140,1.9946406604513675e-24,1.3758712134492393e-116,1.9946406604509909e-24,3.2159712644688133e-78,2.1317723701669237e-69,1.620893163360551e-118,9.7941828532613599e-120,3.4101326401983197e-53,3.7050883890785973e-93,7.9104576379638617e-18,3.8034183292036332e-19,1.4660429249462627e-22,3.6688394986975727e-37,1.4660429249469854e-22,3.6133472739208354e-35,1.1719829894891409e-43,1.061643722197171e-50,1.645378066479817e-80,2.5562402323337005e-53,1.4347779424129365e-108
4.483599227055186e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.4782271321152372e-63,2.2151429179838167e-40,3.9120480955181744e-89,5.8795776743909633e-55,2.3251475675546644e-137,4.5591786524612203e-24,1.4527868114392808e-114,4.5591786524594071e-24,6.9954399562124073e-77,4.7558668902547373e-68,2.9723072438768392e-116,1.7960049003011752e-117,3.348088447915313e-52,1.6177865930053107e-91,1.8081046029631668e-17,8.6935276096083047e-19,3.3509552570191153e-22,1.7663882884219443e-36,3.3509552570225947e-22,1.7396711650895267e-34,1.1506598438442771e-42,1.0561083289210798e-49,7.5247922997812858e-79,2.5097318183539697e-52,2.6310190998212908e-106
9.52764835749227e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,6.1893724151641351e-62,9.674111097589253e-40,3.036614989035843e-87,5.4043448447911199e-54,7.2299967017899484e-135,9.6882546364841476e-24,1.1483069867397281e-112,9.688254636476235e-24,1.2968366720452581e-75,8.9072123433153504e-67,4.6188959173768517e-114,2.7909495960348227e-115,2.9613463162107612e-51,6.0226138582952306e-90,3.8422222812967213e-17,1.8473746170417649e-18,7.1207799211617167e-22,7.7142817270803138e-36,7.1207799211769145e-22,7.5976009789546025e-34,1.0177455921766544e-41,9.5862969545168318e-49,2.9146321888753783e-77,2.2198293714381739e-51,4.0885421262021609e-104
1.9615746618366439e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,1.0439324430290097e-60,4.0387509518353081e-39,2.2151416202408251e-85,4.623530795720135e-53,2.1109740890005383e-132,1.9946406604542911e-23,8.138793264369697e-111,1.9946406604509873e-23,2.2289308960397507e-74,1.5384994254989655e-65,6.7415835403157296e-112,4.0735751995820272e-113,2.4891900131498599e-50,2.074881790020402e-88,7.9104576379638032e-17,3.8034183292036333e-18,1.4660429249434506e-21,3.2205607649414603e-35,1.4660429249497951e-21,3.1718488065773956e-33,8.5547647903201541e-41,8.4702502042310603e-48,1.0621899213130213e-75,1.8659003413001436e-50,5.9674971669631174e-102
3.9791943140114775e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.7146656654539348e-59,1.6499615481692183e-38,1.6170639847716405e-83,3.8228246722047735e-52,6.1640699795119058e-130,4.0462710540712038e-23,5.477034759588213e-109,4.0462710540577067e-23,3.6942894981137984e-73,2.5562398053981221e-64,9.8427560141726616e-110,5.9474464055938397e-111,2.04078836309925e-49,6.8857761677816177e-87,1.6046928351297846e-16,7.7155057535273671e-18,2.9739727905930435e-21,1.3157041566456579e-34,2.9739727906189623e-21,1.2958036971743738e-32,7.0137127868156058e-40,7.620706393786606e-47,3.8770575711332693e-74,1.5297778325070237e-49,8.7125848513959821e-100
8.014433618361144e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.7795497443290815e-58,6.6694084092885892e-38,1.2397475696911014e-81,3.1086575355459653e-51,1.8893859250292081e-127,8.1495318413256779e-23,3.5936828383821818e-107,8.1495318412711209e-23,6.0151927655802289e-72,4.1673160435210629e-63,1.5087264543299542e-107,9.1164199487465665e-109,1.6526833271136879e-48,2.2436299129712406e-85,3.2319869777965478e-16,1.5539680602174825e-17,5.9898325218723688e-21,5.3182865630009852e-34,5.9898325219771394e-21,5.2378454406620727e-32,5.679886060063072e-39,7.2668157142859379e-46,1.4871906752760015e-72,1.2388537505423354e-48,1.3354905100882089e-97
1.6084912227060478e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,4.4763814280969453e-57,2.6817398087050075e-37,1.039024780752792e-79,2.5072449212298718e-50,6.3286376994439944e-125,1.6356053415917209e-22,2.3286529976191603e-105,1.6356053415697836e-22,9.7085453749238159e-71,6.7302265388702534e-62,2.5274976036996249e-105,1.5272304338952085e-106,1.330223321321022e-47,7.2445450316032708e-84,6.4865752631298909e-16,3.1188030299469699e-17,1.2021551984351581e-20,2.1384596353784854e-33,1.2021551984772858e-20,2.1061143860123038e-31,4.5716658001953942e-38,7.6122730374656718e-45,6.2390460208263196e-71,9.9713727564825509e-48,2.2372836731838479e-95
3.2225869444459145e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996403,0.022821567693054254,0.0,7.1855853602564991e-56,1.0754976234410967e-36,9.7394025445091648e-78,2.0139554704938142e-49,2.3706266312071441e-122,3.2769096565430615e-22,1.4995873433527243e-103,3.2769096564550823e-22,1.5601371784076754e-69,1.081864258814847e-60,4.7353408191917402e-103,2.8613109675501857e-104,1.0674204399548701e-46,2.3286942656247654e-82,1.299575183379584e-15,6.248472969405931e-17,2.4084990908992238e-20,8.5761795798557324e-33,2.4084990910681751e-20,8.4464588354334567e-31,3.6684728643011858e-37,8.9382587538584771e-44,2.9278555154387256e-69,8.0013986518663756e-47,4.1916165156711601e-93
