Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),H2OX(23),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592107898e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,8.3676626646065454e-66,7.8554517975067804e-42,4.2118013414704866e-93,3.7875379447743553e-57,1.9756607399527551e-142,7.2341660732114433e-25,-7.8175306066033612e-118,7.2341660732107995e-25,1.2127364198103303e-79,4.0556899706147262e-73,8.9776339186789542e-121,5.4247017289039653e-122,1.6919750934242184e-56,7.7301915237618825e-95,2.8689670379046562e-18,1.3794248471136902e-19,5.3170486719240308e-23,6.2640574976227525e-38,5.3170486719252639e-23,6.1693108034187254e-36,1.0338159330107423e-44,9.308468155149861e-52,2.9036486733804014e-82,5.3574613653560657e-58,2.2548814806439863e-54,7.9468011792557686e-111
1.9919884857902116e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.8718139618140111e-64,4.7446928862331295e-41,4.6825572634553029e-91,5.7237273421361356e-56,7.1719191913442829e-140,2.0255665004994122e-24,1.5089319972531838e-116,2.0255665004990235e-24,3.4201107416883395e-78,1.2751738221945612e-71,1.8055702723497298e-118,1.0910090862241304e-119,2.0087128287927791e-55,4.0013697622104878e-93,8.0331077061330364e-18,3.8623895719183324e-19,1.4887736281385284e-22,3.7834907242028232e-37,1.4887736281392737e-22,3.7262637192352767e-35,1.2273462731597557e-43,1.1120199423252895e-50,1.7773083269637597e-80,6.3603781336124196e-57,2.6769952909858449e-53,1.5982505078155841e-108
4.5531165389490546e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.6983900988618019e-63,2.2843653835235238e-40,4.2920763189146304e-89,6.1573246860498134e-55,2.6307336716024936e-137,4.6298662868567793e-24,1.5932859153177964e-114,4.629866286854911e-24,7.4394879088023136e-77,2.8448426437824267e-70,3.311603345302198e-116,2.0010239396514615e-117,1.9721661623218642e-54,1.7471546357815179e-91,1.8361389042589783e-17,8.8283190215276172e-19,3.4029111500299797e-22,1.8215879137667175e-36,3.4029111500335678e-22,1.7940355725897155e-34,1.2050158437344686e-42,1.1064427172043617e-49,8.1297470938194981e-79,6.2446569695102997e-56,2.628289845051075e-52,2.9313573718752597e-106
9.67537264526674e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,6.5810884839902078e-62,9.9764237911886522e-40,3.3328589662939116e-87,5.6596422001014333e-54,8.1832821878195028e-135,9.8384658595748387e-24,1.2593598261126386e-112,9.8384658595666793e-24,1.3791556788081408e-75,5.3280754016967409e-69,5.1480902211725268e-114,3.11071426795867e-115,1.7443586285124829e-53,6.5042186451148759e-90,3.9017951715503193e-17,1.8760177920746187e-18,7.2311861938096808e-22,7.9553529543804434e-36,7.2311861938253544e-22,7.8350246268824706e-34,1.0658228579527642e-41,1.0047059375203288e-48,3.1501514449969019e-77,5.5233283735351554e-55,2.3246925928308584e-51,4.5569745670767658e-104
1.9919884857902113e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,1.1099968303804735e-60,4.1649605505576323e-39,2.4329498336979608e-85,4.8419430581204443e-53,2.3909760927479657e-132,2.0255665005024269e-23,8.9258964618235082e-111,2.0255665004990203e-23,2.3704162360676654e-74,9.2029251701757169e-68,7.5192289979081084e-112,4.5434660083543093e-113,1.4662385193152614e-52,2.240801941248749e-88,8.0331077061329741e-17,3.8623895719183326e-18,1.4887736281356286e-21,3.3212032243991752e-35,1.4887736281421717e-21,3.2709685038592317e-33,8.9588831683951323e-41,8.8837257371152948e-48,1.1488316592403606e-75,4.6426903076510603e-54,1.9540441795418022e-50,6.6558536923083573e-102
4.0408909283172856e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.8231731562012861e-59,1.7015222875136994e-38,1.7782295928200935e-83,4.0034121544353813e-52,6.990150921079107e-130,4.1090063295976355e-23,6.0067191282399857e-109,4.1090063295837164e-23,3.9287910731650142e-73,1.529079752088804e-66,1.0991463946359553e-109,6.6415509936215871e-111,1.2021109024919027e-51,7.4364046559089777e-87,1.6295732775298161e-16,7.8351331316057558e-18,3.020083645639829e-21,1.3568198587035323e-34,3.0200836456665584e-21,1.3362973260477196e-32,7.3450334333879725e-40,8.0026265333877811e-47,4.1984458186799127e-74,3.8063580206246115e-53,1.6020434472974622e-49,9.7293985738683293e-100
8.138695813371434e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.955442196460245e-58,6.8778251627733905e-38,1.3658888920680725e-81,3.2555082769732741e-51,2.1466366250989274e-127,8.2758859878093427e-23,3.9412281268339137e-107,8.2758859877530811e-23,6.3970177899814137e-72,2.4927858209065849e-65,1.6879868596430627e-107,1.0199597487275964e-108,9.7350053996524886e-51,2.4230441891243197e-85,3.2820982913628068e-16,1.5780620250980593e-17,6.0827036806277506e-21,5.4844825902046073e-34,6.0827036807357946e-21,5.401527149502741e-32,5.9481980844944903e-39,7.6456344881890201e-46,1.613533324817542e-72,3.082487422738953e-52,1.2973762716743764e-48,1.4941682949590406e-97
1.6334305583479732e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,0.0,4.7596482471029227e-57,2.7655432695972748e-37,1.1475857170449515e-79,2.6256853642218403e-50,7.2081464149484194e-125,1.6609645304317924e-22,2.5538571723215362e-105,1.6609645304091695e-22,1.0324812503697604e-70,4.0258554531235776e-64,2.8348191238745567e-105,1.7129288564983134e-106,7.8355786972360097e-50,7.8238628573216557e-84,6.5871483190285983e-16,3.167159448973023e-17,1.220794375052167e-20,2.205286154580861e-33,1.220794375095611e-20,2.171930070430703e-31,4.7876266194603823e-38,8.029107418769322e-45,6.7859200834788773e-71,2.4810540661001814e-51,1.0442412157959541e-47,2.509318619443353e-95
3.2725525123696327e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,0.0,7.640288483548584e-56,1.1091065602352841e-36,1.0785217239600313e-77,2.1090932753683747e-49,2.7071630146004196e-122,3.3277163937675747e-22,1.6446125276106774e-103,3.3277163936768468e-22,1.6591696515839304e-69,6.4714440768231262e-63,5.3250483130368886e-103,3.2176405333277588e-104,6.2875575146468668e-49,2.5149108041141698e-82,1.3197248374359425e-15,6.3453542967229351e-17,2.4458423889981811e-20,8.844182428107834e-33,2.4458423891724118e-20,8.7104090800445752e-31,3.841767755840405e-37,9.4523726980741972e-44,3.1928374026648957e-69,1.9908896655013483e-50,8.3793768835526048e-47,4.7136139181786021e-93
