Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CO2X(24),C2H4(47),COX(50),CHOX(53),CH3X(55),C2H4X(215),C2H4X(70)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.555661702806983e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-1.4705493442668316e-122,1.5404913174821515e-65,3.2108186456591076e-36,3.6679163181386874e-89,2.0708911202443852e-54,1.3485412332824549e-132,5.785891326668253e-20,-8.476448034677843e-106,5.785891326668253e-20,3.108187832746645e-72,4.035217020301079e-70,8.556409748219368e-113,9.921137583976033e-114,1.985060765016944e-51,1.5229140632583956e-85,3.159834091428567e-18,9.355707137760608e-20,3.7454032869749433e-22,9.739225479991061e-38,3.6062684692863635e-37,3.745403286966424e-22,3.728956526963002e-54,4.2048209962224455e-34,1.0299962070084523e-42,1.2219345916777484e-47,1.6675473173560845e-78,2.4118060371003413e-52,-5.792902636921855e-110,2.674027214594076e-75,1.506864285715284e-106,-1.1412872806329815e-109,3.2444234396404966e-37,5.384357333953518e-92,3.0665033849171944e-102
1.8355852767859552e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,2.6642252365756295e-120,3.44628189655292e-64,1.9393344619852268e-35,4.053311867561454e-87,3.129530646693235e-53,4.866121358724749e-130,1.6200495714671112e-19,1.6363899539985717e-104,1.6200495714671102e-19,8.765586959981326e-71,1.2687367942236112e-68,1.7105373030547937e-110,1.9833641007714236e-111,2.356664140225499e-50,7.91730566670175e-84,8.847535455999985e-18,2.61959799857297e-19,1.0487129203543664e-21,5.882492189907468e-37,2.1781861554466557e-36,1.0487129203492201e-21,4.427017188789476e-53,2.5397118757085627e-33,1.2228114937148334e-41,1.4507403198521965e-46,1.014491382094776e-76,2.8632961272551515e-51,5.862807116778206e-108,1.626741242890924e-73,3.012417178697564e-104,1.1550594948712576e-107,1.9596317575395084e-36,5.94986473903334e-90,2.900242600915149e-100
4.195623489796469e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.1247798206395458e-117,6.809506088002465e-63,9.337060621683567e-35,3.6674496887876745e-85,3.366606260077941e-52,1.7620584894065737e-127,3.7029704490676834e-19,1.7278550265058215e-102,3.702970449067678e-19,1.906706627340858e-69,2.8304819947557226e-67,3.0970210081626507e-108,3.5909887939598324e-109,2.313786827695635e-49,3.48717737542401e-82,2.0222938185142804e-17,5.987652568166789e-19,2.3970581036736388e-21,2.8321667695706972e-36,1.0487028708650121e-35,2.3970581036488624e-21,4.346471727762966e-52,1.2227619366867956e-32,1.2005635688276887e-40,1.424471635156912e-45,4.580298815899979e-75,2.811201116873995e-50,1.2278681238113635e-105,7.343887527509561e-72,5.454145472937745e-102,2.4190813486383857e-105,9.434783362424286e-36,5.382990197124702e-88,2.5568133730359443e-98
8.915699915817497e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,3.6184836762668866e-115,1.2117343309264851e-61,4.07773968009751e-34,2.7760641952122584e-83,3.0944911681104553e-51,5.343783282845052e-125,7.868812204268831e-19,1.365725395964007e-100,7.86881220426881e-19,3.534712745067125e-68,5.301179520613078e-66,4.693634592427325e-106,5.442258602670165e-107,2.0465182462848245e-48,1.3206138387237043e-80,4.2973743643428376e-17,1.2723761707354426e-18,5.093748470334299e-21,1.236881635947804e-35,4.579960955957899e-35,5.093748470226092e-21,3.8444050209010434e-51,5.340122572050692e-32,1.061884868448571e-39,1.260153504336154e-44,1.7297369747791172e-73,2.486475552071625e-49,1.9735978930711546e-103,2.7729121646321e-70,8.26593226080191e-100,3.8882790090762926e-103,4.1204177682914773e-35,4.073928091459864e-86,1.940160801711629e-96
1.8355852767859552e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,1.0354417358390335e-112,2.043782609083187e-60,1.7023760460278576e-33,1.9292706756605057e-81,2.647402344543869e-50,1.4868277314427144e-122,1.6200495714671137e-18,9.679777943474464e-99,1.620049571467105e-18,6.075268085724846e-67,9.15646931144188e-65,6.527724274998514e-104,7.568881405612488e-105,1.7202218979605183e-47,4.704279726205463e-79,8.847535455999925e-17,2.61959799857297e-18,1.0487129203744072e-20,5.163737349391707e-35,1.9120435423834244e-34,1.0487129203292333e-20,3.2314540627136277e-50,2.2293960083605093e-31,8.925781947204188e-39,1.0596125782917432e-43,6.003366763098274e-72,2.0900325229682393e-48,2.8226656993459207e-101,9.620520228190959e-69,1.149593680784535e-97,5.561067845598623e-101,1.7201933076506327e-34,2.8302568462082924e-84,1.383430850059837e-94
3.723615847194366e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,2.8018319964805926e-110,3.3569316473164605e-59,6.95476162008503e-33,1.2867457287941072e-79,2.188923454207595e-49,3.9684394379145455e-120,3.28638627354758e-18,6.514046805056973e-97,3.2863862735475437e-18,1.0069311312985723e-65,1.5213610706962209e-63,8.710125570372045e-102,1.0099370728975454e-102,1.410341843350273e-46,1.6637827106248925e-77,1.7947857639313996e-16,5.314041654248022e-18,2.127389067091745e-20,2.109555195783693e-34,7.811321754940361e-34,2.1273890669071948e-20,2.6493412766253604e-49,9.107809760840877e-31,7.317894975958065e-38,8.693536875832492e-43,2.0007744401561603e-70,1.7135349368757438e-47,3.8181965741543886e-99,3.204034763468026e-67,1.5339350886253034e-95,7.522410529119086e-99,7.027550946803015e-34,1.886354116717346e-82,9.786784076893828e-93
7.499676988011188e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.02282156769305428,7.380608966983496e-108,5.441740980226131e-58,2.8112258442618037e-32,8.4146318721178395e-78,1.7799962002371905e-48,1.0382950931631938e-117,6.6190596777085344e-18,4.274104372044618e-95,6.619059677708386e-18,1.6395263174540694e-64,2.48020251675378e-62,1.1393642189207875e-99,1.3210902126616205e-100,1.1421313902825161e-45,6.089860974165243e-76,3.6148502005941724e-16,1.0702928965598121e-17,4.284741360667951e-20,8.527159389861838e-34,3.157461145522441e-33,4.28474135992197e-20,2.1455052542686946e-48,3.681522029719062e-30,5.926220534301628e-37,7.050281925326504e-42,6.540018165679662e-69,1.3876650184373718e-46,5.028454577169538e-97,1.0458502160914846e-65,2.0065276211230273e-93,9.906797319481867e-97,2.8406484534047105e-33,1.23186137465417e-80,7.16100941124043e-91
1.5051799269644832e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.11866996602996459,0.022821567693054275,1.920533278521227e-105,8.763764208591167e-57,1.1303815480403743e-31,5.4549007776712256e-76,1.4356314202762263e-47,2.6926317133474988e-115,1.328440648603052e-17,2.7695560253233852e-93,1.3284406486029923e-17,2.646202086425356e-63,4.0055336889032934e-61,1.4773177579380532e-97,1.7129465701537214e-98,9.192867060136915e-45,2.398201127537772e-74,7.25497907391955e-16,2.1480703588298296e-17,8.599445948386485e-20,3.428733286570366e-33,1.269601239504212e-32,8.599445945386933e-20,1.726889282804763e-47,1.4803235774113895e-29,4.769936975844379e-36,5.69082696363004e-41,2.119539749991656e-67,1.1169135312274418e-45,6.542048755253994e-95,3.38000656440005e-64,2.601695609672762e-91,1.2888801089195532e-94,1.1422122493550588e-32,7.963583503564694e-79,5.6345725594790385e-89
3.015604383291212e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999984,0.11866996602996385,0.022821567693054264,4.977400916775015e-103,1.406778893516575e-55,4.533335585417192e-31,3.528149857055735e-74,1.1531772297423762e-46,6.966409024246615e-113,2.6615100102674807e-17,1.7835165507974404e-91,2.6615100102672425e-17,4.252375713616716e-62,6.438778416840575e-60,1.9110496344690358e-95,2.2158576914209637e-96,7.376696868075713e-44,1.0484915647284445e-72,1.453523682056964e-15,4.3036252833698556e-17,1.7228855126088042e-19,1.3750754015316226e-32,5.091668812709135e-32,1.722885511405849e-19,1.3857198928488999e-46,5.936757720796446e-29,3.8275726111748654e-35,4.592443697226785e-40,6.854190721177682e-66,8.962527684714549e-45,8.477304964925765e-93,1.0869590622578608e-62,3.365538264305997e-89,1.6701541174561816e-92,4.580781985760127e-32,5.122342591018929e-77,4.920590934587067e-87
