Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),CO2X(24),H2X(49),O(29),CH3X(55),C2H4(47),OH(D)X(68),COX(50),CH4OX(63),CHOX(53),C2H6X(52),C2H4X(222),CH2(T)(34),C2H4X(70),CH2O2(186),acetyl(44),CH2OX(54),C2H3X(221),CH2OH(40),C2H2X(298),C2HX(305),C2H3X(69),C2H3(46),C2H2(348),C2H2(372),C2H2X(373),C2H2X(336)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.894062042091682e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-6.500634185360168e-122,8.022602858810836e-54,4.655687036209319e-36,7.552458024848752e-82,3.615840512207844e-54,3.430041785678829e-64,6.967135763268977e-20,-2.5928600172040656e-105,6.967135763268976e-20,6.586355092351083e-72,8.818496976217384e-70,2.5691052020848576e-84,2.4598825677851514e-106,1.6769805327275415e-37,3.888849579621099e-85,3.804944106522929e-18,1.126576323508265e-19,4.510062791583879e-22,1.4121876945983397e-37,5.229089280464052e-37,4.510062791571525e-22,6.510874491439187e-54,6.096990441471982e-34,1.7984055265588776e-42,2.1335561676170999e-47,4.221845029220663e-78,-2.1266124577936124e-109,4.211088622712934e-52,8.47004223370057e-28,4.704413987477015e-37,6.769955721948369e-75,1.064647602027667e-54,3.736173555750605e-99,2.0006847624506833e-86,1.2986665822752926e-82,8.468225830872718e-71,1.6414886366986748e-91,2.2699744545298012e-40,9.429164172442028e-102,3.061667876408531e-56,1.4200221579627494e-117,8.038847121328738e-81,1.379208906929324e-82,4.2876764986023206e-85,-6.370076115248393e-91,8.256614183719645e-103,3.046541432303224e-103,1.1871806376888378e-103,2.130264733748801e-116,2.910864829099565e-131,5.3614062741500514e-133,5.8786636418571596e-118
2.2103373717856708e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.1777434583288354e-119,9.524434114014226e-53,2.8120349698828697e-35,3.1165436963269037e-80,5.464258191622906e-53,7.672866200233481e-63,1.950798013715314e-19,5.033872044927179e-104,1.9507980137153125e-19,1.85912256392078e-70,2.7726765742016005e-68,1.0601484453390361e-82,1.851738635443035e-104,1.012896241767455e-36,2.0251878290789716e-83,1.0653843498264197e-17,3.1544137058231417e-19,1.2628175816454903e-21,8.529613675361514e-37,3.1583699253962565e-36,1.2628175816380283e-21,7.729710196192444e-53,3.682582216155788e-33,2.1350670343068225e-41,2.5330831336123205e-46,2.5684792782010398e-76,2.1522927767065116e-107,4.999404412905032e-51,2.371611825979501e-27,2.8414660484302653e-36,4.1184944265251904e-73,1.2639496331250232e-53,2.8124988616982107e-97,1.1522919999229586e-84,5.358983964554015e-81,2.388175179955539e-69,1.8138906369327694e-89,1.3710645705360005e-39,8.933021613309227e-100,3.634812066841453e-55,2.9675223218913695e-115,3.317252742736541e-79,1.0642593773034944e-80,1.773480387158533e-83,7.361969849652041e-78,3.6843936267243544e-92,2.886238903549356e-101,1.124713718221125e-101,3.654017171053062e-114,9.016456473769768e-129,1.6607052937011815e-130,1.0083600198244215e-115
5.052199706938676e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.1186699660299653,0.022821567693054285,4.972272331063677e-117,9.351145892335318e-52,1.3538737901483312e-34,1.2328742974751407e-78,5.8781996148469105e-52,1.5160290308933917e-61,4.458966888492148e-19,5.3149506276120745e-102,4.45896688849214e-19,4.044898084969757e-69,6.185688914309495e-67,4.193841736249995e-81,1.4641147717311948e-102,4.876659389171991e-36,8.936798585582889e-82,2.4351642281746714e-17,7.210088470452896e-19,2.886440186627711e-21,4.1066418158732843e-36,1.5206191627529e-35,2.8864401865917854e-21,7.589075307084627e-52,1.7730048046401193e-32,2.0962214606030103e-40,2.4872613483655148e-45,1.1596562000974769e-74,4.507701326978026e-105,4.908444898696926e-50,5.420827033371754e-27,1.3680435875495374e-35,1.85928523964116e-71,1.2409532449165576e-52,2.2237593632035125e-95,5.16736097731696e-83,2.119960719651065e-79,5.1948026599806195e-68,1.6410718452197829e-87,6.60108571377267e-39,7.890083149970793e-98,3.5686799650464435e-54,5.370500025487686e-113,1.3122721693685734e-77,1.1598819172815122e-78,7.02346430408016e-82,1.419808459333831e-76,1.45796719712891e-90,2.5492678657814243e-99,9.934023606095902e-100,6.453723717745213e-112,3.183706508817898e-126,5.863942523576571e-128,1.780965077970899e-113
1.0735924377244686e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996527,0.022821567693054285,1.5996665418757727e-114,8.270982643540968e-51,5.912722536178672e-34,4.400045088838908e-77,5.403078170710796e-51,2.6976925470279563e-60,9.475304638045821e-19,4.201403384743086e-100,9.475304638045789e-19,7.499246339574153e-68,1.1585110753086981e-65,1.4967522651981997e-79,1.0464890318560885e-100,2.129765276564288e-35,3.395620019412012e-80,5.1747239848711646e-17,1.5321437999712399e-18,6.1336853966242194e-21,1.7934783721205785e-35,6.640943386126869e-35,6.1336853964673216e-21,6.712451165406669e-51,7.743177698023444e-32,1.854084117237705e-39,2.2004264532767222e-44,4.379565785738291e-73,7.24565353353283e-103,4.341463926603861e-49,1.1519257456849721e-26,5.974605764005097e-35,7.020307197341848e-70,1.0976090917719725e-51,1.5894517478268475e-93,1.9440903475002479e-81,7.565988913978377e-78,9.630288639157767e-67,1.2419878970903639e-85,2.882867557252856e-38,6.00683857493605e-96,3.1564568793019346e-53,8.154648255250478e-111,4.683405968998502e-76,9.48855404944466e-77,2.5078960526506026e-80,2.430501699508025e-75,5.0113018779052285e-89,1.940795840501809e-97,7.562921085308774e-98,9.835533295355002e-110,9.708349750505901e-124,1.788142367379294e-125,2.7142068809149432e-111
2.210337371785671e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999977,0.11866996602996521,0.022821567693054285,4.577827389899208e-112,6.952259276201319e-50,2.4684452667717342e-33,1.4866786903723153e-75,4.622447129388126e-50,4.550052404519034e-59,1.9507980137153185e-18,2.9779401251579185e-98,1.950798013715305e-18,1.288986271110882e-66,2.0010397811955676e-64,5.057187206537998e-78,7.077424091806205e-99,8.891350784524214e-35,1.2170150505156774e-78,1.0653843498264113e-16,3.154413705823141e-18,1.2628175816745497e-20,7.487419156586577e-35,2.7724631364458096e-34,1.2628175816090476e-20,5.642219659767771e-50,3.232624185687071e-31,1.5584693742306959e-38,1.8503849823784833e-43,1.5201167572784606e-71,1.0363567970193834e-100,3.649262023264069e-48,2.371611833857949e-26,2.494280296078673e-34,2.4356706263060787e-68,9.226065775292892e-51,1.0749490677031118e-91,6.731767641747855e-80,2.5563764430460408e-76,1.6552005621353434e-65,8.628391698561579e-84,1.2035404557917077e-37,4.3093008714832165e-94,2.6531919694504173e-52,1.1352085795029448e-108,1.582416896914011e-74,6.82898096406582e-75,8.475689783348103e-79,4.0123785032831275e-74,1.6565511421245597e-87,1.3923252818592527e-95,5.425633140848818e-96,1.411776382187739e-107,2.787609996826792e-121,5.1343880962347595e-123,3.8959282183939696e-109
4.483827239908076e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999966,0.1186699660299651,0.022821567693054285,1.2389037769271663e-109,5.699882192796675e-49,1.0084404349380251e-32,4.887893365273004e-74,3.821928675936917e-49,7.473473492025543e-58,3.957333113536798e-18,2.004062515012641e-96,3.957333113536744e-18,2.136447888802575e-65,3.324757524390992e-63,1.662692236131557e-76,4.6557840093041055e-97,3.6324069131115253e-34,4.351715339695041e-77,2.161208252504986e-16,6.398953517526941e-18,2.5617156657501105e-20,3.0588550338606157e-34,1.1326416544580262e-33,2.5617156654825133e-20,4.625832565172108e-49,1.320632393648373e-30,1.2777272808114988e-37,1.5183594335509637e-42,5.066899652297423e-70,1.4020709719408105e-98,2.991885486007059e-47,4.8109840241134375e-26,1.018994887274349e-33,8.111799675709975e-67,7.56408613776972e-50,7.071401422564163e-90,2.239701496255834e-78,8.404805054544294e-75,2.7433735450708137e-64,5.750786213408668e-82,4.916855467489788e-37,3.08191330260426e-92,2.1752467011110412e-51,1.514734980069242e-106,5.202639691526703e-73,4.628905256750766e-73,2.7869575269903133e-77,6.518318833377656e-73,5.3851458401604584e-86,9.957591592934626e-94,3.880288583009831e-94,2.019389749145111e-105,7.97483736160589e-119,1.4688536082733312e-120,5.572693811018474e-107
9.030806976152884e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999944,0.11866996602996488,0.02282156769305428,3.2644564458054563e-107,4.615912379724586e-48,4.076277474387712e-32,1.5853889171200246e-72,3.107928926279231e-48,1.211481854682859e-56,7.970403313179787e-18,1.3149536684648095e-94,7.970403313179572e-18,3.478690524442495e-64,5.420193889749848e-62,5.392900643970075e-75,3.0208549990019737e-95,1.4682769514704758e-33,1.6218086778503295e-75,4.3528560578620744e-16,1.2888033140934532e-17,5.159511834106451e-20,1.2364381115091249e-33,4.578318660940113e-33,5.1595118330247804e-20,3.7461191433411314e-48,5.338206767574607e-30,1.0347365644229187e-36,1.231715720196855e-41,1.656712111152123e-68,1.8470118501971349e-96,2.422906436778731e-46,9.689728460262557e-26,4.1189402573389356e-33,2.6478262293579876e-65,6.125593066168178e-49,4.588202177095121e-88,7.307037963982642e-77,2.7260774724553735e-73,4.4668726449587245e-63,3.7554832452391e-80,1.9874715937147055e-36,2.2958501501085834e-90,1.7615705689818199e-50,1.9793730263455588e-104,1.687463159630857e-71,3.0478785445988755e-71,9.039969533207258e-76,1.0508084938364227e-71,1.73671090638372e-84,7.417839492626734e-92,2.8905943395978044e-92,3.0078210938180237e-103,2.3753274219512844e-116,4.375021203650915e-118,8.300362028151368e-105
1.81247664486425e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799999,0.11866996602996444,0.022821567693054275,8.499351311239157e-105,3.7152878594251457e-47,1.6390532448260372e-31,5.107622024724011e-71,2.5066572714894583e-47,1.9510528785797775e-55,1.599654371246588e-17,8.520752686094845e-93,1.599654371246501e-17,5.614652074895562e-63,8.753627608471296e-61,1.7373936392032118e-73,1.9466576339247498e-93,5.903877044704369e-33,6.553207652761566e-74,8.736151668576011e-16,2.5866192387749685e-17,1.0355104171640011e-19,4.9716632653592834e-33,1.8409217972268373e-32,1.035510416729066e-19,3.0152025903638773e-47,2.1464690459743795e-29,8.328458221381212e-36,9.947868137537358e-41,5.3722517376886126e-67,2.4043332642499047e-94,1.9501658889640794e-45,1.944721755511336e-25,1.656207761486043e-32,8.557314964565449e-64,4.930410213602265e-48,2.956665840911864e-86,2.360905066966945e-75,8.782415904205331e-72,7.209550458000706e-62,2.4277977973097465e-78,7.991535866150724e-36,1.8534109740840766e-88,1.4178642705072829e-49,2.5598899707264518e-102,5.4363837820879187e-70,1.9784033201235063e-69,2.9124318515540484e-74,1.687594885191869e-70,5.579092106006423e-83,5.988328631004941e-90,2.333540495519072e-90,4.853826014346665e-101,7.66431246783129e-114,1.4116592627126037e-115,1.3394584279572832e-102
3.631268539362174e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999981,0.11866996602996355,0.02282156769305426,2.205223530347628e-102,2.981284528011127e-46,6.5733366001989675e-31,1.6400025105370683e-69,2.0134834383109572e-46,3.1318677880353545e-54,3.204882451103853e-17,5.487141885996243e-91,3.204882451103505e-17,9.022620540494909e-62,1.4071200716125131e-59,5.578399292451473e-72,1.250168965416281e-91,2.3677187522875056e-32,2.95280609207182e-72,1.7502742890002915e-15,5.182251088137986e-17,2.0746288849990645e-19,1.9938593320862489e-32,7.382919777992765e-32,2.0746288832547794e-19,2.41951018601976e-46,8.608297561535686e-29,6.683060246366585e-35,8.037020712071608e-40,1.7392413121798323e-65,3.1190740237030464e-92,1.5648853096161648e-44,3.896219663502522e-25,6.642133878719928e-32,2.7519030458938744e-62,3.9563436890594627e-47,1.8988094281523912e-84,7.591345384540862e-74,2.819845837108852e-70,1.1585554040284554e-60,1.561609938443042e-76,3.2049633125042015e-35,1.6680991611742582e-86,1.1377452158142142e-48,3.2936728604470136e-100,1.7455065311124486e-68,1.2751320245121859e-67,9.351335440205126e-73,2.7051917284744834e-69,1.7888681182649401e-81,5.389590437757395e-88,2.100223337262481e-88,8.731436824924331e-99,2.7565498165990647e-111,5.077179592050883e-113,2.4095211916709723e-100
