Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),CO2X(24),H2X(49),CH3X(55),C2H4(47),O(29),COX(50),OH(D)X(68),CH4OX(63),CHOX(53),C2H6X(52),C2H4X(215),acetyl(44),C2H4X(70),C2H3X(214),C2H2X(254),C2HX(261),C2H3X(69),C2H3(46),C2H2(288),C2H2(308),C2H2X(309)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.546133313107214e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-4.5325871373177994e-122,7.007887284833158e-54,4.254334705500762e-36,8.532378263373849e-89,3.158501459493425e-54,4.156528762724869e-132,6.660061068662942e-20,-1.971793803766987e-105,6.660061068662938e-20,5.456812246240789e-72,4.933812230276869e-70,2.2911324412157115e-112,2.656562839004362e-113,1.532413245423427e-37,3.0794016996663647e-85,3.637242185790534e-18,1.076922765396836e-19,4.311282948411759e-22,1.2904473760966069e-37,4.77830572180364e-37,4.311282948400469e-22,5.687365480336961e-54,5.5713878179318165e-34,1.5709394377804084e-42,1.8636949315505442e-47,3.3699302239820594e-78,-1.5511537612652103e-109,3.678461334030115e-52,4.298861057522507e-37,5.40387778542237e-75,8.09672732767874e-28,4.0348998599906513e-106,9.299887485874736e-55,1.0700169303943796e-86,-3.056001748115203e-109,7.0711196321252266e-71,1.2525108850813023e-91,-4.397909510985788e-124,7.137437783038895e-102,1.0523826545751542e-82,-3.224528934011296e-90,5.949604704844989e-103,2.3060898642517332e-103,8.986404079659143e-104,1.541440103964198e-116,2.0134416719998995e-131,3.70847821753075e-133
2.11291732767002e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,8.211834519846933e-120,8.319763784582242e-53,2.569618162133328e-35,9.428949905136205e-87,4.773127398294649e-53,1.4998647618924934e-129,1.8648170992256243e-19,3.8065754421210107e-104,1.8648170992256226e-19,1.5389083601681754e-70,1.5512695012790603e-68,4.5802985176915207e-110,5.310845682570972e-111,9.255776002357583e-37,1.6019574856135106e-83,1.0184278120213494e-17,3.0153837431111406e-19,1.2071592255571239e-21,7.794302151601177e-37,2.8860966559658778e-36,1.2071592255503053e-21,6.752040298210089e-53,3.365118232864741e-33,1.8650192948348423e-41,2.2126832099042716e-46,2.0501883205538152e-76,1.5698816163166303e-107,4.3670692957774517e-51,2.5965120787384827e-36,3.2874425561375155e-73,2.2670836522465483e-27,8.066336766587819e-104,1.1040826423211826e-53,6.162749651204122e-85,3.092898385696967e-107,1.994168871234989e-69,1.384059393758004e-89,8.120881974535512e-122,6.754805575918556e-100,8.120656001994805e-81,6.147376134008764e-78,2.9409369409680157e-92,2.182462271215266e-101,8.504650300836367e-102,2.641262968311724e-114,6.230205144818017e-129,1.1475167317601414e-130
4.8295253203886174e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,3.466908761397239e-117,8.168393419289313e-52,1.237160532375923e-34,8.531456089604657e-85,5.134712644320164e-52,5.431191880402066e-127,4.262439083944285e-19,4.019341762244501e-102,4.262439083944278e-19,3.3474618225122825e-69,3.4607969217659334e-67,8.292988326917664e-108,9.615701046878728e-109,4.456257717691452e-36,7.064959224459235e-82,2.327834998905939e-17,6.89230569853975e-19,2.7592210869963453e-21,3.752620969655434e-36,1.389531303895217e-35,2.759221086963516e-21,6.6291932037383025e-52,1.6201595637054584e-32,1.8310869910128625e-40,2.1726470324323758e-45,9.256460059366346e-75,3.287900721711259e-105,4.287614530997886e-50,1.2501087955198768e-35,1.4841087032332496e-71,5.1819054931899045e-27,1.4604732942117295e-101,1.0839948853477746e-52,2.7636356098994604e-83,6.477649478428844e-105,4.337752875273629e-68,1.2521928597214181e-87,3.385350342247081e-119,5.962606983489689e-98,8.850288058076452e-79,1.1855653879580574e-76,1.1637707640616634e-90,1.9265047135969954e-99,7.507231216857024e-100,4.662194616639054e-112,2.1985570324612393e-126,4.049434845026045e-128
1.0262741305825812e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.1153545671601594e-114,7.224851475355934e-51,5.403005076154418e-34,6.4580278456906346e-83,4.71968555317387e-51,1.647157054973011e-124,9.05768305338161e-19,3.176954683971218e-100,9.057683053381581e-19,6.205630063033712e-68,6.481689620519056e-66,1.256861861593988e-105,1.4573284613294914e-106,1.9461648216878822e-35,2.6822726004822954e-80,4.946649372675111e-17,1.464614960939697e-18,5.86334480990409e-21,1.638868167608075e-35,6.068448266636047e-35,5.8633448097607165e-21,5.863446315309023e-51,7.075662386699234e-32,1.6195756856797293e-39,1.9220757890784358e-44,3.49576871319226e-73,5.284903985229587e-103,3.7923464970416915e-49,5.459553542974347e-35,5.60371200452712e-70,1.1011549183020638e-26,2.2134520283841163e-99,9.587812002315938e-52,1.0397487879397074e-81,1.0412040518207418e-102,8.041462778688645e-67,9.476784225236058e-86,1.0898766488526311e-116,4.535845827959051e-96,7.240084996727263e-77,2.0295122722384552e-75,4.0000945179242784e-89,1.4655214396066146e-97,5.71086497882433e-98,7.099641690455385e-110,6.6989848042874206e-124,1.2338593947262275e-125
2.1129173276700201e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,3.1917941096598204e-112,6.072922995174305e-50,2.255648261008107e-33,4.488346695540563e-81,4.0377903571897447e-50,4.5832074716633275e-122,1.864817099225628e-18,2.2517129701399203e-98,1.864817099225616e-18,1.0665892532993015e-66,1.1195506936713279e-64,1.7480860584306386e-103,2.026901796960077e-104,8.124855027236177e-35,9.600384958677122e-79,1.0184278120213419e-16,3.01538374311114e-18,1.2071592255836784e-20,6.841951987752657e-35,2.5334576936511705e-34,1.207159225523823e-20,4.928579926869535e-50,2.9539496932006967e-31,1.3613509144497304e-38,1.616283487542217e-43,1.2133343792674774e-71,7.558938110893116e-101,3.187695736888729e-48,2.2792561326271187e-34,1.9441879622180916e-68,2.26708365944582e-26,3.07854407075488e-97,8.059133696838871e-51,3.600319941468445e-80,1.4892223219768818e-100,1.3821219913914358e-65,6.583752275474272e-84,3.1201932317120177e-114,3.249613894855796e-94,5.210741537468025e-75,3.3504076244959617e-74,1.322283346872347e-87,1.0499428368503089e-95,4.091432315300302e-96,1.0176979664333745e-107,1.9209275721672512e-121,3.538080173140353e-123
4.286203721844897e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996512,0.022821567693054285,8.637677508522993e-110,4.97894918229127e-49,9.215059146786436e-33,2.9938605546560903e-79,3.3385231505297735e-49,1.2234154331985824e-119,3.7829146870005684e-18,1.5152996034311126e-96,3.782914687000519e-18,1.7677934673850486e-65,1.860150221712216e-63,2.3327642187872138e-101,2.7048347900881475e-102,3.319268386117948e-34,3.4246949835393294e-77,2.0659535615289896e-16,6.116921307454026e-18,2.4488087148170992e-20,2.795160634256511e-34,1.0350001325239678e-33,2.4488087145725708e-20,4.0407475958268555e-49,1.2067847786547907e-30,1.1161176697905947e-37,1.3262140726397307e-42,4.0441729363936135e-70,1.0225991063547817e-98,2.613465557741418e-47,9.311505004432254e-34,6.474957307077339e-67,4.59894115444377e-26,4.108217338257915e-95,6.607364716823627e-50,1.1978491220863086e-78,2.0146710975065265e-98,2.2907658406971698e-64,4.388042781495864e-82,8.445682776510263e-112,2.3185706149130035e-92,3.532009990079595e-73,5.44291251817451e-73,4.29850181712148e-86,7.491248777407841e-94,2.919200574971708e-94,1.4522828161031985e-105,5.482522311502016e-119,1.0098040015696774e-120
8.632776510194654e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996491,0.02282156769305428,2.2758218956662268e-107,4.0320821362710713e-48,3.7248742437876154e-32,1.958235642397888e-77,2.7148315812151022e-48,3.2015881560726356e-117,7.619109862550473e-18,9.942434946816128e-95,7.619109862550276e-18,2.8783933910773203e-64,3.0325143386758705e-62,3.052106245316502e-99,3.538910228807893e-100,1.3417013522048023e-33,1.2714325767207574e-75,4.161005060544229e-16,1.2319996436139787e-17,4.932107693471468e-20,1.1298486190296467e-33,4.1836360177716384e-33,4.932107692483044e-20,3.272302165782869e-48,4.8780165706846195e-30,9.0386093036171e-37,1.0757634968761246e-41,1.322215544211393e-68,1.3470168073281827e-96,2.1164521676138137e-46,3.7638592006950424e-33,2.1135336866859442e-65,9.26265619528142e-26,5.375046347812231e-93,5.3508152548682114e-49,3.90798908895516e-77,2.6538218221593876e-96,3.729918329278251e-63,2.8655597013247382e-80,2.225459465678305e-109,1.7206154443895244e-90,2.3256335901888256e-71,8.774438448766899e-72,1.3862674706528272e-84,5.5592692718559026e-92,2.166344028535848e-92,2.1549015291343352e-103,1.6267785236303906e-116,2.9962987285994403e-118
1.7325922086894167e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999905,0.11866996602996448,0.022821567693054275,5.924469332471084e-105,3.245370487256427e-47,1.4977555512667635e-31,1.2699828806858897e-75,2.1896100217679463e-47,8.306187809185707e-115,1.529150021365039e-17,6.442549880956672e-93,1.52915002136496e-17,4.6457385379709463e-63,4.8975187559590656e-61,3.9590543729365327e-97,4.590514513675118e-98,5.394922127049573e-33,5.109884166997915e-74,8.351108058574487e-16,2.472614669351128e-17,9.898705651530319e-20,4.543071603683148e-33,1.6822216423063813e-32,9.898705647555911e-20,2.6338334656308397e-47,1.9614286445355586e-29,7.275057564372701e-36,8.687028080456715e-41,4.286940699677753e-67,1.7532108767851512e-94,1.703504832130798e-45,1.5134312303421703e-32,6.830574234423216e-64,1.8590086480323716e-25,6.972267357425501e-91,4.30680162701854e-48,1.2626718632860242e-75,3.4540840458780566e-94,6.020103221323812e-62,1.8524911823984994e-78,5.793601283369248e-107,1.3815992748020394e-88,1.5095881347295173e-69,1.4091718623172856e-70,4.453305009722215e-83,4.463915778000739e-90,1.739505107079392e-90,3.4588605709408115e-101,5.220994530097005e-114,9.616342391643206e-116
3.471221324029319e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999816,0.11866996602996363,0.02282156769305426,1.5367035623471708e-102,2.604205430960842e-46,6.006669651586678e-31,8.220858599125563e-74,1.7588138455687903e-46,2.150754460177738e-112,3.0636280915850644e-17,4.148821773937272e-91,3.0636280915847464e-17,7.465577112187592e-62,7.872618358624088e-60,5.1256302597593447e-95,5.943156592821089e-96,2.1636050667391645e-32,2.2883066380517374e-72,1.6731314054634122e-15,4.9538447208254144e-17,1.9831901570648472e-19,1.8219749062088392e-32,6.746461176545113e-32,1.9831901554709312e-19,2.113485481131858e-46,7.866203213451327e-29,5.837773049692102e-35,7.016287246156262e-40,1.3874713946340893e-65,2.27372918142592e-92,1.3669553455329915e-44,6.069536130704609e-32,2.1966093898652504e-62,3.72449478638763e-25,9.026717284433484e-89,3.4559370719782014e-47,4.0600439019104824e-74,4.4795818500190285e-92,9.674144262541376e-61,1.1915608045422404e-76,1.5027612614141487e-104,1.2358201333425276e-86,9.72968562113138e-68,2.25888344918763e-69,1.427890249303969e-81,3.9929067304774286e-88,1.5559616255873882e-88,6.1838374397209065e-99,1.8662491234959003e-111,3.437370115992e-113
