Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),acetyl(44),C2H4X(215),C2H6X(52),C2H4X(70),CH4OX(63),C2H3X(214),C2H2X(254),C2HX(261),C2H3X(69),C2H3(46),C2H2(288),C2H2(308),C2H2X(309)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.402384275428015e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,6.614980491803893e-54,4.0937937732173726e-36,7.602432588116337e-89,2.981415751848379e-54,3.563752818929363e-132,6.533191143393787e-20,-1.7568894001612176e-105,6.533191143393785e-20,5.052747829360105e-72,1.2689952993498048e-70,2.002533662194524e-112,2.321933213087588e-113,1.4745863305017774e-37,2.7968273343306393e-85,3.567955036687906e-18,1.0564080720092004e-19,4.2291557517027796e-22,1.2417512486849916e-37,4.597992298339462e-37,4.2291557516919166e-22,5.36849554975886e-54,5.361146768486635e-34,1.4828625679950557e-42,1.7592025327120994e-47,3.0609499797509745e-78,3.4722233642551206e-52,4.136639885540685e-37,4.908415113641482e-75,3.5266502485242513e-106,7.9424898243604295e-28,-2.671057448380754e-109,-3.7707094818519867e-124,1.1160006006738736e-91,6.547519460098683e-71,6.3589996212285856e-102,2.6996980870347364e-87,9.376842059397336e-83,-1.6077400949764735e-90,5.233144414815817e-103,2.054578270107153e-103,8.006310089941134e-104,1.3471633858557804e-116,1.72615512884793e-131,3.179336548176419e-133
2.0726675971198443e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,7.853304839895753e-53,2.472651439033552e-35,8.401279328331441e-87,4.50551547725094e-53,1.2859631014555673e-129,1.8292935201502605e-19,3.391699447443925e-104,1.8292935201502592e-19,1.4249557297269651e-70,3.989924269435781e-69,4.003345154050877e-110,4.641869573590247e-111,8.906501436230753e-37,1.4548201589810406e-83,9.990274102726133e-18,2.957942601625761e-19,1.1841636104785407e-21,7.500177541967383e-37,2.7771873481937112e-36,1.1841636104719792e-21,6.373477916577558e-53,3.238132639513761e-33,1.7604544354475997e-41,2.0886220895636886e-46,1.862210171679176e-76,4.122223578059327e-51,2.498530490861749e-36,2.986028435423589e-73,7.050267592981957e-104,2.223897151298686e-27,2.7033040433154827e-107,6.962730717544181e-122,1.2332117295744921e-89,1.8465052453148738e-69,6.017536922563483e-100,1.554887877046291e-85,7.235591391018888e-81,5.692177047647607e-78,2.6712927091550132e-92,1.9442524513101795e-101,7.576390855879109e-102,2.308154857063952e-114,5.3407583859796946e-129,9.836930672011748e-131
4.73752593627393e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,7.710421261327745e-52,1.1904752292669993e-34,7.601589805250852e-85,4.846827951515944e-52,4.656619264571523e-127,4.1812423317720254e-19,3.581276517529375e-102,4.1812423317720187e-19,3.0995899609668226e-69,8.901301560125937e-68,7.248355453913738e-108,8.404451613674812e-109,4.288097049099194e-36,6.41485056058641e-82,2.2834912234802568e-17,6.761011660858882e-19,2.7066596811021155e-21,3.6110126310409973e-36,1.33709616035213e-35,2.7066596810705253e-21,6.2575184125008176e-52,1.5590214672976633e-32,1.728424592899033e-40,2.0508266845837753e-45,8.407735483145705e-75,4.0472235534242723e-50,1.2029348787079934e-35,1.3480359622982914e-71,1.2765036136655176e-101,5.083193490935034e-27,5.661687079585006e-105,2.902546584883833e-119,1.1157172368847013e-87,4.016552235168541e-68,5.310814705907232e-98,6.972769868435051e-84,7.885701361797062e-79,1.0977769935850866e-76,1.0570686889253988e-90,1.7159121156642087e-99,6.686590958838173e-100,4.0734555024949916e-112,1.8843331844933195e-126,3.470678424193734e-128
1.0067242614582101e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,6.81978028800051e-51,5.1991180921450674e-34,5.754128121238191e-83,4.4550699223239935e-51,1.4122414302026597e-124,8.885139955015558e-19,2.8307006171769155e-100,8.88513995501553e-19,5.746117406177019e-68,1.6671152695315269e-66,1.0985360835082608e-105,1.2737500828164013e-106,1.8727246397372838e-35,2.4345679724243705e-80,4.852418849895536e-17,1.4367149779325123e-18,5.751651822377461e-21,1.5770240856904808e-35,5.839450218839599e-35,5.751651822239497e-21,5.534704171353358e-51,6.808656261869439e-32,1.5287719587525745e-39,1.814297889271484e-44,3.175229567995265e-73,3.579723399714317e-49,5.253532654561875e-35,5.0899272336903516e-70,1.9346254322741433e-99,1.080178617785198e-26,9.100444498590187e-103,9.34439683685627e-117,8.44391615145794e-86,7.446010924659933e-67,4.038559792243672e-96,2.6233302947824277e-82,6.450993206799454e-77,1.879231549751597e-75,3.633339822267033e-89,1.3048494558872588e-97,5.084756086723608e-98,6.200873179464064e-110,5.739487012401477e-124,1.0571333087099758e-125
2.0726675971198443e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,0.0,5.73243625481848e-50,2.1705294587029535e-33,3.999103996028858e-81,3.811406113881684e-50,3.929525954041106e-122,1.8292935201502644e-18,2.006300349967033e-98,1.8292935201502528e-18,9.876107681849744e-67,2.8795270455778757e-65,1.527869594950872e-103,1.7715613099204077e-104,7.818256724320665e-35,8.707817946940776e-79,9.990274102726059e-17,2.95794260162576e-18,1.1841636105040934e-20,6.583765119272687e-35,2.4378555165332174e-34,1.1841636104464966e-20,4.65225234635641e-50,2.8424798959538873e-31,1.2850249133070537e-38,1.5256405770164026e-43,1.1020710743518278e-71,3.0089732120744565e-48,2.1932464672463553e-34,1.7659321630441949e-68,2.69072215280289e-97,2.223897158226287e-26,1.301616267169072e-100,2.675174466514256e-114,5.866193730092879e-84,1.2797790315447546e-65,2.891370884485373e-94,9.08375992587501e-81,4.642826472685998e-75,3.1023176368394457e-74,1.2010477960997158e-87,9.341953373542212e-96,3.6403857980679625e-96,8.882601413137462e-108,1.644676332450139e-121,3.029263990676721e-123
4.2045542684431127e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996512,0.022821567693054285,0.0,4.699797581182865e-49,8.867321065751355e-33,2.6674804995070115e-79,3.1513442803209496e-49,1.0489095044135672e-119,3.710852569447687e-18,1.3501481605268463e-96,3.7108525694476395e-18,1.6368924203164304e-65,4.784377252365611e-64,2.0388615377855952e-101,2.364055301930011e-102,3.194012975320272e-34,3.1024712701105014e-77,2.0265984608386974e-16,6.000397849012254e-18,2.4021604670819008e-20,2.689682873638951e-34,9.959435237502648e-34,2.4021604668465994e-20,3.814197549791027e-49,1.161245732450541e-30,1.0535410070171546e-37,1.2518190321967117e-42,3.6732640592598e-70,2.4669380339255336e-47,8.960127457106601e-34,5.881291107903918e-67,3.5906270562576226e-95,4.5113342513392633e-26,1.7608442481021447e-98,7.241003893712279e-112,3.9097930785611075e-82,2.1211398902291287e-64,2.0604444520858884e-92,3.0222241434596465e-79,3.147058704002597e-73,5.039877356472194e-73,3.9043870445781924e-86,6.657249032072828e-94,2.594206357257373e-94,1.2660261503623756e-105,4.688359434876941e-119,8.635302966639847e-121
8.46832761108965e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996491,0.02282156769305428,0.0,3.806017932163336e-48,3.584312951549561e-32,1.7447026990102236e-77,2.5626208325497644e-48,2.7448360228336427e-117,7.473970668042557e-18,8.858815922743613e-95,7.473970668042368e-18,2.665254969808908e-64,7.7997424331133e-63,2.6674935869214564e-99,3.092952728800507e-100,1.291071112498336e-33,1.149487868284939e-75,4.081740561970827e-16,1.2085308343785235e-17,4.838154180417966e-20,1.0872128214094981e-33,4.0257629605036045e-33,4.8381541794668416e-20,3.0888360639510615e-48,4.69394049025377e-30,8.531847335423292e-37,1.0153860695330561e-41,1.2009125465683878e-68,1.997790379824045e-46,3.621826778036549e-33,1.91975117564407e-65,4.697707258463735e-93,9.086208486488407e-26,2.319398075745747e-96,1.907965542153133e-109,2.553244365760695e-80,3.453726441599731e-63,1.5259978775083825e-90,9.860022232108443e-78,2.072164426529735e-71,8.12471146920088e-72,1.2591652308549432e-84,4.930464349986778e-92,1.9213104241175218e-92,1.874781213014191e-103,1.3883586890402238e-116,2.5571627079862555e-118
1.6995874296382724e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999905,0.11866996602996449,0.022821567693054275,0.0,3.0634143485910704e-47,1.441236473844652e-31,1.131430983773773e-75,2.0668465387570558e-47,7.1207634429211165e-115,1.5000206865232398e-17,5.740380879914531e-93,1.500020686523164e-17,4.3017322667376397e-63,1.2596604854887251e-61,3.459943634182951e-97,4.0117967507100916e-98,5.1913401599860736e-33,4.606651760884827e-74,8.192024764234874e-16,2.4255129333331166e-17,9.710141607811904e-20,4.3716349339551326e-33,1.61874158033768e-32,9.710141603987473e-20,2.486163984325564e-47,1.8874124826119623e-29,6.867171559435933e-36,8.198958946272767e-41,3.8934097491598186e-67,1.6079955019414543e-45,1.456320617883869e-32,6.204302799464098e-64,6.09328637266418e-91,1.8235957152479466e-25,3.0186311379292714e-94,4.966760426518107e-107,1.6505894784105656e-78,5.57432840109156e-62,1.221853535498303e-88,3.1857746670022264e-76,1.3450591978816097e-69,1.304825934416759e-70,4.044994129554037e-83,3.947780933320238e-90,1.5383769400336384e-90,3.0007166760651834e-101,4.4432032342427915e-114,8.18375950581815e-116
3.405096766696887e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999982,0.11866996602996366,0.02282156769305426,0.0,2.4581970887858673e-46,5.7800028721545875e-31,7.323105850433315e-74,1.6602035398510528e-46,1.8435880164451443e-112,3.005267925961249e-17,3.6966445934219454e-91,3.005267925960943e-17,6.912768269423823e-62,2.0248674378087012e-60,4.478916491942009e-95,5.1932934544299534e-96,2.0819595925185608e-32,2.0561639777997523e-72,1.6412593168762117e-15,4.8594771312422916e-17,1.945411646548701e-19,1.7532211317995022e-32,6.491877735961896e-32,1.9454116450149327e-19,1.994990020099374e-46,7.569365463400203e-29,5.510470402027907e-35,6.621273755919902e-40,1.2599525827545505e-65,1.2903151229691328e-44,5.840497031492446e-32,1.9952099820116667e-62,7.887793474123252e-89,3.6535455267232675e-25,3.9143743076194044e-92,1.2881387120381858e-104,1.0616934434502733e-76,8.957796093584781e-61,1.0893367171430485e-86,1.0243662961538917e-74,8.669254217445357e-68,2.091618357315861e-69,1.2969681783244047e-81,3.5196221446362654e-88,1.371531408885877e-88,5.3471226938329205e-99,1.5830071360117912e-111,2.915677952135274e-113
