Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),H2OX(23),COX(50),CHOX(53),CH3X(55),C2H4X(215),C2H4X(70)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4731972664308945e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,1.4569217617476733e-65,3.130548317726716e-36,3.399642036691273e-89,1.9937203086309746e-54,1.2186602878524738e-132,5.713110174575015e-20,-7.856474705213681e-106,5.713110174575013e-20,2.9547206755652966e-72,1.3851956034534285e-71,7.83082818084913e-113,9.079826542242501e-114,5.085719766715948e-53,1.4294404068441372e-85,3.1200861683043408e-18,9.238020601909494e-20,3.698289420356468e-22,9.495744842000697e-38,3.5161118787468966e-37,3.698289420348163e-22,4.0997002419909595e-34,9.916134991684996e-43,1.1763988884381594e-47,1.565270596080498e-78,2.3219310578303035e-52,2.5100217835325735e-75,3.589998307039112e-54,1.3790824107805456e-106,-1.0445061364231309e-109,3.1633129933052615e-37,4.990543548642755e-92,2.842080752786664e-102
1.8124952346006505e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,3.259136552781844e-64,1.8908511839137965e-35,3.7568475681516227e-87,3.0129101020939697e-53,4.3974524156532336e-130,1.5996708488810046e-19,1.5167032324556534e-104,1.5996708488810034e-19,8.332784984883692e-71,4.355276622329065e-70,1.5654833540246768e-110,1.8151742039311888e-111,6.037766506797569e-52,7.430952994541632e-84,8.736241271252152e-18,2.586645768534658e-19,1.0355210377011589e-21,5.735429884311581e-37,2.123731574760903e-36,1.0355210376961415e-21,2.4762189403766986e-33,1.1772435431274942e-41,1.3966773915529544e-46,9.522684663594383e-77,2.756596551865286e-51,1.5269687360264145e-73,4.262045989926756e-53,2.756963258599045e-104,1.0571099253612884e-107,1.9106410479531515e-36,5.514689543812251e-90,2.687843549532758e-100
4.142846250515773e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,6.439558416774105e-63,9.10363450805219e-35,3.399204125807259e-85,3.2411511989237135e-52,1.5923482752922673e-127,3.6563905117280115e-19,1.601478484869075e-102,3.656390511728006e-19,1.812562743383348e-69,9.716382561046922e-69,2.8343898481373152e-108,3.286468248284115e-109,5.927914959316529e-51,3.2726099819709184e-82,1.9968551477147755e-17,5.912333185222075e-19,2.3669052290375734e-21,2.7613625996685392e-36,1.0224853343362635e-35,2.366905229013416e-21,1.1921928216922106e-32,1.155824685066223e-40,1.371386101079984e-45,4.2993655909521443e-75,2.706442841035365e-50,6.893466742301019e-72,4.184502026095545e-52,4.991626804428843e-102,2.2139397442380565e-105,9.198914184483297e-36,4.989276405205308e-88,2.3693110728877814e-98
8.803548282346017e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,1.1458894099269979e-61,3.9757963636192586e-34,2.5730109526040927e-83,2.9791763528242793e-51,4.82909371801313e-125,7.769829837422029e-19,1.2658352721855332e-100,7.769829837422009e-19,3.3601858503521867e-68,1.8197709200591786e-67,4.2955992892327776e-106,4.9807370996166665e-107,5.243173649081555e-50,1.23909559561885e-80,4.24331718889389e-17,1.256370801859691e-18,5.029673611731964e-21,1.2059595945359831e-35,4.4654620859741075e-35,5.0296736116264624e-21,5.206619217647996e-32,1.0223138330171392e-39,1.213188867124722e-44,1.6236397513528176e-73,2.393818043440293e-49,2.6028418487262113e-70,3.7011446533876286e-51,7.564953906104263e-100,3.558539496499258e-103,4.0174075014476655e-35,3.7759595618357446e-86,1.7975054374559577e-96
1.8124952346006506e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,0.0,1.9327135537946252e-60,1.6598167181544004e-33,1.7881477182013318e-81,2.548748092265023e-50,1.3436172167399824e-122,1.5996708488810075e-18,8.971792121542506e-99,1.599670848880999e-18,5.775300945494441e-67,3.1432017181469265e-66,5.974126229268142e-104,6.926985071071439e-105,4.407203375395288e-49,4.412132093813329e-79,8.736241271252093e-17,2.5866457685346573e-18,1.035521037720699e-20,5.034643911645817e-35,1.864242518080599e-34,1.0355210376766545e-20,2.1736609875911377e-31,8.593163561223876e-39,1.0201173254059264e-43,5.635112198538895e-72,2.012148303926881e-48,9.030467312664928e-69,3.111035090662156e-50,1.0520997539596172e-97,5.0894476919481954e-101,1.6771885490054344e-34,2.623250868448359e-84,1.2812019303121942e-94
3.676776047332748e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,0.0,3.1744907068904748e-59,6.780892878938994e-33,1.1926119802477386e-79,2.1073542106366452e-49,3.5861701335751546e-120,3.2450465791586213e-18,6.037604803148048e-97,3.245046579158586e-18,9.57213777659809e-66,5.222476661308229e-65,7.971374746295838e-102,9.242789948538436e-103,3.613291596587603e-48,1.5593250862805274e-77,1.7722089435968398e-16,5.2471957018845895e-18,2.1006283908502028e-20,2.05681631272315e-34,7.616038973578415e-34,2.1006283906702662e-20,8.880114028796556e-31,7.045194343833796e-38,8.369425161127333e-43,1.8780277033197306e-70,1.6496807485343832e-47,3.007522517532553e-67,2.5506145261721233e-49,1.4038339812782923e-95,6.884393410145379e-99,6.8518624756377975e-34,1.7483855164285292e-82,9.057052117305905e-93
7.405337672796944e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.02282156769305428,0.0,5.145988555088678e-58,2.740945319155458e-32,7.798911182066551e-78,1.7136654460331156e-48,9.38262587179263e-118,6.535798039713869e-18,3.961493347849187e-95,6.535798039713724e-18,1.5585744954363517e-64,8.513955030101024e-64,1.04271071779268e-99,1.2090205828061795e-100,2.9261372116585154e-47,5.700594458512647e-76,3.5693785765400604e-16,1.0568295568584446e-17,4.230843097247202e-20,8.313980379970472e-34,3.0785247229971493e-33,4.230843096519871e-20,3.589483785351478e-30,5.705380519148185e-37,6.787312603596098e-42,6.138682610262707e-69,1.3359542411789057e-46,9.817053529871953e-66,2.0655537692410527e-48,1.8363115332007383e-93,9.066388360666996e-97,2.769632364348923e-33,1.1417626038749443e-80,6.619064187223323e-91
1.4862460923725334e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,8.287457770099631e-57,1.1021220579895404e-31,5.055575651164286e-76,1.3821332640143263e-47,2.4331313075642496e-115,1.3117300960824443e-17,2.566988733961713e-93,1.311730096082386e-17,2.5155455193166623e-63,1.3750060073930612e-62,1.3519484826644833e-97,1.5675810313490235e-98,2.355209789415603e-46,2.2409257242533417e-74,7.163717842426338e-16,2.1210495301984136e-17,8.491272510593169e-20,3.343014934365605e-33,1.2378612511852097e-32,8.491272507668605e-20,1.4433154130495614e-29,4.592185762437143e-36,5.478369127817627e-41,1.989402120776426e-67,1.0752921989410004e-45,3.172701495805903e-64,1.6625373674498666e-47,2.3809082887557665e-91,1.1795012533138854e-94,1.1136569922907972e-32,7.381124244083703e-79,5.198942829218992e-89
2.9776707425582117e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996387,0.022821567693054264,0.0,1.330320653385289e-55,4.420002390862871e-31,3.269646784838468e-74,1.1102046012787334e-46,6.294594975178786e-113,2.6280306803045897e-17,1.6530688857241932e-91,2.6280306803043574e-17,4.042414117846734e-62,2.2102819849132606e-61,1.7487525641103538e-95,2.0276744144048e-96,1.889907519303771e-45,9.776322115246503e-73,1.4352396374198242e-15,4.2494894768783434e-17,1.7012131339492982e-19,1.3406985004915257e-32,4.964377263520614e-32,1.701213132776417e-19,5.788338500781298e-29,3.6849385265042953e-35,4.420680180891504e-40,6.432903243476673e-66,8.628542705108637e-45,1.0202928878249754e-62,1.3340815261640741e-46,3.07971755392072e-89,1.5283132351149207e-92,4.466262633321373e-32,4.74769269883401e-77,4.5304456105090085e-87
5.960520042929568e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999694,0.1186699660299624,0.022821567693054243,0.0,2.131981885381665e-54,1.7703064191019758e-30,2.1206630936120115e-72,8.899664036752101e-46,1.6329932889608116e-110,5.2606318487490045e-17,1.0612386426680579e-89,5.260631848748074e-17,6.481927724360657e-61,3.544690630011407e-60,2.2684002342958436e-93,2.6302046445401805e-94,1.514225814910947e-44,4.785915295853283e-71,2.8729753437739453e-15,8.50636937023817e-17,3.4053849006124133e-19,5.369786982635403e-32,1.988340310272014e-31,3.405384895914769e-19,2.31835310440489e-28,2.952432849403768e-34,3.58139792192182e-39,2.0862546540238338e-64,6.913334190514083e-44,3.2730046661287524e-61,1.0688886432087793e-45,3.994865918437147e-87,1.984281701736506e-90,1.7888346427243694e-31,3.046152307019156e-75,4.4300846112337404e-85
1.1926218643672281e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799994,0.11866996602995947,0.022821567693054202,0.0,3.413948799376923e-53,7.085839242104516e-30,1.3881907794005681e-70,7.126949174307906e-45,4.275390017001176e-108,1.0525834185638329e-16,6.802424810712593e-88,1.0525834185634604e-16,1.0382349313001278e-59,5.678105115250787e-59,2.969588937311945e-91,3.443231267445816e-92,1.2123013384136015e-43,2.5906912922298746e-69,5.748446756481146e-15,1.7020129156957685e-16,6.813728437471264e-19,2.149314147433041e-31,7.958543000940255e-31,6.813728418668432e-19,9.279442394591384e-28,2.3637380414972017e-33,2.9305027024797276e-38,6.829316633995481e-63,5.534870965776245e-43,1.0486530531634852e-59,8.557608234069999e-45,5.229725093830365e-85,2.599155110036656e-88,7.16000040192218e-31,1.9519803801969135e-73,4.7914017452766455e-83
