Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),H2OX(23),CHOX(53),acetyl(44),CO2X(24),C2H4X(215),C2H4X(70),HOCO(73)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.797054721625676e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-1.9638766289083388e-122,5.1212501180568344e-54,3.451630044084022e-36,4.556648777202309e-89,2.308181544462118e-54,1.8009382837061667e-132,5.998939808609187e-20,-1.0530264656190852e-105,5.998939808609184e-20,3.591899580196632e-72,2.2330724892993162e-71,1.1021023841456428e-112,1.277885200274874e-113,1.2432786708152212e-37,1.8249787313229768e-85,3.276185716157702e-18,9.700203619054117e-20,3.883316780246001e-22,1.0469667388828235e-37,3.876738604482683e-37,3.883316780236843e-22,4.5201825705312225e-34,1.148017006690076e-42,1.3619507351815644e-47,1.998021098136743e-78,2.6881597513617713e-52,3.4877551976133046e-37,3.203959247728052e-75,1.9409060233660508e-106,7.292993169851592e-28,4.156234246904164e-54,-1.470027113047273e-109,-1.9055235879700743e-124,-7.461507796745576e-110,6.688970289034386e-92,3.810044874856342e-102,-6.233403830760591e-147
1.9031753220551894e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.558002044540682e-120,6.079948140175661e-53,2.0847845466346925e-35,5.03543269810685e-87,3.488123919651331e-53,6.498575524796087e-130,1.6797031464105727e-19,2.032882129562082e-104,1.6797031464105715e-19,1.0129731435102404e-70,7.021137194350669e-70,2.2032488596162628e-110,2.5546620266184288e-111,7.509403171723936e-37,9.489181377819212e-84,9.173320005241563e-18,2.7160570133351527e-19,1.0873286984703664e-21,6.323679101583623e-37,2.3415501171049684e-36,1.0873286984648342e-21,2.7301902659024398e-33,1.362925786591761e-41,1.6169767564077069e-46,1.2155446362990761e-76,3.191383256827819e-51,2.1066041393547007e-36,1.9491247583178385e-73,3.880128601580417e-104,2.042038087961268e-27,4.934281296999507e-53,1.4877685512382712e-107,3.518594675978915e-122,7.551559109336208e-108,7.391498370450003e-90,3.6040363829289014e-100,2.944059995384006e-144
4.350115021840433e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.5021183360119231e-117,5.969329137664669e-52,1.0037340168315468e-34,4.556090333326064e-85,3.7523645384647016e-52,2.353189676225605e-127,3.839321477509882e-19,2.1465089000141524e-102,3.8393214775098756e-19,2.203437846323009e-69,1.5663770846997332e-68,3.989114822865045e-108,4.625369537039452e-109,3.6154543747306625e-36,4.180830375715843e-82,2.096758858340927e-17,6.208130316194635e-19,2.4853227393678413e-21,3.0445792747682974e-36,1.1273555861797049e-35,2.4853227393412066e-21,1.314469081462851e-32,1.3381286113707898e-40,1.5877031920868717e-45,5.488046176216788e-75,3.1333190062217625e-50,1.0142392114603455e-35,8.799280808642943e-72,7.02520664044871e-102,4.667515631524772e-27,4.844506635323625e-52,3.1158954386555614e-105,1.4667813595663408e-119,1.5815543732905731e-105,6.687271897286688e-88,3.1782657415333584e-98,2.9081736722961417e-141
9.24399442141092e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,4.832435168145395e-115,5.279804021832881e-51,4.383570156109808e-34,3.448739950104162e-83,3.44906948615303e-51,7.136548422168432e-125,8.158558139708502e-19,1.6966363915244117e-100,8.158558139708478e-19,4.084802416039799e-68,2.933650924899062e-67,6.0456699325044965e-106,7.009940495188421e-107,1.5789639119353304e-35,1.584276998998989e-80,4.455612573974461e-17,1.3192276921913602e-18,5.281310821186566e-21,1.3296477564147997e-35,4.923458027653125e-35,5.281310821070244e-21,5.740631760749158e-32,1.1835595888001586e-39,1.4045649017720062e-44,2.0725585929037343e-73,2.7713851773363404e-49,4.429449100910992e-35,3.322440967772385e-70,1.0646993742089077e-99,9.918470725096933e-27,4.284911253165788e-51,5.008326297399203e-103,4.7220490631229034e-117,2.542107242161314e-103,5.0610281328117066e-86,2.413202108998433e-96,2.0112151096828802e-138
1.9031753220551894e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,1.3828359418061068e-112,4.437993412525701e-50,1.8300542494841374e-33,2.39678826309204e-81,2.9507515607768403e-50,1.9856630894412957e-122,1.6797031464105755e-18,1.2025157889880083e-98,1.6797031464105661e-18,7.020731681569809e-67,5.06715242381127e-66,8.408189673792893e-104,9.749276745736132e-105,6.591863512662295e-35,5.650089862318406e-79,9.1733200052415e-17,2.716057013335153e-18,1.0873286984919104e-20,5.551017631859249e-35,2.055446808060823e-34,1.0873286984433486e-20,2.39660070545271e-31,9.948531254260224e-39,1.1810578276250724e-43,7.193284406392028e-72,2.3295162301054584e-48,1.849207805722459e-34,1.1527090875218771e-68,1.4807613355917262e-97,2.0420380938021862e-26,3.601726087692604e-50,7.163066345013355e-101,1.3518154638671299e-114,3.635802014329258e-101,3.516019229670333e-84,1.7227281507688411e-94,1.1903132042699886e-135
3.860727081883384e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,3.741952070577931e-110,3.638535132049989e-49,7.476368741625765e-33,1.5986020156604736e-79,2.43973845238651e-49,5.2999981371032386e-120,3.407397811290032e-18,8.092379989525711e-97,3.4073978112899926e-18,1.1636347886068573e-65,8.419149532884147e-65,1.1219569302744747e-101,1.3009065012017088e-102,2.6929913321325954e-34,2.0025231869323507e-77,1.8608734867775468e-16,5.509715655622736e-18,2.2057239312764546e-20,2.2677718201058797e-34,8.397170886549754e-34,2.2057239310780636e-20,9.790895463923217e-31,8.156406597286596e-38,9.690182153487551e-43,2.3974065559278462e-70,1.9098781489985542e-47,7.554617267797077e-34,3.839002356223772e-67,1.9758717476190288e-95,4.1424201466994137e-26,2.9529126441980223e-49,9.689669631142564e-99,3.6587797491771143e-112,4.918245720496888e-99,2.343411816575177e-82,1.2212711867211565e-92,6.5470904396463895e-133
7.775830601539774e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996495,0.02282156769305428,9.857585524393716e-108,2.9465800856407885e-48,3.0220677826092645e-32,1.0454539901824827e-77,1.983954791325567e-48,1.3867520436961089e-117,6.8627871410489665e-18,5.309706504813601e-95,6.8627871410488055e-18,1.8946776006074025e-64,1.372533860607696e-63,1.467697119979728e-99,1.7017914624278417e-100,1.0885501536749196e-33,7.355613473936046e-76,3.7479564592842957e-16,1.1097032940197895e-17,4.4425143969976876e-20,9.166696219699338e-34,3.3942707314276076e-33,4.442514396195759e-20,3.95763615847865e-30,6.605268900091134e-37,7.858952086868759e-42,7.836910202464991e-69,1.5466688421811801e-46,3.0536970873969727e-33,1.2531141909535325e-65,2.5847527610273836e-93,8.343184293742834e-26,2.3913452031254384e-48,1.2761669339288371e-96,9.639455652721113e-110,6.477519680694968e-97,1.5303375260188674e-80,8.967449471463103e-91,3.4769596827390963e-130
1.5606037640852552e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996456,0.022821567693054275,2.565337207384981e-105,2.3716640001013904e-47,1.2151601641657984e-31,6.777988638849981e-76,1.6001314128954737e-47,3.5966559004331776e-115,1.3773565800566918e-17,3.440610795394952e-93,1.3773565800566277e-17,3.058017286123771e-63,2.2166458458890654e-62,1.9032322561153078e-97,2.206793459156129e-98,4.3770122917517716e-33,2.911534031152801e-74,7.522122404297613e-16,2.227166750934819e-17,8.916095329048736e-20,3.685888182933481e-33,1.3648213324597705e-32,8.916095325824217e-20,1.5913478268270821e-29,5.316494039601791e-36,6.344227893645594e-41,2.540106974406121e-67,1.244893641637089e-45,1.2278781680461519e-32,4.0498477677578025e-64,3.3517711259342386e-91,1.674471275282554e-25,1.9247626367314444e-47,1.66047018959186e-94,2.5086766461053016e-107,8.428151590309365e-95,9.89313476905707e-79,7.092069884087901e-89,1.8167753223520793e-127
3.126645171947811e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.1186699660299638,0.022821567693054264,6.6498681150850235e-103,1.9031109987083237e-46,4.873335754503196e-31,4.384788157393624e-74,1.2853125697060662e-46,9.307177769577944e-113,2.759512311960316e-17,2.2156570375642334e-91,2.7595123119600587e-17,4.914151684043388e-62,3.563193440866827e-61,2.4625049482987365e-95,2.855268869741673e-96,1.755377695651947e-32,1.280762162255507e-72,1.5070454294323534e-15,4.46209366476487e-17,1.7863257195585164e-19,1.4782059762987496e-32,5.473543973604089e-32,1.7863257182653394e-19,6.382014398274626e-29,4.266150014166939e-35,5.1207895740146145e-40,8.215895770491148e-66,9.989487472345252e-45,4.924340634607593e-32,1.3023698591090952e-62,4.336702971989506e-89,3.3547770330974416e-25,1.5445007584183724e-46,2.1521030595294504e-92,6.5030196194950455e-105,1.0923563143151163e-92,6.36347002467488e-77,6.231523932944521e-87,9.436710855212341e-125
6.258727987672922e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999677,0.11866996602996226,0.022821567693054243,1.7276760071160603e-100,1.5248046842216148e-45,1.9518762222612707e-30,2.8454481289251617e-72,1.0303371143854115e-45,2.4158197265562855e-110,5.5238237757677016e-17,1.4224094878716196e-89,5.52382377576667e-17,7.879740945353407e-61,5.714392336800634e-60,3.19594113687805e-93,3.7056864568125384e-94,7.030666784050985e-32,6.319810840684343e-71,3.01671180743725e-15,8.931947492424932e-17,3.575758093839534e-19,5.920533862718334e-32,2.192272574161683e-31,3.575758088660079e-19,2.5561328901069724e-28,3.4181088484088867e-34,4.150849936753514e-39,2.6659267457763847e-64,8.003746130916825e-44,1.9723047753256785e-31,4.1778811984381296e-61,5.628353124927052e-87,6.715388812720604e-25,1.2374800356341072e-45,2.7956714161121163e-90,1.6894714624267222e-102,1.4190163234234915e-90,4.0828460129783043e-75,6.142108599227235e-85,4.907514883964578e-122
1.2522893619123145e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999366,0.11866996602995918,0.0228215676930542,4.53058995710036e-98,1.2207708959779864e-44,7.81259164151632e-30,1.8645567711732208e-70,8.251053316498031e-45,6.331416245278854e-108,1.1052446703383022e-16,9.117490828395662e-88,1.1052446703378887e-16,1.2621279728704042e-59,9.153667814647067e-59,4.188140524183959e-91,4.856139381766036e-92,2.8140989582630227e-31,3.4419794239823423e-69,6.036044563445896e-15,1.7871655147744906e-16,7.154622846296509e-19,2.369756221445708e-31,8.774803518600203e-31,7.154622825565179e-19,1.0231179344201914e-27,2.736561249040683e-33,3.400040948133741e-38,8.735925489746888e-63,6.407863537441751e-43,7.894359068251793e-31,1.338570520672518e-59,7.375709619787468e-85,1.3436613427940473e-24,9.907363660922826e-45,3.66576079886801e-88,4.430053146187171e-100,1.8606530587108858e-88,2.6162955565069992e-73,6.683936686568355e-83,2.57438049454874e-119
2.505122488202359e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998745,0.11866996602995303,0.022821567693054108,1.2121901537446091e-95,9.769877372999181e-44,3.126054306783266e-29,1.2468146328254537e-68,6.604186846998474e-44,1.6931179931778723e-105,2.2109692558615843e-16,5.839700624253717e-86,2.2109692558599292e-16,2.0205009184302977e-58,1.4654385729859837e-57,5.60029347434254e-89,6.4935275027920064e-90,1.1260061366690676e-30,2.0096728670293262e-67,1.2074710075458597e-14,3.5751070458384263e-16,1.4312352366790292e-18,9.482109561165374e-31,3.511064374319174e-30,1.431235228383786e-18,4.0937934543479466e-27,2.1900739956256102e-32,2.8440516281073024e-37,2.9217308591030048e-61,5.128238330366688e-42,3.1587719090775126e-30,4.2860555799684434e-58,9.862643850155006e-83,2.6879066882274395e-24,7.928900326116514e-44,4.904369164546354e-86,1.1851042296418745e-97,2.489341380874865e-86,1.6754739106432778e-71,7.800231917476743e-81,1.3771860513061015e-116
