Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),H2OX(23),CHOX(53),acetyl(44),CO2X(24),C2H4X(215),C2H4X(70)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.717554270695001e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-1.7874639635228042e-122,4.9436445721064605e-54,3.37135957794238e-36,4.246076478381004e-89,2.2281335211793132e-54,1.6391621699692547e-132,5.928774356156225e-20,-9.812547976789652e-106,5.928774356156224e-20,3.4267770692155505e-72,1.93614901916143e-71,1.0149732974387111e-112,1.1768592229991082e-113,1.2143652133544025e-37,1.720638832506907e-85,3.2378664363469204e-18,9.586747042136973e-20,3.837896308029656e-22,1.0226186749666432e-37,3.786581892750578e-37,3.837896308020711e-22,4.415062045766364e-34,1.108203644263629e-42,1.3147173858402494e-47,1.88387424959314e-78,2.594934060517433e-52,3.406644611622371e-37,3.020918929657481e-75,1.7874635014800767e-106,7.207692069672048e-28,4.012095562023364e-54,-1.3538109465474036e-109,-1.7343527076641437e-124,-6.871622179145508e-110,6.233066658156331e-92,3.550196740326326e-102
1.8809151957946003e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.2383894201390173e-120,5.869094836022523e-53,2.036301185084864e-35,4.6922251690160265e-87,3.3671553769433106e-53,5.914813507894309e-130,1.6600568197237432e-19,1.8943259213451052e-104,1.6600568197237423e-19,9.664059618790829e-71,6.087562327128987e-70,2.0290652888942645e-110,2.3526965737182243e-111,7.334765888660591e-37,8.946186898933974e-84,9.066026021771375e-18,2.684289171798353e-19,1.0746109662497552e-21,6.176616794269175e-37,2.287095463218866e-36,1.0746109662443519e-21,2.666697469176767e-33,1.3156593628915054e-41,1.5608981592746726e-46,1.1461000751592443e-76,3.080705716656909e-51,2.0576133454163065e-36,1.837772400835456e-73,3.573374940170936e-104,2.018153779901628e-27,4.763159849430144e-53,1.370149121841754e-107,3.2025220153208786e-122,6.95455087671311e-108,6.887712167569783e-90,3.3580645724710305e-100
4.299234733244801e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.3671827591274735e-117,5.762312113302262e-52,9.803913652771436e-35,4.245549598071098e-85,3.622232102409376e-52,2.141802226120991e-127,3.794415587939986e-19,2.0002081749684053e-102,3.7944155879399806e-19,2.1021440565383928e-69,1.3581016676320451e-68,3.673741123928146e-108,4.259694452560877e-109,3.531374040434601e-36,3.941183030626542e-82,2.0722345192620263e-17,6.135518106967663e-19,2.456253637149139e-21,2.9737751030089688e-36,1.1011380144081428e-35,2.456253637123124e-21,1.2839000332096828e-32,1.2917221566610324e-40,1.5326381892301285e-45,5.174506382380284e-75,3.024655140972014e-50,9.906522530543764e-36,8.296583042939367e-72,6.469803875080017e-102,4.6129229273442896e-27,4.676498581502041e-52,2.8695571763971615e-105,1.3350201190396645e-119,1.456518933663151e-105,6.231484025223487e-88,2.961046280751798e-98
9.135873808145201e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,4.398327298124348e-115,5.096699808174318e-51,4.281626664105651e-34,3.2136688589882204e-83,3.3294553577483896e-51,6.49545737643205e-125,8.063133124372474e-19,1.5809978614929689e-100,8.063133124372452e-19,3.897020801414135e-68,2.5435741190619036e-67,5.56769623550412e-106,6.455731083883609e-107,1.5422438209600898e-35,1.4931635229683121e-80,4.403498353431798e-17,1.3037975977306284e-18,5.219538978971128e-21,1.2987257132871385e-35,4.808959003754735e-35,5.219538978857511e-21,5.607128697898466e-32,1.1425136057954594e-39,1.3558486051199176e-44,1.9541462522169735e-73,2.6752732191001313e-49,4.326438656704514e-35,3.132631859083697e-70,9.805237076963092e-100,9.802461228524878e-27,4.136310028879576e-51,4.612365375001462e-103,4.29785747462946e-117,2.3411269008689363e-103,4.7160810042616895e-86,2.2478200033713594e-96
1.8809151957946004e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,1.2586075447171057e-112,4.284083288083746e-50,1.7874948483319956e-33,2.2334102951014592e-81,2.8484191556327034e-50,1.8072792486105577e-122,1.6600568197237464e-18,1.1205552941805616e-98,1.660056819723737e-18,6.697983064506777e-67,4.39339174706911e-66,7.74340144298039e-104,8.978456308645493e-105,6.43856436120503e-35,5.323102829894441e-79,9.06602602177131e-17,2.684289171798352e-18,1.0746109662707983e-20,5.421924179388648e-35,2.007645719501707e-34,1.0746109662233656e-20,2.3408658064629932e-31,9.603515045975444e-39,1.1400887834273216e-43,6.782278698821437e-72,2.2487283380247678e-48,1.8062029730318733e-34,1.0868554920454265e-68,1.3636858714631794e-97,2.018153785606711e-26,3.47681779921342e-50,6.596722597226945e-101,1.2303738602701121e-114,3.3483394053995893e-101,3.276376077953679e-84,1.6040541352699876e-94
3.815570825754761e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,3.405761443101409e-110,3.512350313165536e-49,7.302499701111788e-33,1.4896201563007165e-79,2.3551280409003187e-49,4.82382758771292e-120,3.3675438342967498e-18,7.540823432702745e-97,3.3675438342967105e-18,1.1101415722564899e-65,7.299686091830354e-65,1.0332414362298713e-101,1.1980410882383797e-102,2.6303636267341588e-34,1.8853204580144997e-77,1.8391081358450232e-16,5.445272319933798e-18,2.1799251030553215e-20,2.2150329248505396e-34,8.201887842680088e-34,2.179925102861544e-20,9.563200229898721e-31,7.873541482657319e-38,9.353964185910924e-43,2.260405729499929e-70,1.8436433540666383e-47,7.378928494132579e-34,3.6196824006168e-67,1.8196354131149134e-95,4.093969121187579e-26,2.850505273525627e-49,8.923485927299367e-99,3.3300618435186357e-112,4.5293491050594395e-99,2.1836906795114584e-82,1.1363561011952298e-92
7.684882085675081e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996495,0.02282156769305428,8.971792853576604e-108,2.844392347731406e-48,2.9517871364931225e-32,9.741656305906688e-78,1.9151510098794922e-48,1.262140236291005e-117,6.782517863442776e-18,4.947810073687268e-95,6.782517863442621e-18,1.807577764992789e-64,1.1900330660141871e-63,1.3516205749910046e-99,1.5672009733138526e-100,1.0632350338220108e-33,6.917108139247644e-76,3.704119203180764e-16,1.0967238616204684e-17,4.390553376772974e-20,8.953517110557482e-34,3.315334202792657e-33,4.390553375989695e-20,3.8655981158311194e-30,6.376197425522156e-37,7.586141196420856e-42,7.388941333416593e-69,1.4930301879836817e-46,2.9826808760663706e-33,1.1815245126375122e-65,2.3803310407271665e-93,8.245599832639005e-26,2.3084130444666753e-48,1.1752377321598656e-96,8.773265067798982e-110,5.965227069101987e-97,1.4260335174925416e-80,8.334353555846322e-91
1.5423504605515724e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.11866996602996457,0.022821567693054275,2.33474023206905e-105,2.28941441847647e-47,1.1869006254570638e-31,6.315593473335621e-76,1.5446386705713797e-47,3.27335587707221e-115,1.3612465921734913e-17,3.206107293813906e-93,1.3612465921734287e-17,2.917437800282968e-63,1.9219065754483576e-62,1.7526518285499535e-97,2.0321957969117066e-98,4.27522130822263e-33,2.733380148016245e-74,7.434141337852069e-16,2.2011171208746434e-17,8.81180992480271e-20,3.600169750645057e-33,1.3330813014746686e-32,8.81180992165318e-20,1.5543397439077142e-29,5.132117434834631e-36,6.123788161194328e-41,2.3948300133681573e-67,1.2017205862676323e-45,1.1993228618159097e-32,3.818482349921746e-64,3.086584821105396e-91,1.6548861416700607e-25,1.8580115966867645e-47,1.529095874172391e-94,2.2831734649103456e-107,7.761326823212931e-95,9.21884327130644e-79,6.580378622820895e-89
3.090074964519701e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999984,0.11866996602996381,0.022821567693054264,6.051711747237016e-103,1.837110889314855e-46,4.760002364805776e-31,4.0853860225649046e-74,1.2407377812470644e-46,8.470004901586017e-113,2.7272362038319522e-17,2.0646433471155088e-91,2.7272362038317002e-17,4.688244224259275e-62,3.0894086728281657e-61,2.2675257923302503e-95,2.6291909832129972e-96,1.7145549585437378e-32,1.199990329226908e-72,1.4894185607193983e-15,4.409903639382984e-17,1.7654323023239895e-19,1.4438290109171273e-32,5.346252253306447e-32,1.7654323010608866e-19,6.233595507540807e-29,4.118199475476251e-35,4.94252391967738e-40,7.745483502642273e-66,9.643050892223506e-45,4.809821084992752e-32,1.2279662414897496e-62,3.993326327933843e-89,3.3155385229458826e-25,1.4909372143858436e-46,1.9816992145193e-92,5.9180753885021364e-105,1.0058633761941077e-92,5.92975173641978e-77,5.770373795685209e-87
