Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.895292112840976e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,7.3856467551076219e-66,7.3793638693377624e-42,1.4433410131882482e-92,3.4484872400523691e-57,6.3600597774119564e-142,7.0115228147945454e-25,-6.4805976689589246e-118,7.0115228147944003e-25,1.0701925614698108e-79,1.3198038653243444e-70,2.9818572112466214e-120,1.8017760710357115e-121,3.6518557187452943e-53,6.6116467075737061e-95,2.780669898587693e-18,1.3369707978709934e-19,5.1534078279748381e-23,5.8844176563041594e-38,5.1534078279796512e-23,2.0530302630553358e-54,2.4088321427800781e-35,1.6261444509650014e-43,6.052738793910401e-50,1.7736402518670969e-80
1.9306817915954733e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.6522085770795701e-64,4.4571358123209923e-41,1.5972137976470588e-90,5.2113539171414206e-56,2.2981518592398568e-139,1.96322638814252e-24,1.2508718392974542e-116,1.9632263881424319e-24,3.0181142541403324e-78,4.1496745215879e-69,5.9693672902725285e-118,3.6069678662913775e-119,4.3354831092925627e-52,3.4223787512493476e-93,7.785875716045541e-18,3.7435182340387818e-19,1.4429541918321757e-22,3.5541882644060539e-37,1.4429541918350829e-22,2.4373575282905019e-53,1.4549346047548344e-34,1.9305586796061195e-42,7.1963591657852856e-49,1.0805496797252256e-78
4.412986952218225e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.2645466823948845e-63,2.1459190660648942e-40,1.4495102604734895e-88,5.6061367363675627e-55,8.3466861874980459e-137,4.4873746014688376e-24,1.3207997491352328e-114,4.4873746014684151e-24,6.5650577413573415e-77,9.257695584395904e-68,1.0840262714114906e-115,6.550188214366488e-117,4.256603025763773e-51,1.494344501001899e-91,1.7796287350961222e-17,8.5566131063743596e-19,3.2981810098984437e-22,1.7111886544507621e-36,3.2981810099124406e-22,2.3930120745900416e-52,7.0048837289394709e-34,1.8954339330482591e-41,7.0877701136643023e-48,4.8933167587761847e-77
9.377597273463728e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,5.8091362065241616e-62,9.3717926602941609e-40,1.1038045637353166e-86,5.1530055130063298e-54,2.5464386537145789e-134,9.535671028122225e-24,1.043982207148587e-112,9.5356710281203766e-24,1.217051062742596e-75,1.7338639260490049e-66,1.6527246469567316e-113,9.9865268855453953e-115,3.7649171717855826e-50,5.5630699003722568e-90,3.7817110620792512e-17,1.8182802851045512e-18,7.0086346460185129e-22,7.4732104234805628e-36,7.0086346460796424e-22,2.1165920799422827e-51,3.0592166743235391e-33,1.6764898012741312e-40,6.3087969136024062e-47,1.8591539903937287e-75
1.9306817915954735e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,9.7979978308487623e-61,3.9125392151345373e-39,7.7628309601861621e-85,4.4085047057486211e-53,7.1693470640437366e-132,1.9632263881432005e-23,7.399376171930041e-111,1.9632263881424282e-23,2.0917998189472304e-74,2.9948187507203724e-65,2.3259344277398443e-111,1.4054371815297966e-112,3.1646397361512768e-49,1.9165619288251737e-88,7.7858757160454815e-17,3.7435182340387825e-18,1.4429541918208793e-21,3.1199182413493161e-35,1.442954191846399e-21,1.779123177375682e-50,1.2771626697955596e-32,1.4091906143182221e-39,5.3697851093351614e-46,6.5303223730782811e-74
3.9165259200936747e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.6093273641563526e-59,1.5984001477851948e-38,5.2997794585574133e-83,3.6450369427741581e-52,1.958481185617835e-129,3.9825449588063572e-23,4.9794409534679748e-109,3.9825449588032028e-23,3.4670047945088284e-73,4.9759361455494645e-64,3.1765802921421322e-109,1.9194367646161672e-110,2.5945628551570336e-48,6.3603702711630098e-87,1.5794205023977832e-16,7.5939941319072389e-18,2.9271356462389902e-21,1.2745884020065033e-34,2.9271356463432462e-21,1.4586326708160369e-49,5.2176256543529652e-32,1.1553394745605648e-38,4.5121207198026439e-45,2.2281967368903848e-72
7.888214177090077e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.6087916461437416e-58,6.4609907009071685e-38,3.6253768890183361e-81,2.9640835065232163e-51,5.3587880566431144e-127,8.0211821001374772e-23,3.2671933416934153e-107,8.0211821001247243e-23,5.6451185453386072e-72,8.1120317784373528e-63,4.3458988635311307e-107,2.6259931394135388e-108,2.1011442686595949e-47,2.0724340509907396e-85,3.1810863639842088e-16,1.5294945927644146e-17,5.8954985549954322e-21,5.1520901099805394e-34,5.895498555416855e-21,1.1812385542845633e-48,2.1090472434967737e-31,9.3562364889363062e-38,3.8316256456773129e-44,7.6213453173818633e-71
1.5831590691082882e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,4.2013806380401383e-57,2.5979373447662922e-37,2.55627085898558e-79,2.3906407291503217e-50,1.5109094186296272e-124,1.6098456382818938e-22,2.117092662513627e-105,1.6098456382767663e-22,9.1112440909911032e-71,1.3100952989718295e-61,6.127291352678995e-105,3.7023928905319064e-106,1.6911837027870833e-46,6.6917639669126387e-84,6.3844180871568824e-16,3.0696849519117916e-17,1.1832224372189201e-20,2.0716327734417062e-33,1.183222437388372e-20,9.5076355368153052e-48,8.4803824379624327e-31,7.530709690888903e-37,3.3699121138667613e-43,2.6881134310817855e-69
3.171834371906849e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996405,0.022821567693054257,0.0,6.7441480829878351e-56,1.041890194086893e-36,1.9177215138995394e-77,1.9202926420166382e-49,4.5310493209967908e-122,3.2253004948258753e-22,1.3633484097141363e-103,3.2253004948053112e-22,1.4641524654381686e-69,2.1059399300383377e-60,9.1894888617662927e-103,5.5527142861401966e-104,1.3570684143766083e-45,2.1510077316361504e-82,1.2791081533501516e-15,6.1500656702065314e-17,2.3705676005300273e-20,8.3081739813763007e-33,2.3705676012096052e-20,7.6292787444975813e-47,3.4010096290237264e-30,6.0429147874524714e-36,3.1629539779248626e-42,1.0091871039851099e-67
6.349184977503971e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999731,0.11866996602996277,0.022821567693054226,0.0,1.0808223315026055e-54,4.1730042444270356e-36,1.5813495910097547e-75,1.5393522367148442e-48,1.4931654980984197e-119,6.4562102079445911e-22,8.7524363199652611e-102,6.4562102078622275e-22,2.3477383018013007e-68,3.3773544176162564e-59,1.5146114650795107e-100,9.1519831478980578e-102,1.0873061395004579e-44,6.8986917909218757e-81,2.5604408426187943e-15,1.2310827106795958e-16,4.7452579266416547e-20,3.3276031126649912e-32,4.7452579293635149e-20,6.1127070114078825e-46,1.3621753872843742e-29,4.8416766470230376e-35,3.2694258896286728e-41,4.1659405423758296e-66
1.2703886188698215e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999465,0.1186699660299602,0.022821567693054164,0.0,1.7307240440069658e-53,1.6702964168643658e-35,1.4630790466772256e-73,1.2327302583106388e-47,5.5204714417498442e-117,1.2918029634305043e-21,5.6102169254333114e-100,1.2918029633975375e-21,3.7604614198160669e-67,5.4100557287800702e-58,2.8008063663111196e-98,1.6923767748894696e-99,8.7050604007466167e-44,2.2100591276035929e-79,5.1231062211549425e-15,2.4632349979974568e-16,9.4946385768225692e-20,1.3319084431253702e-31,9.4946385877171227e-20,4.8938823868639145e-45,5.4522320958957162e-29,3.876271224215232e-34,3.7947586130092829e-40,1.9297557448371772e-64
2.5413288611086704e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998926,0.11866996602995508,0.022821567693054039,0.0,2.7702856754304912e-52,6.6834189698976602e-35,1.5129870365882991e-71,9.8668383749096784e-47,2.2815532949253895e-114,2.5841668487518023e-21,3.5933117859767643e-98,2.5841668486198915e-21,6.0200042378939414e-66,8.661123386071204e-57,5.7893753099980588e-96,3.4982083850806635e-97,6.9666939628514255e-43,7.0761560324111127e-78,1.0248436978222694e-14,4.9275395726330854e-16,1.8993399869015019e-19,5.3293686608744781e-31,1.8993399912607581e-19,3.9165932445452736e-44,2.1815875117785416e-28,3.1021725848846367e-33,4.9212239064105081e-39,9.9893954230909975e-63
