Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),CO2X(24),H2X(49),O(29),CH3X(55),C2H4(47),OH(D)X(68),COX(50),CH4OX(63),CHOX(53),C2H6X(52),acetyl(44),CH2(T)(34),C2H4X(222),CH2O2(186),C2H4X(70),CH2OX(54),CH2OH(40)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.255787892642773e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-9.828744400839217e-122,6.229704167735003e-54,3.93325284096661e-36,4.954599533401184e-82,2.807769141191022e-54,2.4481362469916093e-64,6.40380821026975e-20,-1.5634476814921557e-105,6.403808210269749e-20,4.70090326922406e-72,5.956259422099468e-70,1.6853965674294903e-84,1.483264679920581e-106,1.4167594155801635e-37,2.54470726648362e-85,3.497295465007052e-18,1.0354870286886379e-19,4.1454017999554834e-22,1.1930551212987448e-37,4.417678874875279e-37,4.1454017999405688e-22,5.0558182511062045e-54,7.402467468992947e-34,2.884201327416695e-42,4.917294027160473e-47,8.220390945754972e-78,-3.4982160202397327e-109,3.2699906508548124e-52,7.785197223024305e-28,3.974418713558856e-37,2.1504048427152253e-75,8.267191733465875e-55,2.2528450528063207e-99,1.2420576166276282e-86,8.519574045625175e-83,6.0440577429276155e-71,7.8701563865881455e-118,1.917737039171731e-40,4.7924360351401895e-92,2.3774435158821384e-56,5.671186448053972e-102,5.273682577647314e-81,2.811925196442967e-85
2.0316206099399765e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.780677548530744e-119,7.395904787959265e-53,2.3756847159725088e-35,2.0445300239049047e-80,4.243100728285506e-53,5.476382811404492e-63,1.793066298875531e-19,3.035333606897428e-104,1.7930662988755298e-19,1.3269183342930992e-70,1.8727432667778584e-68,6.954836067534467e-83,1.116564980951888e-104,8.557226870104344e-37,1.321419074868423e-83,9.792427302019744e-18,2.899363680328186e-19,1.1607125039899583e-21,7.206052932634749e-37,2.668278040421539e-36,1.1607125039809494e-21,6.002267427681774e-53,4.4710903344430446e-33,3.424123802260247e-41,5.8379960896717595e-46,5.001020520700484e-76,3.540396719633957e-107,3.8821329007377326e-51,2.1798552229058346e-27,2.4005489029850054e-36,1.3081962005196639e-73,9.81481002595482e-54,1.6958860596548414e-97,7.153615954476298e-85,3.5156260546642843e-81,1.704520989249987e-69,1.6446835644151692e-115,1.1583131716597257e-39,5.2957752199495215e-90,2.8225009163389128e-55,5.357606504143488e-100,2.1761998634949616e-79,1.1629305795507118e-83
4.6437042512913753e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,7.517497140773105e-117,7.26134317798715e-52,1.143789926196104e-34,8.087962754147905e-79,4.564534139875012e-52,1.082040937978844e-61,4.098437254572643e-19,3.2048189059690326e-102,4.098437254572637e-19,2.886979875786665e-69,4.177987208995194e-67,2.75126393338641e-81,8.828349312182949e-103,4.1199363805073484e-36,5.798034768652698e-82,2.2382690976045108e-17,6.627116983607283e-19,2.6530571519884686e-21,3.469404292722242e-36,1.2846610168090365e-35,2.6530571519450938e-21,5.893061753391696e-52,2.1526375147401067e-32,3.3618250249254547e-40,5.732170241996675e-45,2.257851488599017e-74,7.414628832178554e-105,3.8115011027693543e-50,4.982526225948761e-27,1.155760961896099e-35,5.905822929931731e-72,9.636238684478637e-53,1.3408869867389933e-95,3.2079816503125008e-83,1.3907466793261255e-79,3.707705465751194e-68,2.9764812630194287e-113,5.576779309911398e-39,4.791219173103329e-88,2.7711480823914983e-54,4.705358683581341e-98,8.608830083318584e-78,4.6052504624262664e-82
9.867871533994172e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,2.4183266985442768e-114,6.422575808926063e-51,4.995231108472071e-34,2.8865402244547255e-77,4.195593274537235e-51,1.9254339622188912e-60,8.709179165966868e-19,2.533370099287999e-100,8.709179165966845e-19,5.352464465322107e-68,7.824907655575066e-66,9.819065184331256e-80,6.310143112791357e-101,1.7992844577870485e-35,2.178624985219613e-80,4.756321832409575e-17,1.4082623590165477e-18,5.6377464480242506e-21,1.5151800040344117e-35,5.610452171043087e-35,5.637746447834823e-21,5.212346383955283e-51,9.401133424776274e-32,2.9734961116594824e-39,5.070735330491926e-44,8.526369026940083e-73,1.1917328944900924e-102,3.3712295616845465e-49,1.058786823937909e-26,5.047511766149308e-35,2.2299263285323265e-70,8.523143989430694e-52,9.584111915996875e-94,1.2069228738966325e-81,4.963475924584056e-78,6.873461064997278e-67,4.5195355339794964e-111,2.435526039748103e-38,3.6260668432673186e-86,2.4510489997203367e-53,3.5428897589434305e-96,3.0724301919259445e-76,1.6443705688022883e-80
2.0316206099399766e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,6.919571675500233e-112,5.398561956779096e-50,2.085410656680524e-33,9.752992474839542e-76,3.589418378782098e-50,3.2475255559434613e-59,1.7930662988755333e-18,1.7956439264867128e-98,1.7930662988755233e-18,9.199928766162051e-67,1.3515582057573318e-64,3.3176399537960573e-78,4.267563890309984e-99,7.511658421408193e-35,7.643603903597867e-79,9.792427302019671e-17,2.899363680328186e-18,1.1607125040250865e-20,6.32557825299099e-35,2.3422533394152073e-34,1.160712503946004e-20,4.381291202944375e-50,3.924788017299773e-31,2.4994025619114705e-38,4.2634288813286526e-43,2.9589928914547476e-71,1.7042952179560276e-100,2.8337215786870407e-48,2.1798552295617645e-26,2.1072368018655094e-34,7.736650075087491e-69,7.164216080966405e-51,6.481756308826292e-92,4.1791907248611046e-80,1.6770462074702983e-76,1.1813723393835648e-65,6.291649517462301e-109,1.0167841781688565e-37,2.519116725090196e-84,2.060254208031285e-52,2.4884244500719434e-94,1.038104643224867e-74,5.557245231990352e-79
4.1212875230210956e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,1.8720872416017857e-109,4.4260672597949605e-49,8.519582987034212e-33,3.2065872876668584e-74,2.9678005281180373e-49,5.334069660366101e-58,3.63736306343323e-18,1.208413377078758e-96,3.63736306343319e-18,1.5248547505981228e-65,2.2456341730190805e-63,1.0907672667263107e-76,2.8073606131243263e-97,3.06875756452509e-34,2.6280138257758884e-77,1.9864638241239738e-16,5.88156632295146e-18,2.354588222532428e-20,2.5842051148236673e-34,9.56886914976514e-34,2.35458822220935e-20,3.5920472343111545e-49,1.60340386489005e-30,2.04916108591305e-37,3.4973357741598916e-42,9.860006778566659e-70,2.3050161587824475e-98,2.3232561569001176e-47,4.4219920525606353e-26,8.608749909780265e-34,2.5766273175225314e-67,5.87365718671547e-50,4.263937888403433e-90,1.3904430779133544e-78,5.513760177151659e-75,1.958038014777189e-64,8.395104002074303e-107,4.153895136327574e-37,1.6789805150876442e-82,1.6891206077304393e-51,1.711655642000918e-92,3.413060428605177e-73,1.8273093510750646e-77
8.300621349183333e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996492,0.02282156769305428,4.929891250750839e-107,3.584344020933548e-48,3.443751661188628e-32,1.0400597804599995e-72,2.4133661014740275e-48,8.646754131366478e-57,7.325956592548639e-18,7.92893231277602e-95,7.325956592548479e-18,2.4828584866755635e-64,3.6609504704646983e-62,3.537876417124589e-75,1.821530256425503e-95,1.240440872793889e-33,9.158250736079273e-76,4.0009060119679355e-16,1.1845971608198001e-17,4.7423396597951875e-20,1.0445770252488788e-33,3.867889903235184e-33,4.742339658489252e-20,2.9089329799281116e-48,6.481213952550318e-30,1.6594635456526222e-36,2.8353416810302465e-41,3.2219468390562623e-68,3.0346674090278614e-96,1.8814330710634905e-46,8.906265745563011e-26,3.4797943553775e-33,8.410539563361546e-66,4.7566398743813824e-49,2.7666170983033175e-88,4.5363278874489774e-77,1.7883743538787724e-73,3.18815731882596e-63,1.0970292565590082e-104,1.6790708291727623e-36,1.0964384330184613e-80,1.367893228557594e-50,1.1927477655365017e-90,1.1070176351018945e-71,5.927169123627093e-76
1.6659289001507807e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.1186699660299645,0.022821567693054275,1.2820067226758517e-104,2.884991899587359e-47,1.3847173979334092e-31,3.3507614580628417e-71,1.9464671910175042e-47,1.3925322432500982e-55,1.4703143650779523e-17,5.137859448747474e-93,1.4703143650778873e-17,4.0073661212224653e-63,5.912444787542328e-61,1.1397733270465175e-73,1.173811458829516e-93,4.9877581929388166e-33,3.3415087082769923e-74,8.029790387655656e-16,2.3774782178691056e-17,9.517842535313015e-20,4.200198275974678e-33,1.5552615183686688e-32,9.517842530061903e-20,2.3413623328416004e-47,2.6060669561693714e-29,1.3356802616649984e-35,2.2871336562455128e-40,1.0435245786910587e-66,3.9456006823208084e-94,1.5143410177325324e-45,1.7874813319586312e-25,1.3992100054251194e-32,2.718140313666871e-64,3.828557588788676e-48,1.7828344268015108e-86,1.4656882238194139e-75,5.761482703934269e-72,5.145698766233629e-62,1.4187769626646949e-102,6.751469955885902e-36,7.088117549759331e-79,1.1009987773426588e-49,8.698166135754146e-89,3.566402622067449e-70,1.9095694441580225e-74
3.3376624306156757e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.11866996602996369,0.022821567693054264,3.318346981236527e-102,2.3150243100309947e-46,5.553336104846256e-31,1.0759046947255337e-69,1.5635083012320346e-46,2.2353199108057335e-54,2.9457517767241545e-17,3.308647114183319e-91,2.9457517767238957e-17,6.43974789465688e-62,9.504082312681904e-60,3.6595687080523906e-72,7.538448543804729e-92,2.0003141183109907e-32,1.3211928494653982e-72,1.6087559139030279e-15,4.763240331967707e-17,1.90688482903179e-19,1.6844673668168417e-32,6.237294295376178e-32,1.9068848269258588e-19,1.8787958168851823e-46,1.0451488722300268e-28,1.0717986980710413e-34,1.8433115177068137e-39,3.3702709121286023e-65,5.10630563737999e-92,1.2151632987303138e-44,3.58119092197071e-25,5.611457932276686e-32,8.741127130207889e-63,3.0721763501778335e-47,1.1449714069929318e-84,4.712830553230423e-74,1.849889020413403e-70,8.268999777218533e-61,1.825483039039326e-100,2.707641419184538e-35,4.55922385127836e-77,8.834810617048136e-49,6.870965069746784e-87,1.1450957068662073e-68,6.131306418452868e-73
