Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3X(55),C2H4(47),O(29),COX(50),OH(D)X(68),CH4OX(63),CHOX(53),C2H6X(52),acetyl(44),C2H4X(215),C2H4X(70)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.875635999514166e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,5.300933039583592e-54,3.531900510253418e-36,7.015924880150997e-89,2.389165810382005e-54,2.837412167251009e-132,6.068294017960599e-20,-1.1282151939751595e-105,6.068294017960599e-20,3.7609072568789033e-72,2.4247010213494723e-70,1.7165380229585586e-112,1.9903219218133702e-113,1.2721921282760519e-37,1.929023925526557e-85,3.3140619538399725e-18,9.812348426971968e-20,3.9282121073471303e-22,1.071314802797466e-37,3.9668953162147876e-37,3.9282121073337368e-22,4.3020588599056103e-54,6.647113646983888e-34,2.4542029125737636e-42,4.184179028033751e-47,6.281063001297265e-78,2.782475862981502e-52,3.5688657836042364e-37,1.6430913928814111e-75,7.37730803069778e-28,3.0229850112154547e-106,7.034656642523652e-55,4.791313973867003e-87,-3.290764162456585e-109,4.873509283197175e-71,-3.0021882854541665e-124,3.4699731516606005e-92,4.0738216139391304e-102
1.9251780798639664e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,6.2932677046131565e-53,2.133267908217465e-35,7.753018766747976e-87,3.610507374840644e-53,1.0238503247569683e-129,1.6991223250289682e-19,2.1780350314614436e-104,1.6991223250289672e-19,1.0606360215768307e-70,7.623648015394499e-69,3.4315452545501826e-110,3.978868894523701e-111,7.684040454787415e-37,1.0007264932906792e-83,9.27937347075192e-18,2.747457559552151e-19,1.099899390059372e-21,6.470741408879804e-37,2.3960047709910677e-36,1.0998993900512822e-21,5.107404278448269e-53,4.014856628458522e-33,2.913629686802082e-41,4.967606207360225e-46,3.821189768409925e-76,3.303355344566231e-51,2.1555949332930922e-36,9.995726734744271e-74,2.0656462490075683e-27,6.04327415474813e-104,8.351544365991217e-54,2.7595515522022926e-85,3.330437973022229e-107,1.3744075948147289e-69,5.543543665450583e-122,3.834416922666403e-90,3.8448414700545836e-100
4.4004070396890666e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,6.1787675509991346e-52,1.0270766684182945e-34,7.014792148129322e-85,3.884019077129987e-52,3.7073512266742486e-127,3.883708171494785e-19,2.2997750401747622e-102,3.88370817149478e-19,2.307115018949379e-69,1.7007939349565134e-67,6.212854639335164e-108,7.203790781383286e-109,3.699534709026853e-36,4.3890079115930207e-82,2.1209996504575794e-17,6.279902993262059e-19,2.514055748717391e-21,3.115383446509693e-36,1.1535731579512649e-35,2.5140557486784427e-21,5.014479807007794e-52,1.9329806270632945e-32,2.860618880778962e-40,4.877540557435996e-45,1.7251776088170355e-74,3.2432538659984685e-50,1.0378261698663116e-35,4.51254881753511e-72,4.7214771425319085e-27,1.0941421745551348e-101,8.199595782485697e-53,1.2374987420050435e-83,6.974889318817094e-105,2.9896367270661426e-68,2.310851893410265e-119,3.4690920823906803e-88,3.375272089832649e-98
9.350864959339266e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,5.46504992661615e-51,4.48551364840005e-34,5.3095746390020266e-83,3.5700826894544323e-51,1.1242734372966905e-124,8.252879864426421e-19,1.817780502014745e-100,8.2528798644264e-19,4.277002421501903e-68,3.1853988096408885e-66,9.415339384168193e-106,1.0917064537408348e-106,1.6156840029106833e-35,1.6483695788236897e-80,4.507124257222348e-17,1.3344793860681876e-18,5.342368466068237e-21,1.3605697995265982e-35,5.037957051551495e-35,5.3423684658981375e-21,4.4352506020020964e-51,8.441834109713464e-32,2.5301849631013125e-39,4.3146903236819893e-44,6.51477607997288e-73,2.868621315924592e-49,4.532459545117442e-35,1.7038525444082044e-70,1.0033138936175628e-26,1.6581298784424547e-99,7.252449612092456e-52,4.65577955537788e-82,1.1210468719587622e-102,5.542282641330052e-67,7.438991638556992e-117,2.6254611473322256e-86,2.5401590638829452e-96
1.9251780798639667e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,0.0,4.593703757405013e-50,1.87261365087675e-33,3.6896277756346515e-81,3.0542809039835706e-50,3.127830215410893e-122,1.6991223250289703e-18,1.2883784442746524e-98,1.6991223250289615e-18,7.35107438371743e-67,5.501984290740687e-65,1.3093261173600357e-103,1.5181606462029362e-104,6.745162664120507e-35,5.778493112802688e-79,9.279373470751855e-17,2.7474575595521507e-18,1.0998993900909154e-20,5.680111084196508e-35,2.103247896619924e-34,1.0998993900199024e-20,3.7280953746783483e-50,3.5242994558703973e-31,2.1267728468039926e-38,3.627700846536917e-43,2.2608572612490636e-71,2.411249063654508e-48,1.8922126384130211e-34,5.91145580484222e-69,2.065646254984322e-26,2.3058465204579775e-97,6.096120891752811e-51,1.6121486430932765e-80,1.6031846567324084e-100,9.525767801110952e-66,2.1293873959400504e-114,1.823971643357013e-84,1.7826836915859315e-94
3.9053612477240464e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,0.0,3.766195880414485e-49,7.65023778411126e-33,2.4603705965120363e-79,2.5253385154114358e-49,8.346822034999873e-120,3.44679100220163e-18,8.670196297520893e-97,3.446791002201594e-18,1.2183866688698816e-65,9.141629187610348e-64,1.7467436187308848e-101,2.0253452411790675e-102,2.755619037531805e-34,1.9837946472476605e-77,1.8823871897810755e-16,5.5734139065200744e-18,2.2312244771147894e-20,2.3205107152518964e-34,8.592453930419287e-34,2.2312244768246784e-20,3.0565178298673426e-49,1.4397912352607848e-30,1.7436567596074508e-37,2.9757558336576816e-42,7.533454218121585e-70,1.9768876642758296e-47,7.730306041461385e-34,1.9687614690669292e-67,4.190310988269902e-26,3.0761799080271296e-95,4.997968219036147e-50,5.3637200809952804e-79,2.1682056000736503e-98,1.5788261543562207e-64,5.762102807799921e-112,1.2156692977420693e-82,1.2243998149490375e-92
7.865727583444207e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,0.0,3.0499630695104064e-48,3.0923484303219955e-32,1.608347944387162e-77,2.0535633409656626e-48,2.183032723984283e-117,6.942128356546965e-18,5.6888329191794833e-95,6.94212835654682e-18,1.9838268441152484e-64,1.4903162801953289e-62,2.284047107438051e-99,2.6483474105840365e-100,1.1138652735284543e-33,6.894831579884101e-76,3.7912868751928094e-16,1.1225326600455914e-17,4.493874651385299e-20,9.379875327955876e-34,3.4732072600624474e-33,4.493874650212623e-20,2.4752473836694477e-48,5.819865668154737e-30,1.4120582659826802e-36,2.412350702024013e-41,2.4615620270926253e-68,1.600934885386855e-46,3.124713298727418e-33,6.426364508397073e-66,8.439640497049305e-26,4.022421919954193e-93,4.047484244635578e-49,1.74991651004598e-77,2.854388983638523e-96,2.570709108392003e-63,1.5174434604369584e-109,7.938785098182031e-81,8.509515192239853e-91
1.5786460254884525e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996455,0.022821567693054275,0.0,2.454875619661152e-47,1.243419704159606e-31,1.0418545742458707e-75,1.6562732299197792e-47,5.65709736240832e-115,1.393280306523769e-17,3.68627906969008e-93,1.3932803065237112e-17,3.201904524561259e-63,2.4068647727299634e-61,2.9593274503826596e-97,3.431333427656136e-98,4.478803275285948e-33,2.504588840952279e-74,7.609086246016094e-16,2.2529151988327574e-17,9.01917500081737e-20,3.7716066145093256e-33,1.3965613634447837e-32,9.019174996102088e-20,1.9922944351742208e-47,2.3401418194295882e-29,1.1365470404601187e-35,1.945704595501963e-40,7.971612821681461e-67,1.2885716748841531e-45,1.2564334742762684e-32,2.0768894264819213e-64,1.693829968344109e-25,5.211654157543163e-91,3.2577674429052325e-48,5.653982879835576e-76,3.710790840649759e-94,4.149134865237497e-62,3.9458138650999816e-107,5.132166210271593e-79,6.178405669472573e-89
3.1627925597765167e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996377,0.022821567693054264,0.0,1.969883082960673e-46,4.986669154512511e-31,6.728567892025582e-74,1.3304087302576148e-46,1.461452705614709e-112,2.791415248261937e-17,2.3738605290916282e-91,2.7914152482617054e-17,5.145374613433087e-62,3.868964824976019e-60,3.8225126499602435e-95,4.432194697173271e-96,1.7962004327641976e-32,9.839854268904053e-73,1.524468498766193e-15,4.5136802764070795e-17,1.806977570324572e-19,1.5125829411085748e-32,5.600835693901014e-32,1.8069775684335323e-19,1.5986908125286201e-46,9.385010785735582e-29,9.120069440098004e-35,1.5677808805456915e-39,2.5740154026070023e-65,1.0339976191896655e-44,5.038860184221421e-32,6.67896169293547e-63,3.3935618731556583e-25,6.731804531367037e-89,2.6141532053448186e-47,1.8180035035734614e-74,4.8013497153849035e-92,6.667548341823138e-61,1.0211184906137686e-104,3.301115577395906e-77,4.8495788448399655e-87
