Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),HOX(22),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.005623792273728e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,7.8690731917645033e-66,7.617410369272079e-42,1.5876169822504192e-92,3.6166882008740121e-57,7.2214834415166119e-142,7.1237166444679744e-25,-7.128182998250727e-118,7.1237166444678266e-25,1.1403506412653715e-79,1.6312256870696595e-71,3.3324061173250069e-120,2.0135932208352138e-121,2.8724163074614588e-54,7.1578095907359991e-95,2.8251634421299508e-18,1.3583636890012977e-19,5.2358675890926036e-23,5.2358675890975724e-23,6.0742375806638731e-38,2.4865368434700007e-35,1.7054605994065267e-43,6.3481324045411543e-50,1.9202061867702748e-80,2.1531673116213732e-54,2.9497704724695388e-110
1.9615746618366438e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.7603536568667832e-64,4.6009159000002117e-41,1.756910941855169e-90,5.4655392091503288e-56,2.6094788394541949e-139,1.9946406604510817e-24,1.3758712134474608e-116,1.9946406604509909e-24,3.2159712644649996e-78,5.1288345943685764e-70,6.6712811403942562e-118,4.0310952523896336e-119,3.4101326401983197e-53,3.7050883890744437e-93,7.9104576379638617e-18,3.8034183292036332e-19,1.4660429249451248e-22,1.4660429249481261e-22,3.6688394986975727e-37,1.5018682435089433e-34,2.0247228102112184e-42,7.5477419345455038e-49,1.1698685577243947e-78,2.5562402323337005e-53,5.9052670738817518e-108
4.483599227055186e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.4782271321152383e-63,2.2151429908241347e-40,1.5945177451863014e-88,5.8795776743728049e-55,9.477862648961121e-137,4.5591786524598442e-24,1.4527868114346774e-114,4.5591786524594071e-24,6.9954399561914132e-77,1.1442147845748803e-68,1.2115519728648077e-115,7.3207548940889849e-117,3.348088447915313e-52,1.6177865930005251e-91,1.8081046029631668e-17,8.6935276096083047e-19,3.3509552570136379e-22,3.3509552570280852e-22,1.7663882884219443e-36,7.2308489916067083e-34,1.987884833115197e-41,7.4342244762586374e-48,5.2980637025911677e-77,2.5097318183539697e-52,1.0724383852309305e-105
9.52764835749227e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,6.1893724151641377e-62,9.674111741853604e-40,1.2143468407591847e-86,5.4043448447569326e-54,2.8918236185764009e-134,9.6882546364781437e-24,1.1483069867322524e-112,9.688254636476235e-24,1.2968366720372869e-75,2.1429876587670173e-67,1.8473325512160144e-113,1.1162433901490436e-114,2.9613463162107612e-51,6.0226138582587274e-90,3.8422222812967213e-17,1.8473746170417649e-18,7.120779921137795e-22,7.1207799212008936e-22,7.7142817270803138e-36,3.1579016370293803e-33,1.7582615723027469e-40,6.6178374073535225e-47,2.0131309953549137e-75,2.2198293714381739e-51,1.6352169635033896e-103
1.9615746618366439e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,1.0439324430290108e-60,4.0387514933782855e-39,8.5418937238500694e-85,4.6235307956610817e-53,8.1433141157431684e-132,1.9946406604517843e-23,8.1387932642627466e-111,1.9946406604509873e-23,2.2289308960121407e-74,3.7014782569198091e-66,2.6003104608343962e-111,1.5712273149362515e-112,2.4891900131498599e-50,2.0748817899950813e-88,7.9104576379638032e-17,3.8034183292036333e-18,1.4660429249334642e-21,1.4660429249598071e-21,3.2205607649414603e-35,1.3183616956480329e-32,1.4779247097589905e-39,5.6339354870288674e-46,7.0725398700230057e-74,1.8659003413001436e-50,2.3017359668477879e-101
3.9791943140114775e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.7146656654539385e-59,1.6499619921588224e-38,5.8338168975032862e-83,3.8228246721066576e-52,2.2253640529632056e-129,4.0462710540609635e-23,5.4770347594436451e-109,4.0462710540577067e-23,3.6942894980219404e-73,6.1500614834685679e-65,3.5526133841515912e-109,2.1466525911658454e-110,2.0407883630992503e-49,6.8857761676130324e-87,1.6046928351297846e-16,7.7155057535273671e-18,2.9739727905522446e-21,2.9739727906598642e-21,1.3157041566456583e-34,5.3859370895972316e-32,1.2116918301692333e-38,4.7358752576805857e-45,2.4141067351965977e-72,1.529777832507024e-49,3.1446929609000399e-99
8.014433618361144e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.7795497443290935e-58,6.6694120048307508e-38,3.99344793673173e-81,3.1086575353860196e-51,6.0932162397949166e-127,8.1495318412842829e-23,3.5936828381920624e-107,8.1495318412711209e-23,6.0151927652805596e-72,1.0026152411163718e-63,4.8636977381072116e-107,2.9388701283193139e-108,1.6526833271136885e-48,2.2436299128612106e-85,3.2319869777965478e-16,1.5539680602174825e-17,5.9898325217074535e-21,5.9898325221424699e-21,5.3182865630009869e-34,2.1770813938321754e-31,9.8125923361372283e-38,4.0244703646351815e-44,8.2629761019901808e-71,1.2388537505423357e-48,4.3052351568025289e-97
1.6084912227060478e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,4.4763814280969843e-57,2.6817427027089106e-37,2.8192017835066081e-79,2.5072449209715658e-50,1.7200480112606323e-124,1.6356053415750767e-22,2.3286529973725084e-105,1.6356053415697836e-22,9.708545373955607e-71,1.6192262917934977e-62,6.8655982667145168e-105,4.1485106076764171e-106,1.330223321321023e-47,7.2445450308921607e-84,6.4865752631298909e-16,3.1188030299469699e-17,1.2021551983688463e-20,1.2021551985437641e-20,2.1384596353784867e-33,8.753944580381659e-31,7.8980243552547995e-37,3.5438721898577677e-43,2.9179642590043423e-69,9.971372756482557e-48,6.0772721945508054e-95
3.2225869444459145e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996403,0.022821567693054254,0.0,7.1855853602566232e-56,1.0754999456949929e-36,2.118985823228375e-77,2.0139554700785977e-49,5.1679878955591222e-122,3.2769096564763098e-22,1.4995873430348778e-103,3.2769096564550823e-22,1.5601371780963561e-69,2.6028589703880013e-61,1.0316268916320752e-102,6.2335647045367429e-104,1.0674204399548717e-46,2.3286942651674291e-82,1.299575183379584e-15,6.248472969405931e-17,2.4084990906332833e-20,2.4084990913347834e-20,8.5761795798557434e-33,3.5107201360524915e-30,6.3376613142106493e-36,3.3326243117068349e-42,1.0975665399292773e-67,8.0013986518663834e-47,9.1317277511444864e-93
